,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.63,16.69,16.44,16.44,6.2831,335100,0.0,1.0
2000-01-19,16.06,16.63,16.06,16.31,6.2334,221000,0.0,1.0
2000-01-20,16.31,16.5,16.25,16.44,6.2831,333000,0.0,1.0
2000-01-21,16.38,16.5,16.13,16.31,6.2334,546400,0.0,1.0
2000-01-24,16.31,16.5,16.25,16.31,6.2334,538600,0.0,1.0
2000-01-25,16.38,16.44,16.13,16.19,6.1876,524900,0.0,1.0
2000-01-26,16.31,16.31,16.06,16.13,6.1646,659800,0.0,1.0
2000-01-27,16.13,16.38,16.06,16.19,6.1876,402000,0.0,1.0
2000-01-28,16.31,16.31,15.75,15.75,6.0194,319200,0.0,1.0
2000-01-31,16.0,16.13,15.88,15.94,6.092,223800,0.0,1.0
2000-02-01,16.0,16.13,15.94,16.0,6.1149,314500,0.0,1.0
2000-02-02,16.0,16.06,16.0,16.0,6.1149,153300,0.0,1.0
2000-02-03,16.06,17.0,16.0,16.38,6.2651,316000,0.013,1.0
2000-02-04,16.44,16.75,16.31,16.63,6.3608,1185600,0.0,1.0
2000-02-07,16.5,16.75,16.25,16.31,6.2384,667200,0.0,1.0
2000-02-08,16.19,17.25,16.13,16.13,6.1695,233600,0.0,1.0
2000-02-09,16.38,16.63,16.38,16.56,6.334,176900,0.0,1.0
2000-02-10,16.5,16.5,16.06,16.19,6.1925,264700,0.0,1.0
2000-02-11,16.06,16.13,15.81,15.81,6.0471,149300,0.0,1.0
2000-02-14,16.0,16.0,15.75,15.88,6.0739,119700,0.0,1.0
2000-02-15,15.88,16.63,15.88,16.63,6.3608,286400,0.0,1.0
2000-02-16,16.38,16.44,16.0,16.0,6.1198,107000,0.0,1.0
2000-02-17,16.06,18.63,16.06,16.94,6.4793,1420000,0.0,1.0
2000-02-18,17.13,17.5,16.38,16.63,6.3608,461900,0.0,1.0
2000-02-22,16.75,16.88,16.31,16.31,6.2384,260300,0.0,1.0
2000-02-23,16.31,16.38,15.75,15.94,6.0968,591500,0.0,1.0
2000-02-24,16.19,16.19,15.25,15.75,6.0242,408000,0.0,1.0
2000-02-25,15.75,15.75,15.56,15.63,5.9783,130700,0.0,1.0
2000-02-28,15.56,15.94,15.44,15.94,6.0968,116200,0.0,1.0
2000-02-29,15.69,16.5,15.69,16.5,6.311,137100,0.0,1.0
2000-03-01,16.44,16.88,16.31,16.88,6.4564,157100,0.0,1.0
2000-03-02,16.88,17.13,16.81,16.88,6.4564,129300,0.0,1.0
2000-03-03,17.13,17.5,17.0,17.06,6.5252,163900,0.0,1.0
2000-03-06,17.06,17.38,16.63,16.94,6.4793,157800,0.0,1.0
2000-03-07,16.69,17.06,16.25,16.25,6.2154,94400,0.0,1.0
2000-03-08,16.38,16.69,16.38,16.56,6.334,167400,0.0,1.0
2000-03-09,16.25,16.88,16.25,16.88,6.4564,114700,0.0,1.0
2000-03-10,16.88,17.13,16.63,16.88,6.4564,177700,0.0,1.0
2000-03-13,16.5,17.06,16.5,16.81,6.4296,119200,0.0,1.0
2000-03-14,16.69,17.19,16.69,16.88,6.4564,101400,0.0,1.0
2000-03-15,16.88,18.44,16.69,18.0,6.8848,379700,0.0,1.0
2000-03-16,18.06,19.88,18.06,19.13,7.317,624500,0.0,1.0
2000-03-17,19.75,20.75,19.63,20.75,7.9366,632100,0.0,1.0
2000-03-20,20.63,21.25,20.31,21.25,8.1278,347300,0.0,1.0
2000-03-21,21.31,21.31,20.5,20.88,7.9863,468800,0.0,1.0
2000-03-22,20.81,20.94,20.44,20.5,7.841,382500,0.0,1.0
2000-03-23,20.5,21.19,20.5,21.13,8.0819,477100,0.0,1.0
2000-03-24,21.13,21.19,20.38,21.06,8.0552,387100,0.0,1.0
2000-03-27,21.0,21.0,20.63,20.88,7.9863,176400,0.0,1.0
2000-03-28,20.88,20.94,20.5,20.63,7.8907,256200,0.0,1.0
2000-03-29,20.63,20.69,20.5,20.56,7.8639,156000,0.0,1.0
2000-03-30,20.56,21.44,20.5,20.94,8.0093,553400,0.0,1.0
2000-03-31,21.0,21.75,20.94,21.69,8.2961,279800,0.0,1.0
2000-04-03,21.5,21.56,20.06,20.63,7.8907,490400,0.0,1.0
2000-04-04,21.13,21.13,19.63,19.63,7.5082,307800,0.0,1.0
2000-04-05,19.38,20.88,19.38,20.5,7.841,460300,0.0,1.0
2000-04-06,20.69,20.88,20.44,20.44,7.818,195700,0.0,1.0
2000-04-07,20.5,20.81,20.44,20.5,7.841,286100,0.0,1.0
2000-04-10,20.38,20.69,20.25,20.25,7.7454,280000,0.0,1.0
2000-04-11,20.31,20.31,19.88,19.94,7.6268,255100,0.0,1.0
2000-04-12,20.0,21.06,20.0,20.5,7.841,261500,0.0,1.0
2000-04-13,20.69,20.94,20.56,20.56,7.8639,123100,0.0,1.0
