,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,28.75,29.56,27.63,28.19,9.5586,477200,0.0,1.0
2000-01-19,27.44,27.75,26.56,27.75,9.4094,439950,0.0,1.0
2000-01-20,27.63,29.63,27.63,29.0,9.8333,785350,0.0,1.0
2000-01-21,29.5,29.69,28.63,28.81,9.7689,530550,0.0,1.0
2000-01-24,28.88,29.81,28.13,28.44,9.6434,678750,0.0,1.0
2000-01-25,28.69,29.13,28.19,29.13,9.8774,377600,0.0,1.0
2000-01-26,28.38,32.25,28.38,32.0,10.8505,1296100,0.0,1.0
2000-01-27,32.0,33.31,31.94,32.69,11.0845,995750,0.0,1.0
2000-01-28,32.63,32.63,29.38,30.94,10.4911,597650,0.0,1.0
2000-01-31,30.44,30.5,29.0,29.0,9.8333,580000,0.0,1.0
2000-02-01,29.63,32.0,29.25,31.44,10.6606,580100,0.0,1.0
2000-02-02,31.44,31.5,30.19,30.81,10.447,363650,0.0,1.0
2000-02-03,31.63,32.0,30.56,31.81,10.7861,466400,0.0,1.0
2000-02-04,32.0,32.06,31.44,32.0,10.8505,384800,0.0,1.0
2000-02-07,31.38,32.38,31.38,31.63,10.7251,238950,0.0,1.0
2000-02-08,31.88,32.38,31.56,31.88,10.8098,295800,0.0,1.0
2000-02-09,31.88,34.81,31.75,33.25,11.2744,799100,0.0,1.0
2000-02-10,33.38,33.5,32.25,32.88,11.1489,618750,0.0,1.0
2000-02-11,32.5,32.5,30.63,31.69,10.7454,420150,0.0,1.0
2000-02-14,31.81,32.69,31.69,32.06,10.8709,559050,0.0,1.0
2000-02-15,32.19,32.75,32.0,32.5,11.0201,470000,0.0,1.0
2000-02-16,32.5,32.5,31.75,31.94,10.8302,538400,0.0,1.0
2000-02-17,31.81,32.0,31.19,31.63,10.7251,274100,0.0,1.0
2000-02-18,31.56,31.69,31.25,31.5,10.681,153850,0.0,1.0
2000-02-22,30.88,30.88,28.88,30.69,10.4063,549100,0.0,1.0
2000-02-23,30.44,31.5,29.94,30.25,10.2571,1138950,0.0,1.0
2000-02-24,30.56,32.0,30.5,31.63,10.7251,959950,0.0,1.0
2000-02-25,31.5,31.75,31.19,31.56,10.7013,613550,0.0,1.0
2000-02-28,31.5,31.5,30.69,31.06,10.5318,215050,0.0,1.0
2000-02-29,31.5,31.88,30.94,31.88,10.8098,518800,0.0,1.0
2000-03-01,31.75,32.0,30.81,30.94,10.4911,475750,0.0,1.0
2000-03-02,30.69,34.13,30.69,34.13,11.5727,609750,0.0,1.0
2000-03-03,34.06,34.63,33.25,33.88,11.5049,386850,0.05,1.0
