,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,69.38,69.38,66.5,67.31,35.956,2082900,0.0,1.0
2000-01-19,66.0,68.0,65.75,67.75,36.191,2193700,0.0,1.0
2000-01-20,67.69,68.25,65.56,66.78,35.6729,2136400,0.0,1.0
2000-01-21,65.13,65.63,64.13,64.75,34.5885,4051000,0.0,1.0
2000-01-24,64.63,64.81,61.56,62.13,33.1889,4206900,0.0,1.0
2000-01-25,62.38,63.25,61.75,62.31,33.285,3148700,0.0,1.0
2000-01-26,62.94,63.38,62.13,62.75,33.5201,2233100,0.0,1.0
2000-01-27,62.0,64.38,61.5,64.25,34.3214,3052200,0.0,1.0
2000-01-28,65.0,67.38,64.88,65.31,34.8876,4284500,0.0,1.0
2000-01-31,65.94,67.0,62.38,66.88,35.7263,3334100,0.0,1.0
2000-02-01,65.88,66.5,64.69,65.56,35.0211,2981300,0.0,1.0
2000-02-02,65.5,66.06,63.88,65.06,34.7541,2066300,0.0,1.0
2000-02-03,65.31,65.81,63.63,65.25,34.8555,2643600,0.0,1.0
2000-02-04,64.88,65.25,64.5,64.88,34.6579,1717600,0.0,1.0
2000-02-07,65.44,65.44,62.75,63.31,33.8192,1957400,0.0,1.0
2000-02-08,62.63,63.75,62.63,63.31,33.8192,2536700,0.0,1.0
2000-02-09,64.38,64.38,61.69,61.75,32.9859,3211000,0.0,1.0
2000-02-10,61.88,63.0,61.81,62.31,33.285,2080000,0.0,1.0
2000-02-11,62.5,62.56,61.06,61.63,33.0607,3268100,0.26,1.0
2000-02-14,61.38,62.0,60.44,60.75,32.5886,2758000,0.0,1.0
2000-02-15,60.88,61.69,60.63,61.19,32.8247,2989400,0.0,1.0
2000-02-16,62.0,62.44,61.19,61.25,32.8568,3292800,0.0,1.0
2000-02-17,61.75,61.94,60.19,60.19,32.2882,3290500,0.0,1.0
2000-02-18,60.31,60.38,58.25,58.5,31.3816,3684000,0.0,1.0
2000-02-22,59.75,60.38,57.63,59.5,31.9181,2716500,0.0,1.0
2000-02-23,59.75,60.88,58.31,60.31,32.3526,2489800,0.0,1.0
2000-02-24,59.94,60.25,57.88,58.56,31.4138,2612700,0.0,1.0
2000-02-25,58.44,58.81,56.13,56.69,30.4107,2554400,0.0,1.0
2000-02-28,57.0,58.44,57.0,57.5,30.8452,3832900,0.0,1.0
2000-02-29,58.5,60.5,58.38,59.44,31.8859,4138700,0.0,1.0
2000-03-01,59.44,60.25,58.0,58.88,31.5855,4186700,0.0,1.0
2000-03-02,57.88,59.38,57.19,57.69,30.9471,2095800,0.0,1.0
2000-03-03,58.63,59.0,57.56,58.0,31.1134,2085200,0.0,1.0
2000-03-06,57.25,58.69,57.13,57.63,30.9149,2549700,0.0,1.0
2000-03-07,57.88,57.94,54.0,54.5,29.2359,3998100,0.0,1.0
2000-03-08,55.0,57.38,54.5,55.5,29.7723,4282600,0.0,1.0
2000-03-09,56.44,60.06,56.44,60.06,32.2185,3853500,0.0,1.0
2000-03-10,60.13,61.94,60.0,61.19,32.8247,3535800,0.0,1.0
2000-03-13,61.0,61.0,57.63,59.25,31.784,2115500,0.0,1.0
2000-03-14,58.25,58.69,57.38,57.44,30.813,2133000,0.0,1.0
2000-03-15,57.44,63.5,57.38,62.75,33.6615,4364700,0.0,1.0
2000-03-16,63.88,65.94,63.0,64.75,34.7344,5316400,0.0,1.0
