,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.0,21.25,19.75,20.0,12.1858,3763800,0.0,1.0
2000-01-19,20.06,20.75,20.0,20.69,12.6062,2270500,0.0,1.0
2000-01-20,20.5,20.69,20.38,20.56,12.527,2321600,0.0,1.0
2000-01-21,20.75,21.19,20.63,21.0,12.7951,2340600,0.0,1.0
2000-01-24,20.94,21.06,19.56,19.56,11.9177,1917000,0.0,1.0
2000-01-25,19.56,19.94,19.13,19.25,11.7288,2022500,0.0,1.0
2000-01-26,19.44,20.06,19.25,20.06,12.2223,2020300,0.0,1.0
2000-01-27,19.94,20.0,19.0,19.44,11.8446,2236300,0.0,1.0
2000-01-28,19.0,19.94,18.31,18.88,11.5034,2213200,0.0,1.0
2000-01-31,18.31,18.88,18.19,18.5,11.2718,1528600,0.0,1.0
2000-02-01,18.75,18.88,18.38,18.69,11.3876,737300,0.0,1.0
2000-02-02,18.44,18.75,18.19,18.69,11.3876,1633700,0.0,1.0
2000-02-03,18.63,18.94,18.5,18.63,11.351,1830200,0.0,1.0
2000-02-04,18.75,19.31,18.38,19.13,11.6557,2012900,0.0,1.0
2000-02-07,19.25,19.5,18.25,18.75,11.4242,1633700,0.0,1.0
2000-02-08,18.31,18.38,17.88,18.38,11.1987,2110300,0.0,1.0
2000-02-09,17.88,18.5,17.88,18.38,11.1987,1863800,0.0,1.0
2000-02-10,18.06,18.5,18.06,18.31,11.1561,1814500,0.0,1.0
2000-02-11,18.13,18.31,17.38,17.5,10.6626,1821000,0.0,1.0
2000-02-14,17.75,18.13,17.5,18.06,11.0038,1839400,0.0,1.0
2000-02-15,18.0,18.19,17.81,18.13,11.0464,1273200,0.0,1.0
2000-02-16,17.5,18.06,17.5,17.75,10.8149,1630600,0.0,1.0
2000-02-17,17.94,18.25,17.81,18.0,10.9672,4412100,0.0,1.0
2000-02-18,17.75,17.88,17.0,17.44,10.626,1651200,0.0,1.0
2000-02-22,17.06,18.0,17.06,18.0,10.9672,1411100,0.0,1.0
2000-02-23,17.94,17.94,17.5,17.81,10.8514,1358100,0.0,1.0
2000-02-24,17.63,17.69,17.19,17.56,10.6991,1248100,0.0,1.0
2000-02-25,17.63,17.94,17.56,17.75,10.8149,1691300,0.0,1.0
2000-02-28,17.56,17.63,17.13,17.5,10.6626,1022400,0.0,1.0
2000-02-29,17.44,17.88,17.13,17.44,10.626,1285400,0.0,1.0
2000-03-01,17.44,17.69,17.38,17.69,10.7783,1331700,0.0,1.0
2000-03-02,17.5,17.56,17.0,17.13,10.5041,1398200,0.11,1.0
2000-03-03,17.06,17.19,16.88,17.0,10.4244,1733200,0.0,1.0
2000-03-06,17.75,18.25,17.75,18.0,11.0376,3775600,0.0,1.0
2000-03-07,18.0,18.0,17.31,17.31,10.6145,1289900,0.0,1.0
2000-03-08,17.25,17.63,17.25,17.63,10.8107,2051400,0.0,1.0
2000-03-09,17.5,17.5,17.0,17.13,10.5041,1706700,0.0,1.0
2000-03-10,17.13,17.13,16.69,16.81,10.3079,2631700,0.0,1.0
2000-03-13,16.81,17.0,16.63,16.94,10.3876,1434800,0.0,1.0
2000-03-14,17.0,17.0,16.5,16.63,10.1975,1853600,0.0,1.0
2000-03-15,16.63,17.19,16.5,17.13,10.5041,4062700,0.0,1.0
2000-03-16,17.19,18.25,17.0,18.06,11.0744,3771400,0.0,1.0
2000-03-17,18.06,18.75,17.63,18.0,11.0376,6524300,0.0,1.0
2000-03-20,18.0,18.0,17.63,17.76,10.8905,1103600,0.0,1.0
2000-03-21,17.25,17.63,17.06,17.31,10.6145,1439200,0.0,1.0
2000-03-22,17.25,17.31,16.94,17.13,10.5041,1424500,0.0,1.0
2000-03-23,17.06,17.38,16.94,17.06,10.4612,918700,0.0,1.0
2000-03-24,17.06,17.75,17.06,17.5,10.731,2166100,0.0,1.0
2000-03-27,17.5,17.88,17.25,17.81,10.9211,1698000,0.0,1.0
2000-03-28,18.25,19.19,18.06,18.75,11.4975,3675900,0.0,1.0
2000-03-29,18.56,19.25,18.31,19.25,11.8041,3296200,0.0,1.0
2000-03-30,19.75,21.25,19.5,20.88,12.8036,4674400,0.0,1.0
2000-03-31,21.06,21.06,19.69,20.44,12.5338,2365800,0.0,1.0
2000-04-03,20.06,20.88,20.06,20.44,12.5338,1050100,0.0,1.0
2000-04-04,21.0,21.69,20.13,20.31,12.4541,2551700,0.0,1.0
2000-04-05,20.31,21.63,20.31,20.94,12.8404,1390500,0.0,1.0
2000-04-06,21.75,22.06,20.63,21.19,12.9937,2202200,0.0,1.0
2000-04-07,21.31,21.5,20.69,21.06,12.914,1330000,0.0,1.0
2000-04-10,20.5,21.19,20.31,21.13,12.9569,1263400,0.0,1.0
2000-04-11,20.94,21.19,20.88,20.88,12.8036,1365200,0.0,1.0
2000-04-12,20.94,22.19,20.94,22.06,13.5272,2865000,0.0,1.0
2000-04-13,21.38,22.0,21.06,21.63,13.2635,3730500,0.0,1.0
2000-04-14,21.19,21.25,20.38,20.69,12.6871,2415400,0.0,1.0
2000-04-17,20.63,21.31,19.81,21.31,13.0673,2157200,0.0,1.0
2000-04-18,21.13,21.13,20.63,21.0,12.8772,1432900,0.0,1.0
2000-04-19,20.94,21.25,20.81,20.88,12.8036,1112900,0.0,1.0
2000-04-20,21.75,22.88,21.56,22.69,13.9135,2877000,0.0,1.0
2000-04-24,22.38,25.94,22.31,25.88,15.8696,5205300,0.0,1.0
2000-04-25,25.88,26.44,24.5,25.56,15.6734,5013300,0.0,1.0
2000-04-26,24.75,24.88,23.81,24.13,14.7965,3442200,0.0,1.0
2000-04-27,24.0,24.44,23.38,23.88,14.6432,1761100,0.0,1.0
2000-04-28,24.0,26.06,24.0,24.88,15.2564,3415700,0.0,1.0
2000-05-01,24.25,27.31,24.13,27.0,16.5564,2702000,0.0,1.0
2000-05-02,26.25,26.69,26.0,26.06,15.98,2304900,0.0,1.0
2000-05-03,25.81,26.31,25.38,25.56,15.6734,1438500,0.0,1.0
2000-05-04,25.56,27.13,25.5,26.31,16.1333,1659000,0.0,1.0
2000-05-05,25.75,26.19,25.63,26.19,16.0597,1751900,0.0,1.0
2000-05-08,26.0,26.25,25.75,26.06,15.98,1038600,0.0,1.0
2000-05-09,25.81,26.25,25.75,26.0,15.9432,765900,0.0,1.0
2000-05-10,25.81,26.25,25.75,26.06,15.98,1188300,0.0,1.0
2000-05-11,26.0,26.44,25.94,26.19,16.0597,846200,0.0,1.0
2000-05-12,25.63,26.13,25.56,25.81,15.8267,814300,0.0,1.0
2000-05-15,25.69,25.94,25.38,25.63,15.7163,682000,0.0,1.0
2000-05-16,24.75,25.38,24.69,25.19,15.4465,1051600,0.0,1.0
2000-05-17,24.94,25.38,24.5,24.56,15.0602,2000700,0.0,1.0
2000-05-18,24.44,25.19,24.44,24.88,15.2564,2073900,0.0,1.0
2000-05-19,24.13,24.56,23.63,24.31,14.9069,1286300,0.0,1.0
2000-05-22,24.38,24.69,23.25,23.56,14.447,1283800,0.0,1.0
2000-05-23,24.25,25.31,23.63,25.13,15.4097,1109300,0.0,1.0
2000-05-24,25.0,25.31,24.5,25.06,15.3668,2029800,0.0,1.0
2000-05-25,24.81,25.06,24.06,24.31,14.9069,822600,0.0,1.0
2000-05-26,24.56,24.75,23.88,24.06,14.7536,501000,0.0,1.0
2000-05-30,24.31,25.0,24.19,24.75,15.2442,1195400,0.11,1.0
2000-05-31,24.88,24.94,24.06,24.06,14.8192,947700,0.0,1.0
2000-06-01,24.38,25.06,24.19,25.06,15.4351,876900,0.0,1.0
2000-06-02,25.31,26.06,25.31,25.94,15.9771,1608900,0.0,1.0
2000-06-05,25.94,25.94,25.5,25.88,15.9402,1070800,0.0,1.0
2000-06-06,26.0,26.25,25.69,25.94,15.9771,937000,0.0,1.0
2000-06-07,25.94,25.94,24.88,25.38,15.6322,514400,0.0,1.0
2000-06-08,24.88,25.5,24.25,24.75,15.2442,1071100,0.0,1.0
2000-06-09,24.88,25.44,24.81,25.31,15.5891,891100,0.0,1.0
2000-06-12,25.44,25.94,25.31,25.56,15.7431,744500,0.0,1.0
2000-06-13,25.31,25.38,24.81,25.25,15.5521,479200,0.0,1.0
2000-06-14,25.38,25.5,24.63,24.69,15.2072,668000,0.0,1.0
2000-06-15,25.13,25.31,24.88,25.0,15.3982,1635700,0.0,1.0
2000-06-16,25.0,25.0,24.31,24.31,14.9732,878600,0.0,1.0
2000-06-19,24.44,24.69,23.94,24.69,15.2072,731600,0.0,1.0
2000-06-20,24.69,24.69,23.75,24.5,15.0902,812000,0.0,1.0
2000-06-21,24.44,24.88,24.0,24.0,14.7822,475900,0.0,1.0
2000-06-22,24.19,24.88,23.63,23.69,14.5913,318500,0.0,1.0
2000-06-23,23.88,24.44,23.69,24.19,14.8993,1210100,0.0,1.0
2000-06-26,23.94,25.19,23.81,24.81,15.2811,1024200,0.0,1.0
2000-06-27,24.94,25.06,24.25,24.31,14.9732,1267100,0.0,1.0
2000-06-28,23.5,23.69,22.44,23.69,14.5913,2307000,0.0,1.0
2000-06-29,23.06,25.0,22.75,25.0,15.3982,2140000,0.0,1.0
2000-06-30,24.5,25.13,24.13,24.81,15.2811,1432400,0.0,1.0
2000-07-03,24.63,24.63,24.06,24.31,14.9732,691800,0.0,1.0
2000-07-05,24.19,25.38,24.19,25.0,15.3982,1005500,0.0,1.0
2000-07-06,24.5,25.5,24.5,25.25,15.5521,982000,0.0,1.0
2000-07-07,25.13,25.38,24.81,25.31,15.5891,744700,0.0,1.0
2000-07-10,25.31,25.44,25.0,25.19,15.5152,612000,0.0,1.0
2000-07-11,24.94,25.06,24.56,24.75,15.2442,620000,0.0,1.0
2000-07-12,24.19,25.19,24.19,25.06,15.4351,521500,0.0,1.0
2000-07-13,25.06,26.06,25.0,25.0,15.3982,836100,0.0,1.0
2000-07-14,25.88,26.56,25.81,26.38,16.2481,1902000,0.0,1.0
2000-07-17,26.5,26.5,25.25,25.38,15.6322,1216800,0.0,1.0
2000-07-18,25.5,25.5,24.94,25.31,15.5891,1261200,0.0,1.0
2000-07-19,25.25,25.44,24.88,25.38,15.6322,900000,0.0,1.0
2000-07-20,25.69,27.06,25.5,26.75,16.476,1874000,0.0,1.0
2000-07-21,26.5,26.69,26.19,26.31,16.205,1237100,0.0,1.0
2000-07-24,26.38,26.94,26.38,26.56,16.359,1501800,0.0,1.0
2000-07-25,26.75,27.81,26.63,27.19,16.747,1639700,0.0,1.0
2000-07-26,27.31,27.75,26.69,27.5,16.938,1401900,0.0,1.0
2000-07-27,27.13,27.5,26.75,27.19,16.747,773200,0.0,1.0
2000-07-28,27.19,28.0,27.06,28.0,17.2459,1397300,0.0,1.0
2000-07-31,27.75,28.19,27.75,28.13,17.326,1235900,0.0,1.0
2000-08-01,28.31,29.25,28.31,29.13,17.9419,2133400,0.0,1.0
2000-08-02,29.5,30.56,28.56,28.75,17.7079,4871600,0.0,1.0
2000-08-03,28.44,29.38,28.25,28.38,17.48,3564500,0.0,1.0
2000-08-04,28.94,29.88,28.81,28.81,17.7448,1693900,0.0,1.0
2000-08-07,29.38,30.06,29.06,29.44,18.1329,2267400,0.0,1.0
2000-08-08,29.5,29.69,28.88,29.19,17.9789,2136500,0.0,1.0
2000-08-09,29.5,29.81,29.31,29.5,18.1698,2286100,0.0,1.0
2000-08-10,29.63,29.88,29.44,29.63,18.2499,750600,0.0,1.0
2000-08-11,29.25,29.88,29.25,29.63,18.2499,685100,0.0,1.0
2000-08-14,29.63,30.0,28.88,29.25,18.0159,1772500,0.0,1.0
2000-08-15,29.0,29.31,28.81,28.81,17.7448,924700,0.0,1.0
2000-08-16,28.5,28.5,27.75,27.88,17.172,1765300,0.0,1.0
2000-08-17,27.75,28.28,27.44,27.69,17.055,979900,0.0,1.0
2000-08-18,27.56,28.0,27.5,27.94,17.209,522200,0.0,1.0
2000-08-21,27.94,28.88,27.69,28.44,17.517,390000,0.0,1.0
2000-08-22,28.06,29.31,28.06,29.19,17.9789,876900,0.0,1.0
2000-08-23,28.5,28.88,28.13,28.38,17.48,716000,0.0,1.0
2000-08-24,28.19,28.69,27.88,28.44,17.517,596300,0.0,1.0
2000-08-25,28.5,29.13,28.5,28.69,17.6709,634900,0.0,1.0
2000-08-28,29.13,29.13,28.31,28.31,17.4369,333800,0.0,1.0
2000-08-29,28.31,28.31,27.38,27.56,16.9749,769400,0.0,1.0
2000-08-30,27.56,28.0,27.25,27.81,17.1967,861700,0.11,1.0
2000-08-31,27.69,28.94,27.69,28.38,17.5491,1275400,0.0,1.0
2000-09-01,28.81,28.81,28.0,28.06,17.3513,546400,0.0,1.0
2000-09-05,28.19,28.25,27.25,28.25,17.4687,633300,0.0,1.0
2000-09-06,27.0,29.25,27.0,28.88,17.8583,1843000,0.0,1.0
2000-09-07,29.0,30.31,28.94,30.19,18.6684,1783700,0.0,1.0
2000-09-08,30.13,30.44,29.38,29.94,18.5138,1819900,0.0,1.0
2000-09-11,30.0,30.88,29.69,29.81,18.4334,1067800,0.0,1.0
2000-09-12,30.19,30.19,29.5,29.5,18.2417,792400,0.0,1.0
2000-09-13,29.56,29.75,29.19,29.69,18.3592,1361100,0.0,1.0
2000-09-14,29.31,29.81,29.0,29.38,18.1675,838600,0.0,1.0
2000-09-15,29.5,29.81,29.0,29.56,18.2788,2622100,0.0,1.0
2000-09-18,29.5,30.31,29.06,29.31,18.1242,748400,0.0,1.0
2000-09-19,29.0,29.13,28.06,28.69,17.7408,1214500,0.0,1.0
2000-09-20,28.75,29.31,27.25,28.75,17.7779,3323100,0.0,1.0
2000-09-21,28.75,31.0,28.38,30.94,19.1321,4960000,0.0,1.0
2000-09-22,30.25,30.63,29.75,30.38,18.7859,3025300,0.0,1.0
2000-09-25,30.7,30.74,29.6,30.0,18.5509,1191900,0.0,1.0
2000-09-26,29.35,32.5,29.35,32.0,19.7876,2966700,0.0,1.0
2000-09-27,33.25,33.6,32.75,32.86,20.3194,3100200,0.0,1.0
2000-09-28,32.84,32.99,31.8,32.06,19.8247,1869000,0.0,1.0
2000-09-29,32.0,33.27,31.7,32.93,20.3627,1554300,0.0,1.0
2000-10-02,32.1,32.49,31.6,32.1,19.8494,991900,0.0,1.0
2000-10-03,32.0,33.38,31.97,32.66,20.1957,1428500,0.0,1.0
2000-10-04,32.66,34.0,32.66,33.07,20.4493,1578100,0.0,1.0
2000-10-05,32.5,33.25,32.15,32.65,20.1895,991900,0.0,1.0
2000-10-06,32.65,32.82,30.95,31.78,19.6516,1754200,0.0,1.0
2000-10-09,31.95,33.7,31.89,33.09,20.4616,1309700,0.0,1.0
2000-10-10,33.0,33.2,32.1,32.73,20.239,1097800,0.0,1.0
2000-10-11,32.5,33.51,32.5,32.73,20.239,940800,0.0,1.0
2000-10-12,32.6,33.1,32.1,33.0,20.406,2455900,0.0,1.0
2000-10-13,33.25,33.95,33.1,33.62,20.7894,2032000,0.0,1.0
2000-10-16,33.62,33.78,33.32,33.55,20.7461,691200,0.0,1.0
2000-10-17,33.75,33.75,32.36,33.0,20.406,1567200,0.0,1.0
2000-10-18,32.75,32.75,31.59,32.24,19.936,1465600,0.0,1.0
2000-10-19,31.9,32.9,31.66,32.51,20.103,678500,0.0,1.0
2000-10-20,32.1,34.2,31.77,34.01,21.0305,1771600,0.0,1.0
2000-10-23,33.9,37.58,33.57,34.15,21.1171,2811400,0.0,1.0
2000-10-24,34.85,34.98,33.55,34.15,21.1171,579800,0.0,1.0
2000-10-25,34.3,35.96,33.87,34.85,21.5499,1094100,0.0,1.0
2000-10-26,35.02,35.78,34.5,35.03,21.6612,2164500,0.0,1.0
2000-10-27,34.35,34.69,33.69,34.55,21.3644,1284100,0.0,1.0
2000-10-30,35.0,35.29,34.7,35.0,21.6427,891700,0.0,1.0
2000-10-31,35.0,35.88,34.85,35.85,22.1683,990300,0.0,1.0
2000-11-01,35.6,35.86,34.55,35.39,21.8839,1129900,0.0,1.0
2000-11-02,35.2,35.74,34.5,35.0,21.6427,847600,0.0,1.0
2000-11-03,34.65,34.7,31.49,32.3,19.9731,3259300,0.0,1.0
2000-11-06,32.5,34.75,32.15,33.51,20.7213,2627100,0.0,1.0
2000-11-07,33.76,33.8,33.09,33.37,20.6348,951700,0.0,1.0
2000-11-08,33.21,33.62,32.5,32.79,20.2761,970800,0.0,1.0
2000-11-09,32.9,33.62,31.75,32.15,19.8804,1721300,0.0,1.0
2000-11-10,32.4,32.6,31.4,31.89,19.7196,1302700,0.0,1.0
2000-11-13,31.89,32.05,31.4,31.76,19.6392,1055500,0.0,1.0
2000-11-14,31.51,32.71,31.25,32.5,20.0968,1522300,0.0,1.0
2000-11-15,32.36,33.3,32.11,32.96,20.3812,902100,0.0,1.0
2000-11-16,32.71,33.33,32.5,33.23,20.5482,947600,0.0,1.0
2000-11-17,33.2,33.71,33.01,33.59,20.7708,1338400,0.0,1.0
2000-11-20,33.99,33.99,33.25,33.63,20.7955,768700,0.0,1.0
2000-11-21,33.6,34.65,33.06,34.36,21.2469,1155200,0.0,1.0
2000-11-22,34.36,34.97,33.7,33.9,20.9625,992600,0.0,1.0
2000-11-24,34.15,34.7,34.15,34.35,21.2408,208000,0.0,1.0
2000-11-27,34.35,34.95,32.71,32.95,20.3751,1172800,0.0,1.0
2000-11-28,33.2,33.9,32.85,33.8,20.9007,745300,0.0,1.0
2000-11-29,33.44,35.0,33.38,34.9,21.6489,893000,0.11,1.0
2000-11-30,33.75,34.18,32.76,34.1,21.1526,853600,0.0,1.0
2000-12-01,33.8,34.0,31.0,31.4,19.4778,1585800,0.0,1.0
2000-12-04,31.9,34.0,31.82,33.7,20.9045,1454600,0.0,1.0
2000-12-05,33.95,34.41,33.4,33.72,20.9169,746500,0.0,1.0
2000-12-06,33.5,34.0,30.7,31.38,19.4654,1801100,0.0,1.0
2000-12-07,31.3,32.39,31.3,32.07,19.8934,1023900,0.0,1.0
2000-12-08,32.0,32.75,31.85,32.26,20.0113,1051100,0.0,1.0
2000-12-11,32.15,32.85,31.32,31.62,19.6143,1068300,0.0,1.0
2000-12-12,31.2,32.2,30.38,30.5,18.9195,1295900,0.0,1.0
2000-12-13,31.25,31.9,30.06,30.2,18.7334,1439300,0.0,1.0
2000-12-14,30.2,31.5,30.07,30.79,19.0994,1377500,0.0,1.0
2000-12-15,30.6,31.35,30.26,31.24,19.3785,1919700,0.0,1.0
2000-12-18,31.25,32.55,31.25,32.03,19.8686,877400,0.0,1.0
2000-12-19,31.78,32.51,30.5,31.36,19.453,1139000,0.0,1.0
2000-12-20,31.4,32.3,31.21,31.95,19.819,861100,0.0,1.0
2000-12-21,31.95,32.4,31.81,32.1,19.912,1048900,0.0,1.0
2000-12-22,32.6,33.1,32.0,32.5,20.1601,1067800,0.0,1.0
2000-12-26,32.15,32.95,32.15,32.92,20.4207,419700,0.0,1.0
2000-12-27,31.75,33.4,31.75,33.26,20.6316,1302500,0.0,1.0
2000-12-28,33.0,34.4,33.0,34.25,21.2457,1258300,0.0,1.0
2000-12-29,34.4,35.2,33.86,33.95,21.0596,1787700,0.0,1.0
2001-01-02,33.95,34.75,33.71,34.1,21.1526,1625000,0.0,1.0
2001-01-03,33.5,34.5,33.15,33.65,20.8735,2071200,0.0,1.0
2001-01-04,33.4,33.8,32.5,33.4,20.7184,2207400,0.0,1.0
2001-01-05,33.0,33.12,32.4,32.85,20.3772,669000,0.0,1.0
2001-01-08,32.6,33.65,32.4,32.91,20.4145,729700,0.0,1.0
2001-01-09,32.25,34.5,32.25,34.24,21.2395,1046700,0.0,1.0
2001-01-10,33.6,34.19,33.0,33.77,20.9479,1042000,0.0,1.0
2001-01-11,33.25,34.25,33.0,33.59,20.8363,1361500,0.0,1.0
2001-01-12,33.84,34.0,32.51,33.55,20.8115,1153200,0.0,1.0
2001-01-16,33.55,33.9,32.52,33.4,20.7184,858300,0.0,1.0
2001-01-17,32.9,34.0,32.0,32.02,19.8624,909200,0.0,1.0
2001-01-18,32.5,32.8,31.62,31.95,19.819,1684200,0.0,1.0
2001-01-19,31.0,31.95,31.0,31.73,19.6825,1513900,0.0,1.0
2001-01-22,31.6,33.35,31.1,33.26,20.6316,1009600,0.0,1.0
2001-01-23,32.75,33.37,32.7,33.0,20.4703,764700,0.0,1.0
2001-01-24,32.75,33.0,31.2,32.0,19.85,1392000,0.0,1.0
2001-01-25,33.5,35.0,33.05,34.51,21.407,4272100,0.0,1.0
2001-01-26,34.95,35.25,34.1,34.88,21.6365,4126500,0.0,1.0
2001-01-29,34.6,35.13,34.25,35.05,21.7419,1589700,0.0,1.0
2001-01-30,34.85,34.95,34.3,34.74,21.5496,1254900,0.0,1.0
2001-01-31,34.95,34.95,34.55,34.68,21.5124,1515500,0.0,1.0
2001-02-01,34.68,36.5,34.59,36.21,22.4615,2446500,0.0,1.0
2001-02-02,36.25,37.5,36.0,36.4,22.5794,2566800,0.0,1.0
2001-02-05,35.65,36.9,35.4,36.3,22.5173,2046900,0.0,1.0
2001-02-06,36.31,36.44,35.9,35.94,22.294,1055600,0.0,1.0
2001-02-07,36.15,36.55,35.11,36.13,22.4119,1871500,0.0,1.0
2001-02-08,35.8,36.84,35.78,36.63,22.722,1301100,0.0,1.0
2001-02-09,36.95,37.09,35.75,36.13,22.4119,948300,0.0,1.0
2001-02-12,36.3,36.55,34.74,34.9,21.6489,2067000,0.0,1.0
2001-02-13,34.9,37.0,34.5,36.91,22.8957,1776600,0.0,1.0
2001-02-14,36.85,37.65,35.5,35.82,22.2196,2160100,0.0,1.0
2001-02-15,35.39,36.59,35.1,35.69,22.1389,1795300,0.0,1.0
2001-02-16,35.69,37.2,35.11,36.25,22.4863,4712800,0.0,1.0
2001-02-20,36.94,37.85,36.2,37.48,23.2493,1796600,0.0,1.0
2001-02-21,37.65,38.25,36.65,36.85,22.8585,1928000,0.0,1.0
2001-02-22,37.1,38.2,37.1,37.75,23.4168,2036600,0.0,1.0
2001-02-23,37.0,37.56,36.3,36.95,22.9205,1547800,0.0,1.0
2001-02-26,36.9,38.01,36.6,37.98,23.5594,1776400,0.0,1.0
2001-02-27,37.65,38.0,37.42,38.0,23.5718,2501900,0.0,1.0
2001-02-28,37.95,38.15,36.9,37.46,23.2369,1790100,0.0,1.0
2001-03-01,37.1,37.25,35.7,36.73,22.8523,1868900,0.11,1.0
2001-03-02,36.35,38.3,36.23,38.3,23.8291,1910800,0.0,1.0
2001-03-05,37.9,38.64,37.71,38.44,23.9162,1879900,0.0,1.0
2001-03-06,39.0,39.0,36.9,37.38,23.2567,1742000,0.0,1.0
2001-03-07,37.75,39.25,37.47,39.05,24.2957,3779400,0.0,1.0
2001-03-08,38.95,39.5,38.15,38.6,24.0157,2303000,0.0,1.0
2001-03-09,38.7,38.9,38.01,38.56,23.9909,1443400,0.0,1.0
2001-03-12,38.31,39.41,38.1,38.99,24.2584,2569100,0.0,1.0
2001-03-13,38.6,38.9,37.6,38.34,23.854,1605700,0.0,1.0
2001-03-14,37.75,38.4,36.15,37.64,23.4185,2859600,0.0,1.0
2001-03-15,37.25,37.5,36.15,37.5,23.3314,1865300,0.0,1.0
