,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,38.0,38.44,37.63,37.94,24.4393,335500,0.0,1.0
2000-01-19,37.0,37.63,35.63,36.63,23.5955,603200,0.0,1.0
2000-01-20,36.63,36.63,34.38,34.75,22.3844,702600,0.0,1.0
2000-01-21,35.0,36.5,33.63,35.81,23.0673,999500,0.0,1.0
2000-01-24,36.5,36.75,34.56,34.94,22.5068,710600,0.0,1.0
2000-01-25,34.63,36.0,34.5,35.88,23.1123,1016700,0.0,1.0
2000-01-26,35.63,36.31,34.38,36.25,23.3507,504900,0.0,1.0
2000-01-27,35.75,36.56,35.69,36.06,23.2283,586400,0.0,1.0
2000-01-28,34.88,36.81,34.88,35.81,23.0673,607200,0.0,1.0
2000-01-31,35.94,36.94,35.81,36.94,23.7952,347100,0.0,1.0
2000-02-01,38.0,39.38,37.5,37.69,24.2783,964500,0.0,1.0
2000-02-02,37.25,38.81,37.0,38.44,24.7614,911400,0.0,1.0
2000-02-03,37.38,38.13,36.25,37.5,24.1559,610800,0.0,1.0
2000-02-04,36.19,37.38,35.94,36.19,23.312,592000,0.0,1.0
2000-02-07,36.75,36.88,34.13,34.25,22.0624,1175400,0.0,1.0
2000-02-08,34.69,35.56,34.38,35.25,22.7065,776800,0.0,1.0
2000-02-09,34.44,35.13,33.56,33.56,21.6179,511100,0.0,1.0
2000-02-10,33.06,33.88,32.5,33.06,21.2958,483800,0.0,1.0
2000-02-11,32.81,33.88,32.25,32.25,20.7741,387900,0.0,1.0
2000-02-14,32.75,32.75,31.75,32.25,20.7741,355100,0.0,1.0
2000-02-15,32.44,33.06,32.13,32.63,21.0188,503500,0.0,1.0
2000-02-16,30.75,31.94,30.75,31.44,20.2523,551900,0.0,1.0
2000-02-17,31.63,32.0,30.88,30.94,19.9302,489700,0.0,1.0
2000-02-18,30.88,31.69,30.38,30.38,19.5695,537500,0.0,1.0
2000-02-22,29.5,30.69,28.38,29.75,19.1637,834700,0.0,1.0
2000-02-23,30.0,30.06,28.75,29.69,19.125,721600,0.0,1.0
2000-02-24,29.5,29.94,28.5,29.56,19.0413,853200,0.0,1.0
2000-02-25,29.56,29.69,28.0,28.38,18.2812,1324600,0.0,1.0
2000-02-28,27.5,28.69,27.13,28.25,18.1974,1265700,0.0,1.0
2000-02-29,28.13,28.19,27.63,27.63,17.7981,532800,0.0,1.0
2000-03-01,27.81,29.38,27.19,28.5,18.3585,774200,0.0,1.0
2000-03-02,28.5,28.5,26.81,27.13,17.476,3139500,0.0,1.0
2000-03-03,27.63,27.63,27.0,27.06,17.4309,899800,0.0,1.0
2000-03-06,27.25,27.38,25.94,26.5,17.0702,790100,0.0,1.0
2000-03-07,26.25,26.5,24.5,24.56,15.8205,944400,0.0,1.0
2000-03-08,25.0,25.44,24.0,24.19,15.5822,859600,0.0,1.0
2000-03-09,25.0,25.94,24.06,25.0,16.1039,818500,0.0,1.0
2000-03-10,25.25,25.69,24.63,25.06,16.1426,545400,0.0,1.0
2000-03-13,25.25,25.25,23.63,24.25,15.6208,625000,0.0,1.0
2000-03-14,24.25,24.31,22.63,23.19,14.938,1081200,0.0,1.0
2000-03-15,23.31,25.5,23.31,25.06,16.1426,1759600,0.0,1.0
2000-03-16,26.38,28.81,26.0,28.25,18.1974,2460500,0.0,1.0
2000-03-17,28.25,29.63,28.0,28.0,18.0364,1251200,0.0,1.0
2000-03-20,28.31,28.94,27.81,28.25,18.1974,846900,0.0,1.0
2000-03-21,28.63,30.0,27.5,29.31,18.8802,939900,0.0,1.0
2000-03-22,29.0,29.19,28.69,29.13,18.7643,798400,0.0,1.0
2000-03-23,29.5,31.38,29.5,31.13,20.0526,947200,0.0,1.0
2000-03-24,31.06,33.0,30.62,32.06,20.6517,1343000,0.0,1.0
2000-03-27,32.31,32.69,30.13,30.5,19.6468,855800,0.0,1.0
2000-03-28,30.0,30.63,29.38,30.19,19.4471,1092600,0.0,1.0
2000-03-29,31.0,31.88,30.75,31.31,20.1685,816500,0.0,1.0
2000-03-30,32.25,35.88,32.25,35.0,22.5455,1344000,0.0,1.0
2000-03-31,35.0,35.0,33.38,33.5,21.5793,1436400,0.0,1.0
2000-04-03,33.69,33.69,32.13,33.06,21.2958,838000,0.0,1.0
2000-04-04,34.25,34.25,32.5,33.13,21.3409,1257400,0.0,1.0
2000-04-05,33.06,33.38,31.88,32.88,21.1799,953300,0.0,1.0
2000-04-06,32.13,32.31,30.81,31.44,20.4391,802500,0.29,1.0
2000-04-07,32.0,32.06,30.69,30.81,20.0295,520800,0.0,1.0
2000-04-10,31.06,31.13,29.0,30.94,20.114,1065200,0.0,1.0
2000-04-11,31.75,31.94,30.69,31.69,20.6016,547200,0.0,1.0
2000-04-12,31.63,33.44,31.63,32.88,21.3752,660500,0.0,1.0
2000-04-13,34.63,35.31,33.63,34.69,22.5519,1298500,0.0,1.0
2000-04-14,33.75,33.75,31.0,31.44,20.4391,608900,0.0,1.0
2000-04-17,31.75,32.31,30.5,31.44,20.4391,503400,0.0,1.0
2000-04-18,31.5,32.06,30.69,31.81,20.6796,461900,0.0,1.0
2000-04-19,32.38,32.75,31.25,32.19,20.9267,731000,0.0,1.0
2000-04-20,32.75,33.56,31.75,33.25,21.6158,475100,0.0,1.0
2000-04-24,32.81,34.63,32.5,34.56,22.4674,645600,0.0,1.0
2000-04-25,34.63,35.13,32.44,33.44,21.7393,937100,0.0,1.0
2000-04-26,34.5,34.56,31.56,31.81,20.6796,761500,0.0,1.0
2000-04-27,31.0,31.63,30.69,31.0,20.1531,864300,0.0,1.0
2000-04-28,31.25,38.5,30.69,34.81,22.6299,1582500,0.0,1.0
2000-05-01,35.81,37.5,34.63,34.94,22.7144,1297100,0.0,1.0
2000-05-02,33.0,35.31,33.0,35.13,22.838,817000,0.0,1.0
2000-05-03,34.06,34.56,32.56,32.94,21.4142,734000,0.0,1.0
2000-05-04,32.94,33.63,32.5,33.13,21.5378,483300,0.0,1.0
2000-05-05,32.63,34.31,32.56,33.5,21.7783,448000,0.0,1.0
2000-05-08,32.5,35.75,32.5,33.38,21.7003,941500,0.0,1.0
2000-05-09,33.38,34.06,33.0,33.44,21.7393,841900,0.0,1.0
2000-05-10,33.38,34.38,33.0,33.75,21.9408,349400,0.0,1.0
2000-05-11,33.63,34.44,33.5,33.88,22.0253,521600,0.0,1.0
2000-05-12,33.63,35.81,33.63,35.25,22.916,534800,0.0,1.0
2000-05-15,35.06,36.5,34.88,36.38,23.6506,833100,0.0,1.0
2000-05-16,36.5,36.5,35.56,35.56,23.1175,447100,0.0,1.0
2000-05-17,35.31,35.31,33.88,35.19,22.877,293600,0.0,1.0
2000-05-18,35.19,36.38,35.13,35.25,22.916,651300,0.0,1.0
2000-05-19,34.25,35.13,33.44,34.0,22.1033,975600,0.0,1.0
2000-05-22,34.5,35.38,34.25,35.25,22.916,540600,0.0,1.0
2000-05-23,35.0,36.88,34.88,36.38,23.6506,571300,0.0,1.0
2000-05-24,37.5,38.25,37.06,37.81,24.5802,1030800,0.0,1.0
2000-05-25,38.0,38.94,37.69,37.81,24.5802,925500,0.0,1.0
2000-05-26,37.94,38.06,37.56,37.69,24.5022,582800,0.0,1.0
2000-05-30,37.63,38.56,37.38,38.38,24.9508,500900,0.0,1.0
2000-05-31,38.38,38.75,38.13,38.63,25.1133,578500,0.0,1.0
2000-06-01,38.5,39.75,38.5,39.63,25.7634,431400,0.0,1.0
2000-06-02,39.69,40.06,38.44,39.0,25.3538,520300,0.0,1.0
2000-06-05,38.75,38.88,37.25,37.94,24.6647,452500,0.0,1.0
2000-06-06,37.75,38.06,37.25,37.58,24.4307,636600,0.0,1.0
2000-06-07,37.56,39.5,37.44,39.44,25.6399,536600,0.0,1.0
2000-06-08,39.44,39.44,37.56,38.38,24.9508,516100,0.0,1.0
2000-06-09,38.38,38.69,37.69,38.06,24.7427,356600,0.0,1.0
2000-06-12,38.31,38.94,38.06,38.06,24.7427,209400,0.0,1.0
2000-06-13,38.13,39.5,37.75,38.94,25.3148,350000,0.0,1.0
2000-06-14,38.5,39.31,38.44,39.06,25.3928,423400,0.0,1.0
2000-06-15,39.25,39.44,37.88,38.0,24.7037,472300,0.0,1.0
2000-06-16,37.56,37.81,36.31,36.44,23.6896,569900,0.0,1.0
2000-06-19,35.94,37.5,35.75,37.19,24.1772,544400,0.0,1.0
2000-06-20,36.88,36.94,35.44,35.56,23.1175,738800,0.0,1.0
2000-06-21,35.88,36.31,35.69,36.25,23.5661,524800,0.0,1.0
2000-06-22,36.5,36.75,35.63,36.56,23.7676,507600,0.0,1.0
2000-06-23,38.0,39.5,37.75,38.44,24.9898,710900,0.0,1.0
2000-06-26,38.44,38.44,37.5,38.06,24.7427,405500,0.0,1.0
2000-06-27,38.06,39.0,37.75,38.25,24.8663,632700,0.0,1.0
2000-06-28,38.25,38.94,36.56,36.72,23.8716,1293600,0.0,1.0
2000-06-29,35.75,36.56,35.75,36.38,23.6506,1116400,0.0,1.0
2000-06-30,36.13,37.31,35.81,36.13,23.4881,986600,0.0,1.0
2000-07-03,36.13,36.94,35.63,36.94,24.0146,241700,0.0,1.0
2000-07-05,36.88,37.94,36.38,37.19,24.1772,408000,0.0,1.0
2000-07-06,37.94,38.19,36.31,38.0,24.8923,574800,0.29,1.0
2000-07-07,38.5,41.38,38.19,41.0,26.8574,1549300,0.0,1.0
2000-07-10,40.5,40.5,37.81,39.88,26.1238,1202400,0.0,1.0
2000-07-11,39.13,41.69,38.63,41.5,27.185,1046200,0.0,1.0
2000-07-12,44.0,44.0,43.0,43.38,28.4165,1540300,0.0,1.0
2000-07-13,43.5,43.5,42.06,42.5,27.84,1476100,0.0,1.0
2000-07-14,42.5,43.81,42.44,43.31,28.3706,677700,0.0,1.0
2000-07-17,42.5,42.63,41.88,42.28,27.6959,825200,0.0,1.0
2000-07-18,42.19,42.69,41.69,42.38,27.7614,827300,0.0,1.0
2000-07-19,41.94,43.63,41.94,42.69,27.9645,580900,0.0,1.0
2000-07-20,42.69,45.31,42.63,45.0,29.4777,1190800,0.0,1.0
2000-07-21,44.25,44.56,42.88,43.31,28.3706,1213400,0.0,1.0
2000-07-24,42.88,45.0,42.88,43.56,28.5344,726800,0.0,1.0
2000-07-25,43.75,45.38,43.63,45.31,29.6808,741400,0.0,1.0
2000-07-26,45.25,45.88,44.19,44.94,29.4384,1535600,0.0,1.0
2000-07-27,46.0,46.25,45.13,45.56,29.8445,871500,0.0,1.0
2000-07-28,45.38,45.69,43.75,44.75,29.3139,606300,0.0,1.0
2000-07-31,44.94,45.56,43.5,43.63,28.5803,595000,0.0,1.0
2000-08-01,43.63,44.63,43.56,44.38,29.0715,557500,0.0,1.0
2000-08-02,43.38,44.69,43.25,44.44,29.1109,441300,0.0,1.0
2000-08-03,44.63,45.25,44.25,44.81,29.3532,374100,0.0,1.0
2000-08-04,45.25,45.88,44.63,45.75,29.969,586700,0.0,1.0
2000-08-07,45.5,46.38,45.06,46.0,30.1327,697500,0.0,1.0
2000-08-08,45.94,46.19,45.44,46.06,30.172,696900,0.0,1.0
2000-08-09,45.5,46.0,44.31,45.81,30.0083,1138700,0.0,1.0
2000-08-10,45.88,45.88,45.13,45.5,29.8052,483900,0.0,1.0
2000-08-11,45.5,48.25,45.5,47.94,31.4036,755200,0.0,1.0
2000-08-14,47.69,48.44,46.69,48.44,31.7311,668500,0.0,1.0
2000-08-15,48.13,48.13,47.31,48.0,31.4429,699600,0.0,1.0
2000-08-16,47.5,48.0,46.69,47.06,30.8271,574400,0.0,1.0
2000-08-17,47.25,49.25,47.06,48.88,32.0193,694500,0.0,1.0
2000-08-18,48.94,48.94,47.81,48.63,31.8556,476500,0.0,1.0
2000-08-21,48.56,49.0,48.0,48.56,31.8097,381300,0.0,1.0
2000-08-22,48.44,49.44,48.13,49.19,32.2224,686000,0.0,1.0
2000-08-23,48.5,49.25,48.5,49.06,32.1372,718600,0.0,1.0
2000-08-24,49.0,49.0,47.75,47.94,31.4036,532100,0.0,1.0
2000-08-25,47.38,47.75,46.44,46.75,30.624,349200,0.0,1.0
2000-08-28,46.19,46.81,46.0,46.5,30.4603,525100,0.0,1.0
2000-08-29,46.5,47.38,45.38,47.31,30.9909,654900,0.0,1.0
2000-08-30,47.38,52.31,47.38,52.13,34.1483,3347300,0.0,1.0
2000-08-31,51.5,54.5,51.25,54.02,35.3863,1635000,0.0,1.0
2000-09-01,54.0,54.0,51.19,51.88,33.9845,1219900,0.0,1.0
2000-09-05,51.25,51.81,50.88,51.0,33.408,1290000,0.0,1.0
2000-09-06,53.5,54.06,52.75,53.0,34.7182,1214900,0.0,1.0
2000-09-07,52.5,52.88,52.0,52.88,34.6396,605900,0.0,1.0
2000-09-08,52.75,55.0,52.56,55.0,36.0283,919600,0.0,1.0
2000-09-11,54.38,56.13,54.38,56.13,36.7685,715600,0.0,1.0
2000-09-12,55.5,56.38,53.5,54.56,35.7401,1266300,0.0,1.0
2000-09-13,55.25,55.63,53.13,53.44,35.0064,700000,0.0,1.0
2000-09-14,53.13,54.81,53.13,53.81,35.2488,464500,0.0,1.0
2000-09-15,52.88,53.5,51.69,52.25,34.2269,856500,0.0,1.0
2000-09-18,51.5,51.5,49.38,49.94,32.7137,938100,0.0,1.0
2000-09-19,50.19,52.5,49.81,51.88,33.9845,715700,0.0,1.0
2000-09-20,51.0,51.38,50.63,51.06,33.4473,543700,0.0,1.0
2000-09-21,51.13,51.25,49.81,50.19,32.8774,565600,0.0,1.0
2000-09-22,50.19,52.63,49.75,52.19,34.1876,625400,0.0,1.0
2000-09-25,52.25,52.69,51.56,51.69,33.86,692600,0.0,1.0
2000-09-26,51.25,51.56,50.19,50.69,33.205,739200,0.0,1.0
2000-09-27,50.69,50.69,49.13,50.06,32.7923,866700,0.0,1.0
2000-09-28,48.5,49.0,47.69,48.88,32.0193,2047400,0.0,1.0
2000-09-29,49.25,49.81,48.0,48.13,31.528,557200,0.0,1.0
2000-10-02,48.5,48.5,45.13,47.88,31.3643,1694300,0.0,1.0
2000-10-03,48.0,48.06,46.5,47.5,31.1153,833000,0.0,1.0
2000-10-04,47.75,48.25,46.5,47.0,30.7878,1138100,0.0,1.0
2000-10-05,46.69,48.5,46.69,48.38,31.8818,2163200,0.29,1.0
2000-10-06,48.13,49.0,45.38,46.63,30.7285,942200,0.0,1.0
2000-10-09,47.38,47.38,45.75,46.13,30.399,411400,0.0,1.0
2000-10-10,46.06,47.0,44.88,45.06,29.6939,486100,0.0,1.0
2000-10-11,45.31,46.44,44.38,46.38,30.5638,817400,0.0,1.0
2000-10-12,46.38,46.44,41.38,42.0,27.6774,1303900,0.0,1.0
2000-10-13,42.56,45.5,42.5,45.19,29.7796,1035100,0.0,1.0
2000-10-16,44.5,45.0,43.75,44.63,29.4106,516000,0.0,1.0
2000-10-17,44.56,44.56,43.06,43.38,28.5868,621600,0.0,1.0
2000-10-18,42.5,42.69,40.88,42.38,27.9278,1178100,0.0,1.0
2000-10-19,42.5,44.44,42.5,44.25,29.1601,474200,0.0,1.0
2000-10-20,44.0,44.88,43.81,44.5,29.3249,582200,0.0,1.0
2000-10-23,44.0,46.0,41.63,44.25,29.1601,1659200,0.0,1.0
2000-10-24,45.0,46.88,45.0,46.31,30.5177,1149600,0.0,1.0
2000-10-25,45.5,48.44,45.44,47.0,30.9724,1215100,0.0,1.0
2000-10-26,47.0,47.25,44.31,45.63,30.0695,595200,0.0,1.0
2000-10-27,45.63,46.75,45.5,46.44,30.6033,550000,0.0,1.0
2000-10-30,46.88,49.88,46.88,48.25,31.7961,768000,0.0,1.0
2000-10-31,48.31,48.75,47.25,48.38,31.8818,578500,0.0,1.0
2000-11-01,48.38,48.69,47.69,48.0,31.6313,434300,0.0,1.0
2000-11-02,47.88,49.06,47.88,48.63,32.0465,720400,0.0,1.0
2000-11-03,48.38,48.38,45.94,46.31,30.5177,681800,0.0,1.0
2000-11-06,46.0,47.25,45.63,46.13,30.399,585900,0.0,1.0
2000-11-07,46.19,48.88,46.19,48.13,31.717,807900,0.0,1.0
2000-11-08,48.0,49.75,47.78,48.19,31.7565,538800,0.0,1.0
2000-11-09,48.25,49.5,47.06,47.88,31.5523,717300,0.0,1.0
2000-11-10,47.88,48.75,47.06,48.31,31.8356,923300,0.0,1.0
2000-11-13,48.31,48.5,46.0,46.38,30.5638,453200,0.0,1.0
2000-11-14,47.38,48.63,46.88,48.31,31.8356,1111100,0.0,1.0
2000-11-15,48.06,48.44,46.44,47.25,31.1371,469500,0.0,1.0
2000-11-16,47.38,48.44,47.13,47.75,31.4666,587600,0.0,1.0
2000-11-17,48.13,48.69,45.94,46.81,30.8471,546700,0.0,1.0
2000-11-20,46.88,46.94,45.63,46.19,30.4386,310100,0.0,1.0
2000-11-21,45.75,45.81,43.63,44.88,29.5753,634800,0.0,1.0
2000-11-22,44.63,44.63,42.38,42.69,28.1321,822400,0.0,1.0
2000-11-24,42.69,44.06,42.69,43.69,28.7911,267200,0.0,1.0
2000-11-27,43.75,44.88,43.75,44.88,29.5753,1632800,0.0,1.0
2000-11-28,44.63,46.56,44.13,45.31,29.8587,1100800,0.0,1.0
2000-11-29,45.5,46.94,45.38,45.69,30.1091,1016200,0.0,1.0
2000-11-30,45.0,46.0,45.0,45.19,29.7796,720600,0.0,1.0
2000-12-01,46.0,47.25,45.94,46.69,30.7681,706400,0.0,1.0
2000-12-04,46.94,47.69,46.31,47.31,31.1766,687500,0.0,1.0
2000-12-05,47.31,50.13,47.31,48.5,31.9608,1193100,0.0,1.0
2000-12-06,48.25,50.94,48.25,48.44,31.9213,1015200,0.0,1.0
2000-12-07,48.69,49.94,47.88,49.06,32.3299,705900,0.0,1.0
2000-12-08,48.81,49.81,48.25,49.19,32.4155,628500,0.0,1.0
2000-12-11,49.69,50.06,49.44,49.94,32.9098,465700,0.0,1.0
2000-12-12,49.81,50.31,48.94,49.5,32.6198,536100,0.0,1.0
2000-12-13,49.0,49.75,47.75,48.19,31.7565,718400,0.0,1.0
2000-12-14,47.0,47.5,46.25,47.19,31.0976,876000,0.0,1.0
2000-12-15,46.0,47.44,45.88,46.81,30.8471,701500,0.0,1.0
2000-12-18,47.38,49.75,47.06,48.63,32.0465,753500,0.0,1.0
2000-12-19,48.13,48.31,46.88,46.94,30.9328,949900,0.0,1.0
2000-12-20,47.44,47.44,45.88,45.94,30.2738,568200,0.0,1.0
2000-12-21,46.19,47.19,46.0,46.25,30.4781,757200,0.0,1.0
2000-12-22,46.44,47.56,46.44,47.19,31.0976,404600,0.0,1.0
2000-12-26,47.19,47.81,47.19,47.44,31.2623,511400,0.0,1.0
2000-12-27,47.56,48.06,47.13,48.0,31.6313,473000,0.0,1.0
2000-12-28,48.44,48.44,47.25,47.75,31.4666,583300,0.0,1.0
2000-12-29,47.69,49.25,47.31,47.31,31.1766,696700,0.0,1.0
