,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,28.5,28.75,28.06,28.5,5.8972,109900,0.0,1.0
2000-01-19,28.44,28.94,28.25,28.75,5.9489,123900,0.0,1.0
2000-01-20,28.62,29.88,28.25,29.88,6.1827,202600,0.0,1.0
2000-01-21,30.06,34.75,30.0,33.44,6.9193,756600,0.0,1.0
2000-01-24,33.44,37.75,33.44,34.62,7.1635,910600,0.0,1.0
2000-01-25,34.62,35.25,30.62,31.25,6.4662,292200,0.0,1.0
2000-01-26,31.25,31.25,30.19,30.56,6.3234,783400,0.0,1.0
2000-01-27,30.19,30.19,29.69,29.88,6.2862,441300,0.5,1.0
2000-01-28,29.88,29.88,29.38,29.69,6.2462,159500,0.0,1.0
2000-01-31,29.5,29.81,29.38,29.81,6.2714,157800,0.0,1.0
2000-02-01,29.81,29.81,29.5,29.81,6.2714,315500,0.0,1.0
2000-02-02,29.81,29.81,28.88,28.88,6.0758,178100,0.0,1.0
2000-02-03,29.12,29.5,29.12,29.5,6.2062,319100,0.0,1.0
2000-02-04,29.5,29.5,28.75,29.06,6.1136,118700,0.0,1.0
2000-02-07,29.0,29.12,28.75,29.06,6.1136,79800,0.0,1.0
2000-02-08,29.19,29.25,28.94,29.12,6.1263,361500,0.0,1.0
2000-02-09,29.06,29.38,29.06,29.31,6.1662,106500,0.0,1.0
2000-02-10,29.19,30.0,29.19,29.75,6.2588,246300,0.0,1.0
2000-02-11,29.69,30.5,29.5,30.19,6.3514,151500,0.0,1.0
2000-02-14,30.31,30.88,30.06,30.44,6.404,111400,0.0,1.0
2000-02-15,30.56,31.44,30.38,31.38,6.6017,171800,0.0,1.0
2000-02-16,31.38,31.38,30.94,31.12,6.547,86300,0.0,1.0
2000-02-17,31.0,31.25,30.75,30.94,6.5092,335400,0.0,1.0
2000-02-18,30.81,30.94,30.06,30.25,6.364,86600,0.0,1.0
2000-02-22,30.19,30.38,29.56,30.0,6.3114,139600,0.0,1.0
2000-02-23,29.94,30.0,29.0,29.5,6.2062,231200,0.0,1.0
2000-02-24,29.5,29.5,28.88,29.06,6.1136,125100,0.0,1.0
2000-02-25,29.06,29.19,28.38,28.44,5.9832,97400,0.0,1.0
2000-02-28,28.44,28.62,28.06,28.38,5.9706,123700,0.0,1.0
2000-02-29,28.38,28.44,28.0,28.12,5.9159,127200,0.0,1.0
2000-03-01,28.25,28.44,27.38,27.88,5.8654,95300,0.0,1.0
2000-03-02,27.88,28.19,27.5,27.5,5.7855,187400,0.0,1.0
2000-03-03,27.62,27.62,27.31,27.44,5.7728,173500,0.0,1.0
2000-03-06,27.5,27.5,27.0,27.31,5.7455,119900,0.0,1.0
2000-03-07,27.25,27.62,27.06,27.62,5.8107,266300,0.0,1.0
2000-03-08,27.62,28.81,27.5,28.56,6.0085,211700,0.0,1.0
2000-03-09,28.31,28.62,28.31,28.56,6.0085,329400,0.0,1.0
2000-03-10,28.44,28.62,27.81,28.31,5.9559,93700,0.0,1.0
2000-03-13,28.25,28.25,27.62,27.81,5.8507,64900,0.0,1.0
2000-03-14,27.81,28.0,27.25,27.56,5.7981,70900,0.0,1.0
2000-03-15,27.62,28.0,27.31,27.94,5.878,125900,0.0,1.0
2000-03-16,27.94,30.94,27.94,30.88,6.4965,238100,0.0,1.0
2000-03-17,29.88,29.94,29.19,29.31,6.1662,117300,0.0,1.0
2000-03-20,29.44,30.06,29.38,29.56,6.2188,73300,0.0,1.0
2000-03-21,29.62,29.94,29.0,29.12,6.1263,102100,0.0,1.0
2000-03-22,29.12,29.25,28.25,28.38,5.9706,73500,0.0,1.0
2000-03-23,28.38,29.19,28.38,29.12,6.1263,84700,0.0,1.0
2000-03-24,29.06,29.12,28.81,28.94,6.0884,63800,0.0,1.0
2000-03-27,28.94,28.94,28.31,28.31,5.9559,104400,0.0,1.0
2000-03-28,28.44,28.44,27.75,27.75,5.838,59300,0.0,1.0
2000-03-29,27.94,29.25,27.94,28.81,6.061,162300,0.0,1.0
2000-03-30,29.06,29.81,29.06,29.31,6.1662,106500,0.0,1.0
2000-03-31,29.44,30.44,29.25,30.44,6.404,195400,0.0,1.0
2000-04-03,30.25,30.25,29.31,29.69,6.2462,100800,0.0,1.0
2000-04-04,29.56,30.06,28.38,29.38,6.181,95500,0.0,1.0
2000-04-05,29.25,30.38,29.25,30.06,6.324,90300,0.0,1.0
2000-04-06,30.06,30.12,29.31,29.5,6.2062,56300,0.0,1.0
2000-04-07,29.44,29.62,28.88,29.25,6.1536,86600,0.0,1.0
2000-04-10,29.19,29.69,29.12,29.5,6.2062,64300,0.0,1.0
2000-04-11,29.5,30.06,29.38,29.75,6.2588,117200,0.0,1.0
2000-04-12,29.62,30.5,29.62,29.94,6.2988,67900,0.0,1.0
2000-04-13,29.69,30.25,29.5,30.19,6.3514,78600,0.0,1.0
2000-04-14,30.12,30.12,29.12,29.19,6.141,102800,0.0,1.0
2000-04-17,29.0,29.88,28.5,29.88,6.2862,106600,0.0,1.0
2000-04-18,29.88,30.38,29.38,30.31,6.3766,117200,0.0,1.0
2000-04-19,30.31,30.31,29.25,30.0,6.3114,79700,0.0,1.0
2000-04-20,29.88,30.25,29.69,30.06,6.324,52000,0.0,1.0
2000-04-24,30.25,30.5,30.0,30.31,6.3766,46500,0.0,1.0
2000-04-25,30.12,30.88,30.06,30.69,6.4566,182700,0.0,1.0
2000-04-26,30.25,31.88,30.19,31.69,6.7721,481900,0.5,1.0
2000-04-27,31.5,31.69,30.75,30.88,6.599,68900,0.0,1.0
2000-04-28,31.0,31.0,29.62,30.0,6.411,76100,0.0,1.0
2000-05-01,30.06,30.25,29.62,29.62,6.3298,51900,0.0,1.0
2000-05-02,29.62,29.62,28.56,28.62,6.1161,114500,0.0,1.0
2000-05-03,28.75,28.88,28.25,28.62,6.1161,75800,0.0,1.0
2000-05-04,28.88,30.19,28.88,29.94,6.3982,174600,0.0,1.0
