,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,127.8,131.8,125.3,129.7,39.436,1901600,0.0,1.0
2000-01-19,130.3,138.8,125.4,136.4,41.4732,1776600,0.0,1.0
2000-01-20,138.3,144.6,133.9,143.1,43.5103,2080300,0.0,1.0
2000-01-21,149.5,149.6,134.9,138.9,42.2333,2503000,0.0,1.0
2000-01-24,144.9,145.1,133.8,134.5,40.8955,1503900,0.0,1.0
2000-01-25,135.9,140.0,130.5,137.9,41.9293,1198400,0.0,1.0
2000-01-26,136.3,139.5,128.8,129.0,39.2232,1786600,0.0,1.0
2000-01-27,131.5,136.7,129.0,129.5,39.3752,1050000,0.0,1.0
2000-01-28,129.4,131.0,120.0,123.9,37.6725,1047900,0.0,1.0
2000-01-31,122.4,125.5,116.9,124.9,37.9765,1457900,0.0,1.0
2000-02-01,124.9,131.8,122.5,131.4,39.9529,1225000,0.0,1.0
2000-02-02,131.4,137.6,129.4,137.3,41.7468,1008400,0.0,1.0
2000-02-03,137.7,141.1,133.7,140.2,42.6286,1085400,0.0,1.0
2000-02-04,140.8,143.6,134.3,137.1,41.686,1114400,0.0,1.0
2000-02-07,138.3,141.9,135.9,139.0,42.2637,999600,0.0,1.0
2000-02-08,140.5,141.4,136.0,138.9,42.2333,939100,0.0,1.0
2000-02-09,136.8,143.1,134.3,136.8,41.5948,956100,0.0,1.0
2000-02-10,136.7,144.8,133.6,143.9,43.7536,880100,0.0,1.0
2000-02-11,142.4,144.3,137.4,140.2,42.6286,736500,0.0,1.0
2000-02-14,141.1,145.0,140.2,144.4,43.9056,737100,0.0,1.0
2000-02-15,144.4,144.4,137.9,143.0,43.4799,777100,0.0,1.0
2000-02-16,143.4,150.0,141.3,142.1,43.2063,1527700,0.0,1.0
2000-02-17,142.5,146.6,136.5,146.0,44.3921,1134100,0.0,1.0
2000-02-18,146.6,147.0,138.0,138.4,42.0813,788800,0.0,1.0
2000-02-22,137.2,141.8,129.3,138.9,42.2333,927700,0.0,1.0
2000-02-23,140.8,147.0,140.3,146.6,44.5745,1355300,0.0,1.0
2000-02-24,147.7,150.0,139.1,143.0,43.4799,1086500,0.0,1.0
2000-02-25,143.1,145.0,136.3,137.5,41.8076,1004800,0.0,1.0
2000-02-28,136.6,140.5,131.3,138.1,41.9901,868000,0.0,1.0
2000-02-29,139.7,156.1,139.7,156.1,47.4631,2686800,0.0,1.0
2000-03-01,157.0,159.1,145.5,150.8,45.8516,1630200,0.0,1.0
2000-03-02,151.5,154.1,148.0,150.3,45.6995,1331100,0.0,1.0
2000-03-03,152.0,158.0,149.3,151.8,46.1556,1712000,0.0,1.0
2000-03-06,152.1,156.4,150.3,151.4,46.034,779900,0.0,1.0
2000-03-07,155.6,159.0,150.3,152.0,46.2164,1106700,0.0,1.0
2000-03-08,154.2,154.2,143.4,146.9,44.6658,902600,0.0,1.0
2000-03-09,146.1,159.6,144.8,159.1,48.3752,1019800,0.0,1.0
2000-03-10,157.0,165.0,156.1,162.4,49.3786,1782700,0.0,1.0
2000-03-13,161.7,161.7,152.5,154.5,46.9766,796200,0.0,1.0
2000-03-14,155.8,157.4,143.0,143.3,43.5712,1005100,0.0,1.0
2000-03-15,143.9,143.9,132.6,133.1,40.4698,1347900,0.0,1.0
2000-03-16,136.9,141.4,126.0,134.1,40.7738,2874900,0.0,1.0
2000-03-17,42.88,49.25,42.5,49.0,44.6962,1774400,0.0,3.0
2000-03-20,48.75,50.94,48.0,48.81,44.5228,2796600,0.0,1.0
2000-03-21,48.75,49.5,45.94,48.5,44.2401,3597800,0.0,1.0
2000-03-22,48.63,52.0,48.56,50.81,46.3472,2973200,0.0,1.0
2000-03-23,52.11,54.44,50.5,52.19,47.606,2643000,0.0,1.0
2000-03-24,54.38,55.88,53.25,54.25,49.485,4955100,0.0,1.0
2000-03-27,55.81,56.13,52.63,53.0,48.3448,1994300,0.0,1.0
2000-03-28,53.5,54.31,49.25,49.88,45.4989,1585800,0.0,1.0
2000-03-29,50.0,50.25,44.75,45.31,41.3303,2994800,0.0,1.0
2000-03-30,44.38,46.94,43.88,45.56,41.5583,4207000,0.0,1.0
2000-03-31,48.56,48.63,43.25,45.06,41.1022,2280400,0.0,1.0
2000-04-03,45.19,45.25,38.5,39.0,35.5745,4652600,0.0,1.0
2000-04-04,39.19,42.0,33.88,40.94,37.3441,7629400,0.0,1.0
2000-04-05,39.63,50.0,39.5,46.25,42.1877,5680500,0.0,1.0
2000-04-06,48.94,51.25,48.0,49.75,45.3803,4979400,0.0,1.0
