,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,15.94,16.0,15.69,15.75,9.647,2423800,0.0,1.0
2000-01-19,15.56,15.69,15.38,15.5,9.4939,1917200,0.0,1.0
2000-01-20,15.38,15.44,15.06,15.13,9.2673,2237667,0.0,1.0
2000-01-21,15.38,15.38,15.0,15.31,9.3775,2116267,0.0,1.0
2000-01-24,15.13,15.38,15.13,15.13,9.2673,2042667,0.0,1.0
2000-01-25,15.38,15.44,15.25,15.38,9.4204,2745200,0.0,1.0
2000-01-26,15.5,15.75,15.5,15.56,9.5306,2216200,0.0,1.0
2000-01-27,15.81,16.13,15.69,16.0,9.8001,2077000,0.0,1.0
2000-01-28,15.56,16.0,15.56,15.69,9.6103,1902067,0.0,1.0
2000-01-31,15.69,16.0,15.63,15.94,9.7634,2394200,0.0,1.0
2000-02-01,15.88,16.06,15.56,15.69,9.6103,3757067,0.0,1.0
2000-02-02,15.69,16.19,15.56,16.0,9.8001,2432667,0.0,1.0
2000-02-03,16.19,16.19,15.88,15.88,9.7266,1822400,0.0,1.0
2000-02-04,16.19,16.25,15.94,16.13,9.8798,1836400,0.0,1.0
2000-02-07,16.25,16.31,16.06,16.19,9.9165,1573200,0.0,1.0
2000-02-08,16.19,16.25,16.0,16.19,9.9165,1706667,0.0,1.0
2000-02-09,16.06,16.19,16.0,16.0,9.8001,2223200,0.0,1.0
2000-02-10,16.06,16.06,15.63,15.75,9.647,2521400,0.0,1.0
2000-02-11,15.75,15.81,15.13,15.44,9.4571,3047600,0.0,1.0
2000-02-14,15.25,15.44,15.13,15.38,9.4204,2526600,0.0,1.0
2000-02-15,15.38,15.56,15.13,15.5,9.4939,3045600,0.0,1.0
2000-02-16,15.31,16.44,15.25,16.13,9.8798,5167067,0.0,1.0
2000-02-17,16.13,16.44,16.0,16.38,10.0329,3207867,0.0,1.0
2000-02-18,16.44,16.63,16.06,16.19,9.9165,3161600,0.0,1.0
2000-02-22,16.25,16.81,16.25,16.44,10.0696,3325000,0.0,1.0
2000-02-23,16.63,17.88,16.5,17.69,10.8353,4293600,0.0,1.0
2000-02-24,17.94,17.94,17.0,17.44,10.6822,3424000,0.0,1.0
2000-02-25,17.25,18.13,17.0,18.13,11.1048,2754200,0.0,1.0
2000-02-28,17.88,18.13,17.38,17.69,10.8353,1683600,0.0,1.0
2000-02-29,17.69,18.44,17.25,18.44,11.2947,1894267,0.0,1.0
2000-03-01,18.25,18.25,17.81,18.25,11.182,1652867,0.006,1.0
2000-03-02,17.94,18.0,17.44,17.81,10.9124,2204667,0.0,1.0
2000-03-03,18.0,18.19,17.81,18.06,11.0655,2041067,0.0,1.0
2000-03-06,17.63,17.69,17.31,17.56,10.7592,1201800,0.0,1.0
2000-03-07,17.13,17.31,15.94,16.5,10.1097,2133267,0.0,1.0
2000-03-08,16.25,17.88,16.13,17.63,10.8021,1977467,0.0,1.0
2000-03-09,17.94,18.56,17.75,18.19,11.1452,2777067,0.0,1.0
2000-03-10,18.25,18.72,18.19,18.69,11.4516,2042400,0.0,1.0
2000-03-13,18.25,18.94,17.88,18.94,11.6047,1834067,0.0,1.0
2000-03-14,19.0,19.44,18.69,18.94,11.6047,1899600,0.0,1.0
2000-03-15,18.94,19.88,18.88,19.5,11.9478,3045400,0.0,1.0
2000-03-16,19.5,20.0,19.19,19.88,12.1807,2179267,0.0,1.0
2000-03-17,19.88,20.0,19.0,20.0,12.2542,2271667,0.0,1.0
2000-03-20,19.06,20.0,19.06,19.88,12.1807,1780800,0.0,1.0
2000-03-21,19.94,20.25,19.75,20.19,12.3706,1462800,0.0,1.0
2000-03-22,20.19,20.19,19.5,19.56,11.9846,1287667,0.0,1.0
2000-03-23,19.38,20.38,19.31,20.31,12.4441,1696800,0.0,1.0
2000-03-24,20.13,20.25,19.56,20.0,12.2542,1495200,0.0,1.0
2000-03-27,19.81,20.13,19.5,19.63,12.0275,1379467,0.0,1.0
2000-03-28,20.0,20.44,19.88,20.44,12.5238,1699000,0.0,1.0
2000-03-29,20.5,20.88,19.88,20.13,12.3339,1343400,0.0,1.0
2000-03-30,20.13,20.19,19.38,19.94,12.2174,1343800,0.0,1.0
2000-03-31,20.0,20.81,19.5,20.81,12.7505,2296200,0.0,1.0
2000-04-03,20.63,20.75,20.25,20.38,12.487,1707800,0.0,1.0
2000-04-04,20.75,21.0,20.0,20.38,12.487,2305267,0.0,1.0
2000-04-05,20.88,21.5,20.75,21.25,13.0201,2471600,0.0,1.0
2000-04-06,21.44,21.69,21.19,21.31,13.0569,2095867,0.0,1.0
2000-04-07,21.5,21.81,21.44,21.56,13.21,1392200,0.0,1.0
2000-04-10,21.69,21.88,21.63,21.88,13.4061,1908800,0.0,1.0
2000-04-11,21.94,22.38,21.81,22.31,13.6696,2183800,0.0,1.0
2000-04-12,22.25,22.44,21.25,21.44,13.1365,2265067,0.0,1.0
2000-04-13,21.63,21.69,20.75,21.38,13.0997,2144400,0.0,1.0
2000-04-14,21.0,21.13,19.69,20.81,12.7505,2291467,0.0,1.0
2000-04-17,19.94,20.25,19.0,19.13,11.7211,2172667,0.0,1.0
2000-04-18,19.5,20.0,19.31,19.81,12.1378,1378400,0.0,1.0
2000-04-19,19.88,21.56,19.88,21.19,12.9833,2286867,0.0,1.0
2000-04-20,21.31,21.75,21.13,21.31,13.0569,1794600,0.0,1.0
2000-04-24,21.31,21.38,20.06,20.75,12.7137,2289267,0.0,1.0
2000-04-25,21.06,21.19,20.75,20.94,12.8301,1476067,0.0,1.0
2000-04-26,20.75,21.0,20.31,20.88,12.7934,1715000,0.0,1.0
2000-04-27,20.44,21.25,20.44,21.0,12.8669,1452200,0.0,1.0
2000-04-28,21.25,21.69,21.0,21.69,13.2897,1154800,0.0,1.0
2000-05-01,21.69,22.0,21.44,21.88,13.4061,1536400,0.0,1.0
2000-05-02,21.81,22.25,21.5,21.75,13.3264,1584200,0.0,1.0
2000-05-03,21.5,21.63,21.38,21.56,13.21,829267,0.0,1.0
2000-05-04,21.88,22.0,21.13,21.31,13.0569,1003467,0.0,1.0
2000-05-05,21.19,21.81,21.13,21.44,13.1365,1025867,0.0,1.0
2000-05-08,21.5,22.5,21.38,22.44,13.7492,1620800,0.0,1.0
2000-05-09,22.56,22.75,22.0,22.0,13.4796,1968467,0.0,1.0
2000-05-10,22.0,22.63,21.94,22.06,13.5164,1254267,0.0,1.0
