,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2004-12-15,41.9,49.45,41.65,46.56,31.6987,26246300,0.0,1.0
2004-12-16,48.1,50.6,47.9,49.11,33.4348,7778200,0.0,1.0
2004-12-17,49.11,53.25,48.11,53.0,36.0832,4755800,0.0,1.0
2004-12-20,52.7,53.98,48.33,48.6,33.0876,6098000,0.0,1.0
2004-12-21,48.6,49.18,45.6,47.38,32.257,3209500,0.0,1.0
2004-12-22,47.2,49.55,46.9,48.51,33.0263,1837400,0.0,1.0
2004-12-23,48.61,49.35,48.3,48.5,33.0195,633500,0.0,1.0
2004-12-27,48.51,49.01,46.91,47.65,32.4408,800700,0.0,1.0
2004-12-28,47.45,48.3,46.5,48.1,32.7472,1169600,0.0,1.0
2004-12-29,48.1,48.2,47.55,47.89,32.6042,566500,0.0,1.0
2004-12-30,48.05,48.65,47.49,47.85,32.577,758300,0.0,1.0
2004-12-31,47.9,48.1,47.45,48.0,32.6791,645400,0.0,1.0
2005-01-03,49.35,49.4,47.55,48.51,33.0263,1055900,0.0,1.0
2005-01-04,48.51,49.6,48.3,49.46,33.6731,1660100,0.0,1.0
2005-01-05,49.71,49.9,48.79,48.85,33.2578,697400,0.0,1.0
2005-01-06,48.75,48.79,47.5,47.99,32.6723,1015300,0.0,1.0
2005-01-07,47.85,47.86,45.31,45.55,31.0111,2178900,0.0,1.0
2005-01-10,45.05,46.3,44.75,45.13,30.7252,1247300,0.0,1.0
2005-01-11,44.5,45.83,43.27,44.72,30.446,1503300,0.0,1.0
2005-01-12,44.91,45.2,42.9,43.1,29.3431,1658100,0.0,1.0
2005-01-13,42.65,43.0,41.41,42.5,28.9346,2414800,0.0,1.0
2005-01-14,42.79,43.59,42.15,43.4,29.5474,992800,0.0,1.0
2005-01-18,43.35,45.21,42.8,45.21,30.7796,879800,0.0,1.0
2005-01-19,45.29,46.17,44.15,44.35,30.1941,864600,0.0,1.0
2005-01-20,44.35,44.7,43.56,43.76,29.7925,453600,0.0,1.0
2005-01-21,43.3,43.49,41.9,43.05,29.3091,1626200,0.0,1.0
2005-01-24,44.63,44.76,41.5,42.05,28.6283,1875100,0.0,1.0
2005-01-25,42.3,43.1,42.05,42.1,28.6623,613900,0.0,1.0
2005-01-26,42.25,42.75,42.02,42.06,28.6351,365500,0.0,1.0
2005-01-27,42.18,42.6,41.86,42.05,28.6283,646000,0.0,1.0
2005-01-28,42.1,42.3,41.75,42.2,28.7304,400200,0.0,1.0
2005-01-31,42.8,43.59,42.53,43.4,29.5474,621800,0.0,1.0
2005-02-01,44.0,44.5,43.1,43.24,29.4384,780400,0.0,1.0
2005-02-02,43.75,45.5,43.36,45.15,30.7388,899300,0.0,1.0
2005-02-03,45.4,45.89,44.55,45.75,31.1473,731000,0.0,1.0
2005-02-04,46.15,48.0,45.9,47.62,32.4204,1227400,0.0,1.0
2005-02-07,48.05,49.49,48.0,48.95,33.3259,1102400,0.0,1.0
2005-02-08,48.96,49.1,46.8,47.01,32.0051,773600,0.0,1.0
2005-02-09,47.51,47.7,46.58,47.31,32.2093,368600,0.0,1.0
2005-02-10,48.25,48.5,47.05,47.55,32.3727,549600,0.0,1.0
2005-02-11,47.8,47.95,46.83,47.05,32.0323,725700,0.0,1.0
2005-02-14,47.35,48.03,46.86,48.01,32.6859,287100,0.0,1.0
2005-02-15,48.5,51.4,48.18,50.79,34.5786,2193400,0.0,1.0
