,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.56,23.0,22.56,23.0,7.3157,33900,0.0,1.0
2000-01-19,23.13,23.38,23.0,23.25,7.3952,56800,0.0,1.0
2000-01-20,22.5,22.75,22.25,22.25,7.2616,64300,0.58,1.0
2000-01-21,22.38,22.44,22.13,22.44,7.3236,10600,0.0,1.0
2000-01-24,22.25,22.38,22.06,22.13,7.2225,24100,0.0,1.0
2000-01-25,22.06,22.38,22.06,22.25,7.2616,15100,0.0,1.0
2000-01-26,22.13,22.44,22.06,22.06,7.1996,17200,0.0,1.0
2000-01-27,22.25,22.25,22.0,22.06,7.1996,24000,0.0,1.0
2000-01-28,22.19,22.38,22.0,22.06,7.1996,20400,0.0,1.0
2000-01-31,22.25,22.38,22.13,22.13,7.2225,13800,0.0,1.0
2000-02-01,22.38,22.38,22.0,22.19,7.2421,47700,0.0,1.0
2000-02-02,22.25,22.25,22.0,22.13,7.2225,26400,0.0,1.0
2000-02-03,22.19,22.31,22.0,22.19,7.2421,26400,0.0,1.0
2000-02-04,22.06,22.19,22.0,22.06,7.1996,28600,0.0,1.0
2000-02-07,22.06,22.31,22.06,22.25,7.2616,27100,0.0,1.0
2000-02-08,22.38,22.44,22.13,22.25,7.2616,22400,0.0,1.0
2000-02-09,22.25,22.25,22.13,22.25,7.2616,20500,0.0,1.0
2000-02-10,22.19,22.44,22.19,22.31,7.2812,21300,0.0,1.0
2000-02-11,22.31,22.38,22.25,22.38,7.3041,24900,0.0,1.0
2000-02-14,22.25,22.38,22.19,22.31,7.2812,24500,0.0,1.0
2000-02-15,22.31,22.5,22.25,22.5,7.3432,76600,0.0,1.0
2000-02-16,22.5,22.56,22.06,22.38,7.3041,85300,0.0,1.0
2000-02-17,22.44,22.44,22.38,22.44,7.3236,17000,0.0,1.0
2000-02-18,22.44,22.44,22.38,22.38,7.3041,20100,0.0,1.0
2000-02-22,22.19,22.25,22.06,22.19,7.2421,21200,0.0,1.0
2000-02-23,22.19,22.38,22.13,22.38,7.3041,10800,0.0,1.0
2000-02-24,22.31,22.38,22.25,22.25,7.2616,42500,0.0,1.0
2000-02-25,22.31,22.38,22.0,22.19,7.2421,30900,0.0,1.0
2000-02-28,22.31,22.44,22.25,22.38,7.3041,18200,0.0,1.0
2000-02-29,22.31,22.88,22.31,22.81,7.4444,39400,0.0,1.0
2000-03-01,22.5,22.63,22.25,22.5,7.3432,20400,0.0,1.0
2000-03-02,22.38,22.88,22.31,22.5,7.3432,44100,0.0,1.0
2000-03-03,22.5,22.63,22.38,22.5,7.3432,27600,0.0,1.0
2000-03-06,22.5,22.63,22.5,22.63,7.3857,42500,0.0,1.0
2000-03-07,22.5,22.63,22.0,22.13,7.2225,98400,0.0,1.0
2000-03-08,22.25,22.5,22.13,22.5,7.3432,20800,0.0,1.0
2000-03-09,22.25,22.38,22.19,22.25,7.2616,20600,0.0,1.0
2000-03-10,22.13,22.25,22.13,22.25,7.2616,27400,0.0,1.0
2000-03-13,22.13,22.25,22.0,22.19,7.2421,15200,0.0,1.0
2000-03-14,22.19,22.44,22.13,22.44,7.3236,25200,0.0,1.0
2000-03-15,22.38,22.44,22.25,22.25,7.2616,18500,0.0,1.0
2000-03-16,22.38,22.75,22.38,22.5,7.3432,42600,0.0,1.0
2000-03-17,22.38,22.63,22.38,22.63,7.3857,20200,0.0,1.0
2000-03-20,22.44,22.5,22.31,22.44,7.3236,18200,0.0,1.0
2000-03-21,22.31,22.56,22.25,22.38,7.3041,32800,0.0,1.0
2000-03-22,22.31,22.38,22.25,22.38,7.3041,12000,0.0,1.0
2000-03-23,22.38,22.5,22.38,22.38,7.3041,63000,0.0,1.0
2000-03-24,22.5,22.56,22.38,22.56,7.3628,77100,0.0,1.0
2000-03-27,22.5,22.5,22.38,22.44,7.3236,62100,0.0,1.0
2000-03-28,22.44,22.56,22.38,22.5,7.3432,38000,0.0,1.0
2000-03-29,22.5,22.56,22.44,22.5,7.3432,95400,0.0,1.0
2000-03-30,22.5,22.94,22.5,22.94,7.4868,58600,0.0,1.0
2000-03-31,22.75,22.75,22.5,22.75,7.4248,79100,0.0,1.0
2000-04-03,22.63,22.63,22.5,22.63,7.3857,28500,0.0,1.0
2000-04-04,22.44,22.63,22.38,22.63,7.3857,13500,0.0,1.0
2000-04-05,22.56,22.81,22.5,22.75,7.4248,28600,0.0,1.0
2000-04-06,22.63,22.81,22.56,22.81,7.4444,25400,0.0,1.0
2000-04-07,22.69,23.0,22.63,23.0,7.5064,7100,0.0,1.0
2000-04-10,22.75,23.0,22.75,23.0,7.5064,24800,0.0,1.0
2000-04-11,22.88,23.25,22.88,23.25,7.588,39200,0.0,1.0
2000-04-12,22.94,23.94,22.94,23.94,7.8132,37300,0.0,1.0
2000-04-13,23.69,24.13,23.56,24.13,7.8752,8400,0.0,1.0
2000-04-14,23.94,24.5,23.94,24.5,7.996,62500,0.0,1.0
2000-04-17,24.06,24.5,23.75,24.5,7.996,40100,0.0,1.0
2000-04-18,23.5,23.5,23.25,23.31,7.7969,24400,0.58,1.0
2000-04-19,23.44,23.56,23.44,23.56,7.8805,11200,0.0,1.0
2000-04-20,23.56,23.75,23.44,23.75,7.944,16700,0.0,1.0
2000-04-24,23.63,23.63,23.38,23.5,7.8604,23600,0.0,1.0
2000-04-25,23.56,23.56,23.25,23.44,7.8404,18400,0.0,1.0
2000-04-26,23.44,23.56,23.25,23.5,7.8604,28100,0.0,1.0
2000-04-27,23.63,23.69,23.38,23.69,7.924,13300,0.0,1.0
2000-04-28,23.81,23.88,23.75,23.88,7.9875,67700,0.0,1.0
2000-05-01,24.0,24.0,23.63,24.0,8.0277,127200,0.0,1.0
2000-05-02,24.0,24.06,23.88,24.0,8.0277,9100,0.0,1.0
2000-05-03,24.0,24.0,23.56,23.56,7.8805,21400,0.0,1.0
2000-05-04,23.56,23.63,23.5,23.5,7.8604,5800,0.0,1.0
2000-05-05,23.44,23.81,23.44,23.75,7.944,11700,0.0,1.0
2000-05-08,23.69,23.88,23.56,23.56,7.8805,10100,0.0,1.0
2000-05-09,23.5,23.5,23.25,23.25,7.7768,53200,0.0,1.0
2000-05-10,23.19,23.5,23.13,23.25,7.7768,26800,0.0,1.0
2000-05-11,23.31,23.38,23.13,23.31,7.7969,83200,0.0,1.0
2000-05-12,23.19,23.5,23.06,23.44,7.8404,14700,0.0,1.0
2000-05-15,23.56,23.94,23.56,23.94,8.0076,10100,0.0,1.0
2000-05-16,23.94,24.25,23.75,24.13,8.0712,49300,0.0,1.0
2000-05-17,24.13,24.44,24.13,24.19,8.0912,43300,0.0,1.0
2000-05-18,24.13,24.25,23.88,24.0,8.0277,17200,0.0,1.0
2000-05-19,23.94,24.19,23.94,24.05,8.0444,20700,0.0,1.0
2000-05-22,24.0,24.13,23.88,24.13,8.0712,29400,0.0,1.0
2000-05-23,24.13,24.13,23.94,23.94,8.0076,25000,0.0,1.0
2000-05-24,23.81,23.88,23.38,23.44,7.8404,10900,0.0,1.0
2000-05-25,23.25,23.38,23.25,23.25,7.7768,44900,0.0,1.0
2000-05-26,23.19,23.38,23.19,23.25,7.7768,35900,0.0,1.0
2000-05-30,23.19,23.5,23.19,23.5,7.8604,49600,0.0,1.0
2000-05-31,23.5,23.5,23.38,23.5,7.8604,39100,0.0,1.0
2000-06-01,23.5,23.63,23.44,23.5,7.8604,19700,0.0,1.0
2000-06-02,23.63,23.63,23.44,23.56,7.8805,15500,0.0,1.0
2000-06-05,23.5,23.69,23.5,23.63,7.9039,13900,0.0,1.0
2000-06-06,23.63,23.69,23.5,23.56,7.8805,9200,0.0,1.0
2000-06-07,23.63,23.69,23.56,23.63,7.9039,7000,0.0,1.0
2000-06-08,23.63,23.69,23.63,23.69,7.924,10900,0.0,1.0
2000-06-09,23.75,24.25,23.63,24.0,8.0277,19500,0.0,1.0
2000-06-12,24.13,24.13,23.56,23.56,7.8805,19700,0.0,1.0
2000-06-13,23.38,23.44,23.0,23.13,7.7367,79400,0.0,1.0
2000-06-14,23.0,23.69,23.0,23.5,7.8604,34500,0.0,1.0
2000-06-15,23.5,23.63,23.13,23.63,7.9039,19100,0.0,1.0
2000-06-16,23.69,23.69,23.25,23.31,7.7969,33000,0.0,1.0
2000-06-19,23.31,23.56,23.31,23.56,7.8805,27100,0.0,1.0
2000-06-20,23.56,23.63,23.44,23.5,7.8604,16500,0.0,1.0
2000-06-21,23.69,23.88,23.63,23.75,7.944,15400,0.0,1.0
2000-06-22,23.75,23.88,23.5,23.56,7.8805,38000,0.0,1.0
2000-06-23,23.63,23.63,23.5,23.5,7.8604,47300,0.0,1.0
2000-06-26,23.5,24.0,23.5,24.0,8.0277,47700,0.0,1.0
2000-06-27,23.94,24.25,23.94,24.13,8.0712,38300,0.0,1.0
2000-06-28,24.13,24.19,24.0,24.13,8.0712,17800,0.0,1.0
2000-06-29,24.0,24.25,24.0,24.13,8.0712,11700,0.0,1.0
2000-06-30,24.06,24.13,23.94,24.02,8.0344,34700,0.0,1.0
2000-07-03,24.0,24.31,24.0,24.31,8.1314,8700,0.0,1.0
2000-07-05,24.31,24.31,24.06,24.06,8.0477,16200,0.0,1.0
2000-07-06,24.13,24.25,24.06,24.13,8.0712,34600,0.0,1.0
2000-07-07,24.25,24.25,24.06,24.13,8.0712,15400,0.0,1.0
2000-07-10,24.19,24.25,24.06,24.13,8.0712,26100,0.0,1.0
2000-07-11,24.19,24.25,24.06,24.19,8.0912,17300,0.0,1.0
2000-07-12,24.25,24.31,24.13,24.25,8.1113,21300,0.0,1.0
2000-07-13,24.31,24.31,24.19,24.19,8.0912,16400,0.0,1.0
2000-07-14,24.13,24.31,24.13,24.31,8.1314,9800,0.0,1.0
2000-07-17,24.19,24.31,24.19,24.19,8.0912,19500,0.0,1.0
2000-07-18,24.13,24.38,23.81,23.94,8.0076,79000,0.0,1.0
2000-07-19,24.0,24.13,23.75,24.13,8.0712,130600,0.0,1.0
2000-07-20,23.31,23.69,23.31,23.63,8.0979,11800,0.58,1.0
2000-07-21,23.69,23.69,23.5,23.5,8.0534,5600,0.0,1.0
2000-07-24,23.38,23.53,23.25,23.38,8.0122,30400,0.0,1.0
2000-07-25,23.31,23.5,23.0,23.5,8.0534,18400,0.0,1.0
2000-07-26,23.56,23.63,23.38,23.63,8.0979,10000,0.0,1.0
2000-07-27,23.63,23.63,23.44,23.5,8.0534,12200,0.0,1.0
2000-07-28,23.63,23.63,23.5,23.5,8.0534,9900,0.0,1.0
2000-07-31,23.69,23.69,23.5,23.69,8.1185,26200,0.0,1.0
2000-08-01,23.75,24.0,23.75,23.88,8.1836,41300,0.0,1.0
2000-08-02,23.94,24.13,23.88,24.06,8.2453,14200,0.0,1.0
2000-08-03,24.13,24.19,23.88,24.0,8.2247,15200,0.0,1.0
2000-08-04,23.88,24.06,23.88,23.94,8.2041,11800,0.0,1.0
2000-08-07,23.88,23.94,23.75,23.88,8.1836,9100,0.0,1.0
2000-08-08,23.94,24.19,23.88,24.19,8.2898,13900,0.0,1.0
2000-08-09,24.19,24.19,24.0,24.13,8.2693,15200,0.0,1.0
2000-08-10,24.0,24.0,23.75,23.75,8.139,11800,0.0,1.0
2000-08-11,23.75,24.13,23.63,24.06,8.2453,9700,0.0,1.0
2000-08-14,24.13,24.31,24.13,24.25,8.3104,21700,0.0,1.0
2000-08-15,24.25,24.5,24.25,24.31,8.3309,31800,0.0,1.0
2000-08-16,24.31,24.56,24.31,24.5,8.3961,7400,0.0,1.0
2000-08-17,24.38,24.38,24.25,24.38,8.3549,18800,0.0,1.0
2000-08-18,24.44,24.56,24.38,24.38,8.3549,13600,0.0,1.0
2000-08-21,24.31,24.56,24.31,24.38,8.3549,17900,0.0,1.0
2000-08-22,24.38,24.88,24.38,24.63,8.4406,16400,0.0,1.0
2000-08-23,24.5,24.56,24.38,24.38,8.3549,12000,0.0,1.0
2000-08-24,24.38,24.5,24.31,24.38,8.3549,8100,0.0,1.0
2000-08-25,24.44,24.44,24.31,24.38,8.3549,23100,0.0,1.0
2000-08-28,24.31,24.38,24.0,24.0,8.2247,39600,0.0,1.0
2000-08-29,24.13,24.13,23.94,23.94,8.2041,5300,0.0,1.0
2000-08-30,24.0,24.13,23.88,24.0,8.2247,7700,0.0,1.0
2000-08-31,23.94,24.19,23.88,24.19,8.2898,7300,0.0,1.0
2000-09-01,24.19,24.38,24.19,24.19,8.2898,6600,0.0,1.0
2000-09-05,24.25,24.25,23.94,24.0,8.2247,13900,0.0,1.0
2000-09-06,24.13,24.13,23.75,23.75,8.139,9200,0.0,1.0
2000-09-07,23.75,24.0,23.63,23.69,8.1185,17100,0.0,1.0
2000-09-08,23.63,23.81,23.56,23.63,8.0979,7000,0.0,1.0
2000-09-11,23.69,24.0,23.56,23.75,8.139,16600,0.0,1.0
2000-09-12,23.75,24.0,23.75,24.0,8.2247,13200,0.0,1.0
2000-09-13,23.88,24.13,23.88,24.06,8.2453,43400,0.0,1.0
2000-09-14,24.0,24.13,24.0,24.0,8.2247,19200,0.0,1.0
2000-09-15,23.94,24.06,23.94,24.0,8.2247,25700,0.0,1.0
2000-09-18,24.13,24.19,23.75,23.75,8.139,32900,0.0,1.0
2000-09-19,23.75,24.0,23.75,23.88,8.1836,13800,0.0,1.0
2000-09-20,23.81,23.94,23.75,23.88,8.1836,20800,0.0,1.0
2000-09-21,23.88,24.0,23.75,23.75,8.139,11100,0.0,1.0
2000-09-22,23.75,24.0,23.75,23.88,8.1836,11400,0.0,1.0
2000-09-25,23.88,23.88,23.75,23.75,8.139,13900,0.0,1.0
2000-09-26,23.81,23.81,23.75,23.75,8.139,4100,0.0,1.0
2000-09-27,23.81,24.0,23.81,23.94,8.2041,38900,0.0,1.0
2000-09-28,24.0,24.38,23.94,24.31,8.3309,18200,0.0,1.0
2000-09-29,24.25,24.25,23.94,23.94,8.2041,16700,0.0,1.0
2000-10-02,23.88,23.88,23.75,23.75,8.139,47700,0.0,1.0
2000-10-03,23.75,23.75,23.63,23.63,8.0979,61000,0.0,1.0
2000-10-04,23.63,23.69,23.5,23.56,8.0739,22100,0.0,1.0
2000-10-05,23.44,23.56,23.38,23.44,8.0328,10300,0.0,1.0
2000-10-06,23.44,23.44,23.13,23.25,7.9677,12900,0.0,1.0
2000-10-09,23.38,23.44,23.25,23.25,7.9677,12200,0.0,1.0
2000-10-10,23.25,23.56,23.19,23.38,8.0122,16700,0.0,1.0
2000-10-11,23.25,23.63,23.06,23.06,7.9026,30200,0.0,1.0
2000-10-12,23.06,23.19,22.75,22.75,7.7963,20300,0.0,1.0
2000-10-13,22.75,23.13,22.75,22.75,7.7963,44000,0.0,1.0
2000-10-16,22.88,22.94,22.75,22.88,7.8409,13700,0.0,1.0
2000-10-17,23.0,23.0,22.75,22.75,7.7963,84800,0.0,1.0
2000-10-18,22.69,22.75,22.44,22.44,7.6901,40000,0.0,1.0
2000-10-19,22.5,22.56,22.25,22.38,7.6695,31900,0.0,1.0
2000-10-20,22.0,22.31,22.0,22.06,7.7586,54600,0.58,1.0
2000-10-23,22.0,22.13,21.94,22.0,7.7375,42200,0.0,1.0
2000-10-24,21.88,22.06,21.88,22.0,7.7375,21800,0.0,1.0
2000-10-25,22.0,22.13,21.75,21.75,7.6496,114900,0.0,1.0
2000-10-26,21.81,22.13,21.81,21.94,7.7164,12300,0.0,1.0
2000-10-27,22.13,22.13,21.94,22.06,7.7586,8200,0.0,1.0
2000-10-30,22.19,22.25,21.94,22.06,7.7586,11900,0.0,1.0
2000-10-31,22.06,22.06,21.81,22.0,7.7375,37500,0.0,1.0
2000-11-01,22.0,22.25,21.88,21.88,7.6953,35000,0.0,1.0
2000-11-02,21.88,21.94,21.75,21.88,7.6953,16400,0.0,1.0
2000-11-03,21.94,22.25,21.75,22.0,7.7375,23700,0.0,1.0
2000-11-06,22.0,22.0,21.63,21.63,7.6074,13300,0.0,1.0
2000-11-07,21.63,21.94,21.63,21.81,7.6707,8200,0.0,1.0
2000-11-08,21.75,21.94,21.69,21.69,7.6285,16000,0.0,1.0
2000-11-09,21.63,21.75,21.63,21.63,7.6074,10400,0.0,1.0
2000-11-10,21.75,21.75,21.63,21.63,7.6074,11700,0.0,1.0
2000-11-13,21.63,21.94,21.63,21.94,7.7164,13500,0.0,1.0
2000-11-14,21.75,21.75,21.63,21.69,7.6285,10300,0.0,1.0
2000-11-15,21.63,21.94,21.63,21.88,7.6953,21400,0.0,1.0
2000-11-16,21.88,22.31,21.75,22.0,7.7375,29600,0.0,1.0
2000-11-17,22.13,22.13,21.69,21.75,7.6496,10500,0.0,1.0
2000-11-20,21.75,21.81,21.63,21.69,7.6285,5600,0.0,1.0
2000-11-21,21.75,21.88,21.63,21.75,7.6496,18700,0.0,1.0
2000-11-22,21.63,21.81,21.63,21.75,7.6496,12900,0.0,1.0
2000-11-24,21.69,21.81,21.69,21.81,7.6707,6000,0.0,1.0
2000-11-27,21.63,21.81,21.63,21.63,7.6074,17700,0.0,1.0
2000-11-28,21.75,21.75,21.38,21.38,7.5195,23100,0.0,1.0
2000-11-29,21.38,21.5,21.31,21.31,7.4949,10800,0.0,1.0
2000-11-30,21.38,21.56,21.25,21.25,7.4738,37000,0.0,1.0
2000-12-01,21.38,21.56,21.31,21.5,7.5617,8900,0.0,1.0
2000-12-04,21.5,21.69,21.38,21.44,7.5406,14700,0.0,1.0
2000-12-05,21.38,21.44,21.25,21.31,7.4949,29500,0.0,1.0
2000-12-06,21.38,21.75,21.38,21.38,7.5195,34700,0.0,1.0
2000-12-07,21.38,21.56,21.38,21.44,7.5406,21000,0.0,1.0
2000-12-08,21.44,21.81,21.44,21.81,7.6707,24000,0.0,1.0
2000-12-11,21.88,22.0,21.81,22.0,7.7375,28600,0.0,1.0
2000-12-12,21.94,22.13,21.88,21.88,7.6953,25700,0.0,1.0
2000-12-13,21.88,21.94,21.56,21.63,7.6074,13300,0.0,1.0
2000-12-14,21.81,21.88,21.5,21.5,7.5617,18500,0.0,1.0
2000-12-15,21.5,21.56,21.38,21.56,7.5828,33600,0.0,1.0
2000-12-18,21.44,21.88,21.44,21.88,7.6953,14800,0.0,1.0
2000-12-19,21.63,22.25,21.63,22.0,7.7375,50200,0.0,1.0
2000-12-20,22.13,22.31,22.0,22.31,7.8466,23500,0.0,1.0
2000-12-21,22.5,22.69,22.44,22.44,7.8923,83900,0.0,1.0
2000-12-22,22.56,22.63,22.5,22.56,7.9345,19600,0.0,1.0
2000-12-26,22.56,22.69,22.44,22.62,7.9556,7600,0.0,1.0
2000-12-27,22.63,22.69,22.5,22.69,7.9802,34900,0.0,1.0
2000-12-28,22.56,22.69,22.56,22.63,7.9591,35700,0.0,1.0
2000-12-29,22.63,22.63,22.5,22.56,7.9345,80100,0.0,1.0
2001-01-02,22.63,22.75,22.5,22.56,7.9345,126200,0.0,1.0
2001-01-03,22.56,22.88,22.56,22.88,8.047,36200,0.0,1.0
2001-01-04,22.75,23.0,22.63,23.0,8.0892,31700,0.0,1.0
2001-01-05,23.06,23.06,22.63,22.75,8.0013,25600,0.0,1.0
2001-01-08,22.88,22.94,22.56,22.63,7.9591,33000,0.0,1.0
2001-01-09,22.63,22.75,22.5,22.63,7.9591,39200,0.0,1.0
2001-01-10,22.56,23.0,22.56,22.81,8.0224,36700,0.0,1.0
2001-01-11,23.0,23.19,22.94,23.0,8.0892,37700,0.0,1.0
2001-01-12,23.13,23.19,22.94,22.94,8.0681,21300,0.0,1.0
2001-01-16,23.0,23.75,23.0,23.13,8.135,38800,0.0,1.0
2001-01-17,23.31,23.88,22.94,22.94,8.0681,94300,0.0,1.0
2001-01-18,23.0,23.25,22.94,23.13,8.135,38600,0.0,1.0
2001-01-19,23.25,23.44,23.13,23.31,8.1983,58000,0.0,1.0
2001-01-22,22.69,23.13,22.63,23.0,8.295,34700,0.585,1.0
2001-01-23,22.94,23.19,22.94,23.06,8.3166,42500,0.0,1.0
2001-01-24,23.19,23.25,22.88,22.94,8.2734,43200,0.0,1.0
2001-01-25,22.88,23.0,22.81,22.94,8.2734,59000,0.0,1.0
2001-01-26,23.0,23.0,22.75,22.94,8.2734,75400,0.0,1.0
2001-01-29,23.0,23.0,22.78,22.78,8.2156,34700,0.0,1.0
2001-01-30,22.85,23.25,22.85,22.86,8.2445,51400,0.0,1.0
2001-01-31,22.99,22.99,22.8,22.8,8.2229,47700,0.0,1.0
2001-02-01,22.95,22.99,22.7,22.89,8.2553,39200,0.0,1.0
2001-02-02,22.89,22.89,22.7,22.7,8.1868,35100,0.0,1.0
2001-02-05,22.75,22.78,22.63,22.7,8.1868,22300,0.0,1.0
2001-02-06,22.65,22.9,22.65,22.7,8.1868,53300,0.0,1.0
2001-02-07,22.62,22.9,22.62,22.82,8.2301,45500,0.0,1.0
2001-02-08,22.82,22.85,22.65,22.7,8.1868,36000,0.0,1.0
2001-02-09,22.7,22.74,22.56,22.56,8.1363,13100,0.0,1.0
2001-02-12,22.56,22.75,22.56,22.75,8.2048,34700,0.0,1.0
2001-02-13,22.78,22.78,22.53,22.55,8.1327,27200,0.0,1.0
2001-02-14,22.55,22.67,22.5,22.57,8.1399,51800,0.0,1.0
2001-02-15,22.6,22.6,22.55,22.56,8.1363,27200,0.0,1.0
2001-02-16,22.6,22.65,22.55,22.55,8.1327,7100,0.0,1.0
2001-02-20,22.5,22.55,22.1,22.14,7.9848,39500,0.0,1.0
2001-02-21,22.12,22.25,22.0,22.0,7.9343,33300,0.0,1.0
2001-02-22,22.0,22.12,21.8,21.85,7.8802,66900,0.0,1.0
2001-02-23,21.9,22.11,21.73,22.05,7.9524,55000,0.0,1.0
2001-02-26,22.15,22.2,21.91,22.06,7.956,39600,0.0,1.0
2001-02-27,22.05,22.06,21.91,21.95,7.9163,37400,0.0,1.0
2001-02-28,21.95,21.95,21.8,21.8,7.8622,39600,0.0,1.0
2001-03-01,21.8,22.05,21.8,21.99,7.9307,23400,0.0,1.0
2001-03-02,21.9,22.69,21.9,22.3,8.0425,40400,0.0,1.0
2001-03-05,22.4,22.6,22.3,22.47,8.1038,50500,0.0,1.0
2001-03-06,22.55,22.68,22.55,22.65,8.1688,17400,0.0,1.0
2001-03-07,22.7,22.7,22.65,22.69,8.1832,11600,0.0,1.0
2001-03-08,22.7,22.7,22.55,22.59,8.1471,12600,0.0,1.0
2001-03-09,22.59,22.75,22.55,22.68,8.1796,31100,0.0,1.0
2001-03-12,22.6,22.88,22.45,22.45,8.0966,44800,0.0,1.0
2001-03-13,22.5,22.6,22.41,22.45,8.0966,49000,0.0,1.0
2001-03-14,22.5,22.6,22.36,22.4,8.0786,23000,0.0,1.0
2001-03-15,22.4,22.5,22.35,22.35,8.0606,18500,0.0,1.0
2001-03-16,22.4,22.4,21.86,21.97,7.9235,53100,0.0,1.0
2001-03-19,21.95,22.05,21.9,22.03,7.9452,37700,0.0,1.0
2001-03-20,22.1,22.31,21.88,21.88,7.8911,46700,0.0,1.0
2001-03-21,21.9,22.2,21.9,22.11,7.974,21100,0.0,1.0
2001-03-22,22.11,22.49,21.9,22.45,8.0966,49200,0.0,1.0
2001-03-23,22.4,22.68,22.4,22.55,8.1327,67500,0.0,1.0
2001-03-26,22.55,22.55,22.4,22.5,8.1147,49200,0.0,1.0
2001-03-27,22.45,22.65,22.4,22.6,8.1507,21700,0.0,1.0
2001-03-28,22.57,22.62,22.32,22.32,8.0497,25900,0.0,1.0
2001-03-29,22.41,22.45,22.3,22.3,8.0425,14700,0.0,1.0
2001-03-30,22.35,22.5,22.35,22.48,8.1075,42300,0.0,1.0
2001-04-02,22.48,22.6,22.42,22.56,8.1363,19500,0.0,1.0
2001-04-03,22.6,22.65,22.43,22.6,8.1507,11600,0.0,1.0
2001-04-04,22.74,22.74,22.55,22.55,8.1327,24500,0.0,1.0
2001-04-05,22.6,22.71,22.55,22.7,8.1868,24200,0.0,1.0
