,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.63,23.25,22.25,23.25,12.8204,1270500,0.0,1.0
2000-01-19,24.25,24.25,23.25,23.44,12.9251,1635400,0.0,1.0
2000-01-20,23.44,23.75,22.38,22.63,12.4785,925000,0.0,1.0
2000-01-21,22.63,22.63,21.38,22.56,12.4399,2043700,0.0,1.0
2000-01-24,22.13,22.25,19.94,19.94,10.9952,2242300,0.0,1.0
2000-01-25,20.75,20.75,19.38,19.63,10.8242,2097700,0.0,1.0
2000-01-26,19.94,20.0,19.5,19.69,10.8573,2221500,0.0,1.0
2000-01-27,20.25,20.69,19.88,20.56,11.3371,1659000,0.0,1.0
2000-01-28,20.13,20.5,19.5,19.63,10.8242,964300,0.0,1.0
2000-01-31,19.63,20.25,19.44,19.94,10.9952,777600,0.0,1.0
2000-02-01,19.88,20.31,19.63,20.25,11.1661,1074400,0.0,1.0
2000-02-02,20.25,20.25,19.5,20.0,11.0283,967500,0.0,1.0
2000-02-03,20.06,20.63,19.06,19.25,10.6147,1616600,0.0,1.0
2000-02-04,18.5,19.5,18.13,18.5,10.2011,2023000,0.0,1.0
2000-02-07,18.5,18.81,18.0,18.75,10.339,1264000,0.0,1.0
2000-02-08,18.69,19.25,18.0,18.31,10.0964,1339900,0.0,1.0
2000-02-09,17.81,18.06,17.69,17.88,9.8593,1942500,0.0,1.0
2000-02-10,17.94,17.94,17.31,17.31,9.545,1924600,0.0,1.0
2000-02-11,17.5,17.56,17.06,17.25,9.5119,2423500,0.0,1.0
2000-02-14,17.75,18.75,17.31,18.63,10.2728,1572600,0.0,1.0
2000-02-15,19.0,19.81,18.44,19.63,10.8242,1555800,0.0,1.0
2000-02-16,19.63,20.31,19.5,20.0,11.0283,1779100,0.0,1.0
2000-02-17,19.75,21.06,19.63,20.69,11.4087,2279600,0.0,1.0
2000-02-18,20.5,20.5,19.56,19.81,10.9235,1592700,0.0,1.0
2000-02-22,18.88,19.56,18.88,18.94,10.4438,1798700,0.0,1.0
2000-02-23,18.88,19.19,18.69,18.75,10.339,1673100,0.0,1.0
2000-02-24,18.94,18.94,18.25,18.69,10.3059,947200,0.0,1.0
2000-02-25,18.44,18.75,18.06,18.44,10.1681,1273000,0.0,1.0
2000-02-28,18.75,18.75,18.06,18.06,9.9585,1256300,0.0,1.0
2000-02-29,18.13,18.69,17.88,17.88,9.8593,2491400,0.0,1.0
2000-03-01,17.75,18.63,17.75,18.19,10.0302,2196100,0.0,1.0
2000-03-02,18.19,18.31,17.94,18.13,9.9971,1904500,0.0,1.0
2000-03-03,17.56,18.19,17.56,17.63,9.7214,1148700,0.0,1.0
2000-03-06,17.75,17.88,17.19,17.44,9.6166,1001500,0.0,1.0
2000-03-07,17.75,18.38,17.56,18.13,9.9971,1276500,0.0,1.0
2000-03-08,17.5,19.5,17.38,19.0,10.4768,1541000,0.0,1.0
2000-03-09,18.25,18.88,18.0,18.25,10.0633,1526700,0.0,1.0
2000-03-10,18.25,18.94,17.88,18.38,10.135,809900,0.0,1.0
2000-03-13,18.13,19.25,18.13,18.88,10.4107,1008400,0.0,1.0
2000-03-14,18.5,18.75,17.56,18.5,10.2011,1568800,0.0,1.0
2000-03-15,18.56,19.75,17.69,19.31,10.6478,1368300,0.0,1.0
2000-03-16,19.81,22.13,19.69,21.63,11.9271,3209300,0.0,1.0
2000-03-17,21.75,22.25,20.69,22.0,12.1311,2220000,0.0,1.0
2000-03-20,22.0,22.69,21.69,22.44,12.3737,1588100,0.0,1.0
2000-03-21,22.19,22.88,21.63,22.31,12.302,1375600,0.0,1.0
2000-03-22,22.31,22.56,21.38,21.75,11.9932,1200800,0.0,1.0
2000-03-23,21.75,23.5,21.56,22.75,12.5446,980300,0.0,1.0
2000-03-24,22.81,23.75,22.69,23.19,12.7873,1105600,0.0,1.0
