,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,42.38,42.5,41.19,41.5,24.9429,3401100,0.0,1.0
2000-01-19,41.0,42.63,41.0,42.38,25.4718,3344700,0.0,1.0
2000-01-20,42.56,42.56,41.0,42.56,25.58,3309700,0.0,1.0
2000-01-21,41.63,41.88,40.44,41.06,24.6784,3722600,0.0,1.0
2000-01-24,41.25,41.44,39.5,39.5,23.7408,3593500,0.0,1.0
2000-01-25,39.75,40.25,39.19,39.81,23.9272,3304500,0.0,1.0
2000-01-26,39.63,39.63,34.69,35.75,21.487,16703200,0.0,1.0
2000-01-27,36.0,37.94,35.88,37.63,22.6169,12082200,0.0,1.0
2000-01-28,37.13,37.44,36.38,36.75,22.088,4444200,0.0,1.0
2000-01-31,37.25,38.0,37.13,37.38,22.4666,4838300,0.0,1.0
2000-02-01,37.44,37.56,36.5,36.63,22.0159,4679500,0.0,1.0
2000-02-02,36.63,36.75,35.38,35.5,21.3367,5769100,0.0,1.0
2000-02-03,35.56,36.19,34.44,35.0,21.0362,9225700,0.0,1.0
2000-02-04,35.88,35.88,34.62,35.12,21.1083,7752200,0.0,1.0
2000-02-07,35.25,35.63,34.0,34.94,21.0001,9992900,0.0,1.0
2000-02-08,36.0,37.63,35.5,36.31,21.8235,12144800,0.0,1.0
2000-02-09,36.69,36.69,35.38,35.88,21.5651,5915400,0.0,1.0
2000-02-10,35.5,36.25,35.13,35.5,21.3367,5353400,0.0,1.0
2000-02-11,35.06,35.44,34.81,34.94,21.0001,3920500,0.0,1.0
2000-02-14,35.31,35.31,33.31,33.88,20.363,4426400,0.0,1.0
2000-02-15,33.75,34.13,33.44,33.75,20.2849,4669200,0.0,1.0
2000-02-16,33.75,34.44,33.25,33.38,20.0625,3804900,0.0,1.0
2000-02-17,33.56,34.06,33.38,33.75,20.2849,4272000,0.0,1.0
2000-02-18,33.56,33.69,32.31,32.5,19.5336,5494900,0.0,1.0
2000-02-22,32.25,33.19,32.19,32.31,19.4194,4479500,0.0,1.0
2000-02-23,32.44,33.38,32.38,32.63,19.6117,4927400,0.0,1.0
2000-02-24,32.13,32.38,31.0,31.38,18.8604,6154300,0.0,1.0
2000-02-25,31.5,31.81,30.75,31.0,18.632,4551200,0.0,1.0
2000-02-28,31.25,31.69,30.63,31.13,18.7102,3880600,0.0,1.0
2000-02-29,31.75,32.44,31.56,31.75,19.0828,4883900,0.0,1.0
2000-03-01,31.88,31.94,31.13,31.25,18.7823,4969800,0.0,1.0
2000-03-02,31.13,31.44,30.75,30.88,18.5599,4884600,0.0,1.0
2000-03-03,31.0,32.31,30.56,32.31,19.4194,5193900,0.0,1.0
2000-03-06,32.5,32.5,31.13,31.56,18.9686,4175100,0.0,1.0
2000-03-07,31.5,31.56,29.81,29.88,17.9589,6183300,0.0,1.0
2000-03-08,30.38,31.25,30.0,30.75,18.4818,4015900,0.0,1.0
2000-03-09,30.63,32.0,30.0,32.0,19.2331,4779200,0.0,1.0
2000-03-10,31.44,32.38,31.0,31.75,19.0828,4819200,0.0,1.0
2000-03-13,32.0,32.44,31.31,32.44,19.4975,5659700,0.0,1.0
2000-03-14,32.44,32.5,30.06,30.5,18.3315,5235700,0.0,1.0
2000-03-15,30.69,32.88,30.44,32.5,19.5336,7044600,0.0,1.0
2000-03-16,33.38,34.38,32.75,34.06,20.4712,8241900,0.0,1.0
2000-03-17,35.0,35.19,33.75,33.81,20.3209,5463000,0.0,1.0
2000-03-20,34.25,34.88,34.13,34.56,20.7717,2736000,0.0,1.0
2000-03-21,34.75,35.5,34.5,35.25,21.1864,4239900,0.0,1.0
2000-03-22,35.25,35.75,35.0,35.25,21.1864,3754000,0.0,1.0
2000-03-23,34.0,35.94,33.94,35.19,21.1504,4034900,0.0,1.0
2000-03-24,35.12,35.94,34.69,34.81,20.922,3188100,0.0,1.0
2000-03-27,34.19,35.19,34.13,34.75,20.8859,2189900,0.0,1.0
2000-03-28,34.0,35.38,34.0,35.13,21.1143,2963500,0.0,1.0
2000-03-29,34.88,37.06,34.81,36.81,22.124,5292800,0.0,1.0
2000-03-30,36.81,38.25,36.81,37.63,22.6169,4939100,0.0,1.0
2000-03-31,37.88,37.94,36.81,37.38,22.4666,3738300,0.0,1.0
2000-04-03,37.81,38.63,37.56,38.5,23.1398,4459400,0.0,1.0
2000-04-04,38.69,39.31,37.69,38.53,23.1578,5145500,0.0,1.0
2000-04-05,38.0,38.63,37.25,38.56,23.1759,4143600,0.0,1.0
2000-04-06,37.75,38.06,36.88,37.0,22.2382,4124100,0.0,1.0
2000-04-07,36.38,37.31,36.13,37.0,22.2382,3155400,0.0,1.0
2000-04-10,36.88,36.94,35.88,36.38,21.8656,3234600,0.0,1.0
2000-04-11,36.13,37.75,35.88,37.69,22.653,3354100,0.0,1.0
2000-04-12,37.25,38.19,36.31,36.31,21.8235,4548200,0.0,1.0
2000-04-13,36.0,36.0,34.13,34.13,20.5133,7400300,0.0,1.0
2000-04-14,33.56,34.81,33.0,33.56,20.1707,5744700,0.0,1.0
2000-04-17,33.5,34.13,33.06,33.69,20.2488,4728900,0.0,1.0
2000-04-18,33.75,33.81,31.94,32.5,19.5336,5440000,0.0,1.0
2000-04-19,32.94,33.19,32.5,33.06,19.8702,3473000,0.0,1.0
2000-04-20,34.0,36.0,33.75,35.81,21.523,7009700,0.0,1.0
2000-04-24,35.25,39.0,35.13,39.0,23.4403,9601600,0.0,1.0
2000-04-25,38.94,39.44,38.19,38.75,23.2901,3975100,0.0,1.0
2000-04-26,38.38,39.38,38.38,38.88,23.3682,3479300,0.0,1.0
2000-04-27,38.13,39.13,38.06,38.81,23.3261,2904600,0.0,1.0
2000-04-28,38.56,38.75,37.56,38.06,22.8753,2936500,0.0,1.0
2000-05-01,38.0,39.31,38.0,38.88,23.3682,3089100,0.0,1.0
2000-05-02,38.38,39.63,38.31,39.19,23.5545,3129800,0.0,1.0
2000-05-03,38.25,38.69,37.06,37.31,22.4246,5243800,0.0,1.0
2000-05-04,36.63,36.69,35.56,35.75,21.487,6515400,0.0,1.0
2000-05-05,35.5,36.19,35.0,35.69,21.4509,4968100,0.0,1.0
2000-05-08,35.75,36.13,35.19,35.81,21.523,3115600,0.0,1.0
2000-05-09,36.25,37.19,36.19,37.0,22.2382,3165700,0.0,1.0
2000-05-10,37.19,38.81,37.13,38.63,23.2179,5995500,0.0,1.0
2000-05-11,38.5,38.81,38.13,38.19,22.9535,3185200,0.0,1.0
2000-05-12,38.25,38.25,37.25,37.56,22.5748,2410500,0.0,1.0
2000-05-15,37.44,38.56,37.38,38.19,22.9535,2840100,0.0,1.0
2000-05-16,38.81,39.25,38.44,39.19,23.5545,2753400,0.0,1.0
2000-05-17,38.69,39.31,38.31,39.06,23.4764,2017900,0.0,1.0
2000-05-18,38.81,39.06,38.56,38.63,23.2179,1933700,0.0,1.0
2000-05-19,37.81,38.75,37.63,37.81,22.7251,2985300,0.0,1.0
2000-05-22,37.88,39.13,37.81,38.88,23.3682,3145000,0.0,1.0
2000-05-23,38.38,39.25,37.75,39.13,23.5184,2757100,0.0,1.0
2000-05-24,39.13,39.94,38.13,38.75,23.2901,5108400,0.0,1.0
2000-05-25,38.0,38.56,37.13,37.31,22.4246,3453100,0.0,1.0
2000-05-26,37.25,37.94,37.19,37.75,22.689,3130700,0.0,1.0
2000-05-30,37.0,37.06,35.94,36.56,21.9738,4210200,0.0,1.0
2000-05-31,36.0,36.56,35.88,36.13,21.7153,3880700,0.0,1.0
2000-06-01,35.56,35.81,35.25,35.63,21.4148,2979100,0.0,1.0
2000-06-02,36.13,36.31,35.19,36.13,21.7153,3701800,0.0,1.0
2000-06-05,36.0,36.0,35.25,35.5,21.3367,1957900,0.0,1.0
2000-06-06,35.13,35.63,34.88,35.13,21.1143,3577600,0.0,1.0
2000-06-07,35.13,35.31,34.31,34.88,20.9641,2518000,0.0,1.0
2000-06-08,34.5,35.75,34.5,35.44,21.3006,3312300,0.0,1.0
2000-06-09,35.5,36.0,31.63,33.88,20.363,15301500,0.0,1.0
2000-06-12,33.25,33.31,32.0,32.63,19.6117,8145700,0.0,1.0
2000-06-13,32.25,33.19,32.06,32.38,19.4615,6046900,0.0,1.0
2000-06-14,32.0,33.0,31.63,31.75,19.0828,5941800,0.0,1.0
2000-06-15,31.75,32.31,31.63,32.13,19.3112,6280100,0.0,1.0
2000-06-16,32.5,32.56,31.31,31.31,18.8184,6858000,0.0,1.0
2000-06-19,31.88,32.06,31.06,31.5,18.9326,4510500,0.0,1.0
2000-06-20,31.69,31.75,31.0,31.5,18.9326,3930200,0.0,1.0
2000-06-21,31.25,31.75,31.06,31.31,18.8184,4396800,0.0,1.0
2000-06-22,31.25,31.56,31.13,31.44,18.8965,3928900,0.0,1.0
