,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,26.31,27.0,25.94,26.81,22.8917,1328700,0.0,1.0
2000-01-19,26.63,26.88,26.0,26.19,22.3623,889100,0.0,1.0
2000-01-20,26.06,26.13,25.25,25.25,21.5597,1538800,0.0,1.0
2000-01-21,25.94,25.94,25.0,25.13,21.4572,1622000,0.0,1.0
2000-01-24,25.13,25.38,24.81,24.88,21.2438,799200,0.0,1.0
2000-01-25,22.0,22.75,21.25,22.0,18.7847,4931900,0.0,1.0
2000-01-26,21.94,22.0,21.38,21.69,18.52,1739800,0.0,1.0
2000-01-27,21.88,21.94,20.13,20.88,17.8284,3096400,0.0,1.0
2000-01-28,20.94,20.94,20.13,20.13,17.188,1084000,0.0,1.0
2000-01-31,20.06,20.94,20.0,20.56,17.5551,952200,0.0,1.0
2000-02-01,20.88,21.06,20.5,20.88,17.8284,1244000,0.0,1.0
2000-02-02,20.88,21.19,20.38,20.38,17.4015,1533300,0.0,1.0
2000-02-03,20.75,20.94,20.38,20.56,17.5551,1375500,0.0,1.0
2000-02-04,20.5,20.88,20.44,20.5,17.5039,550300,0.0,1.0
2000-02-07,20.5,20.69,20.25,20.31,17.3417,574200,0.0,1.0
2000-02-08,20.69,21.19,20.38,20.38,17.4015,973700,0.0,1.0
2000-02-09,20.44,20.56,20.25,20.38,17.4015,918900,0.0,1.0
2000-02-10,20.5,20.5,18.94,19.13,16.3341,2522800,0.0,1.0
2000-02-11,19.44,19.44,18.81,18.88,16.1207,3993600,0.0,1.0
2000-02-14,18.69,19.19,18.63,18.94,16.1719,622200,0.0,1.0
2000-02-15,18.88,18.94,18.31,18.63,15.9072,1196700,0.0,1.0
2000-02-16,19.06,20.19,19.0,20.0,17.077,1167600,0.0,1.0
2000-02-17,20.0,20.5,19.63,20.0,17.077,1381000,0.0,1.0
2000-02-18,20.25,20.44,19.75,19.94,17.0258,985800,0.0,1.0
2000-02-22,19.69,19.88,19.13,19.75,16.8635,762000,0.0,1.0
2000-02-23,19.63,19.75,19.13,19.13,16.3341,840300,0.0,1.0
2000-02-24,19.13,19.63,18.63,19.5,16.6501,1044700,0.0,1.0
2000-02-25,19.44,19.5,19.06,19.31,16.4878,846300,0.0,1.0
2000-02-28,19.0,19.5,18.75,19.31,16.5391,881000,0.06,1.0
2000-02-29,19.5,19.69,19.19,19.38,16.599,1212200,0.0,1.0
2000-03-01,19.38,19.69,19.06,19.5,16.7018,697900,0.0,1.0
2000-03-02,19.13,19.38,18.69,18.94,16.2222,775500,0.0,1.0
2000-03-03,19.0,19.69,18.75,19.25,16.4877,1147600,0.0,1.0
2000-03-06,19.63,19.69,19.25,19.38,16.599,511600,0.0,1.0
2000-03-07,19.13,19.31,18.5,18.56,15.8967,793900,0.0,1.0
2000-03-08,18.5,18.81,18.38,18.5,15.8453,619300,0.0,1.0
2000-03-09,18.5,19.31,18.25,19.06,16.3249,1004900,0.0,1.0
2000-03-10,19.31,19.5,18.5,18.63,15.9566,787300,0.0,1.0
2000-03-13,18.38,18.88,18.25,18.88,16.1708,888300,0.0,1.0
2000-03-14,18.88,18.88,18.25,18.25,15.6312,1026600,0.0,1.0
2000-03-15,18.25,19.38,18.19,19.13,16.3849,1523300,0.0,1.0
2000-03-16,19.38,19.88,19.13,19.75,16.9159,1730400,0.0,1.0
2000-03-17,19.75,19.75,19.0,19.13,16.3849,1296200,0.0,1.0
2000-03-20,19.13,19.5,19.06,19.25,16.4877,1082800,0.0,1.0
2000-03-21,19.25,19.38,19.0,19.19,16.4363,1157900,0.0,1.0
2000-03-22,19.06,19.5,19.06,19.06,16.3249,1300000,0.0,1.0
2000-03-23,18.94,19.25,18.81,19.19,16.4363,1109700,0.0,1.0
2000-03-24,19.19,19.62,19.06,19.5,16.7018,1094000,0.0,1.0
2000-03-27,19.88,19.94,19.5,19.75,16.9159,846000,0.0,1.0
2000-03-28,19.56,21.63,19.56,21.5,18.4148,4048500,0.0,1.0
2000-03-29,21.31,21.94,21.0,21.69,18.5775,2552000,0.0,1.0
2000-03-30,21.5,21.63,20.5,20.56,17.6097,1088600,0.0,1.0
2000-03-31,20.75,21.25,20.25,21.0,17.9866,1062500,0.0,1.0
2000-04-03,21.0,21.63,20.75,21.13,18.0979,922600,0.0,1.0
2000-04-04,21.19,21.25,19.5,20.5,17.5583,1644300,0.0,1.0
2000-04-05,20.25,20.81,20.25,20.44,17.5069,643300,0.0,1.0
2000-04-06,20.5,20.88,20.06,20.38,17.4555,647700,0.0,1.0
2000-04-07,20.25,20.5,20.13,20.19,17.2928,455200,0.0,1.0
2000-04-10,20.0,21.56,19.81,21.44,18.3634,1705700,0.0,1.0
2000-04-11,21.25,21.94,20.13,20.75,17.7724,1165600,0.0,1.0
2000-04-12,20.88,21.63,20.75,21.25,18.2007,1325000,0.0,1.0
2000-04-13,21.0,21.06,20.38,20.44,17.5069,802300,0.0,1.0
2000-04-14,20.13,20.38,19.31,19.81,16.9673,1554700,0.0,1.0
2000-04-17,18.88,19.44,18.75,18.81,16.1108,1636000,0.0,1.0
2000-04-18,19.0,19.75,18.81,19.25,16.4877,1093400,0.0,1.0
2000-04-19,19.25,19.56,18.88,19.0,16.2736,964700,0.0,1.0
2000-04-20,19.0,19.13,18.63,18.88,16.1708,983200,0.0,1.0
2000-04-24,18.75,19.0,18.19,18.44,15.7939,938800,0.0,1.0
2000-04-25,18.38,19.06,17.94,18.94,16.2222,1618500,0.0,1.0
2000-04-26,18.0,18.31,16.69,17.0,14.5605,4056400,0.0,1.0
2000-04-27,16.75,17.31,16.5,16.94,14.5092,2694600,0.0,1.0
2000-04-28,17.0,17.06,16.69,16.94,14.5092,1233500,0.0,1.0
2000-05-01,17.38,18.44,17.06,18.25,15.6312,2326300,0.0,1.0
2000-05-02,17.88,18.44,17.81,17.94,15.3657,1486100,0.0,1.0
2000-05-03,17.81,18.63,17.63,18.38,15.7425,2119500,0.0,1.0
2000-05-04,18.5,18.56,18.25,18.44,15.7939,923200,0.0,1.0
2000-05-05,18.5,18.56,18.06,18.13,15.5284,781400,0.0,1.0
2000-05-08,18.25,18.38,18.0,18.13,15.5284,431000,0.0,1.0
2000-05-09,18.19,18.25,18.0,18.0,15.417,666000,0.0,1.0
2000-05-10,17.94,17.94,17.31,17.31,14.8261,1193000,0.0,1.0
2000-05-11,17.5,17.81,17.38,17.5,14.9888,727600,0.0,1.0
2000-05-12,17.5,17.69,17.19,17.25,14.7747,673300,0.0,1.0
2000-05-15,17.5,17.56,17.06,17.25,14.7747,778000,0.0,1.0
2000-05-16,17.5,17.56,16.94,17.0,14.5605,1208100,0.0,1.0
2000-05-17,16.81,17.0,16.69,16.88,14.4578,1336300,0.0,1.0
2000-05-18,16.81,16.88,16.5,16.69,14.295,1111500,0.0,1.0
2000-05-19,16.13,16.69,16.13,16.5,14.1323,1013000,0.0,1.0
2000-05-22,16.63,16.81,16.19,16.38,14.0295,589500,0.0,1.0
2000-05-23,16.38,17.0,16.38,16.5,14.1323,821400,0.0,1.0
2000-05-24,16.63,17.0,16.25,16.75,14.3464,1932200,0.0,1.0
2000-05-25,16.63,17.13,16.0,16.38,14.0295,870600,0.0,1.0
2000-05-26,16.31,16.5,16.0,16.06,13.7554,699400,0.0,1.0
2000-05-30,16.25,16.63,16.25,16.56,14.2351,1174100,0.06,1.0
2000-05-31,16.38,16.56,16.25,16.44,14.1319,1813600,0.0,1.0
2000-06-01,16.31,16.56,16.31,16.5,14.1835,582300,0.0,1.0
2000-06-02,16.63,17.13,16.19,16.88,14.5101,2059800,0.0,1.0
2000-06-05,17.13,18.75,17.06,18.5,15.9027,3070600,0.0,1.0
2000-06-06,18.5,19.0,18.31,18.38,15.7996,1228700,0.0,1.0
2000-06-07,18.44,19.69,18.44,19.31,16.599,2138200,0.0,1.0
2000-06-08,20.25,20.5,19.38,19.56,16.8139,2404900,0.0,1.0
