,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-06-13,31.5,32.0,31.09,31.25,12.8475,69567200,0.0,1.0
2001-06-14,30.5,31.0,29.5,30.15,12.3953,31979800,0.0,1.0
2001-06-15,30.0,30.75,29.95,30.6,12.5803,14369300,0.0,1.0
2001-06-18,30.5,30.6,30.06,30.32,12.4652,4019800,0.0,1.0
2001-06-19,30.6,30.71,30.21,30.4,12.4981,5690300,0.0,1.0
2001-06-20,30.4,30.59,30.18,30.3,12.457,3791600,0.0,1.0
2001-06-21,30.35,30.35,30.0,30.0,12.3336,6027200,0.0,1.0
2001-06-22,30.0,30.02,29.76,30.0,12.3336,4847700,0.0,1.0
2001-06-25,30.0,30.15,29.85,30.15,12.3953,2420300,0.0,1.0
2001-06-26,30.0,30.08,29.81,30.04,12.3501,3333300,0.0,1.0
2001-06-27,29.95,30.0,29.81,29.94,12.309,3182300,0.0,1.0
2001-06-28,29.98,30.44,29.97,30.41,12.5022,2778100,0.0,1.0
2001-06-29,30.5,31.0,30.33,31.0,12.7448,5777800,0.0,1.0
2001-07-02,30.7,30.7,30.42,30.47,12.5269,3167600,0.0,1.0
2001-07-03,30.46,30.64,30.42,30.56,12.5639,608700,0.0,1.0
2001-07-05,30.75,31.03,30.63,30.93,12.716,2085500,0.0,1.0
2001-07-06,30.98,30.98,30.5,30.65,12.6009,945300,0.0,1.0
2001-07-09,30.6,30.74,30.25,30.38,12.4899,2295300,0.0,1.0
2001-07-10,30.45,30.85,30.28,30.35,12.4775,3301300,0.0,1.0
2001-07-11,30.36,30.36,30.0,30.3,12.457,2023000,0.0,1.0
2001-07-12,30.65,30.9,30.2,30.9,12.7036,1912500,0.0,1.0
2001-07-13,30.9,30.98,30.46,30.73,12.6338,995400,0.0,1.0
2001-07-16,30.73,31.01,30.65,30.71,12.6255,1198100,0.0,1.0
2001-07-17,30.89,31.45,30.85,31.45,12.9298,3792700,0.0,1.0
2001-07-18,31.45,31.5,30.8,31.49,12.9462,5645100,0.0,1.0
2001-07-19,31.74,31.74,30.19,31.32,12.8763,3326000,0.0,1.0
2001-07-20,31.25,31.34,31.01,31.2,12.827,1390900,0.0,1.0
2001-07-23,31.1,31.19,30.92,31.0,12.7448,1756000,0.0,1.0
2001-07-24,31.18,31.19,30.9,31.07,12.7735,1146500,0.0,1.0
2001-07-25,31.0,31.0,30.51,30.7,12.6214,860600,0.0,1.0
2001-07-26,30.95,31.19,30.62,31.12,12.7941,1901900,0.0,1.0
2001-07-27,31.2,31.2,30.81,30.91,12.7078,1541800,0.0,1.0
2001-07-30,31.09,31.1,30.5,30.6,12.5803,1233900,0.0,1.0
2001-07-31,30.5,31.16,30.5,30.95,12.7242,2020200,0.0,1.0
2001-08-01,30.9,31.01,30.58,30.78,12.6543,2302200,0.0,1.0
2001-08-02,30.7,31.17,30.65,30.95,12.7242,2700000,0.0,1.0
2001-08-03,30.86,30.98,30.5,30.7,12.6214,456800,0.0,1.0
