,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,44.5,44.88,43.88,44.38,32.5893,5947800,0.0,1.0
2000-01-19,44.63,45.63,44.25,44.94,33.0005,4288100,0.0,1.0
2000-01-20,45.75,46.13,44.0,44.0,32.3103,6083200,0.0,1.0
2000-01-21,45.0,45.0,43.31,43.56,31.9872,6105200,0.0,1.0
2000-01-24,44.25,44.94,42.38,43.06,31.62,5749800,0.0,1.0
2000-01-25,43.75,45.0,43.63,44.56,32.7215,3742800,0.0,1.0
2000-01-26,44.75,46.31,44.5,46.13,33.8744,6589300,0.0,1.0
2000-01-27,46.88,47.5,45.31,46.44,34.102,4539700,0.0,1.0
2000-01-28,46.19,46.19,44.31,44.81,32.9051,3981200,0.0,1.0
2000-01-31,44.81,45.75,43.25,45.75,33.5953,3717100,0.0,1.0
2000-02-01,45.5,46.5,44.97,46.38,34.0579,2960700,0.0,1.0
2000-02-02,46.13,46.56,44.75,45.0,33.0446,3099000,0.0,1.0
2000-02-03,45.38,45.81,44.0,45.75,33.5953,3275900,0.0,1.0
2000-02-04,46.0,49.63,46.0,48.06,35.2916,5717100,0.0,1.0
2000-02-07,47.88,49.25,47.5,49.25,36.1655,4373700,0.0,1.0
2000-02-08,49.0,49.69,48.69,49.63,36.4445,3328600,0.0,1.0
2000-02-09,49.5,49.69,48.75,48.88,35.8938,3685400,0.0,1.0
2000-02-10,49.0,49.19,48.0,48.0,35.2476,2088800,0.0,1.0
2000-02-11,48.75,48.75,45.0,46.0,33.7789,6163300,0.0,1.0
2000-02-14,46.38,48.06,46.19,46.38,34.0579,4625300,0.0,1.0
2000-02-15,46.63,46.63,44.88,45.44,33.3677,4631000,0.0,1.0
2000-02-16,45.44,46.0,44.06,44.25,32.4938,4768700,0.0,1.0
2000-02-17,46.25,47.25,46.19,46.56,34.1901,5653400,0.0,1.0
2000-02-18,47.5,48.38,47.38,47.69,35.0199,5579200,0.0,1.0
2000-02-22,48.0,49.88,47.69,49.19,36.1214,4152000,0.0,1.0
2000-02-23,49.19,49.25,47.56,48.5,35.6147,3148900,0.0,1.0
2000-02-24,49.0,49.94,48.13,49.5,36.349,6309100,0.0,1.0
2000-02-25,49.75,49.81,46.38,47.44,34.8363,3017400,0.0,1.0
2000-02-28,47.44,49.56,45.56,48.0,35.2476,5692500,0.0,1.0
2000-02-29,48.13,49.0,47.19,48.44,35.5707,3287800,0.0,1.0
