,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,46.38,46.75,45.63,46.13,9.2507,97300,0.0,1.0
2000-01-19,45.88,47.63,45.75,47.56,9.5375,277900,0.0,1.0
2000-01-20,48.75,49.56,47.38,47.44,9.5134,549000,0.0,1.0
2000-01-21,46.5,46.5,44.75,46.06,9.2367,483600,0.0,1.0
2000-01-24,46.25,46.56,43.63,43.81,8.7855,186800,0.0,1.0
2000-01-25,43.81,43.81,42.94,43.5,8.7233,360400,0.0,1.0
2000-01-26,43.94,43.94,43.0,43.13,8.6491,193600,0.0,1.0
2000-01-27,43.06,43.31,41.38,41.94,8.4105,509400,0.0,1.0
2000-01-28,41.88,42.63,41.38,41.56,8.3343,424500,0.0,1.0
2000-01-31,41.69,42.06,41.25,41.38,8.2982,273100,0.0,1.0
2000-02-01,42.25,43.44,42.13,42.88,8.599,414600,0.0,1.0
2000-02-02,42.63,43.44,42.38,42.5,8.5228,289600,0.0,1.0
2000-02-03,42.75,42.94,42.06,42.13,8.4486,83500,0.0,1.0
2000-02-04,42.56,44.31,42.56,44.31,8.8858,282600,0.0,1.0
2000-02-07,44.13,44.13,42.38,42.56,8.5348,158700,0.0,1.0
2000-02-08,42.88,43.75,42.75,42.81,8.605,170500,0.1,1.0
2000-02-09,43.06,43.25,42.25,42.38,8.5186,110600,0.0,1.0
2000-02-10,42.56,42.69,42.0,42.63,8.5688,47300,0.0,1.0
2000-02-11,42.69,43.0,42.19,42.19,8.4804,81800,0.0,1.0
2000-02-14,42.38,42.88,42.0,42.13,8.4683,88900,0.0,1.0
2000-02-15,42.13,42.44,41.5,42.19,8.4804,325800,0.0,1.0
2000-02-16,42.0,42.44,41.75,42.0,8.4422,187100,0.0,1.0
2000-02-17,41.88,43.69,41.88,43.25,8.6934,118500,0.0,1.0
2000-02-18,43.25,43.25,41.81,42.19,8.4804,393100,0.0,1.0
2000-02-22,42.13,42.13,40.13,40.38,8.1166,133900,0.0,1.0
2000-02-23,39.13,42.06,38.5,41.81,8.404,858700,0.0,1.0
2000-02-24,42.06,42.13,38.75,41.44,8.3296,745900,0.0,1.0
2000-02-25,41.19,41.19,39.0,39.19,7.8774,453600,0.0,1.0
2000-02-28,19.81,20.5,19.31,20.19,8.1166,183000,0.0,2.0
2000-02-29,20.19,20.5,19.56,19.88,7.9919,283500,0.0,1.0
2000-03-01,19.75,19.81,18.63,19.0,7.6382,472300,0.0,1.0
2000-03-02,18.5,19.19,18.44,19.0,7.6382,580500,0.0,1.0
2000-03-03,19.5,19.63,18.75,19.0,7.6382,189700,0.0,1.0
2000-03-06,20.5,20.69,19.25,19.5,7.8392,808300,0.0,1.0
2000-03-07,19.75,19.75,19.0,19.63,7.8914,866000,0.0,1.0
2000-03-08,19.75,19.75,18.81,19.25,7.7387,449500,0.0,1.0
2000-03-09,19.25,20.25,19.0,20.13,8.0924,701200,0.0,1.0
2000-03-10,20.0,20.38,19.69,20.19,8.1166,471500,0.0,1.0
2000-03-13,20.06,20.06,19.25,19.5,7.8392,464300,0.0,1.0
2000-03-14,19.44,19.5,18.88,19.0,7.6382,448800,0.0,1.0
2000-03-15,19.25,20.38,19.13,20.19,8.1166,879900,0.0,1.0
2000-03-16,20.38,22.5,20.13,22.5,9.0452,901100,0.0,1.0
2000-03-17,22.25,22.63,21.31,21.56,8.6673,787700,0.0,1.0
2000-03-20,21.63,22.63,20.81,22.5,9.0452,538700,0.0,1.0
2000-03-21,22.63,22.63,22.06,22.31,8.9688,305000,0.0,1.0
2000-03-22,22.38,22.69,21.63,22.31,8.9688,311200,0.0,1.0
2000-03-23,22.0,22.06,21.0,21.0,8.4422,444000,0.0,1.0
2000-03-24,21.12,21.12,20.75,21.0,8.4422,385100,0.0,1.0
2000-03-27,21.0,21.0,20.25,20.5,8.2412,932500,0.0,1.0
2000-03-28,20.25,22.13,20.0,21.94,8.8201,1641200,0.0,1.0
2000-03-29,24.0,24.13,22.81,23.19,9.3226,1973200,0.0,1.0
2000-03-30,22.88,23.0,22.06,22.94,9.2221,845800,0.0,1.0
2000-03-31,23.0,25.0,23.0,24.0,9.6482,1751600,0.0,1.0
2000-04-03,24.5,24.5,23.75,24.0,9.6482,279200,0.0,1.0
2000-04-04,23.88,24.0,23.0,23.94,9.6241,983700,0.0,1.0
2000-04-05,23.69,24.75,23.38,24.75,9.9497,1783300,0.0,1.0
2000-04-06,24.63,25.63,24.38,25.38,10.203,524700,0.0,1.0
2000-04-07,25.94,27.25,25.75,27.06,10.8784,1419700,0.0,1.0
2000-04-10,27.06,28.44,27.06,28.44,11.4331,1370600,0.0,1.0
2000-04-11,28.63,29.13,28.13,28.67,11.5256,1352200,0.0,1.0
2000-04-12,29.0,29.75,28.25,29.63,11.9115,959500,0.0,1.0
2000-04-13,29.5,29.5,28.38,29.25,11.7588,443900,0.0,1.0
2000-04-14,28.0,28.0,27.0,27.0,10.8542,836500,0.0,1.0
2000-04-17,27.0,27.0,25.94,26.19,10.5286,1217100,0.0,1.0
2000-04-18,26.06,28.88,26.06,26.94,10.8301,1220400,0.0,1.0
2000-04-19,27.0,28.13,27.0,27.5,11.0553,532500,0.0,1.0
