,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,27.5,27.62,26.0,26.0,8.6202,255100,0.0,1.0
2000-01-19,26.0,26.19,24.75,25.44,8.4345,240100,0.0,1.0
2000-01-20,25.37,25.44,25.0,25.12,8.3284,110900,0.0,1.0
2000-01-21,25.37,25.44,24.56,25.0,8.2886,133700,0.0,1.0
2000-01-24,24.87,25.06,23.81,24.12,7.9969,209700,0.0,1.0
2000-01-25,24.25,24.62,23.75,24.06,7.977,204100,0.0,1.0
2000-01-26,24.25,25.87,24.25,24.62,8.1626,411800,0.0,1.0
2000-01-27,25.37,26.25,25.19,25.37,8.4113,194800,0.0,1.0
2000-01-28,25.25,26.0,24.75,25.87,8.5771,184500,0.0,1.0
2000-01-31,25.75,26.69,25.75,26.44,8.766,119900,0.0,1.0
2000-02-01,26.5,26.5,25.44,26.19,8.6831,106600,0.0,1.0
2000-02-02,26.0,26.06,24.31,24.75,8.2057,156700,0.0,1.0
2000-02-03,25.25,26.25,25.12,26.0,8.6202,272600,0.0,1.0
2000-02-04,26.37,27.5,26.0,27.25,9.0346,260400,0.0,1.0
2000-02-07,27.06,27.06,26.12,26.44,8.766,154400,0.0,1.0
2000-02-08,26.37,27.37,26.37,27.0,8.9517,124300,0.0,1.0
2000-02-09,26.81,27.06,26.69,27.06,8.9716,97400,0.0,1.0
2000-02-10,27.06,27.5,27.0,27.12,8.9915,140300,0.0,1.0
2000-02-11,27.25,27.62,27.06,27.12,8.9915,205900,0.0,1.0
2000-02-14,27.06,27.19,26.94,27.06,8.9716,106200,0.0,1.0
2000-02-15,27.0,28.06,27.0,28.06,9.3031,190400,0.0,1.0
2000-02-16,27.81,27.87,27.37,27.5,9.1175,181300,0.0,1.0
2000-02-17,27.44,27.62,27.25,27.31,9.0545,106000,0.0,1.0
2000-02-18,27.12,27.62,27.12,27.5,9.1175,386200,0.0,1.0
2000-02-22,27.0,27.62,27.0,27.44,9.0976,62100,0.0,1.0
2000-02-23,27.44,28.06,27.37,28.06,9.3031,119500,0.0,1.0
2000-02-24,27.56,27.56,26.31,26.56,8.8058,159200,0.0,1.0
2000-02-25,26.31,26.5,26.19,26.31,8.7229,44100,0.0,1.0
2000-02-28,26.25,26.75,25.56,26.44,8.766,94700,0.0,1.0
2000-02-29,26.56,27.37,26.31,27.37,9.0744,150100,0.0,1.0
2000-03-01,27.25,27.44,26.81,27.44,9.0976,117600,0.0,1.0
2000-03-02,27.31,27.44,26.62,26.69,8.8489,142000,0.0,1.0
2000-03-03,26.81,27.0,26.31,26.44,8.766,56300,0.0,1.0
2000-03-06,26.19,26.25,25.25,25.75,8.5373,99200,0.0,1.0
2000-03-07,25.81,25.81,24.97,25.62,8.4942,156200,0.0,1.0
2000-03-08,25.37,26.5,24.87,26.25,8.703,129600,0.0,1.0
2000-03-09,26.19,26.69,26.19,26.69,8.8489,69000,0.0,1.0
2000-03-10,26.56,26.94,26.37,26.44,8.766,141600,0.0,1.0
2000-03-13,26.31,26.31,25.44,25.69,8.5174,180800,0.0,1.0
2000-03-14,26.0,26.75,25.69,26.19,8.6831,438500,0.0,1.0
2000-03-15,26.19,30.37,25.87,30.31,10.0491,524000,0.0,1.0
2000-03-16,29.87,31.0,29.37,30.87,10.2348,762400,0.0,1.0
2000-03-17,29.75,31.0,28.37,30.19,10.0093,405400,0.0,1.0
2000-03-20,30.19,31.5,30.19,30.44,10.0922,307200,0.0,1.0
2000-03-21,30.37,32.25,30.25,31.75,10.5265,337400,0.0,1.0
2000-03-22,31.75,32.63,31.75,31.94,10.5895,333700,0.0,1.0
2000-03-23,31.94,31.94,30.5,30.94,10.258,111700,0.0,1.0
2000-03-24,30.81,30.81,29.5,29.75,9.8634,241800,0.0,1.0
2000-03-27,30.0,30.12,28.81,29.12,9.6546,174400,0.0,1.0
2000-03-28,29.25,29.69,29.0,29.5,9.7806,419000,0.0,1.0
2000-03-29,29.37,30.94,29.37,30.75,10.258,371900,0.19,1.0
2000-03-30,30.5,31.56,30.5,31.25,10.4248,248400,0.0,1.0
2000-03-31,31.5,32.25,31.44,32.25,10.7584,408000,0.0,1.0
2000-04-03,32.25,32.25,30.62,31.0,10.3414,555900,0.0,1.0
2000-04-04,31.0,31.25,30.0,31.25,10.4248,652800,0.0,1.0
2000-04-05,31.62,33.5,31.62,32.19,10.7384,256700,0.0,1.0
2000-04-06,32.38,33.63,32.25,33.38,11.1353,244600,0.0,1.0
2000-04-07,33.31,33.94,33.06,33.88,11.3021,151200,0.0,1.0
2000-04-10,33.63,33.81,33.19,33.19,11.072,109600,0.0,1.0
2000-04-11,33.31,33.88,33.0,33.81,11.2788,107100,0.0,1.0
2000-04-12,33.69,35.38,33.69,35.13,11.7191,164100,0.0,1.0
2000-04-13,36.5,36.56,35.69,36.0,12.0093,330300,0.0,1.0
2000-04-14,35.25,35.25,33.75,33.81,11.2788,167100,0.0,1.0
2000-04-17,33.63,34.69,32.5,34.69,11.5723,201800,0.0,1.0
2000-04-18,34.69,34.69,32.75,33.0,11.0086,176300,0.0,1.0
2000-04-19,33.0,33.19,32.75,32.94,10.9886,137400,0.0,1.0
2000-04-20,33.0,33.31,32.63,33.19,11.072,160700,0.0,1.0
2000-04-24,33.19,33.75,32.75,32.81,10.9452,56700,0.0,1.0
2000-04-25,32.75,34.0,31.12,33.69,11.2387,178000,0.0,1.0
2000-04-26,33.94,33.94,32.88,33.0,11.0086,75000,0.0,1.0
2000-04-27,32.94,32.94,31.5,31.81,10.6116,98600,0.0,1.0
2000-04-28,31.69,31.69,30.75,31.19,10.4048,163800,0.0,1.0
2000-05-01,31.37,32.06,31.12,31.94,10.655,90000,0.0,1.0
2000-05-02,31.87,32.44,31.62,31.62,10.5482,105300,0.0,1.0
2000-05-03,31.87,32.75,31.62,31.75,10.5916,81700,0.0,1.0
2000-05-04,32.0,35.0,32.0,34.5,11.509,207300,0.0,1.0
2000-05-05,34.5,34.5,33.5,33.88,11.3021,111900,0.0,1.0
2000-05-08,33.63,34.75,33.44,34.75,11.5924,130600,0.0,1.0
2000-05-09,34.63,35.13,34.31,35.13,11.7191,159900,0.0,1.0
2000-05-10,35.13,35.13,34.5,34.81,11.6124,72800,0.0,1.0
2000-05-11,34.69,35.44,34.63,35.25,11.7592,153000,0.0,1.0
2000-05-12,35.25,35.25,34.0,34.19,11.4055,86400,0.0,1.0
2000-05-15,34.0,35.25,34.0,34.06,11.3622,131900,0.0,1.0
