,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,103.6,103.6,100.4,102.1,31.3767,814700,0.0,1.0
2000-01-19,101.8,104.4,101.8,102.9,31.6225,1471700,0.0,1.0
2000-01-20,103.1,103.6,99.25,101.1,31.0694,1249500,0.0,1.0
2000-01-21,103.0,103.0,100.1,101.5,31.1923,1048300,0.0,1.0
2000-01-24,102.3,103.2,101.8,102.3,31.4381,754900,0.0,1.0
2000-01-25,102.1,102.3,100.1,100.9,31.0079,900100,0.0,1.0
2000-01-26,101.0,102.0,99.63,100.8,30.9772,820700,0.0,1.0
2000-01-27,101.5,101.9,97.19,100.8,30.9772,1280800,0.0,1.0
2000-01-28,96.0,97.13,94.63,96.0,29.5021,1649200,0.0,1.0
2000-01-31,94.75,94.81,89.5,94.0,28.8874,1401400,0.0,1.0
2000-02-01,93.94,99.25,93.25,97.56,29.9815,1081600,0.0,1.0
2000-02-02,97.56,98.69,93.75,94.69,29.0995,1203600,0.0,1.0
2000-02-03,95.38,96.63,94.5,96.63,29.6957,849100,0.0,1.0
2000-02-04,95.38,97.13,95.38,96.69,29.7141,534500,0.0,1.0
2000-02-07,95.81,95.81,93.38,95.19,29.2531,723200,0.0,1.0
2000-02-08,95.63,97.13,94.44,95.0,29.1948,696600,0.0,1.0
2000-02-09,95.13,95.19,89.25,91.94,28.2544,984700,0.0,1.0
2000-02-10,91.56,91.56,84.38,87.31,26.8315,1356500,0.0,1.0
2000-02-11,87.81,87.81,83.38,84.44,25.9495,1133500,0.0,1.0
2000-02-14,84.44,84.88,82.56,83.38,25.6238,903000,0.0,1.0
2000-02-15,83.31,85.38,81.81,84.5,25.968,1096000,0.0,1.0
2000-02-16,84.38,85.94,82.56,82.75,25.4302,710400,0.0,1.0
2000-02-17,84.5,86.13,82.75,86.13,26.4689,1025900,0.0,1.0
2000-02-18,86.13,86.63,82.13,82.88,25.4701,1001200,0.0,1.0
2000-02-22,82.25,83.88,80.19,81.44,25.0276,776400,0.0,1.0
2000-02-23,82.0,82.0,80.0,81.0,24.8924,655300,0.0,1.0
2000-02-24,81.5,82.0,78.5,79.81,24.5267,871200,0.0,1.0
2000-02-25,80.06,81.38,75.75,77.63,23.8567,988400,0.0,1.0
2000-02-28,78.13,78.88,76.44,77.25,23.7399,1310200,0.0,1.0
2000-02-29,74.75,77.75,74.75,77.38,23.7799,1893400,0.0,1.0
2000-03-01,76.75,78.56,76.31,78.06,23.9889,862900,0.0,1.0
2000-03-02,79.0,80.63,78.0,80.0,24.5851,980500,0.0,1.0
2000-03-03,79.81,81.13,78.75,79.63,24.4714,724300,0.0,1.0
2000-03-06,79.63,79.63,77.56,78.0,23.9704,459200,0.0,1.0
2000-03-07,79.5,79.63,73.5,73.56,22.606,767300,0.0,1.0
2000-03-08,73.75,74.63,71.44,73.25,22.5107,686300,0.0,1.0
2000-03-09,73.0,75.25,70.5,73.0,22.4339,775400,0.0,1.0
2000-03-10,73.25,75.69,72.94,74.56,22.9133,529400,0.0,1.0
2000-03-13,73.13,76.75,72.88,75.69,23.2605,712700,0.0,1.0
2000-03-14,77.5,79.81,77.5,79.63,24.4714,1854900,0.0,1.0
2000-03-15,83.75,92.0,83.38,90.56,27.8303,2129600,0.0,1.0
2000-03-16,91.0,99.94,89.75,99.56,30.5961,2013700,0.0,1.0
2000-03-17,97.0,97.25,94.25,94.38,29.0042,1590700,0.0,1.0
2000-03-20,93.38,94.38,90.06,92.06,28.2913,717300,0.0,1.0
2000-03-21,90.63,94.31,90.38,93.63,28.7737,843900,0.0,1.0
2000-03-22,92.5,94.88,92.44,94.88,29.1579,833400,0.0,1.0
2000-03-23,93.88,96.94,92.94,96.94,29.7909,742600,0.0,1.0
2000-03-24,96.0,97.75,94.56,96.0,29.5021,981000,0.0,1.0
2000-03-27,96.06,96.06,91.25,92.5,28.4265,675600,0.0,1.0
2000-03-28,92.0,96.75,91.63,94.63,29.081,1025900,0.0,1.0
2000-03-29,94.63,95.5,92.81,93.88,28.8506,607000,0.0,1.0
2000-03-30,93.94,104.5,93.63,103.6,31.8376,2307500,0.0,1.0
2000-03-31,103.5,110.7,100.8,110.3,33.8966,2317100,0.0,1.0
2000-04-03,106.8,106.9,104.9,106.2,32.6367,2533900,0.0,1.0
2000-04-04,105.0,106.4,102.3,105.0,32.2679,2495000,0.0,1.0
2000-04-05,102.5,103.4,100.8,101.4,31.1616,1603700,0.0,1.0
2000-04-06,101.9,105.3,101.8,104.9,32.3754,1096800,0.45,1.0
2000-04-07,104.0,104.1,99.75,100.3,30.9557,718800,0.0,1.0
2000-04-10,100.1,102.0,98.75,101.4,31.2952,1049800,0.0,1.0
2000-04-11,101.4,103.1,100.4,101.6,31.357,1277700,0.0,1.0
2000-04-12,101.7,105.8,101.7,102.9,31.7582,999500,0.0,1.0
2000-04-13,102.0,103.1,100.1,102.3,31.573,673400,0.0,1.0
2000-04-14,100.5,100.5,94.63,95.63,29.5144,1058400,0.0,1.0
2000-04-17,95.56,95.56,91.38,91.81,28.3355,1017000,0.0,1.0
2000-04-18,91.94,95.38,91.88,94.94,29.3015,1288800,0.0,1.0
2000-04-19,95.75,95.88,93.13,94.13,29.0515,434000,0.0,1.0
2000-04-20,95.25,97.25,94.75,96.69,29.8416,401700,0.0,1.0
2000-04-24,96.63,98.0,94.75,96.44,29.7644,458000,0.0,1.0
2000-04-25,97.5,103.8,97.13,102.0,31.4804,869100,0.0,1.0
2000-04-26,101.8,101.8,99.5,100.0,30.8632,594600,0.0,1.0
2000-04-27,98.0,100.9,97.13,100.4,30.9866,645000,0.0,1.0
2000-04-28,99.75,100.9,96.75,98.56,30.4187,464400,0.0,1.0
2000-05-01,98.13,103.8,98.13,103.1,31.8199,1052600,0.0,1.0
2000-05-02,102.5,103.3,99.44,102.1,31.5113,500500,0.0,1.0
2000-05-03,101.5,101.5,97.31,97.63,30.1317,304800,0.0,1.0
2000-05-04,97.75,99.88,97.31,99.25,30.6317,574500,0.0,1.0
2000-05-05,98.75,99.0,97.75,98.31,30.3416,291600,0.0,1.0
2000-05-08,98.31,100.5,97.63,100.0,30.8632,378200,0.0,1.0
2000-05-09,99.75,99.94,97.13,97.94,30.2274,318100,0.0,1.0
2000-05-10,97.81,98.88,94.63,95.0,29.32,664800,0.0,1.0
2000-05-11,96.0,97.44,95.44,97.19,29.9959,772800,0.0,1.0
2000-05-12,96.94,97.0,95.5,96.06,29.6471,594300,0.0,1.0
2000-05-15,96.19,106.0,95.88,106.0,32.7149,938100,0.0,1.0
2000-05-16,106.3,109.4,106.1,107.7,33.2396,1096000,0.0,1.0
2000-05-17,106.8,108.0,105.3,107.1,33.0544,775400,0.0,1.0
2000-05-18,106.3,109.5,106.3,107.4,33.147,565000,0.0,1.0
2000-05-19,106.5,106.8,103.3,104.4,32.2211,577800,0.0,1.0
2000-05-22,104.9,106.7,103.7,106.3,32.8075,569900,0.0,1.0
2000-05-23,104.8,106.3,104.0,104.9,32.3754,505000,0.0,1.0
2000-05-24,104.9,109.6,104.9,107.3,33.1162,758800,0.0,1.0
2000-05-25,108.3,111.4,105.5,107.7,33.2396,1210900,0.0,1.0
2000-05-26,107.7,109.0,105.9,107.9,33.3013,532300,0.0,1.0
2000-05-30,109.0,111.4,107.9,111.1,34.289,641500,0.0,1.0
2000-05-31,111.0,112.5,110.5,111.5,34.4124,918400,0.0,1.0
2000-06-01,108.5,109.6,107.4,108.9,33.61,1157100,0.0,1.0
2000-06-02,110.0,111.8,110.0,110.8,34.1964,1165000,0.0,1.0
2000-06-05,110.6,110.6,106.5,107.3,33.1162,501500,0.0,1.0
2000-06-06,106.5,107.1,102.5,103.6,31.9742,701700,0.0,1.0
2000-06-07,103.6,105.9,103.1,104.9,32.3754,839800,0.0,1.0
2000-06-08,104.9,105.4,101.6,102.9,31.7582,575700,0.0,1.0
2000-06-09,103.1,103.5,100.7,100.9,31.1409,416700,0.0,1.0
2000-06-12,101.5,101.9,100.5,100.5,31.0175,377100,0.0,1.0
2000-06-13,100.5,103.8,99.69,103.1,31.8199,711400,0.0,1.0
2000-06-14,103.1,109.0,102.9,108.5,33.4865,840000,0.0,1.0
2000-06-15,108.8,108.8,105.3,108.2,33.3939,809300,0.0,1.0
2000-06-16,107.3,107.9,105.1,105.7,32.6224,786800,0.0,1.0
2000-06-19,104.4,107.7,104.4,107.1,33.0544,574500,0.0,1.0
2000-06-20,108.3,108.3,106.1,107.3,33.1162,487500,0.0,1.0
2000-06-21,107.6,107.6,104.6,105.6,32.5915,343900,0.0,1.0
2000-06-22,105.9,105.9,103.1,103.5,31.9434,677500,0.0,1.0
2000-06-23,103.5,106.9,103.5,105.3,32.4989,398600,0.0,1.0
2000-06-26,106.3,108.4,105.7,108.2,33.3939,745000,0.0,1.0
2000-06-27,108.6,110.0,108.1,109.3,33.7334,547300,0.0,1.0
2000-06-28,109.3,111.1,108.6,108.7,33.5482,466300,0.0,1.0
2000-06-29,108.6,111.3,106.4,110.6,34.1346,469800,0.0,1.0
2000-06-30,109.4,109.4,102.7,104.4,32.2211,1083300,0.0,1.0
2000-07-03,104.3,104.9,102.8,104.9,32.3754,273100,0.0,1.0
2000-07-05,105.8,109.8,104.1,106.8,32.9618,831700,0.0,1.0
2000-07-06,106.6,107.5,105.8,106.1,32.9001,667200,0.5,1.0
2000-07-07,107.1,109.4,106.8,108.1,33.5203,467100,0.0,1.0
2000-07-10,107.9,109.9,107.7,109.1,33.8304,678000,0.0,1.0
2000-07-11,109.1,110.3,108.1,109.4,33.9234,493400,0.0,1.0
2000-07-12,109.8,110.2,107.2,107.9,33.4583,767300,0.0,1.0
2000-07-13,108.6,110.8,107.5,110.6,34.2955,679000,0.0,1.0
2000-07-14,110.6,110.9,108.5,110.6,34.2955,415200,0.0,1.0
2000-07-17,108.8,109.4,107.6,109.4,33.9234,769100,0.0,1.0
2000-07-18,108.9,108.9,107.6,108.4,33.6133,579000,0.0,1.0
2000-07-19,108.6,110.5,108.1,110.0,34.1095,626900,0.0,1.0
2000-07-20,111.5,114.8,111.5,112.2,34.7916,992500,0.0,1.0
2000-07-21,112.4,115.3,109.8,110.5,34.2645,1000100,0.0,1.0
2000-07-24,111.8,114.1,109.1,110.3,34.2025,638500,0.0,1.0
2000-07-25,110.9,114.9,110.6,114.9,35.6289,760200,0.0,1.0
2000-07-26,115.3,117.7,115.0,115.6,35.8459,1717900,0.0,1.0
2000-07-27,114.8,120.9,114.5,120.1,37.2413,1279300,0.0,1.0
2000-07-28,119.6,119.9,116.5,117.3,36.3731,801800,0.0,1.0
2000-07-31,120.0,127.4,119.5,122.0,37.8305,2038500,0.0,1.0
2000-08-01,122.8,125.2,122.3,124.3,38.5437,1587200,0.0,1.0
2000-08-02,124.4,124.4,118.3,118.5,36.7452,1604700,0.0,1.0
2000-08-03,119.0,122.6,118.0,121.1,37.5514,1415100,0.0,1.0
2000-08-04,122.0,124.4,122.0,122.9,38.1096,982800,0.0,1.0
2000-08-07,123.2,124.9,121.8,124.2,38.5127,974200,0.0,1.0
2000-08-08,122.5,124.6,122.5,122.6,38.0165,878600,0.0,1.0
2000-08-09,122.4,125.9,120.3,123.8,38.3886,930800,0.0,1.0
2000-08-10,123.6,124.8,122.3,123.4,38.2646,461600,0.0,1.0
2000-08-11,123.3,124.2,122.6,123.5,38.2956,697000,0.0,1.0
2000-08-14,123.0,124.1,122.0,123.5,38.2956,655900,0.0,1.0
2000-08-15,122.9,122.9,120.4,120.4,37.3343,686500,0.0,1.0
2000-08-16,118.0,120.3,118.0,118.6,36.7762,570900,0.0,1.0
2000-08-17,117.3,119.8,117.3,119.0,36.9002,693400,0.0,1.0
2000-08-18,118.8,118.8,116.2,117.6,36.4661,592200,0.0,1.0
2000-08-21,118.0,119.2,117.5,118.7,36.8072,416200,0.0,1.0
2000-08-22,118.8,118.9,116.6,117.3,36.3731,391000,0.0,1.0
2000-08-23,117.0,119.9,116.5,118.1,36.6212,570700,0.0,1.0
2000-08-24,117.9,118.4,115.6,116.2,36.032,374900,0.0,1.0
2000-08-25,116.3,117.1,115.9,117.1,36.3111,365700,0.0,1.0
2000-08-28,118.0,119.8,117.5,119.4,37.0243,439300,0.0,1.0
2000-08-29,119.0,119.1,117.6,118.3,36.6832,369800,0.0,1.0
2000-08-30,118.4,120.4,118.0,118.5,36.7452,453500,0.0,1.0
2000-08-31,118.5,119.9,118.4,118.6,36.7762,692500,0.0,1.0
