,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,97.25,99.25,97.13,97.13,29.7057,1057400,0.0,1.0
2000-01-19,97.75,99.94,97.75,98.81,30.2195,1314100,0.0,1.0
2000-01-20,99.06,99.38,94.5,95.13,29.094,1552300,0.0,1.0
2000-01-21,95.25,96.56,94.56,94.94,29.0359,2245900,0.0,1.0
2000-01-24,95.81,95.81,91.63,92.75,28.3661,1485500,0.0,1.0
2000-01-25,94.88,94.88,90.25,91.38,27.9472,1845600,0.0,1.0
2000-01-26,95.88,97.5,95.31,96.31,29.4549,3510400,0.0,1.0
2000-01-27,97.19,98.31,96.06,96.25,29.4366,1457400,0.0,1.0
2000-01-28,95.75,95.81,92.25,92.25,28.2132,1873700,0.0,1.0
2000-01-31,92.25,97.38,92.06,93.63,28.6353,1641400,0.0,1.0
2000-02-01,94.38,96.19,93.75,94.13,28.7882,1321100,0.0,1.0
2000-02-02,93.19,94.0,92.0,92.5,28.2897,1462100,0.0,1.0
2000-02-03,91.94,92.13,90.0,91.69,28.042,1760300,0.0,1.0
2000-02-04,91.94,92.44,89.06,89.06,27.2376,1646700,0.0,1.0
2000-02-07,89.25,89.38,86.63,87.63,26.8003,1967700,0.0,1.0
2000-02-08,87.63,90.19,87.44,87.69,26.8186,1442000,0.0,1.0
2000-02-09,88.63,89.0,87.5,87.63,26.8003,1300200,0.0,1.0
2000-02-10,87.25,87.25,85.31,86.0,26.3018,2010000,0.0,1.0
2000-02-11,85.38,86.5,81.31,82.94,25.3659,2245800,0.0,1.0
2000-02-14,83.25,84.75,82.38,82.88,25.3476,1678200,0.0,1.0
2000-02-15,83.75,90.56,83.5,89.13,27.259,1868000,0.0,1.0
2000-02-16,88.38,90.38,87.56,88.31,27.0082,1290900,0.0,1.0
2000-02-17,89.0,91.88,88.94,89.63,27.4119,1702700,0.0,1.0
2000-02-18,89.88,90.69,86.38,87.56,26.7789,1432100,0.0,1.0
2000-02-22,87.75,90.44,86.5,90.13,27.5649,1442300,0.0,1.0
2000-02-23,91.38,93.94,90.81,92.31,28.409,2230400,0.58,1.0
2000-02-24,91.88,92.13,89.56,91.0,28.0058,1900100,0.0,1.0
2000-02-25,88.13,89.31,85.19,85.75,26.3901,1813600,0.0,1.0
2000-02-28,86.94,88.88,85.0,86.44,26.6024,1538300,0.0,1.0
2000-02-29,85.31,89.19,84.63,88.19,27.141,1382700,0.0,1.0
2000-03-01,87.19,87.75,85.06,86.13,26.507,1445800,0.0,1.0
