,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-06-23,38.0,39.0,36.5,39.0,15.5264,2548771,0.0,1.0
2011-06-24,38.75,39.15,36.84,37.25,14.8297,837700,0.0,1.0
2011-06-27,36.69,37.95,36.59,37.65,14.989,447600,0.0,1.0
2011-06-28,38.34,39.99,37.7,38.7,15.407,2075900,0.0,1.0
2011-06-29,39.0,40.97,38.7,40.07,15.9524,1847600,0.0,1.0
2011-06-30,40.67,42.0,40.175,41.4,16.4819,1512800,0.0,1.0
2011-07-01,41.2,47.43,41.0,42.2,16.8004,4167100,0.0,1.0
2011-07-05,42.21,43.0,41.65,42.21,16.8044,5911500,0.0,1.0
2011-07-06,41.6,42.25,41.01,41.89,16.677,5491500,0.0,1.0
2011-07-07,42.19,43.26,41.705,41.78,16.6332,8353800,0.0,1.0
2011-07-08,40.8,42.6,40.52,41.41,16.4859,8208500,0.0,1.0
2011-07-11,40.79,40.79,39.51,40.1,15.9643,4747600,0.0,1.0
2011-07-12,39.86,40.99,39.44,40.48,16.1156,4005600,0.0,1.0
2011-07-13,40.52,41.24,39.24,39.96,15.9086,5821400,0.0,1.0
2011-07-14,39.97,40.02,38.21,38.64,15.3831,5764200,0.0,1.0
2011-07-15,39.0,39.47,38.1,39.16,15.5901,4969200,0.0,1.0
2011-07-18,38.73,39.59,37.75,39.12,15.5742,4155800,0.0,1.0
2011-07-19,39.26,39.94,39.13,39.74,15.821,3211500,0.0,1.0
2011-07-20,39.79,39.94,39.4,39.53,15.7374,2724500,0.0,1.0
2011-07-21,39.53,40.24,39.11,40.1,15.9643,3624600,0.0,1.0
2011-07-22,40.28,40.82,39.91,40.57,16.1514,3322800,0.0,1.0
2011-07-25,41.25,42.12,40.65,41.37,16.4699,4449300,0.0,1.0
2011-07-26,41.39,43.72,41.27,43.05,17.1388,5662100,0.0,1.0
2011-07-27,43.02,43.3,41.97,42.06,16.7446,3499200,0.0,1.0
2011-07-28,42.43,42.94,42.19,42.78,17.0313,3327300,0.0,1.0
2011-07-29,42.35,44.61,41.974,43.79,17.4334,5354800,0.0,1.0
2011-08-01,45.04,45.38,43.99,44.97,17.9031,5759200,0.0,1.0
2011-08-02,44.53,44.9,42.25,42.33,16.8521,5497800,0.0,1.0
2011-08-03,43.28,45.4,39.02,41.43,16.4938,6706900,0.0,1.0
2011-08-04,40.71,40.71,37.23,38.42,15.2955,7688900,0.0,1.0
2011-08-05,38.91,39.22,33.44,37.31,14.8536,6174300,0.0,1.0
2011-08-08,35.24,36.0,29.48,32.33,12.871,8271500,0.0,1.0
2011-08-09,33.07,36.41,32.42,36.1,14.3719,6027100,0.0,1.0
2011-08-10,35.55,36.84,34.12,35.12,13.9817,4841300,0.0,1.0
2011-08-11,35.9,38.6,35.43,37.34,14.8655,4378200,0.0,1.0
2011-08-12,37.59,39.12,36.905,37.41,14.8934,2953400,0.0,1.0
2011-08-15,37.89,39.65,37.89,39.1,15.6458,2682700,0.2,1.0
