,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,26.25,26.56,25.94,26.44,4.9601,2482600,0.0,1.0
2000-01-19,26.31,26.81,26.25,26.69,5.007,1992750,0.0,1.0
2000-01-20,26.56,26.62,25.5,25.75,4.8306,3027300,0.0,1.0
2000-01-21,26.25,27.37,26.25,26.62,4.9938,2665700,0.0,1.0
2000-01-24,26.0,26.37,25.31,25.37,4.7593,4165950,0.0,1.0
2000-01-25,25.44,25.81,24.12,24.81,4.6543,2779200,0.0,1.0
2000-01-26,24.0,25.69,24.0,25.0,4.6899,4011550,0.0,1.0
2000-01-27,25.75,25.75,24.25,24.37,4.5717,2310600,0.0,1.0
2000-01-28,24.69,25.0,24.25,24.62,4.6186,2449450,0.0,1.0
2000-01-31,24.37,25.75,24.12,25.69,4.8194,2590400,0.0,1.0
2000-02-01,25.44,25.44,24.62,24.69,4.6318,834000,0.0,1.0
2000-02-02,24.94,25.87,24.81,25.56,4.795,2155550,0.0,1.0
2000-02-03,25.31,25.31,24.69,25.06,4.7012,1973800,0.0,1.0
2000-02-04,26.25,26.25,24.0,24.5,4.5961,3016400,0.0,1.0
2000-02-07,24.19,25.19,23.94,25.0,4.6899,2791600,0.0,1.0
2000-02-08,25.25,25.5,24.37,24.44,4.5849,817050,0.0,1.0
2000-02-09,24.19,24.37,23.19,23.37,4.3841,1887150,0.0,1.0
2000-02-10,23.44,24.44,23.37,23.94,4.4911,1418600,0.0,1.0
2000-02-11,23.94,24.0,22.56,23.0,4.3147,1620100,0.0,1.0
2000-02-14,23.0,23.5,22.75,23.37,4.4235,2251800,0.21,1.0
2000-02-15,23.56,24.19,23.56,23.94,4.5314,1839850,0.0,1.0
2000-02-16,24.0,24.75,23.94,24.44,4.6261,1846900,0.0,1.0
2000-02-17,24.69,24.87,23.63,24.31,4.6015,981050,0.0,1.0
2000-02-18,23.81,24.12,22.63,23.25,4.4008,1157550,0.0,1.0
2000-02-22,23.5,23.81,22.69,23.0,4.3535,1620950,0.0,1.0
2000-02-23,22.06,22.5,21.81,21.94,4.1529,2388400,0.0,1.0
2000-02-24,21.81,22.0,21.25,21.56,4.0809,2912450,0.0,1.0
2000-02-25,22.0,22.0,20.69,21.25,4.0222,3305600,0.0,1.0
2000-02-28,21.06,21.81,21.0,21.31,4.0336,2332900,0.0,1.0
2000-02-29,21.44,21.81,21.19,21.63,4.0942,2605000,0.0,1.0
2000-03-01,21.87,22.5,21.25,22.31,4.2229,3156900,0.0,1.0
2000-03-02,21.94,24.0,21.94,23.56,4.4595,3626800,0.0,1.0
2000-03-03,24.19,24.19,22.63,23.19,4.3895,1730550,0.0,1.0
2000-03-06,23.25,23.5,22.81,23.12,4.3762,1326200,0.0,1.0
2000-03-07,24.0,25.06,23.37,24.75,4.6847,2475400,0.0,1.0
2000-03-08,24.62,25.94,24.5,24.56,4.6488,4867350,0.0,1.0
2000-03-09,24.0,25.06,23.94,24.81,4.6961,2263850,0.0,1.0
2000-03-10,24.87,26.12,24.5,25.0,4.7321,2998800,0.0,1.0
2000-03-13,24.5,25.87,24.5,25.0,4.7321,2590750,0.0,1.0
2000-03-14,24.94,25.37,24.19,24.69,4.6734,2233500,0.0,1.0
2000-03-15,24.44,26.0,23.75,25.44,4.8153,4286500,0.0,1.0
2000-03-16,24.87,26.06,24.59,25.94,4.91,2759550,0.0,1.0
2000-03-17,24.75,25.62,24.25,24.31,4.6015,3587250,0.0,1.0
2000-03-20,24.56,24.56,24.0,24.12,4.5655,1691150,0.0,1.0
2000-03-21,24.12,24.87,24.06,24.5,4.6374,2570800,0.0,1.0
2000-03-22,23.94,24.5,23.75,23.94,4.5314,2430650,0.0,1.0
2000-03-23,23.87,23.87,22.75,22.75,4.3062,7551350,0.0,1.0
2000-03-24,22.75,23.5,22.5,22.75,4.3062,5727400,0.0,1.0
2000-03-27,22.63,23.31,22.31,23.25,4.4008,2738800,0.0,1.0
