,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,137.31,138.75,133.69,133.75,39.7121,1730200,0.0,1.0
2000-01-19,134.62,137.19,134.5,135.69,40.2882,1726100,0.0,1.0
2000-01-20,134.12,137.25,133.25,134.81,40.0269,2240500,0.0,1.0
2000-01-21,134.75,134.75,131.5,132.5,39.341,1982500,0.0,1.0
2000-01-24,133.5,134.5,125.44,128.0,38.0049,2095500,0.0,1.0
2000-01-25,127.75,131.38,127.0,129.44,38.4325,2030700,0.0,1.0
2000-01-26,130.5,132.88,128.25,132.88,39.4538,2751600,0.0,1.0
2000-01-27,66.0,68.38,65.62,67.56,40.1189,1504950,0.0,2.0
2000-01-28,66.0,67.69,62.88,63.31,37.5952,3565800,0.0,1.0
2000-01-31,63.5,66.25,62.5,66.25,39.341,2606800,0.0,1.0
2000-02-01,65.62,65.88,63.56,64.0,38.0049,3177500,0.0,1.0
2000-02-02,63.75,67.25,62.62,65.12,38.67,3001000,0.0,1.0
2000-02-03,66.0,66.62,64.25,66.0,39.1925,4021700,0.0,1.0
2000-02-04,65.62,65.88,64.06,65.69,39.0085,2411100,0.0,1.0
2000-02-07,64.5,65.38,64.0,65.12,38.67,2611500,0.0,1.0
2000-02-08,67.0,68.69,66.5,67.81,40.2674,2829000,0.0,1.0
2000-02-09,68.81,68.94,66.5,67.19,39.8992,3247900,0.0,1.0
2000-02-10,67.25,68.0,65.81,66.81,39.6735,2029600,0.0,1.0
2000-02-11,66.88,69.06,66.38,66.75,39.6379,2970400,0.0,1.0
2000-02-14,67.5,67.75,65.75,66.0,39.1925,1858800,0.0,1.0
2000-02-15,64.81,65.69,64.5,65.56,38.9313,2999100,0.0,1.0
2000-02-16,65.56,66.44,64.25,65.56,38.9313,2455100,0.0,1.0
2000-02-17,65.19,65.5,62.88,63.25,37.5595,2658800,0.0,1.0
2000-02-18,63.25,64.25,60.12,61.25,36.3719,3347800,0.0,1.0
2000-02-22,62.25,62.69,60.5,62.31,37.0013,3025700,0.0,1.0
2000-02-23,62.06,67.25,61.62,65.75,39.0441,3966300,0.0,1.0
2000-02-24,67.5,70.25,66.12,69.06,41.0097,5636000,0.0,1.0
2000-02-25,69.12,71.19,67.75,69.88,41.4966,4249800,0.0,1.0
