,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,423.0,424.75,420.0,420.0,25.8845,5600,0.0,1.0
2000-01-19,416.0,417.44,411.25,412.0,25.3914,7500,0.0,1.0
2000-01-20,413.0,413.0,408.75,408.75,25.1911,2800,0.0,1.0
2000-01-21,410.13,414.0,410.0,411.81,25.3797,6600,0.0,1.0
2000-01-24,412.0,412.25,405.0,405.0,24.96,22200,0.0,1.0
2000-01-25,407.0,407.0,400.06,405.0,24.96,17100,0.0,1.0
2000-01-26,400.0,419.5,400.0,419.5,25.8536,22400,0.0,1.0
2000-01-27,421.75,422.0,415.75,420.0,25.8845,16900,0.0,1.0
2000-01-28,416.5,416.5,402.0,406.5,25.0525,4800,0.0,1.0
2000-01-31,406.0,414.5,401.94,411.0,25.3298,10600,0.0,1.0
2000-02-01,408.0,416.25,400.5,401.5,24.7443,5000,0.0,1.0
2000-02-02,401.75,406.75,400.5,404.0,24.8984,7300,0.0,1.0
2000-02-03,407.0,407.0,400.0,400.19,24.6636,9200,0.0,1.0
2000-02-04,400.19,407.0,400.0,405.25,24.9754,8400,0.0,1.0
2000-02-07,405.5,406.5,401.75,402.25,24.7905,7400,0.0,1.0
2000-02-08,402.5,405.0,402.5,403.5,24.8676,9600,0.0,1.0
2000-02-09,401.0,405.5,400.5,401.13,24.7215,13300,0.0,1.0
2000-02-10,401.5,401.75,401.0,401.0,24.7135,21100,0.0,1.0
2000-02-11,401.06,405.88,400.0,400.0,24.6519,14500,0.0,1.0
2000-02-14,400.0,401.5,395.75,400.0,24.6519,11500,0.0,1.0
2000-02-15,397.0,397.0,387.25,392.0,24.1588,4600,0.0,1.0
2000-02-16,392.0,392.0,388.25,388.5,23.9431,19600,0.0,1.0
2000-02-17,388.5,388.5,377.0,384.75,23.712,8700,0.0,1.0
2000-02-18,383.25,391.0,370.5,376.0,23.1728,8700,0.0,1.0
2000-02-22,375.0,375.0,368.75,372.0,22.9262,11100,0.0,1.0
2000-02-23,372.0,372.0,365.0,368.0,22.6797,4800,0.0,1.0
2000-02-24,367.0,369.5,358.0,369.5,22.7722,12500,0.0,1.0
2000-02-25,364.0,370.0,357.0,369.31,22.7605,22400,0.0,1.0
2000-02-28,368.06,368.06,360.0,367.44,22.7222,24900,1.25,1.0
2000-02-29,369.0,376.5,365.06,369.0,22.8187,11300,0.0,1.0
2000-03-01,369.0,371.5,366.0,369.94,22.8768,12700,0.0,1.0
2000-03-02,372.75,375.0,369.5,370.0,22.8805,26300,0.0,1.0
2000-03-03,370.0,371.0,369.0,370.0,22.8805,23600,0.0,1.0
2000-03-06,370.0,376.0,370.0,375.0,23.1897,7700,0.0,1.0
2000-03-07,374.5,374.5,361.0,368.0,22.7569,6900,0.0,1.0
2000-03-08,367.0,367.0,360.0,364.0,22.5095,5900,0.0,1.0
2000-03-09,371.25,373.25,368.25,368.5,22.7878,18800,0.0,1.0
2000-03-10,368.56,375.5,361.0,373.75,23.1124,4500,0.0,1.0
2000-03-13,378.5,382.0,375.0,381.38,23.5843,7900,0.0,1.0
2000-03-14,382.38,384.0,382.22,383.63,23.7234,7600,0.0,1.0
2000-03-15,383.63,393.5,376.0,393.5,24.3338,14000,0.0,1.0
2000-03-16,394.0,424.5,392.06,424.5,26.2508,15200,0.0,1.0
2000-03-17,426.44,449.81,426.44,449.56,27.8005,17900,0.0,1.0
2000-03-20,445.0,445.0,432.0,437.94,27.0819,6600,0.0,1.0
2000-03-21,435.0,443.75,430.0,437.0,27.0238,10800,0.0,1.0
2000-03-22,458.13,458.13,432.56,443.5,27.4257,19200,0.0,1.0
2000-03-23,441.0,444.75,434.19,438.25,27.1011,16800,0.0,1.0
2000-03-24,441.25,449.0,441.0,448.75,27.7504,5400,0.0,1.0
2000-03-27,448.75,448.75,443.0,445.0,27.5185,3100,0.0,1.0
2000-03-28,444.0,447.5,440.69,442.25,27.3484,800,0.0,1.0
2000-03-29,442.25,449.88,441.75,449.88,27.8203,6600,0.0,1.0
2000-03-30,449.38,449.38,443.5,443.5,27.4257,6500,0.0,1.0
2000-03-31,443.5,450.0,432.0,446.5,27.6113,16800,0.0,1.0
2000-04-03,448.0,472.0,447.25,466.0,28.8171,17500,0.0,1.0
2000-04-04,463.5,463.5,462.0,462.13,28.5778,6400,0.0,1.0
2000-04-05,461.63,461.94,450.0,455.0,28.1369,1030000,0.0,1.0
2000-04-06,454.0,460.0,454.0,456.0,28.1987,3500,0.0,1.0
2000-04-07,456.0,456.0,443.06,446.5,27.6113,12200,0.0,1.0
2000-04-10,444.63,444.63,435.0,439.56,27.1821,5800,0.0,1.0
2000-04-11,437.56,460.0,437.56,458.0,28.3224,4500,0.0,1.0
2000-04-12,456.13,460.5,455.5,460.0,28.4461,1300,0.0,1.0
2000-04-13,469.0,469.0,467.69,467.69,28.9216,4800,0.0,1.0
2000-04-14,465.75,465.75,446.75,449.0,27.7659,10200,0.0,1.0
2000-04-17,448.0,448.0,430.0,435.0,26.9001,17000,0.0,1.0
2000-04-18,438.0,447.0,430.91,447.0,27.6422,10100,0.0,1.0
2000-04-19,443.0,443.0,436.0,436.56,26.9966,7500,0.0,1.0
2000-04-20,440.5,449.94,440.5,445.06,27.5222,2300,0.0,1.0
2000-04-24,449.88,449.88,446.0,446.38,27.6038,2200,0.0,1.0
2000-04-25,449.0,467.0,447.0,451.56,27.9242,73300,0.0,1.0
2000-04-26,450.0,450.0,435.0,435.0,26.9001,12000,0.0,1.0
2000-04-27,439.75,439.75,430.0,436.0,26.9619,12600,0.0,1.0
2000-04-28,435.0,439.25,435.0,439.25,27.1629,1900,0.0,1.0
2000-05-01,434.75,439.0,434.75,438.0,27.0856,10700,0.0,1.0
2000-05-02,440.0,442.75,436.5,436.5,26.9929,3600,0.0,1.0
2000-05-03,436.5,436.75,425.0,426.88,26.398,6000,0.0,1.0
2000-05-04,426.0,427.0,424.25,426.06,26.3473,4100,0.0,1.0
2000-05-05,425.81,440.0,425.63,439.88,27.2019,9400,0.0,1.0
2000-05-08,439.0,439.06,428.31,428.31,26.4864,7200,0.0,1.0
2000-05-09,425.0,427.0,421.13,421.94,26.0925,6300,0.0,1.0
2000-05-10,421.88,421.88,400.5,405.63,25.0839,12600,0.0,1.0
2000-05-11,405.56,417.0,405.56,408.5,25.2614,5500,0.0,1.0
2000-05-12,408.5,417.0,408.5,413.13,25.5477,5700,0.0,1.0
2000-05-15,412.63,417.0,407.75,417.0,25.787,26100,0.0,1.0
2000-05-16,416.5,418.0,408.0,415.0,25.6633,9600,0.0,1.0
2000-05-17,412.0,412.0,399.5,400.94,24.7939,73900,0.0,1.0
2000-05-18,400.94,419.75,400.5,405.31,25.0641,70500,0.0,1.0
2000-05-19,408.0,408.5,400.0,400.25,24.7512,34000,0.0,1.0
2000-05-22,400.75,412.75,400.75,410.06,25.3578,15400,0.0,1.0
2000-05-23,410.0,424.0,410.0,422.0,26.0962,13500,0.0,1.0
2000-05-24,422.0,440.25,420.0,436.25,26.9774,7700,0.0,1.0
2000-05-25,436.5,442.0,436.5,440.56,27.2439,18400,0.0,1.0
2000-05-26,440.81,445.25,435.0,442.0,27.333,2800,0.0,1.0
2000-05-30,445.0,452.13,443.25,451.25,27.9823,9700,1.25,1.0
2000-05-31,449.31,449.31,432.0,432.5,26.8196,13200,0.0,1.0
2000-06-01,434.5,456.0,434.5,454.5,28.1838,52400,0.0,1.0
2000-06-02,464.5,475.0,464.5,475.0,29.455,8600,0.0,1.0
2000-06-05,474.5,474.5,468.0,470.0,29.145,22800,0.0,1.0
2000-06-06,470.0,470.0,450.0,461.0,28.5869,23200,0.0,1.0
2000-06-07,461.0,461.69,459.38,460.0,28.5249,7200,0.0,1.0
2000-06-08,460.0,463.0,451.0,456.5,28.3078,12700,0.0,1.0
2000-06-09,450.5,456.5,443.0,444.0,27.5327,5200,0.0,1.0
2000-06-12,444.0,449.06,442.0,449.06,27.8465,3700,0.0,1.0
2000-06-13,445.0,451.25,445.0,450.56,27.9395,4200,0.0,1.0
2000-06-14,446.0,452.88,446.0,451.25,27.9823,4000,0.0,1.0
2000-06-15,451.0,451.19,439.0,450.0,27.9048,10100,0.0,1.0
2000-06-16,449.94,449.94,426.0,438.19,27.1724,17900,0.0,1.0
