,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,20.19,22.25,20.19,21.88,4.5341,1185400,0.0,1.0
2000-01-19,21.63,22.19,21.38,22.06,4.5714,560200,0.0,1.0
2000-01-20,22.13,22.19,21.81,22.0,4.5589,516600,0.0,1.0
2000-01-21,22.38,23.19,22.38,22.44,4.6501,472300,0.0,1.0
2000-01-24,22.69,23.25,21.44,21.44,4.4429,241100,0.0,1.0
2000-01-25,21.44,21.69,20.75,21.0,4.3517,339700,0.0,1.0
2000-01-26,21.25,21.5,20.75,20.75,4.2999,299800,0.0,1.0
2000-01-27,20.75,20.94,20.13,20.5,4.2481,396900,0.0,1.0
2000-01-28,20.31,20.69,19.94,20.0,4.1445,263800,0.0,1.0
2000-01-31,20.19,20.75,20.0,20.06,4.1569,270700,0.0,1.0
2000-02-01,20.25,21.44,20.06,21.31,4.416,519600,0.0,1.0
2000-02-02,21.25,22.38,21.13,21.13,4.3787,634500,0.0,1.0
2000-02-03,21.5,22.63,21.5,22.19,4.5983,732700,0.0,1.0
2000-02-04,22.0,23.0,21.44,21.44,4.4429,457700,0.0,1.0
2000-02-07,21.44,22.63,21.44,22.31,4.6232,341900,0.0,1.0
2000-02-08,22.38,22.69,21.38,21.44,4.4429,477300,0.0,1.0
2000-02-09,21.38,21.63,20.63,20.63,4.275,309900,0.0,1.0
2000-02-10,20.63,22.13,20.56,22.06,4.5714,300000,0.0,1.0
2000-02-11,22.06,22.44,21.38,21.38,4.4388,294800,0.04,1.0
2000-02-14,21.56,22.06,21.5,21.63,4.4907,184700,0.0,1.0
2000-02-15,21.75,23.0,21.75,22.75,4.7232,318600,0.0,1.0
2000-02-16,22.63,22.75,22.38,22.5,4.6713,404900,0.0,1.0
2000-02-17,22.81,23.44,22.31,22.94,4.7626,627100,0.0,1.0
2000-02-18,22.81,23.0,21.75,22.19,4.6069,372300,0.0,1.0
2000-02-22,22.19,22.38,21.44,21.75,4.5156,202500,0.0,1.0
2000-02-23,21.69,21.94,20.81,21.19,4.3993,282800,0.0,1.0
2000-02-24,21.06,21.19,20.81,20.94,4.3474,516300,0.0,1.0
2000-02-25,20.75,20.75,20.5,20.63,4.283,190600,0.0,1.0
2000-02-28,21.25,22.38,21.19,21.5,4.4637,497200,0.0,1.0
2000-02-29,21.69,22.81,21.69,22.5,4.6713,347400,0.0,1.0
2000-03-01,22.75,24.38,22.28,23.75,4.9308,656400,0.0,1.0
2000-03-02,24.63,27.0,24.44,26.19,5.4374,625600,0.0,1.0
2000-03-03,26.25,26.38,24.75,25.56,5.3066,353300,0.0,1.0
2000-03-06,25.31,26.0,25.25,25.5,5.2941,240400,0.0,1.0
2000-03-07,25.75,29.31,25.75,29.0,6.0208,827300,0.0,1.0
2000-03-08,28.63,29.69,27.94,28.81,5.9813,837500,0.0,1.0
2000-03-09,29.38,30.0,28.25,28.5,5.917,727400,0.0,1.0
2000-03-10,28.25,29.06,27.31,27.38,5.6844,427400,0.0,1.0
2000-03-13,27.38,28.31,26.94,27.06,5.618,228600,0.0,1.0
2000-03-14,27.0,27.75,26.0,27.56,5.7218,610900,0.0,1.0
2000-03-15,27.44,27.56,26.56,27.31,5.6699,356300,0.0,1.0
2000-03-16,27.19,28.81,27.19,28.56,5.9294,451100,0.0,1.0
2000-03-17,28.56,28.56,27.44,28.06,5.8256,237600,0.0,1.0
2000-03-20,28.19,28.5,27.5,28.5,5.917,469900,0.0,1.0
2000-03-21,28.13,29.13,27.81,28.13,5.8401,277600,0.0,1.0
2000-03-22,28.25,28.5,27.69,28.0,5.8131,360500,0.0,1.0
2000-03-23,28.0,28.0,27.19,28.0,5.8131,262000,0.0,1.0
2000-03-24,27.88,29.44,27.88,28.81,5.9813,586700,0.0,1.0
2000-03-27,28.69,28.69,27.63,28.38,5.892,356700,0.0,1.0
2000-03-28,28.13,28.94,28.13,28.44,5.9045,452300,0.0,1.0
2000-03-29,28.19,30.56,28.19,30.31,6.2927,946300,0.0,1.0
2000-03-30,30.19,32.63,30.19,32.13,6.6706,961300,0.0,1.0
2000-03-31,32.5,33.63,32.31,32.81,6.8118,1172700,0.0,1.0
2000-04-03,32.81,34.25,32.63,33.75,7.0069,459200,0.0,1.0
2000-04-04,34.0,34.88,31.88,31.94,6.6311,458200,0.0,1.0
2000-04-05,31.81,32.25,30.69,31.13,6.463,446000,0.0,1.0
2000-04-06,31.0,31.44,30.81,31.38,6.5149,492900,0.0,1.0
2000-04-07,31.38,31.63,30.44,30.56,6.3446,423900,0.0,1.0
2000-04-10,30.56,30.63,29.38,29.63,6.1516,446000,0.0,1.0
2000-04-11,29.38,30.13,29.13,30.0,6.2284,701100,0.0,1.0
2000-04-12,30.75,32.38,30.56,31.94,6.6311,572200,0.0,1.0
2000-04-13,31.5,32.44,31.5,31.88,6.6187,929800,0.0,1.0
2000-04-14,31.75,32.44,31.13,31.63,6.5668,398500,0.0,1.0
2000-04-17,30.75,31.19,30.13,30.38,6.3073,342700,0.0,1.0
2000-04-18,30.13,31.94,30.13,31.81,6.6041,565000,0.0,1.0
2000-04-19,31.69,33.38,31.5,33.38,6.9301,642600,0.0,1.0
2000-04-20,33.38,33.63,32.75,33.56,6.9675,248000,0.0,1.0
2000-04-24,33.56,35.25,33.56,35.25,7.3183,512500,0.0,1.0
2000-04-25,35.31,36.56,35.31,35.88,7.4491,562100,0.0,1.0
2000-04-26,35.88,35.94,34.38,34.63,7.1896,468700,0.0,1.0
2000-04-27,34.69,36.13,34.69,35.63,7.3972,445300,0.0,1.0
2000-04-28,35.88,36.5,35.88,36.06,7.4865,403500,0.0,1.0
2000-05-01,36.31,39.5,36.31,39.06,8.1093,1111700,0.0,1.0
2000-05-02,39.06,39.81,38.75,39.56,8.2131,478500,0.0,1.0
2000-05-03,39.81,39.88,36.44,37.25,7.7336,689700,0.0,1.0
2000-05-04,37.19,39.63,36.69,39.44,8.1965,574800,0.04,1.0
2000-05-05,39.69,39.88,38.44,38.94,8.0926,529300,0.0,1.0
2000-05-08,38.69,39.94,38.19,38.88,8.0802,790900,0.0,1.0
2000-05-09,39.0,39.63,38.25,39.44,8.1965,336100,0.0,1.0
2000-05-10,39.19,39.75,38.56,39.69,8.2485,313800,0.0,1.0
2000-05-11,39.75,42.0,39.75,41.88,8.7036,542400,0.0,1.0
2000-05-12,41.88,42.38,39.38,41.56,8.6371,640700,0.0,1.0
2000-05-15,41.06,41.13,39.75,40.0,8.3129,887400,0.0,1.0
2000-05-16,40.44,40.44,38.88,39.63,8.236,614000,0.0,1.0
