,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2002-07-01,15.0,15.0,15.0,15.0,13.0377,1300,0.0,1.0
2002-07-02,15.5,16.5,15.0,15.13,13.1507,7000,0.0,1.0
2002-07-03,14.0,16.0,14.0,15.0,13.0377,10200,0.0,1.0
2002-07-05,15.0,15.0,15.0,15.0,13.0377,500,0.0,1.0
2002-07-08,14.0,14.0,14.0,14.0,12.1685,300,0.0,1.0
2002-07-09,14.0,15.5,14.0,15.5,13.4723,2300,0.0,1.0
2002-07-10,13.75,15.5,13.75,15.5,13.4723,500,0.0,1.0
2002-07-11,15.5,15.5,15.5,15.5,13.4723,0,0.0,1.0
2002-07-12,15.0,15.0,15.0,15.0,13.0377,100,0.0,1.0
2002-07-15,14.75,14.75,12.5,12.75,11.082,42700,0.0,1.0
2002-07-16,12.75,12.75,12.5,12.5,10.8647,5900,0.0,1.0
2002-07-17,12.5,12.5,12.25,12.5,10.8647,2400,0.0,1.0
2002-07-18,12.3,12.3,11.75,11.75,10.2128,1400,0.0,1.0
2002-07-19,11.6,11.6,10.05,10.5,9.1264,10700,0.0,1.0
2002-07-22,10.5,10.5,10.0,10.2,8.8656,4600,0.0,1.0
2002-07-23,10.2,10.2,10.2,10.2,8.8656,100,0.0,1.0
2002-07-24,10.2,10.5,10.2,10.5,9.1264,2200,0.0,1.0
2002-07-25,10.15,10.5,10.15,10.15,8.8222,1300,0.0,1.0
2002-07-26,10.15,10.15,10.15,10.15,8.8222,0,0.0,1.0
2002-07-29,10.5,11.1,10.45,11.1,9.6479,4100,0.0,1.0
2002-07-30,11.25,11.85,11.25,11.5,9.9955,8900,0.0,1.0
2002-07-31,11.9,12.0,11.75,12.0,10.4301,5000,0.0,1.0
2002-08-01,11.8,11.9,11.8,11.8,10.2563,4300,0.0,1.0
2002-08-02,11.8,11.8,11.8,11.8,10.2563,0,0.0,1.0
2002-08-05,11.9,12.0,11.85,11.85,10.2998,28600,0.0,1.0
2002-08-06,12.0,12.0,12.0,12.0,10.4301,10000,0.0,1.0
2002-08-07,11.98,12.05,11.95,12.05,10.4736,4400,0.0,1.0
2002-08-08,12.1,12.1,12.05,12.1,10.517,12300,0.0,1.0
2002-08-09,12.15,12.15,12.15,12.15,10.5605,3400,0.0,1.0
2002-08-12,12.15,12.15,12.1,12.15,10.5605,24400,0.0,1.0
2002-08-13,12.2,12.2,12.1,12.2,10.604,3900,0.0,1.0
2002-08-14,12.15,12.2,12.15,12.2,10.604,3700,0.0,1.0
2002-08-15,12.15,12.15,12.1,12.1,10.517,700,0.0,1.0
2002-08-16,12.0,12.15,12.0,12.15,10.5605,8600,0.0,1.0
2002-08-19,12.15,12.15,11.65,11.65,10.1259,8700,0.0,1.0
2002-08-20,11.6,11.6,11.6,11.6,10.0825,100,0.0,1.0
2002-08-21,11.9,12.0,11.75,11.75,10.2128,16400,0.0,1.0
2002-08-22,11.75,11.75,11.0,11.0,9.561,35500,0.0,1.0
2002-08-23,11.0,11.1,11.0,11.1,9.6479,3700,0.0,1.0
2002-08-26,11.0,11.0,10.85,10.87,9.448,11900,0.0,1.0
2002-08-27,10.85,11.0,10.51,10.51,9.1351,23900,0.0,1.0
2002-08-28,10.5,10.5,10.0,10.1,8.7787,24700,0.0,1.0
2002-08-29,10.2,10.2,10.1,10.2,8.8656,8500,0.0,1.0
2002-08-30,10.3,10.3,10.0,10.0,8.6918,4200,0.0,1.0
2002-09-03,9.95,10.0,9.3,9.9,8.6049,8000,0.0,1.0
2002-09-04,9.35,9.5,8.9,9.3,8.0834,89100,0.0,1.0
2002-09-05,9.3,9.3,9.3,9.3,8.0834,3100,0.0,1.0
2002-09-06,9.3,9.7,9.3,9.7,8.431,30400,0.0,1.0
2002-09-09,9.75,9.9,9.7,9.8,8.5179,26000,0.0,1.0
2002-09-10,9.9,9.95,9.82,9.9,8.6049,36200,0.0,1.0
2002-09-11,10.0,10.05,9.9,10.05,8.7352,2400,0.0,1.0
2002-09-12,10.1,10.1,9.9,9.9,8.6049,4000,0.0,1.0
2002-09-13,9.9,9.94,9.9,9.94,8.6396,2800,0.0,1.0
2002-09-16,9.94,10.0,9.85,10.0,8.6918,10300,0.0,1.0
2002-09-17,9.75,9.9,9.75,9.9,8.6049,4800,0.0,1.0
2002-09-18,9.87,9.87,9.87,9.87,8.5788,1500,0.0,1.0
2002-09-19,9.8,9.8,9.8,9.8,8.5179,6200,0.0,1.0
2002-09-20,9.65,9.65,9.4,9.4,8.1703,2700,0.0,1.0
2002-09-23,9.75,9.75,9.7,9.7,8.431,1200,0.0,1.0
2002-09-24,9.4,9.4,9.4,9.4,8.1703,2000,0.0,1.0
2002-09-25,9.6,9.7,9.5,9.6,8.3441,7000,0.0,1.0
2002-09-26,9.7,9.7,9.7,9.7,8.431,1000,0.0,1.0
2002-09-27,9.6,9.6,9.3,9.49,8.2485,6200,0.0,1.0
2002-09-30,9.3,9.35,9.3,9.35,8.1268,3100,0.0,1.0
2002-10-01,9.5,9.5,9.5,9.5,8.2572,2000,0.0,1.0
2002-10-02,9.5,9.5,9.3,9.47,8.2311,8700,0.0,1.0
2002-10-03,9.55,9.55,9.55,9.55,8.3006,100,0.0,1.0
2002-10-04,9.55,9.55,9.55,9.55,8.3006,500,0.0,1.0
2002-10-07,9.4,9.5,9.4,9.5,8.2572,1000,0.0,1.0
2002-10-08,9.3,9.3,9.25,9.25,8.0399,3200,0.0,1.0
2002-10-09,9.25,9.3,9.0,9.0,7.8226,19100,0.0,1.0
2002-10-10,9.0,9.0,9.0,9.0,7.8226,3000,0.0,1.0
2002-10-11,9.1,9.1,8.95,9.0,7.8226,19900,0.0,1.0
2002-10-14,8.95,9.0,8.9,8.99,7.8139,13500,0.0,1.0
