,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.19,43.19,42.0,42.38,10.7715,676000,0.0,1.0
2000-01-19,42.44,44.0,42.44,43.38,11.0257,429200,0.0,1.0
2000-01-20,42.88,43.13,42.19,42.88,10.8986,695000,0.0,1.0
2000-01-21,43.13,44.19,42.69,44.0,11.1833,504900,0.0,1.0
2000-01-24,44.31,45.19,43.63,43.75,11.1197,871100,0.0,1.0
2000-01-25,43.94,44.19,41.88,42.25,10.7385,861300,0.0,1.0
2000-01-26,42.5,42.56,41.63,42.38,10.7715,515200,0.0,1.0
2000-01-27,42.0,42.5,41.25,41.5,10.5478,469100,0.0,1.0
2000-01-28,41.5,41.94,41.06,41.31,10.4996,586000,0.0,1.0
2000-01-31,41.56,42.19,41.31,42.19,10.7232,332400,0.0,1.0
2000-02-01,41.81,42.0,41.31,41.31,10.4996,314500,0.0,1.0
2000-02-02,41.56,41.88,41.31,41.56,10.5631,640000,0.0,1.0
2000-02-03,41.56,43.19,41.38,42.88,10.8986,950700,0.0,1.0
2000-02-04,42.88,42.88,41.06,41.62,10.5783,548100,0.0,1.0
2000-02-07,41.63,42.06,41.63,41.69,10.5961,501900,0.0,1.0
2000-02-08,42.0,42.31,41.63,41.81,10.6266,391300,0.0,1.0
2000-02-09,41.56,41.94,41.0,41.25,10.4843,702800,0.0,1.0
2000-02-10,41.19,41.56,40.13,40.31,10.2454,397200,0.0,1.0
2000-02-11,40.56,40.88,40.25,40.88,10.3903,356100,0.0,1.0
2000-02-14,40.63,41.38,40.5,40.75,10.3572,258600,0.0,1.0
2000-02-15,40.56,41.06,40.5,40.88,10.3903,451600,0.0,1.0
2000-02-16,40.88,41.38,40.69,41.0,10.4208,920000,0.0,1.0
2000-02-17,41.06,41.13,40.56,41.0,10.4208,733000,0.0,1.0
2000-02-18,40.88,41.06,40.13,40.31,10.2454,1281900,0.0,1.0
2000-02-22,40.5,41.19,40.5,40.88,10.3903,500800,0.0,1.0
2000-02-23,40.06,40.5,39.25,40.19,10.3521,2297500,0.54,1.0
2000-02-24,39.69,39.75,37.38,38.0,9.788,771000,0.0,1.0
2000-02-25,38.0,38.13,36.38,36.81,9.4815,695100,0.0,1.0
2000-02-28,36.81,38.13,36.81,38.13,9.8215,684500,0.0,1.0
2000-02-29,38.13,38.81,37.69,38.63,9.9503,1221700,0.0,1.0
2000-03-01,38.63,39.19,38.06,38.56,9.9323,1502000,0.0,1.0
2000-03-02,38.31,39.0,38.31,38.81,9.9967,589600,0.0,1.0
2000-03-03,39.13,39.5,38.81,39.0,10.0456,1127600,0.0,1.0
2000-03-06,39.25,39.25,37.69,37.94,9.7726,679100,0.0,1.0
2000-03-07,38.0,39.44,37.94,39.31,10.1255,1243600,0.0,1.0
2000-03-08,39.25,41.56,38.81,41.31,10.6406,963500,0.0,1.0
2000-03-09,41.38,42.81,41.31,42.81,11.027,1055300,0.0,1.0
2000-03-10,42.81,44.38,42.75,43.75,11.2691,1147000,0.0,1.0
2000-03-13,43.5,43.56,41.63,42.13,10.8518,993700,0.0,1.0
2000-03-14,42.25,42.81,41.75,41.88,10.7874,724700,0.0,1.0
2000-03-15,41.94,44.94,41.88,44.38,11.4314,886400,0.0,1.0
2000-03-16,44.69,45.81,43.56,45.0,11.5911,961200,0.0,1.0
2000-03-17,44.88,44.94,43.75,43.88,11.3026,1315200,0.0,1.0
2000-03-20,43.63,44.44,42.63,43.06,11.0914,843200,0.0,1.0
2000-03-21,42.44,42.94,41.19,41.38,10.6587,1030600,0.0,1.0
2000-03-22,41.44,41.44,39.56,40.75,10.4964,730000,0.0,1.0
2000-03-23,41.75,42.94,41.56,42.5,10.9471,901900,0.0,1.0
2000-03-24,43.5,43.56,42.5,43.31,11.1558,1204000,0.0,1.0
2000-03-27,48.0,48.25,46.5,46.63,12.011,1359400,0.0,1.0
