,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.06,22.13,20.94,22.13,17.296,3087200,0.0,1.0
2000-01-19,22.13,22.19,21.56,21.88,17.1006,1759200,0.0,1.0
2000-01-20,21.19,21.25,20.69,21.06,16.4597,1913300,0.0,1.0
2000-01-21,20.94,21.38,20.81,21.19,16.5613,1359300,0.0,1.0
2000-01-24,20.25,20.69,20.13,20.5,16.0221,1240000,0.0,1.0
2000-01-25,20.5,20.5,19.13,19.38,15.1467,1482500,0.0,1.0
2000-01-26,19.94,19.94,19.44,19.63,15.3421,1015800,0.0,1.0
2000-01-27,20.13,21.44,19.75,21.44,16.7567,1753900,0.0,1.0
2000-01-28,21.44,21.69,19.75,20.06,15.6782,1453500,0.0,1.0
2000-01-31,20.25,20.5,20.06,20.38,15.9283,914500,0.0,1.0
2000-02-01,20.13,20.13,19.63,19.88,15.5375,925900,0.0,1.0
2000-02-02,20.38,21.06,20.31,20.88,16.3191,1665000,0.0,1.0
2000-02-03,20.81,21.38,20.31,21.25,16.6082,1779500,0.0,1.0
2000-02-04,24.0,24.63,22.31,24.0,18.7575,5190800,0.0,1.0
2000-02-07,25.44,25.44,22.63,22.75,17.7806,4931900,0.0,1.0
2000-02-08,22.63,22.63,22.0,22.0,17.1944,1513600,0.0,1.0
2000-02-09,23.44,24.38,23.19,23.88,18.6637,2560300,0.0,1.0
2000-02-10,24.19,25.13,23.38,24.63,19.2499,2603400,0.0,1.0
2000-02-11,24.19,24.5,23.63,23.94,18.7106,1541200,0.0,1.0
2000-02-14,23.88,23.88,23.0,23.19,18.1245,1458800,0.0,1.0
2000-02-15,22.81,24.19,22.19,24.0,18.7575,1736300,0.0,1.0
2000-02-16,24.44,24.69,23.19,24.25,18.9529,1374600,0.0,1.0
2000-02-17,24.38,24.5,23.0,23.06,18.0229,1133600,0.0,1.0
2000-02-18,23.63,24.69,23.44,24.5,19.1483,1470000,0.0,1.0
2000-02-22,24.25,25.94,23.88,25.06,19.586,2265500,0.0,1.0
2000-02-23,24.5,24.63,23.25,23.25,18.1714,1700800,0.0,1.0
2000-02-24,23.38,23.56,22.88,23.19,18.1245,1593000,0.0,1.0
2000-02-25,22.5,22.56,22.06,22.31,17.4367,1001700,0.0,1.0
2000-02-28,22.44,23.06,22.06,22.13,17.296,1258900,0.0,1.0
2000-02-29,22.38,22.69,21.88,22.13,17.296,980900,0.0,1.0
2000-03-01,22.06,22.63,22.06,22.63,17.6868,681700,0.0,1.0
2000-03-02,22.0,22.31,21.19,21.63,16.9052,1231400,0.0,1.0
2000-03-03,21.56,22.19,21.44,21.56,16.874,765000,0.03,1.0
2000-03-06,21.56,22.25,21.5,22.0,17.2183,464200,0.0,1.0
2000-03-07,22.38,24.88,22.38,24.44,19.128,2578900,0.0,1.0
2000-03-08,23.75,24.69,23.19,23.31,18.2436,1810700,0.0,1.0
2000-03-09,23.5,24.19,23.44,24.0,18.7836,1111200,0.0,1.0
2000-03-10,23.5,23.81,23.06,23.25,18.1966,1048900,0.0,1.0
2000-03-13,23.63,24.31,23.5,23.69,18.541,899800,0.0,1.0
2000-03-14,24.0,24.31,23.5,24.31,19.0263,907300,0.0,1.0
2000-03-15,24.25,24.44,23.63,23.88,18.6897,649800,0.0,1.0
2000-03-16,23.75,23.75,22.5,22.75,17.8053,1426500,0.0,1.0
2000-03-17,22.88,23.31,22.31,22.81,17.8523,1405100,0.0,1.0
2000-03-20,22.94,23.31,22.75,23.0,18.001,1118300,0.0,1.0
2000-03-21,23.0,24.31,22.88,24.13,18.8854,1724600,0.0,1.0
2000-03-22,23.38,23.63,23.25,23.31,18.2436,1305400,0.0,1.0
2000-03-23,23.0,23.13,22.63,23.0,18.001,1091500,0.0,1.0
2000-03-24,23.0,23.81,23.0,23.38,18.2984,936600,0.0,1.0
2000-03-27,23.06,23.13,22.5,22.69,17.7584,1200900,0.0,1.0
2000-03-28,22.81,22.88,22.56,22.63,17.7114,1082200,0.0,1.0
2000-03-29,22.63,23.44,22.06,22.31,17.461,1840700,0.0,1.0
2000-03-30,22.31,22.81,22.31,22.38,17.5157,915300,0.0,1.0
2000-03-31,22.31,23.06,22.31,22.44,17.5627,1074300,0.0,1.0
2000-04-03,22.38,22.75,22.13,22.44,17.5627,1063500,0.0,1.0
2000-04-04,22.25,24.31,22.0,23.5,18.3923,2355700,0.0,1.0
2000-04-05,23.5,23.75,22.88,23.63,18.4941,1095200,0.0,1.0
2000-04-06,23.38,23.44,22.81,23.06,18.0479,549100,0.0,1.0
2000-04-07,23.06,23.5,22.75,23.19,18.1497,715200,0.0,1.0
2000-04-10,23.5,23.56,23.0,23.06,18.0479,976600,0.0,1.0
2000-04-11,23.25,23.69,23.19,23.38,18.2984,932600,0.0,1.0
2000-04-12,23.0,23.56,22.38,22.44,17.5627,1779600,0.0,1.0
2000-04-13,22.5,22.63,21.25,21.31,16.6783,2369000,0.0,1.0
2000-04-14,22.19,22.94,22.13,22.31,17.461,2650500,0.0,1.0
2000-04-17,22.69,23.5,22.25,23.38,18.2984,2094700,0.0,1.0
2000-04-18,23.56,23.56,22.5,23.5,18.3923,1382200,0.0,1.0
2000-04-19,23.19,24.13,23.13,24.06,18.8306,1135000,0.0,1.0
2000-04-20,24.0,24.69,23.75,23.81,18.6349,1061100,0.0,1.0
2000-04-24,24.06,24.44,23.94,24.06,18.8306,785200,0.0,1.0
2000-04-25,24.0,24.0,22.75,23.19,18.1497,1199800,0.0,1.0
2000-04-26,22.88,23.88,22.81,23.63,18.4941,822000,0.0,1.0
2000-04-27,24.5,24.5,23.31,24.0,18.7836,1667100,0.0,1.0
2000-04-28,23.0,23.44,22.94,23.44,18.3453,1087000,0.0,1.0
2000-05-01,23.31,23.44,22.88,23.44,18.3453,1073700,0.0,1.0
2000-05-02,23.75,27.0,23.75,26.38,20.6463,3672600,0.0,1.0
2000-05-03,25.25,27.13,25.0,26.25,20.5446,3493600,0.0,1.0
2000-05-04,26.5,28.38,26.31,27.75,21.7186,3529600,0.0,1.0
2000-05-05,27.38,27.5,25.44,26.44,20.6933,2215500,0.0,1.0
2000-05-08,26.06,26.75,25.69,26.69,20.889,1191100,0.0,1.0
2000-05-09,26.31,27.5,26.06,26.88,21.0377,1749600,0.0,1.0
2000-05-10,27.06,27.75,26.31,26.69,20.889,1516000,0.0,1.0
2000-05-11,26.19,26.19,25.13,26.0,20.3489,1151400,0.0,1.0
2000-05-12,26.0,26.38,24.69,25.13,19.668,1693500,0.0,1.0
2000-05-15,25.13,26.13,24.81,25.31,19.8089,1499800,0.0,1.0
2000-05-16,25.25,25.88,25.0,25.31,19.8089,1072300,0.0,1.0
2000-05-17,25.0,25.13,24.06,24.06,18.8306,801300,0.0,1.0
2000-05-18,24.19,24.69,24.0,24.06,18.8306,988400,0.0,1.0
2000-05-19,24.31,25.44,24.25,24.69,19.3237,1315500,0.0,1.0
2000-05-22,24.81,26.38,24.63,24.88,19.4724,2112800,0.0,1.0
2000-05-23,24.75,25.69,24.56,25.44,19.9107,1332100,0.0,1.0
2000-05-24,25.25,25.88,24.69,24.88,19.4724,1396000,0.0,1.0
2000-05-25,25.0,25.25,24.38,24.63,19.2767,885700,0.0,1.0
2000-05-26,24.38,25.13,24.13,24.38,19.081,902800,0.0,1.0
2000-05-30,24.44,24.75,24.06,24.06,18.8306,935000,0.0,1.0
2000-05-31,24.19,24.31,23.31,23.38,18.2984,1577800,0.0,1.0
2000-06-01,23.19,23.38,22.94,23.0,18.001,909600,0.0,1.0
2000-06-02,23.63,24.44,23.5,23.63,18.4941,2025200,0.0,1.0
2000-06-05,24.25,25.94,23.5,25.5,19.9811,2527100,0.03,1.0
2000-06-06,26.25,26.5,25.19,25.5,19.9811,2213700,0.0,1.0
2000-06-07,24.81,25.06,24.13,24.25,19.0016,1582900,0.0,1.0
2000-06-08,23.88,24.94,23.88,24.44,19.1505,796800,0.0,1.0
2000-06-09,24.69,24.81,23.75,23.81,18.6569,644100,0.0,1.0
2000-06-12,23.88,24.94,23.88,24.75,19.3934,1114900,0.0,1.0
2000-06-13,25.75,25.81,24.06,24.25,19.0016,1741700,0.0,1.0
2000-06-14,24.5,25.25,24.19,24.56,19.2445,1365000,0.0,1.0
2000-06-15,24.13,24.38,23.81,24.25,19.0016,1100500,0.0,1.0
2000-06-16,24.13,24.75,24.0,24.21,18.9703,1093200,0.0,1.0
2000-06-19,23.88,23.88,23.0,23.06,18.0692,1124200,0.0,1.0
2000-06-20,23.31,23.44,22.69,23.06,18.0692,965000,0.0,1.0
2000-06-21,22.88,23.13,22.13,22.44,17.5834,1744100,0.0,1.0
2000-06-22,22.63,22.97,21.81,21.94,17.1916,1398900,0.0,1.0
2000-06-23,21.88,22.13,21.0,21.56,16.8938,1112100,0.0,1.0
2000-06-26,21.63,21.69,21.13,21.25,16.6509,900000,0.0,1.0
2000-06-27,21.25,21.81,20.88,21.75,17.0427,1280300,0.0,1.0
2000-06-28,22.0,23.0,21.69,22.77,17.8419,2254100,0.0,1.0
2000-06-29,22.56,22.63,21.06,21.19,16.6039,1480900,0.0,1.0
2000-06-30,21.25,21.88,21.06,21.63,16.9487,976000,0.0,1.0
2000-07-03,21.69,21.69,21.31,21.5,16.8468,185200,0.0,1.0
2000-07-05,21.0,21.13,19.88,19.94,15.6244,1218300,0.0,1.0
2000-07-06,20.38,20.63,20.06,20.25,15.8673,1140300,0.0,1.0
2000-07-07,20.38,20.5,19.88,19.94,15.6244,630900,0.0,1.0
2000-07-10,20.06,20.38,19.69,20.0,15.6714,776800,0.0,1.0
2000-07-11,20.0,20.88,19.81,20.88,16.361,1052400,0.0,1.0
2000-07-12,20.5,20.5,19.88,20.06,15.7185,1148800,0.0,1.0
2000-07-13,20.13,20.5,19.94,20.13,15.7733,680800,0.0,1.0
2000-07-14,20.06,20.19,19.19,19.38,15.1856,1176800,0.0,1.0
2000-07-17,19.5,19.69,19.31,19.44,15.2326,1149300,0.0,1.0
2000-07-18,19.38,19.88,19.31,19.44,15.2326,886500,0.0,1.0
2000-07-19,19.25,19.25,18.81,18.94,14.8409,919800,0.0,1.0
2000-07-20,18.94,19.06,18.0,18.19,14.2532,1902300,0.0,1.0
2000-07-21,18.19,18.38,17.69,17.75,13.9084,1274100,0.0,1.0
2000-07-24,18.0,18.06,17.56,17.63,13.8144,1562400,0.0,1.0
2000-07-25,17.94,18.0,17.38,17.44,13.6655,1010600,0.0,1.0
2000-07-26,17.63,17.75,17.38,17.63,13.8144,1750000,0.0,1.0
