,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,17.81,17.88,17.5,17.5,2.8509,356400,0.0,1.0
2000-01-19,17.44,18.06,17.38,18.0,2.9324,203200,0.0,1.0
2000-01-20,17.94,18.5,17.75,18.5,3.0138,312600,0.0,1.0
2000-01-21,18.25,19.94,18.19,19.94,3.2484,653800,0.0,1.0
2000-01-24,20.0,21.69,20.0,21.31,3.4716,924900,0.0,1.0
2000-01-25,21.31,21.63,19.63,19.75,3.2174,625200,0.0,1.0
2000-01-26,19.75,19.81,19.19,19.38,3.1572,746500,0.0,1.0
2000-01-27,19.31,19.44,18.81,19.13,3.1604,757200,0.27,1.0
2000-01-28,19.06,19.38,18.19,18.38,3.0365,1800500,0.0,1.0
2000-01-31,18.38,18.56,18.31,18.38,3.0365,545700,0.0,1.0
2000-02-01,18.56,18.81,18.38,18.81,3.1076,944800,0.0,1.0
2000-02-02,18.81,19.06,18.5,18.56,3.0663,184100,0.0,1.0
2000-02-03,18.63,19.94,18.63,19.0,3.1389,323600,0.0,1.0
2000-02-04,19.25,19.5,18.63,18.81,3.1076,316700,0.0,1.0
2000-02-07,19.0,19.0,17.94,18.0,2.9737,149900,0.0,1.0
2000-02-08,18.19,18.38,17.75,17.81,2.9424,230900,0.0,1.0
2000-02-09,18.0,18.5,17.81,17.81,2.9424,167800,0.0,1.0
2000-02-10,17.63,18.19,17.38,17.56,2.9011,178300,0.0,1.0
2000-02-11,17.69,17.69,17.38,17.44,2.8812,169800,0.0,1.0
2000-02-14,17.44,17.94,17.31,17.44,2.8812,150600,0.0,1.0
2000-02-15,17.69,17.81,17.44,17.56,2.9011,213800,0.0,1.0
2000-02-16,17.44,17.63,17.38,17.5,2.8911,125100,0.0,1.0
2000-02-17,17.31,17.44,16.81,17.06,2.8184,294000,0.0,1.0
2000-02-18,17.31,17.31,16.69,16.75,2.7672,659700,0.0,1.0
2000-02-22,17.13,17.13,16.5,16.75,2.7672,358300,0.0,1.0
2000-02-23,16.81,16.81,16.31,16.44,2.716,239300,0.0,1.0
2000-02-24,16.5,16.5,15.69,16.06,2.6532,321800,0.0,1.0
2000-02-25,15.94,16.0,15.5,15.56,2.5706,157400,0.0,1.0
2000-02-28,14.5,14.56,12.75,13.0,2.1477,2851500,0.0,1.0
2000-02-29,13.63,13.88,12.75,12.94,2.1378,1312700,0.0,1.0
2000-03-01,13.0,13.06,12.81,12.88,2.1279,525700,0.0,1.0
2000-03-02,13.13,13.13,12.81,13.0,2.1477,715000,0.0,1.0
2000-03-03,13.0,13.5,12.94,13.31,2.1989,3100000,0.0,1.0
2000-03-06,14.0,14.06,13.31,13.38,2.2105,1125300,0.0,1.0
2000-03-07,13.38,13.69,13.38,13.69,2.2617,873000,0.0,1.0
2000-03-08,14.0,14.25,13.88,14.0,2.3129,693700,0.0,1.0
2000-03-09,14.13,14.44,14.0,14.38,2.3757,1113900,0.0,1.0
2000-03-10,14.44,14.75,14.38,14.69,2.4269,1570900,0.0,1.0
2000-03-13,14.56,14.81,14.5,14.75,2.4368,769300,0.0,1.0
2000-03-14,14.75,15.5,14.69,14.94,2.4682,1170100,0.0,1.0
2000-03-15,15.0,16.0,15.0,15.75,2.602,653000,0.0,1.0
2000-03-16,15.63,16.63,15.63,16.19,2.6747,619200,0.0,1.0
2000-03-17,15.88,16.25,15.75,16.0,2.6433,470900,0.0,1.0
2000-03-20,16.19,16.25,15.75,15.94,2.6334,337000,0.0,1.0
2000-03-21,16.19,16.25,15.88,15.88,2.6235,314900,0.0,1.0
2000-03-22,15.75,15.94,15.63,15.81,2.6119,293900,0.0,1.0
