,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,51.88,52.5,50.94,52.13,15.383,217800,0.0,1.0
2000-01-19,51.75,51.94,50.19,50.5,14.902,354800,0.0,1.0
2000-01-20,50.75,51.44,49.13,50.75,14.9758,370650,0.0,1.0
2000-01-21,51.25,52.19,50.31,52.19,15.4007,296400,0.0,1.0
2000-01-24,52.19,52.75,48.63,48.75,14.3856,338550,0.0,1.0
2000-01-25,49.13,49.31,46.5,47.75,14.0905,323400,0.0,1.0
2000-01-26,48.13,48.25,45.25,47.88,14.1289,519850,0.0,1.0
2000-01-27,48.0,50.38,48.0,50.0,14.7544,672050,0.0,1.0
2000-01-28,50.13,50.94,49.5,50.06,14.7722,328350,0.0,1.0
2000-01-31,50.13,50.25,48.75,50.25,14.8282,263300,0.0,1.0
2000-02-01,50.75,50.75,49.13,50.25,14.8282,489400,0.0,1.0
2000-02-02,50.5,50.56,49.25,50.0,14.7544,389250,0.0,1.0
2000-02-03,50.63,50.81,49.44,49.94,14.7367,333800,0.0,1.0
2000-02-04,51.13,51.75,50.13,51.75,15.2709,339750,0.0,1.0
2000-02-07,52.5,54.13,49.5,49.88,14.719,594650,0.0,1.0
2000-02-08,49.63,50.0,49.0,49.44,14.5892,218800,0.0,1.0
2000-02-09,49.44,49.5,47.88,48.38,14.2764,238600,0.0,1.0
2000-02-10,48.31,48.5,47.13,47.31,13.9607,428750,0.0,1.0
2000-02-11,47.31,47.56,46.5,46.88,13.8338,637050,0.0,1.0
2000-02-14,46.94,47.19,46.56,46.56,13.7393,453650,0.0,1.0
2000-02-15,46.38,46.5,44.75,45.19,13.3351,789350,0.0,1.0
2000-02-16,45.0,46.69,45.0,46.25,13.6479,349500,0.0,1.0
2000-02-17,46.0,46.56,45.88,46.31,13.6656,119400,0.0,1.0
2000-02-18,46.0,46.06,44.63,45.0,13.279,421900,0.0,1.0
2000-02-22,45.0,46.5,45.0,45.94,13.5564,277900,0.0,1.0
2000-02-23,45.75,46.13,45.63,45.69,13.4826,186800,0.0,1.0
2000-02-24,45.88,46.0,45.19,45.94,13.6744,408950,0.4,1.0
2000-02-25,45.94,46.25,44.69,45.38,13.5077,369200,0.0,1.0
2000-02-28,45.38,46.0,44.81,44.88,13.3589,209050,0.0,1.0
2000-02-29,45.0,45.94,45.0,45.31,13.4869,182800,0.0,1.0
2000-03-01,45.19,45.19,43.56,43.81,13.0404,245900,0.0,1.0
2000-03-02,43.06,43.88,42.63,43.56,12.966,720750,0.0,1.0
2000-03-03,43.81,44.38,43.81,44.38,13.2101,308550,0.0,1.0
2000-03-06,45.0,48.38,45.0,48.0,14.2876,631200,0.0,1.0
2000-03-07,48.0,48.81,46.56,46.69,13.8977,798300,0.0,1.0
2000-03-08,47.0,47.88,46.56,47.25,14.0644,353050,0.0,1.0
2000-03-09,47.13,47.5,47.0,47.5,14.1388,333800,0.0,1.0
2000-03-10,47.5,47.5,46.75,47.06,14.0078,292400,0.0,1.0
2000-03-13,47.0,47.38,46.75,47.0,13.9899,212150,0.0,1.0
2000-03-14,47.25,49.5,47.0,48.81,14.5287,428950,0.0,1.0
2000-03-15,48.56,52.5,48.0,52.5,15.6271,476000,0.0,1.0
2000-03-16,52.56,54.75,52.38,54.63,16.2611,552600,0.0,1.0
2000-03-17,54.0,55.63,54.0,55.19,16.4278,534250,0.0,1.0
2000-03-20,55.0,55.13,51.0,52.63,15.6658,334900,0.0,1.0
2000-03-21,52.88,54.75,52.88,54.0,16.0735,628750,0.0,1.0
2000-03-22,54.38,54.5,53.19,53.56,15.9426,441150,0.0,1.0
2000-03-23,52.94,53.38,51.75,52.06,15.4961,219100,0.0,1.0
2000-03-24,52.0,53.5,52.0,53.5,15.9247,377050,0.0,1.0
2000-03-27,53.88,53.88,52.81,53.25,15.8503,297950,0.0,1.0
2000-03-28,53.5,53.69,52.5,52.63,15.6658,314000,0.0,1.0
2000-03-29,53.13,53.25,52.19,52.31,15.5705,414700,0.0,1.0
2000-03-30,52.5,54.19,52.38,53.0,15.7759,614350,0.0,1.0
2000-03-31,53.25,53.81,52.5,52.94,15.758,939000,0.0,1.0
2000-04-03,52.94,52.94,51.19,52.44,15.6092,459750,0.0,1.0
2000-04-04,52.5,55.88,52.31,55.25,16.4456,579950,0.0,1.0
2000-04-05,55.0,57.0,54.75,55.25,16.4456,405850,0.0,1.0
2000-04-06,56.13,57.38,56.06,56.31,16.7611,309550,0.0,1.0
2000-04-07,56.56,57.13,54.81,54.81,16.3147,229750,0.0,1.0
2000-04-10,54.81,56.0,54.81,55.75,16.5945,232850,0.0,1.0
2000-04-11,56.0,57.13,56.0,56.56,16.8356,164900,0.0,1.0
2000-04-12,56.75,59.38,56.56,57.13,17.0052,488750,0.0,1.0
2000-04-13,57.75,62.5,57.38,60.06,17.8774,735800,0.0,1.0
2000-04-14,59.94,61.38,59.13,59.44,17.6928,640800,0.0,1.0
2000-04-17,60.19,64.25,60.19,63.81,18.9936,904800,0.0,1.0
2000-04-18,63.81,65.0,63.0,64.81,19.2912,856300,0.0,1.0
2000-04-19,64.69,65.06,63.75,63.88,19.0144,271800,0.0,1.0
2000-04-20,63.88,67.75,63.5,67.0,19.9431,526700,0.0,1.0
