,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,16.19,16.94,15.94,16.88,6.4682,618700,0.0,1.0
2000-01-19,17.25,18.94,17.19,18.69,7.1618,849050,0.0,1.0
2000-01-20,18.75,18.81,18.44,18.44,7.066,642100,0.0,1.0
2000-01-21,18.44,21.5,18.44,20.25,7.7595,640900,0.0,1.0
2000-01-24,20.25,20.88,20.13,20.5,7.8553,580250,0.0,1.0
2000-01-25,20.56,21.5,20.44,21.31,8.1657,386150,0.0,1.0
2000-01-26,21.25,21.5,20.5,21.38,8.1926,436150,0.0,1.0
2000-01-27,21.44,21.75,19.44,19.75,7.568,805600,0.0,1.0
2000-01-28,19.81,20.0,18.88,19.06,7.3036,146050,0.0,1.0
2000-01-31,19.06,19.75,18.75,18.75,7.1848,203850,0.0,1.0
2000-02-01,19.25,19.69,18.63,19.13,7.3304,253300,0.0,1.0
2000-02-02,19.63,20.31,19.25,19.5,7.4722,259400,0.0,1.0
2000-02-03,19.5,19.75,19.31,19.5,7.4722,48550,0.0,1.0
2000-02-04,19.5,19.5,18.5,18.94,7.2576,366100,0.0,1.0
2000-02-07,18.94,19.69,18.88,19.69,7.545,205500,0.0,1.0
2000-02-08,19.69,20.13,18.88,19.5,7.4722,144950,0.0,1.0
2000-02-09,19.38,19.69,18.94,19.19,7.3534,165350,0.0,1.0
2000-02-10,19.0,25.0,18.88,23.5,9.0049,1661950,0.0,1.0
2000-02-11,23.56,24.5,22.69,23.5,9.0049,794150,0.0,1.0
2000-02-14,22.13,22.94,21.81,22.06,8.4531,806350,0.0,1.0
2000-02-15,22.38,23.19,21.94,22.94,8.7903,497050,0.0,1.0
2000-02-16,22.94,24.25,22.94,23.13,8.8631,320600,0.0,1.0
2000-02-17,23.44,23.69,22.56,22.81,8.7405,222800,0.0,1.0
2000-02-18,22.88,23.0,22.25,22.5,8.6217,166150,0.0,1.0
2000-02-22,22.56,22.63,21.88,22.56,8.6447,165550,0.0,1.0
2000-02-23,22.56,22.56,21.5,21.94,8.4071,103900,0.0,1.0
2000-02-24,21.13,22.56,21.06,22.56,8.6447,233100,0.0,1.0
2000-02-25,22.56,22.63,22.13,22.38,8.5757,322950,0.0,1.0
2000-02-28,22.19,22.94,21.94,22.81,8.7405,152500,0.0,1.0
