,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2003-12-02,19.0,19.25,19.0,19.25,8.6549,80000,0.0,1.0
2003-12-03,19.5,19.5,19.5,19.5,8.7673,150000,0.0,1.0
2003-12-04,20.25,20.25,20.25,20.25,9.1045,25000,0.0,1.0
2003-12-05,20.25,20.25,20.25,20.25,9.1045,0,0.0,1.0
2003-12-08,21.0,21.8,21.0,21.8,9.8014,477000,0.0,1.0
2003-12-09,21.8,22.75,21.8,22.125,9.9475,1507100,0.0,1.0
2003-12-10,22.25,23.0,22.25,22.5,10.1162,1497300,0.0,1.0
2003-12-11,22.75,23.0,22.625,22.9,10.296,1101600,0.0,1.0
2003-12-12,23.0,23.05,22.92,22.95,10.3185,354500,0.0,1.0
2003-12-15,22.9,22.9,22.4,22.4,10.0712,643500,0.0,1.0
2003-12-16,22.35,22.35,21.8,21.95,9.8689,442800,0.0,1.0
2003-12-17,21.9,21.9,21.4,21.45,9.6441,575400,0.0,1.0
2003-12-18,21.45,21.55,21.45,21.55,9.689,1212600,0.0,1.0
2003-12-19,21.55,21.8,21.55,21.8,9.8014,710900,0.0,1.0
2003-12-22,21.65,21.8,21.65,21.65,9.734,2600,0.0,1.0
2003-12-23,21.7,21.85,21.7,21.8,9.8014,66900,0.0,1.0
2003-12-24,21.8,21.85,21.8,21.85,9.8239,10100,0.0,1.0
2003-12-26,21.85,21.85,21.85,21.85,9.8239,500,0.0,1.0
2003-12-29,21.8,21.8,21.8,21.8,9.8014,600,0.0,1.0
2003-12-30,21.85,21.9,21.85,21.9,9.8464,15800,0.0,1.0
2003-12-31,21.9,22.0,21.9,21.9,9.8464,7100,0.0,1.0
2004-01-02,22.0,22.45,21.95,22.45,10.0937,278800,0.0,1.0
2004-01-05,22.45,22.5,22.3,22.4,10.0712,68000,0.0,1.0
2004-01-06,22.4,22.5,22.39,22.45,10.0937,80300,0.0,1.0
2004-01-07,22.4,22.4,22.0,22.25,10.0037,141700,0.0,1.0
2004-01-08,22.35,22.35,22.2,22.26,10.0082,192600,0.0,1.0
2004-01-09,22.3,22.3,21.15,21.15,9.5092,1728100,0.0,1.0
2004-01-12,21.25,21.25,21.2,21.2,9.5317,8900,0.0,1.0
2004-01-13,21.25,21.35,20.96,21.0,9.4417,534800,0.0,1.0
2004-01-14,21.05,21.1,21.0,21.0,9.4417,104300,0.0,1.0
2004-01-15,21.0,21.0,20.75,20.85,9.3743,27100,0.0,1.0
2004-01-16,20.75,20.9,20.75,20.8,9.3518,246900,0.0,1.0
2004-01-20,21.0,21.05,20.97,21.0,9.4417,428300,0.0,1.0
2004-01-21,21.05,21.15,21.0,21.0,9.4417,484800,0.0,1.0
2004-01-22,21.1,21.6,21.1,21.5,9.6665,431800,0.0,1.0
2004-01-23,21.5,21.5,21.1,21.2,9.5317,374200,0.0,1.0
2004-01-26,21.2,21.2,20.85,20.85,9.3743,145800,0.0,1.0
2004-01-27,20.85,20.85,20.7,20.73,9.3203,497300,0.0,1.0
2004-01-28,20.75,20.75,20.45,20.5,9.2169,50000,0.0,1.0
2004-01-29,20.5,20.5,19.75,20.0,8.9921,584500,0.0,1.0
2004-01-30,20.0,20.25,20.0,20.0,8.9921,170600,0.0,1.0
2004-02-02,20.0,20.35,20.0,20.15,9.0596,40400,0.0,1.0
2004-02-03,20.0,20.31,20.0,20.3,9.127,689600,0.0,1.0
2004-02-04,20.25,20.3,20.25,20.25,9.1045,287600,0.0,1.0
2004-02-05,20.27,20.27,20.02,20.05,9.0146,324500,0.0,1.0
2004-02-06,20.15,20.15,20.0,20.05,9.0146,243300,0.0,1.0
2004-02-09,20.05,20.05,20.0,20.0,8.9921,303700,0.0,1.0
2004-02-10,20.0,20.1,20.0,20.03,9.0056,272300,0.0,1.0
2004-02-11,20.08,20.08,20.0,20.0,8.9921,507800,0.0,1.0
2004-02-12,20.02,20.05,20.0,20.0,8.9921,94300,0.0,1.0
2004-02-13,20.02,20.04,20.0,20.04,9.0101,463700,0.0,1.0
2004-02-17,20.03,20.04,19.8,19.8,8.9022,138100,0.0,1.0
2004-02-18,19.75,19.85,19.5,19.51,8.7718,221400,0.0,1.0
2004-02-19,19.53,19.55,19.5,19.54,8.7853,340400,0.0,1.0
2004-02-20,19.55,19.57,19.5,19.54,8.7853,105100,0.0,1.0
2004-02-23,19.5,19.52,19.0,19.25,8.6549,47400,0.0,1.0
2004-02-24,20.25,20.25,20.25,20.25,9.1045,1428400,0.0,1.0
2004-02-25,18.5,19.25,18.4,19.2,8.6324,1089100,0.0,1.0
2004-02-26,19.2,19.35,19.1,19.15,8.61,514600,0.0,1.0
2004-02-27,19.1,19.3,19.1,19.3,8.6774,758300,0.0,1.0
2004-03-01,19.2,20.2,19.2,20.0,8.9921,665200,0.0,1.0
2004-03-02,20.0,20.05,19.75,19.9,8.9472,151900,0.0,1.0
2004-03-03,19.9,19.99,19.8,19.97,8.9786,232800,0.0,1.0
2004-03-04,19.95,19.95,18.85,19.8,8.9022,192600,0.0,1.0
2004-03-05,19.8,19.9,19.75,19.85,8.9247,80400,0.0,1.0
2004-03-08,19.9,19.9,19.07,19.5,8.7673,49500,0.0,1.0
2004-03-09,19.6,19.75,19.5,19.5,8.7673,47400,0.0,1.0
2004-03-10,19.7,19.7,19.4,19.4,8.7224,64900,0.0,1.0
2004-03-11,19.65,20.1,19.65,19.75,8.8797,1023100,0.0,1.0
2004-03-12,19.9,20.0,19.75,19.95,8.9697,382200,0.0,1.0
2004-03-15,19.98,19.98,19.75,19.85,8.9247,17900,0.0,1.0
2004-03-16,19.9,19.95,19.8,19.9,8.9472,977400,0.0,1.0
2004-03-17,19.95,20.55,19.95,20.5,9.2169,720200,0.0,1.0
2004-03-18,20.45,20.65,20.4,20.6,9.2619,410800,0.0,1.0
2004-03-19,20.65,20.7,20.6,20.65,9.2844,33300,0.0,1.0
2004-03-22,20.65,20.8,20.65,20.75,9.3293,412700,0.0,1.0
2004-03-23,20.75,21.1,20.75,20.97,9.4283,1920000,0.0,1.0
2004-03-24,20.97,21.3,20.9,21.3,9.5766,778100,0.0,1.0
2004-03-25,22.0,22.15,21.0,21.31,9.5811,997700,0.0,1.0
2004-03-26,21.37,21.44,21.3,21.32,9.5856,451400,0.0,1.0
2004-03-29,21.35,22.2,21.35,21.85,9.8239,774400,0.0,1.0
2004-03-30,21.9,22.0,21.67,21.99,9.8869,246400,0.0,1.0
2004-03-31,21.85,22.2,21.8,22.2,9.9813,984900,0.0,1.0
2004-04-01,22.25,22.35,22.15,22.24,9.9993,426300,0.0,1.0
2004-04-02,22.36,22.5,22.35,22.5,10.1162,559200,0.0,1.0
2004-04-05,22.56,22.66,22.3,22.66,10.1881,423800,0.0,1.0
2004-04-06,22.66,22.8,22.56,22.66,10.1881,341800,0.0,1.0
2004-04-07,22.66,22.66,22.35,22.4,10.0712,314600,0.0,1.0
2004-04-08,22.5,22.5,22.15,22.19,9.9768,193700,0.0,1.0
2004-04-12,22.26,22.32,21.98,22.14,9.9543,250000,0.0,1.0
2004-04-13,22.03,22.2,21.85,21.99,9.8869,460900,0.0,1.0
2004-04-14,22.0,22.0,21.5,21.7,9.7565,165500,0.0,1.0
2004-04-15,21.7,21.7,21.0,21.24,9.5496,191500,0.0,1.0
2004-04-16,21.34,21.4,21.25,21.35,9.5991,203200,0.0,1.0
2004-04-19,21.35,21.6,21.345,21.51,9.671,112700,0.0,1.0
2004-04-20,21.55,21.55,21.02,21.25,9.5541,73100,0.0,1.0
2004-04-21,21.25,21.25,20.77,20.84,9.3698,260500,0.0,1.0
2004-04-22,20.84,20.9,20.69,20.9,9.3968,276800,0.0,1.0
2004-04-23,20.95,21.1,20.94,21.0,9.4417,408100,0.0,1.0
2004-04-26,21.0,21.2,20.99,21.2,9.5317,234000,0.0,1.0
2004-04-27,21.25,21.25,21.17,21.23,9.5451,206400,0.0,1.0
2004-04-28,21.23,21.95,21.2,21.75,9.7789,404800,0.0,1.0
2004-04-29,21.6,21.7,21.5,21.7,9.7565,93500,0.0,1.0
2004-04-30,21.64,21.84,21.6,21.7,9.7565,88800,0.0,1.0
2004-05-03,21.7,21.7,20.6,21.1,9.4867,845500,0.0,1.0
2004-05-04,21.1,21.1,20.23,20.25,9.1045,445700,0.0,1.0
2004-05-05,20.3,20.3,19.9,19.99,8.9876,348600,0.0,1.0
2004-05-06,20.03,20.03,19.7,19.8,8.9022,56000,0.0,1.0
2004-05-07,19.71,19.96,19.5,19.69,8.8528,468600,0.0,1.0
2004-05-10,19.55,19.65,19.17,19.62,8.8213,274800,0.0,1.0
2004-05-11,19.62,20.74,19.62,20.6,9.2619,766400,0.0,1.0
2004-05-12,20.7,20.7,20.06,20.49,9.2124,66100,0.0,1.0
2004-05-13,20.5,20.5,19.87,19.99,8.9876,99200,0.0,1.0
2004-05-14,20.2,21.2,20.15,20.95,9.4193,397100,0.0,1.0
2004-05-17,21.15,21.15,20.25,20.33,9.1405,66700,0.0,1.0
2004-05-18,20.33,20.75,20.33,20.5,9.2169,105300,0.0,1.0
2004-05-19,20.5,20.71,20.5,20.6,9.2619,65500,0.0,1.0
2004-05-20,20.6,20.68,20.45,20.46,9.199,78800,0.0,1.0
2004-05-21,20.5,20.5,20.25,20.42,9.181,68900,0.0,1.0
2004-05-24,20.42,20.7,20.29,20.7,9.3069,87300,0.0,1.0
2004-05-25,20.7,21.2,20.6,20.75,9.3293,165600,0.0,1.0
2004-05-26,20.8,21.15,20.8,21.1,9.4867,214800,0.0,1.0
2004-05-27,21.2,21.24,21.12,21.21,9.5362,198200,0.0,1.0
2004-05-28,21.35,21.35,20.99,21.14,9.5047,319300,0.0,1.0
2004-06-01,21.18,21.27,20.87,21.05,9.4642,328500,0.0,1.0
2004-06-02,21.15,21.4,21.15,21.4,9.6216,393800,0.0,1.0
2004-06-03,21.4,21.4,21.11,21.3,9.5766,326100,0.0,1.0
2004-06-04,21.5,21.63,21.4,21.6,9.7115,275000,0.0,1.0
2004-06-07,21.7,21.87,21.63,21.75,9.7789,226300,0.0,1.0
2004-06-08,21.85,21.99,21.77,21.99,9.8869,100400,0.0,1.0
2004-06-09,22.0,23.25,22.0,23.25,10.4534,1362900,0.0,1.0
2004-06-10,23.35,23.49,22.75,23.06,10.3679,1342500,0.0,1.0
2004-06-14,23.18,23.49,23.15,23.2,10.4309,447600,0.0,1.0
2004-06-15,23.28,23.28,23.1,23.11,10.3904,829900,0.0,1.0
2004-06-16,23.2,23.2,22.95,23.0,10.341,507800,0.0,1.0
2004-06-17,23.05,23.13,22.99,23.0,10.341,308100,0.0,1.0
2004-06-18,23.0,23.05,22.98,22.99,10.3365,531700,0.0,1.0
2004-06-21,23.21,23.4,22.95,23.0,10.341,311500,0.0,1.0
2004-06-22,23.1,23.1,22.74,22.75,10.2286,268100,0.0,1.0
2004-06-23,22.7,22.85,22.45,22.52,10.1251,407100,0.0,1.0
2004-06-24,22.7,23.24,22.6,23.1,10.3859,384500,0.0,1.0
2004-06-25,23.25,23.9,23.0,23.9,10.7456,2297000,0.0,1.0
2004-06-28,23.8,24.0,23.56,23.98,10.7816,600000,0.0,1.0
2004-06-29,23.98,24.2,23.95,24.0,10.7906,709400,0.0,1.0
2004-06-30,24.25,24.8,24.19,24.8,11.1502,975700,0.0,1.0
2004-07-01,24.76,24.93,24.1,24.5,11.0154,391300,0.0,1.0
2004-07-02,24.49,24.8,24.35,24.71,11.1098,158000,0.0,1.0
2004-07-06,24.74,25.6,24.7,25.46,11.447,1200100,0.0,1.0
2004-07-07,25.49,26.06,25.44,26.0,11.6898,1411300,0.0,1.0
2004-07-08,26.0,26.25,25.81,26.0,11.6898,731900,0.0,1.0
2004-07-09,26.1,26.45,25.86,26.0,11.6898,228600,0.0,1.0
2004-07-12,25.9,26.7,25.9,26.56,11.9416,727700,0.0,1.0
2004-07-13,26.7,27.1,26.55,27.09,12.1798,718900,0.0,1.0
2004-07-14,27.0,27.05,26.65,26.95,12.1169,673100,0.0,1.0
2004-07-15,26.95,27.07,26.74,26.75,12.027,406800,0.0,1.0
2004-07-16,26.66,26.8,26.6,26.63,11.973,583600,0.0,1.0
2004-07-19,26.4,26.5,25.9,26.0,11.6898,269200,0.0,1.0
2004-07-20,26.0,26.0,25.74,25.91,11.6493,327800,0.0,1.0
2004-07-21,25.99,26.27,25.9,25.97,11.6763,509400,0.0,1.0
2004-07-22,25.92,26.0,25.46,25.8,11.5999,328300,0.0,1.0
2004-07-23,25.84,25.98,25.69,25.98,11.6808,256500,0.0,1.0
2004-07-26,25.98,25.98,25.41,25.65,11.5324,606800,0.0,1.0
2004-07-27,25.6,26.1,25.6,25.87,11.6313,258500,0.0,1.0
2004-07-28,25.97,26.39,25.85,26.25,11.8022,450100,0.0,1.0
2004-07-29,26.25,26.54,26.25,26.39,11.8651,465800,0.0,1.0
2004-07-30,26.34,26.6,26.25,26.59,11.955,261700,0.0,1.0
2004-08-02,26.59,27.03,26.59,26.97,12.1259,609100,0.0,1.0
