,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.0,21.0,20.13,20.38,13.1215,1251300,0.0,1.0
2000-01-19,20.25,20.44,20.0,20.06,12.9155,1144700,0.0,1.0
2000-01-20,20.06,20.25,19.19,19.75,12.7159,2308200,0.0,1.0
2000-01-21,20.0,20.0,19.44,19.69,12.6773,728400,0.0,1.0
2000-01-24,19.94,19.94,18.94,18.94,12.1944,743800,0.0,1.0
2000-01-25,19.0,19.81,18.31,18.81,12.1107,848000,0.0,1.0
2000-01-26,18.44,18.75,17.31,17.75,11.4282,1686100,0.0,1.0
2000-01-27,18.13,18.44,17.31,17.5,11.2672,1854000,0.0,1.0
2000-01-28,17.25,17.69,17.06,17.25,11.1063,1595000,0.0,1.0
2000-01-31,17.25,17.31,16.56,17.0,10.9453,1309500,0.0,1.0
2000-02-01,16.75,17.25,16.75,16.75,10.7844,1023700,0.0,1.0
2000-02-02,16.56,16.75,16.25,16.31,10.6298,1065900,0.2,1.0
2000-02-03,16.38,16.5,16.0,16.06,10.4669,1025200,0.0,1.0
2000-02-04,16.06,16.06,15.63,15.75,10.2649,1264800,0.0,1.0
2000-02-07,16.0,16.44,15.75,16.25,10.5907,1249800,0.0,1.0
2000-02-08,16.0,16.25,15.31,15.38,10.0237,1128600,0.0,1.0
2000-02-09,15.88,15.94,15.31,15.31,9.9781,1693300,0.0,1.0
2000-02-10,15.5,15.75,15.0,15.0,9.7761,1809900,0.0,1.0
2000-02-11,15.31,15.31,14.56,14.63,9.5349,986200,0.0,1.0
2000-02-14,15.0,15.63,14.81,15.13,9.8608,2381300,0.0,1.0
2000-02-15,15.13,15.5,15.0,15.19,9.8999,1072600,0.0,1.0
2000-02-16,15.25,15.38,14.69,15.25,9.939,1664900,0.0,1.0
2000-02-17,14.81,15.19,14.69,14.81,9.6522,1176800,0.0,1.0
2000-02-18,14.94,15.12,14.81,14.81,9.6522,1047000,0.0,1.0
2000-02-22,14.69,15.31,14.69,15.13,9.8608,1024400,0.0,1.0
2000-02-23,14.88,15.0,14.69,14.75,9.6131,1218800,0.0,1.0
2000-02-24,14.75,14.75,13.69,13.75,8.9614,2180200,0.0,1.0
2000-02-25,13.75,14.06,13.69,13.75,8.9614,1923700,0.0,1.0
2000-02-28,14.06,14.13,13.56,13.94,9.0852,2864500,0.0,1.0
2000-02-29,13.94,14.13,13.44,13.56,8.8376,2224400,0.0,1.0
2000-03-01,13.63,14.19,13.44,13.88,9.0461,1533600,0.0,1.0
2000-03-02,13.94,13.94,13.13,13.44,8.7594,1834500,0.0,1.0
2000-03-03,13.44,14.13,13.38,13.94,9.0852,1200500,0.0,1.0
2000-03-06,13.75,13.75,13.06,13.38,8.7202,1080500,0.0,1.0
2000-03-07,13.38,13.5,12.69,12.94,8.4335,1652600,0.0,1.0
2000-03-08,13.0,13.31,12.88,12.94,8.4335,1023800,0.0,1.0
2000-03-09,13.0,13.25,12.75,13.19,8.5964,1030600,0.0,1.0
2000-03-10,12.94,13.19,12.81,13.19,8.5964,1382200,0.0,1.0
2000-03-13,12.88,13.13,12.69,12.94,8.4335,1201400,0.0,1.0
2000-03-14,12.88,12.88,12.69,12.75,8.3097,1871700,0.0,1.0
2000-03-15,12.88,13.69,12.75,13.63,8.8832,1619900,0.0,1.0
