,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,98.13,120.0,97.0,118.1,51.1247,3788300,0.0,1.0
2000-01-19,113.6,117.0,106.0,108.5,46.9689,2953800,0.0,1.0
2000-01-20,114.6,115.3,111.3,115.0,49.7827,2118300,0.0,1.0
2000-01-21,115.8,121.5,110.0,117.1,50.6918,2456700,0.0,1.0
2000-01-24,119.9,119.9,100.6,102.0,44.1551,3202400,0.0,1.0
2000-01-25,103.8,111.0,99.0,107.2,46.4062,2970800,0.0,1.0
2000-01-26,108.3,115.1,106.6,108.4,46.9256,2951300,0.0,1.0
2000-01-27,110.6,111.5,99.13,102.9,44.5447,3104700,0.0,1.0
2000-01-28,101.3,107.0,98.0,99.19,42.9387,1832500,0.0,1.0
2000-01-31,100.9,105.0,90.63,100.4,43.4625,2897800,0.0,1.0
2000-02-01,104.1,108.6,100.3,107.8,46.6659,1863500,0.0,1.0
2000-02-02,109.1,115.1,106.0,113.2,49.0035,2489800,0.0,1.0
2000-02-03,115.0,115.0,106.0,114.6,49.6096,2374000,0.0,1.0
2000-02-04,116.1,133.9,115.5,127.9,55.367,3972700,0.0,1.0
2000-02-07,131.4,131.8,121.0,125.4,54.2848,2567400,0.0,1.0
2000-02-08,128.1,132.5,123.1,132.0,57.1419,2984700,0.0,1.0
2000-02-09,133.6,134.3,126.0,128.7,55.7134,1858100,0.0,1.0
2000-02-10,130.1,139.9,125.9,139.3,60.302,1943700,0.0,1.0
2000-02-11,145.4,159.1,142.5,154.9,67.0552,2871900,0.0,1.0
2000-02-14,159.9,160.3,143.1,148.3,64.1981,3560900,0.0,1.0
2000-02-15,149.8,153.0,141.5,151.6,65.6266,2445600,0.0,1.0
2000-02-16,161.4,176.2,157.1,175.4,75.9295,5189900,0.0,1.0
2000-02-17,178.5,179.9,166.1,174.4,75.4966,3700200,0.0,1.0
2000-02-18,172.0,174.3,167.0,167.3,72.423,1898000,0.0,1.0
2000-02-22,169.9,171.4,163.1,168.6,72.9858,1955000,0.0,1.0
2000-02-23,166.4,187.8,164.8,178.8,77.4013,2953100,0.0,1.0
2000-02-24,181.6,201.9,176.3,200.0,86.5786,2981300,0.0,1.0
2000-02-25,202.5,207.9,190.5,192.9,83.5051,2165300,0.0,1.0
2000-02-28,193.0,196.3,181.5,184.0,79.6524,2990400,0.0,1.0
2000-02-29,184.9,192.1,181.8,188.8,81.7302,2259200,0.0,1.0
2000-03-01,189.3,197.5,186.8,190.1,82.293,2088700,0.0,1.0
2000-03-02,192.5,196.8,188.0,189.3,81.9467,1522300,0.0,1.0
2000-03-03,194.3,204.0,187.0,199.9,86.5354,2080000,0.0,1.0
2000-03-06,204.6,222.0,202.0,212.1,91.8166,2409000,0.0,1.0
2000-03-07,222.8,230.0,212.0,212.6,92.0331,2899200,0.0,1.0
2000-03-08,219.9,223.0,211.9,218.3,94.5006,2073500,0.0,1.0
2000-03-09,220.0,241.0,218.1,240.4,104.0675,2637700,0.0,1.0
2000-03-10,247.0,248.0,228.9,236.9,102.5524,2274700,0.0,1.0
2000-03-13,225.9,235.8,220.9,228.1,98.7429,1768000,0.0,1.0
2000-03-14,232.0,232.0,193.0,197.1,85.3233,4268500,0.0,1.0
2000-03-15,196.0,203.3,163.5,173.1,74.9338,8228500,0.0,1.0
2000-03-16,181.3,194.5,162.0,182.6,79.0463,6406100,0.0,1.0
2000-03-17,186.2,202.0,186.1,200.8,86.925,4235900,0.0,1.0
2000-03-20,207.5,208.0,175.6,183.1,79.2627,4138400,0.0,1.0
2000-03-21,183.1,192.0,165.0,184.9,80.042,3846600,0.0,1.0
2000-03-22,191.1,206.5,184.5,206.1,89.2193,3122300,0.0,1.0
2000-03-23,102.9,108.3,96.38,105.4,91.2539,2376250,0.0,2.0
2000-03-24,109.0,110.25,95.0,100.0,86.5786,5609900,0.0,1.0
2000-03-27,103.9,104.4,96.25,97.25,84.1977,4162600,0.0,1.0
2000-03-28,96.94,101.0,95.0,95.56,82.7346,2830200,0.0,1.0
2000-03-29,95.0,97.75,87.63,91.81,79.4879,5372800,0.0,1.0
2000-03-30,84.06,92.0,70.63,79.13,68.5097,9562300,0.0,1.0
2000-03-31,84.08,86.0,66.0,82.75,71.6438,10610900,0.0,1.0
2000-04-03,78.13,83.0,66.63,67.88,58.7696,6697300,0.0,1.0
2000-04-04,70.19,74.0,45.13,67.0,58.0077,13378500,0.0,1.0
2000-04-05,60.5,76.0,60.0,69.56,60.2241,7914100,0.0,1.0
2000-04-06,74.25,77.5,71.06,73.0,63.2024,5876000,0.0,1.0
2000-04-07,77.5,80.25,75.0,79.94,69.211,4390800,0.0,1.0
2000-04-10,81.0,81.94,65.0,67.63,58.5531,7576600,0.0,1.0
2000-04-11,63.0,68.25,60.25,63.63,55.09,7673800,0.0,1.0
2000-04-12,61.63,65.5,56.5,56.69,49.0814,6222500,0.0,1.0
2000-04-13,59.25,64.0,53.88,56.94,49.2979,7676200,0.0,1.0
2000-04-14,51.63,58.63,46.13,50.38,43.6183,8492900,0.0,1.0
2000-04-17,41.25,54.0,41.13,51.94,44.9689,10422600,0.0,1.0
2000-04-18,54.38,60.5,53.31,60.25,52.1636,6306200,0.0,1.0
2000-04-19,65.13,65.5,60.0,60.56,52.432,6143900,0.0,1.0
2000-04-20,61.23,63.88,55.0,56.88,49.2459,3545700,0.0,1.0
2000-04-24,51.5,55.5,43.55,50.63,43.8348,6043900,0.0,1.0
2000-04-25,57.06,69.0,56.0,68.75,59.5228,8666900,0.0,1.0
2000-04-26,67.75,68.5,61.0,61.13,52.9255,5431700,0.0,1.0
2000-04-27,56.0,68.5,54.5,67.56,58.4925,6571700,0.0,1.0
2000-04-28,70.25,74.69,68.98,73.94,64.0162,5356700,0.0,1.0
2000-05-01,76.5,77.0,70.03,71.0,61.4708,5946500,0.0,1.0
2000-05-02,68.25,72.0,64.88,65.25,56.4926,4917600,0.0,1.0
2000-05-03,62.25,68.0,61.5,66.75,57.7912,5227100,0.0,1.0
2000-05-04,67.88,71.5,64.63,67.88,58.7696,2905000,0.0,1.0
2000-05-05,65.0,71.69,64.38,69.88,60.5012,3104000,0.0,1.0
2000-05-08,65.69,68.19,62.75,63.19,54.709,3195200,0.0,1.0
2000-05-09,65.13,67.0,61.5,63.44,54.9255,4420400,0.0,1.0
2000-05-10,64.0,66.31,57.75,58.0,50.2156,5999700,0.0,1.0
2000-05-11,61.48,62.63,55.5,57.94,50.1637,5518200,0.0,1.0
2000-05-12,60.0,62.5,57.25,58.19,50.3801,5602800,0.0,1.0
2000-05-15,58.89,66.5,58.75,66.13,57.2545,4590300,0.0,1.0
2000-05-16,69.75,73.75,66.5,72.75,62.986,7304200,0.0,1.0
2000-05-17,69.0,72.63,68.38,68.75,59.5228,6022500,0.0,1.0
2000-05-18,70.13,71.5,66.72,69.0,59.7393,5123500,0.0,1.0
2000-05-19,65.88,71.0,65.0,65.13,56.3887,6746200,0.0,1.0
2000-05-22,63.88,65.5,56.0,65.06,56.3281,6609300,0.0,1.0
2000-05-23,64.0,67.0,58.0,58.0,50.2156,3829800,0.0,1.0
2000-05-24,58.06,66.0,48.75,65.06,56.3281,10265700,0.0,1.0
2000-05-25,62.56,69.5,58.0,61.38,53.142,7562600,0.0,1.0
2000-05-26,61.25,63.0,56.06,58.31,50.484,4520200,0.0,1.0
2000-05-30,60.31,67.25,59.5,66.81,57.8432,5705600,0.0,1.0
2000-05-31,65.25,70.31,63.13,63.94,55.3584,4728200,0.0,1.0
2000-06-01,67.38,70.0,67.38,69.69,60.3367,5295700,0.0,1.0
2000-06-02,73.0,76.75,71.0,74.44,64.4491,7426000,0.0,1.0
2000-06-05,71.38,78.44,71.38,76.61,66.3279,4582400,0.0,1.0
2000-06-06,77.75,79.38,73.75,73.88,63.9643,3397100,0.0,1.0
2000-06-07,73.81,78.38,72.19,78.13,67.6439,3398100,0.0,1.0
2000-06-08,79.75,85.69,79.5,85.31,73.8602,8386000,0.0,1.0
2000-06-09,85.88,90.69,84.25,85.13,73.7044,6142600,0.0,1.0
2000-06-12,86.56,86.56,78.0,78.19,67.6958,4123800,0.0,1.0
2000-06-13,77.75,86.25,76.81,86.06,74.5096,5238000,0.0,1.0
2000-06-14,88.13,88.88,75.44,75.63,65.4794,9785800,0.0,1.0
2000-06-15,78.38,82.0,75.69,79.19,68.5616,7379800,0.0,1.0
2000-06-16,82.63,82.69,79.13,79.94,69.211,5663800,0.0,1.0
2000-06-19,80.5,86.0,78.38,85.94,74.4057,5195700,0.0,1.0
2000-06-20,87.88,88.5,84.94,86.69,75.055,4287400,0.0,1.0
2000-06-21,84.75,89.0,84.5,87.56,75.8083,3790500,0.0,1.0
2000-06-22,87.75,88.44,82.0,84.0,72.7261,3163800,0.0,1.0
2000-06-23,83.5,84.5,76.0,76.94,66.6136,4596700,0.0,1.0
2000-06-26,81.0,83.0,77.88,82.06,71.0464,4333300,0.0,1.0
2000-06-27,84.69,86.25,82.5,82.81,71.6958,6265500,0.0,1.0
2000-06-28,83.5,83.88,81.0,82.56,71.4793,2613000,0.0,1.0
2000-06-29,80.94,81.56,77.0,77.81,67.3668,4390600,0.0,1.0
2000-06-30,78.75,81.19,77.5,80.5,69.6958,4308900,0.0,1.0
2000-07-03,80.06,83.19,80.0,82.81,71.6958,1529400,0.0,1.0
2000-07-05,82.25,82.88,77.5,78.06,67.5833,2562000,0.0,1.0
2000-07-06,78.0,78.25,72.5,78.06,67.5833,4275600,0.0,1.0
2000-07-07,79.5,84.5,77.63,81.56,70.6135,3763000,0.0,1.0
2000-07-10,81.38,82.94,79.5,81.25,70.3451,2597200,0.0,1.0
2000-07-11,80.5,84.88,80.25,83.5,72.2932,4063600,0.0,1.0
2000-07-12,84.5,90.13,84.5,90.0,77.9208,7756000,0.0,1.0
2000-07-13,92.19,97.88,92.0,94.56,81.8688,8866100,0.0,1.0
