,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,54.44,55.63,52.75,55.56,38.1218,1015400,0.0,1.0
2000-01-19,55.69,59.94,55.63,57.19,39.2402,2081500,0.0,1.0
2000-01-20,57.19,57.25,53.75,53.94,37.0102,467800,0.0,1.0
2000-01-21,55.0,56.63,53.56,55.06,37.7787,903600,0.0,1.0
2000-01-24,55.0,55.38,53.13,53.44,36.6672,481800,0.0,1.0
2000-01-25,53.94,55.31,53.13,54.75,37.566,537700,0.0,1.0
2000-01-26,54.88,57.25,54.75,57.0,39.1098,979800,0.0,1.0
2000-01-27,57.06,57.81,54.88,55.63,38.1698,1014600,0.0,1.0
2000-01-28,55.38,55.38,53.19,54.0,37.0514,788500,0.0,1.0
2000-01-31,53.88,60.56,53.38,60.38,41.429,2127600,0.0,1.0
2000-02-01,59.75,62.0,58.13,60.63,41.6005,2151200,0.0,1.0
2000-02-02,61.25,62.38,58.13,58.91,40.4203,1931300,0.0,1.0
2000-02-03,59.81,60.0,57.06,57.06,39.151,1848800,0.0,1.0
2000-02-04,57.59,59.13,57.59,58.19,39.9263,953700,0.0,1.0
2000-02-07,58.0,59.31,57.19,59.25,40.6536,447200,0.0,1.0
2000-02-08,59.44,60.63,58.88,60.38,41.429,770300,0.0,1.0
2000-02-09,59.38,59.75,57.13,57.25,39.2814,590100,0.0,1.0
2000-02-10,57.25,58.13,57.06,57.31,39.3225,1246300,0.0,1.0
2000-02-11,57.13,58.88,55.69,55.84,38.3139,1047200,0.0,1.0
2000-02-14,56.25,56.75,54.06,55.13,37.8267,660800,0.0,1.0
2000-02-15,55.06,59.5,54.88,58.63,40.2282,956400,0.0,1.0
2000-02-16,58.38,58.88,56.38,56.88,39.0275,902100,0.0,1.0
2000-02-17,58.0,59.13,56.38,58.88,40.3998,1179900,0.0,1.0
2000-02-18,58.75,59.25,57.75,58.56,40.1802,2051200,0.0,1.0
2000-02-22,58.38,58.5,55.44,56.88,39.0275,956700,0.0,1.0
2000-02-23,56.63,57.69,55.56,57.56,39.4941,1294600,0.0,1.0
2000-02-24,57.38,57.38,55.38,56.44,38.7256,924600,0.0,1.0
2000-02-25,56.5,56.56,55.5,55.69,38.211,1051800,0.0,1.0
2000-02-28,55.75,57.75,55.63,57.75,39.6244,449200,0.0,1.0
2000-02-29,57.69,57.75,54.63,56.5,38.7668,1126100,0.0,1.0
2000-03-01,56.75,56.75,55.63,56.38,38.6844,884300,0.0,1.0
2000-03-02,56.38,57.19,55.81,56.44,38.7256,584000,0.0,1.0
2000-03-03,57.0,58.0,56.25,57.0,39.1098,639600,0.0,1.0
2000-03-06,57.0,58.5,56.44,56.5,38.7668,896300,0.0,1.0
2000-03-07,56.75,57.13,56.13,56.19,38.5541,840700,0.0,1.0
2000-03-08,56.13,56.13,53.06,53.88,37.0617,2636800,0.135,1.0
2000-03-09,53.75,54.0,52.44,52.94,36.4151,1656700,0.0,1.0
2000-03-10,53.19,53.19,52.19,52.31,35.9818,962700,0.0,1.0
2000-03-13,51.75,55.81,51.0,54.56,37.5294,712700,0.0,1.0
2000-03-14,54.88,57.5,53.88,54.19,37.2749,862000,0.0,1.0
2000-03-15,55.0,57.31,53.88,56.69,38.9946,1640500,0.0,1.0
2000-03-16,57.81,67.75,57.31,66.63,45.8319,5989700,0.0,1.0
2000-03-17,64.0,65.0,61.63,63.31,43.5482,3449900,0.0,1.0
2000-03-20,63.13,63.19,59.44,60.06,41.3127,1656000,0.0,1.0
2000-03-21,60.19,67.81,59.5,67.34,46.3203,1861100,0.0,1.0
2000-03-22,67.63,77.25,64.5,73.31,50.4268,1821900,0.0,1.0
2000-03-23,73.19,73.25,70.56,72.06,49.5669,2352900,0.0,1.0
2000-03-24,72.19,72.38,64.0,67.12,46.1689,2839700,0.0,1.0
2000-03-27,67.06,67.06,61.69,62.69,43.1217,1912800,0.0,1.0
2000-03-28,62.86,67.81,62.81,65.88,45.316,2056000,0.0,1.0
2000-03-29,65.88,66.5,63.63,65.31,44.9239,821600,0.0,1.0
2000-03-30,64.88,67.44,63.44,64.5,44.3667,1057600,0.0,1.0
2000-03-31,65.88,68.63,64.5,67.56,46.4716,1264100,0.0,1.0
2000-04-03,67.63,72.5,67.56,70.38,48.4113,2609900,0.0,1.0
2000-04-04,70.5,72.13,64.0,68.09,46.8361,1343300,0.0,1.0
2000-04-05,67.75,69.88,65.25,66.44,45.7012,741200,0.0,1.0
2000-04-06,66.88,69.88,65.5,68.88,47.3796,849700,0.0,1.0
2000-04-07,69.5,69.69,66.38,66.94,46.0451,566400,0.0,1.0
2000-04-10,66.94,68.31,64.5,67.06,46.1277,784000,0.0,1.0
2000-04-11,67.31,70.19,67.25,68.59,47.1801,609900,0.0,1.0
