,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,55.0,55.0,53.0,53.75,7.6231,978600,0.0,1.0
2000-01-19,53.88,55.44,53.81,55.25,7.8358,1231400,0.0,1.0
2000-01-20,55.13,55.19,52.19,52.38,7.4288,896000,0.0,1.0
2000-01-21,52.63,52.63,50.25,51.06,7.2416,817400,0.0,1.0
2000-01-24,51.31,51.56,49.19,49.31,6.9934,563400,0.0,1.0
2000-01-25,50.0,50.38,48.06,48.94,6.9409,539800,0.0,1.0
2000-01-26,48.75,49.88,47.0,48.69,6.9054,1173200,0.0,1.0
2000-01-27,48.75,51.0,48.69,50.56,7.1706,1294800,0.0,1.0
2000-01-28,50.44,51.94,49.94,50.69,7.1891,1124000,0.0,1.0
2000-01-31,49.88,49.88,48.88,49.75,7.0558,855600,0.0,1.0
2000-02-01,49.88,51.13,49.56,49.88,7.0742,581000,0.0,1.0
2000-02-02,50.0,50.25,49.56,49.56,7.0288,745600,0.0,1.0
2000-02-03,49.75,49.94,48.81,49.88,7.0742,587400,0.0,1.0
2000-02-04,48.75,49.75,48.63,48.75,6.9139,512400,0.0,1.0
2000-02-07,47.5,48.0,46.0,48.0,6.8076,1470200,0.0,1.0
2000-02-08,48.25,48.88,46.31,46.31,6.5679,591600,0.0,1.0
2000-02-09,48.0,48.38,47.31,47.44,6.7282,1736200,0.0,1.0
2000-02-10,47.44,47.44,45.0,45.25,6.4176,1528200,0.0,1.0
2000-02-11,46.13,47.88,46.06,47.13,6.6842,1081600,0.0,1.0
2000-02-14,47.38,47.88,47.13,47.63,6.7551,1602400,0.0,1.0
2000-02-15,47.75,53.75,47.75,51.88,7.3579,1851600,0.0,1.0
2000-02-16,52.5,53.06,50.13,50.88,7.216,1764400,0.0,1.0
2000-02-17,50.25,51.75,50.0,50.69,7.1891,557200,0.0,1.0
2000-02-18,50.25,50.25,48.69,48.81,6.9225,684400,0.0,1.0
2000-02-22,49.0,52.25,49.0,51.75,7.3394,908000,0.0,1.0
2000-02-23,51.13,51.94,51.0,51.31,7.277,784400,0.0,1.0
2000-02-24,51.0,51.94,49.81,50.06,7.0997,1441600,0.0,1.0
2000-02-25,50.06,50.63,48.06,48.06,6.8161,1016400,0.0,1.0
2000-02-28,48.38,50.38,47.56,49.13,6.9678,781000,0.0,1.0
2000-02-29,48.88,50.0,46.62,49.69,7.0473,532800,0.0,1.0
2000-03-01,48.75,49.75,47.44,49.75,7.0558,974200,0.0,1.0
2000-03-02,49.25,49.44,47.88,49.19,6.9763,952600,0.0,1.0
2000-03-03,48.63,51.25,48.5,50.5,7.1621,1080800,0.0,1.0
2000-03-06,49.63,49.75,47.25,48.13,6.826,1127800,0.0,1.0
2000-03-07,48.19,49.44,48.0,48.44,6.87,866400,0.0,1.0
2000-03-08,47.75,47.75,45.06,47.25,6.7012,1151400,0.0,1.0
2000-03-09,46.38,48.38,45.75,48.31,6.8515,1399400,0.0,1.0
2000-03-10,48.0,49.0,47.25,48.06,6.8161,669200,0.0,1.0
2000-03-13,47.0,47.25,46.5,46.69,6.6218,919200,0.0,1.0
2000-03-14,46.56,48.69,45.44,47.94,6.7991,1063600,0.0,1.0
2000-03-15,46.5,51.0,46.25,50.19,7.1182,1034800,0.0,1.0
2000-03-16,50.25,52.06,49.56,52.06,7.3834,1321600,0.0,1.0
2000-03-17,52.5,52.5,49.63,49.75,7.0558,1202600,0.0,1.0
2000-03-20,50.0,51.63,49.81,50.13,7.1097,712200,0.0,1.0
2000-03-21,50.13,50.38,49.5,50.25,7.1267,921800,0.0,1.0
2000-03-22,50.06,50.25,48.31,50.0,7.0912,744200,0.0,1.0
2000-03-23,49.0,50.69,48.88,50.13,7.1097,593400,0.0,1.0
2000-03-24,49.0,50.13,48.75,49.81,7.0643,798400,0.0,1.0
2000-03-27,49.56,49.56,48.06,48.06,6.8161,644400,0.0,1.0
2000-03-28,47.5,49.25,47.5,48.25,6.843,554400,0.0,1.0
2000-03-29,48.06,48.69,47.5,48.19,6.8558,902400,0.15,1.0
2000-03-30,47.94,50.13,47.25,48.44,6.8914,1030000,0.0,1.0
2000-03-31,48.56,50.69,48.0,50.0,7.1133,771000,0.0,1.0
2000-04-03,49.5,50.25,47.5,49.44,7.0336,960000,0.0,1.0
2000-04-04,49.25,49.75,47.5,49.19,6.9981,660800,0.0,1.0
2000-04-05,48.0,49.25,47.13,48.63,6.9184,1247800,0.0,1.0
2000-04-06,48.88,50.06,48.75,49.25,7.0066,757400,0.0,1.0
2000-04-07,49.25,49.25,46.56,46.81,6.6595,687000,0.0,1.0
2000-04-10,47.0,48.75,47.0,48.25,6.8643,731400,0.0,1.0
2000-04-11,49.25,49.88,48.5,49.75,7.0777,965600,0.0,1.0
2000-04-12,49.5,51.38,49.38,50.06,7.1218,783600,0.0,1.0
2000-04-13,50.0,51.25,49.5,50.13,7.1318,884200,0.0,1.0
2000-04-14,49.88,50.69,46.88,46.88,6.6694,865200,0.0,1.0
2000-04-17,46.88,46.88,45.5,46.13,6.5627,873800,0.0,1.0
2000-04-18,46.5,46.75,45.56,46.19,6.5713,594200,0.0,1.0
2000-04-19,46.25,48.0,45.25,45.25,6.4375,644400,0.0,1.0
2000-04-20,45.44,46.94,45.38,46.0,6.5442,600200,0.0,1.0
2000-04-24,46.0,46.13,42.56,45.13,6.4205,1441000,0.0,1.0
2000-04-25,46.0,48.0,44.75,46.69,6.6424,1579600,0.0,1.0
2000-04-26,46.88,47.0,45.44,45.44,6.4646,803000,0.0,1.0
2000-04-27,45.31,45.63,44.63,44.94,6.3934,744800,0.0,1.0
2000-04-28,44.69,44.81,43.0,43.0,6.1174,2285600,0.0,1.0
2000-05-01,44.5,44.5,42.38,43.56,6.1971,3244200,0.0,1.0
2000-05-02,43.38,43.44,42.63,42.69,6.0733,1425600,0.0,1.0
2000-05-03,42.94,43.81,42.5,43.5,6.1886,1188000,0.0,1.0
2000-05-04,42.88,43.31,42.31,42.88,6.1004,909800,0.0,1.0
2000-05-05,42.69,42.94,42.06,42.69,6.0733,1138800,0.0,1.0
2000-05-08,42.69,43.38,42.06,42.63,6.0648,865600,0.0,1.0
2000-05-09,42.31,42.5,41.81,42.0,5.9752,1234000,0.0,1.0
2000-05-10,42.0,42.44,41.25,41.25,5.8685,983000,0.0,1.0
2000-05-11,41.38,41.75,41.0,41.13,5.8514,1427800,0.0,1.0
2000-05-12,41.13,42.38,41.13,42.13,5.9937,926600,0.0,1.0
2000-05-15,42.13,42.94,41.63,41.94,5.9666,485000,0.0,1.0
2000-05-16,42.5,43.5,42.38,42.75,6.0819,494400,0.0,1.0
2000-05-17,42.5,42.63,41.75,41.88,5.9581,826400,0.0,1.0
2000-05-18,41.75,42.5,41.75,42.06,5.9837,547800,0.0,1.0
2000-05-19,42.13,42.75,41.31,41.69,5.9311,1660600,0.0,1.0
2000-05-22,42.25,42.44,40.81,41.19,5.8599,1002600,0.0,1.0
2000-05-23,41.13,41.13,39.44,39.63,5.638,1459000,0.0,1.0
2000-05-24,40.25,41.81,40.19,40.88,5.8158,1146800,0.0,1.0
2000-05-25,40.63,40.69,39.69,39.69,5.6465,844400,0.0,1.0
2000-05-26,39.75,39.75,38.38,38.88,5.5313,1028800,0.0,1.0
2000-05-30,39.38,40.13,39.0,39.31,5.5925,813000,0.0,1.0
2000-05-31,39.5,40.38,39.5,40.06,5.6992,947800,0.0,1.0
2000-06-01,39.13,39.5,38.38,38.69,5.5043,1049400,0.0,1.0
2000-06-02,39.13,40.88,39.13,40.06,5.6992,771000,0.0,1.0
2000-06-05,39.25,39.88,38.56,39.25,5.5839,771200,0.0,1.0
2000-06-06,38.63,40.13,38.5,39.38,5.6024,1352600,0.0,1.0
2000-06-07,39.56,39.75,38.31,38.44,5.4687,761800,0.0,1.0
2000-06-08,38.63,38.75,37.75,38.44,5.4687,917600,0.0,1.0
2000-06-09,38.38,38.44,37.88,37.88,5.389,477600,0.0,1.0
2000-06-12,38.0,38.5,37.56,37.56,5.3435,462600,0.0,1.0
2000-06-13,37.69,37.69,37.0,37.0,5.2638,619000,0.0,1.0
2000-06-14,37.0,38.19,36.75,37.31,5.3079,1712000,0.0,1.0
2000-06-15,36.63,37.0,36.25,36.25,5.1571,1277400,0.0,1.0
2000-06-16,36.38,37.0,36.19,36.56,5.2012,1063600,0.0,1.0
2000-06-19,36.63,36.63,35.63,35.63,5.0689,673800,0.0,1.0
2000-06-20,35.69,35.69,34.88,34.88,4.9622,927600,0.0,1.0
2000-06-21,34.75,34.81,33.88,33.94,4.8285,1472800,0.0,1.0
