,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,28.56,30.25,28.56,29.88,16.6299,2117900,0.0,1.0
2000-01-19,29.75,29.81,28.75,29.5,16.4184,1081200,0.0,1.0
2000-01-20,29.38,31.0,29.38,30.69,17.0807,2006700,0.0,1.0
2000-01-21,31.75,31.75,30.69,31.0,17.2532,1416500,0.0,1.0
2000-01-24,31.75,31.75,30.5,30.5,16.975,1375000,0.0,1.0
2000-01-25,30.5,30.88,30.5,30.56,17.0083,1130300,0.0,1.0
2000-01-26,30.5,30.81,30.44,30.63,17.0473,829700,0.0,1.0
2000-01-27,30.81,31.5,30.56,31.25,17.3924,554800,0.0,1.0
2000-01-28,30.75,30.94,29.56,29.81,16.5909,1032900,0.0,1.0
2000-01-31,29.88,30.44,29.75,29.94,16.6633,736800,0.0,1.0
2000-02-01,29.75,30.13,29.5,29.69,16.5241,618400,0.0,1.0
2000-02-02,29.69,30.69,29.69,30.56,17.0083,863800,0.0,1.0
2000-02-03,31.38,31.88,27.0,27.5,15.3053,3486000,0.0,1.0
2000-02-04,23.0,23.69,23.0,23.5,13.0791,14708000,0.0,1.0
2000-02-07,24.5,26.25,24.38,25.94,14.4371,6683000,0.0,1.0
2000-02-08,25.88,28.63,25.88,28.5,15.8618,3148700,0.0,1.0
2000-02-09,27.0,27.94,26.06,26.13,14.5428,3034800,0.0,1.0
2000-02-10,26.94,26.94,26.31,26.44,14.7153,2317100,0.0,1.0
2000-02-11,26.31,26.75,26.25,26.5,14.7487,2473600,0.0,1.0
2000-02-14,26.5,27.81,26.5,27.5,15.3053,2504600,0.0,1.0
2000-02-15,27.25,28.19,26.88,27.69,15.411,2349400,0.0,1.0
2000-02-16,27.44,27.94,27.25,27.63,15.4945,2049100,0.21,1.0
2000-02-17,27.38,27.81,26.19,26.19,14.687,1812900,0.0,1.0
2000-02-18,26.06,26.06,24.06,24.69,13.8458,2355900,0.0,1.0
2000-02-22,24.5,25.5,24.44,25.19,14.1262,951800,0.0,1.0
2000-02-23,25.13,25.75,24.38,24.38,13.672,1029700,0.0,1.0
2000-02-24,24.0,24.88,23.44,23.81,13.3523,1653800,0.0,1.0
2000-02-25,24.38,25.0,23.31,23.5,13.1785,1751600,0.0,1.0
2000-02-28,23.5,25.06,23.5,24.38,13.672,1128800,0.0,1.0
2000-02-29,24.38,24.75,23.13,23.25,13.0383,1225900,0.0,1.0
2000-03-01,23.13,24.0,22.69,23.69,13.285,2068500,0.0,1.0
2000-03-02,24.38,24.38,23.06,23.81,13.3523,1070000,0.0,1.0
2000-03-03,23.5,24.44,23.38,24.19,13.5654,789900,0.0,1.0
2000-03-06,24.44,24.69,23.0,23.13,12.971,1154600,0.0,1.0
2000-03-07,23.06,23.06,22.38,22.44,12.584,1911200,0.0,1.0
2000-03-08,22.44,23.25,22.31,23.06,12.9317,1225000,0.0,1.0
2000-03-09,22.75,23.06,22.06,22.69,12.7242,1041700,0.0,1.0
2000-03-10,22.19,22.44,21.13,21.5,12.0569,1619300,0.0,1.0
2000-03-13,21.5,22.31,21.31,22.06,12.3709,1402500,0.0,1.0
2000-03-14,21.94,21.94,21.19,21.63,12.1298,1183600,0.0,1.0
2000-03-15,21.25,23.69,21.25,23.06,12.9317,1722400,0.0,1.0
2000-03-16,23.25,25.06,23.19,24.5,13.7393,1305700,0.0,1.0
2000-03-17,25.06,25.19,24.56,24.75,13.8795,1548600,0.0,1.0
2000-03-20,24.75,24.94,24.0,24.38,13.672,738600,0.0,1.0
2000-03-21,24.5,25.5,24.44,25.19,14.1262,874000,0.0,1.0
2000-03-22,25.19,25.31,24.75,24.88,13.9524,872700,0.0,1.0
2000-03-23,25.0,25.0,24.38,24.88,13.9524,706800,0.0,1.0
2000-03-24,24.63,25.25,24.0,24.13,13.5318,666900,0.0,1.0
2000-03-27,24.75,24.81,23.94,24.18,13.5598,573200,0.0,1.0
2000-03-28,24.13,24.44,23.81,23.81,13.3523,1029300,0.0,1.0
2000-03-29,23.88,24.44,23.56,24.38,13.672,1421800,0.0,1.0
2000-03-30,24.44,24.44,23.63,23.81,13.3523,1165700,0.0,1.0
2000-03-31,24.0,25.44,23.88,24.81,13.9131,1168200,0.0,1.0
2000-04-03,25.25,25.94,25.0,25.56,14.3337,1092700,0.0,1.0
2000-04-04,26.75,28.0,26.0,26.88,15.0739,1669200,0.0,1.0
2000-04-05,26.88,27.25,26.63,26.69,14.9674,821400,0.0,1.0
2000-04-06,26.69,27.5,26.44,26.5,14.8608,1112900,0.0,1.0
2000-04-07,26.5,26.69,25.75,26.06,14.6141,870600,0.0,1.0
2000-04-10,26.25,26.44,26.0,26.13,14.6533,684900,0.0,1.0
2000-04-11,26.19,26.44,26.13,26.31,14.7543,867600,0.0,1.0
2000-04-12,27.0,27.25,26.5,27.0,15.1412,1589100,0.0,1.0
2000-04-13,26.75,27.25,26.31,27.25,15.2814,865600,0.0,1.0
2000-04-14,26.63,26.63,24.75,25.25,14.1598,1115300,0.0,1.0
2000-04-17,25.13,27.25,24.81,27.25,15.2814,1076100,0.0,1.0
2000-04-18,26.75,26.75,25.75,25.75,14.4402,1492900,0.0,1.0
2000-04-19,26.38,26.38,25.5,25.75,14.4402,1017400,0.0,1.0
2000-04-20,26.0,26.56,26.0,26.25,14.7206,1006000,0.0,1.0
2000-04-24,26.13,26.75,26.13,26.44,14.8272,777100,0.0,1.0
2000-04-25,26.44,26.81,26.31,26.63,14.9337,987100,0.0,1.0
2000-04-26,26.69,26.75,26.25,26.44,14.8272,795600,0.0,1.0
2000-04-27,26.44,26.44,25.69,26.06,14.6141,831600,0.0,1.0
2000-04-28,25.75,25.94,25.0,25.19,14.1262,1271400,0.0,1.0
2000-05-01,25.0,25.31,24.81,25.0,14.0196,975900,0.0,1.0
2000-05-02,25.19,25.19,24.25,24.69,13.8458,1036000,0.0,1.0
2000-05-03,25.0,26.63,24.88,26.13,14.6533,2130800,0.0,1.0
2000-05-04,25.75,26.06,25.0,25.13,14.0925,1060300,0.0,1.0
2000-05-05,25.63,26.88,25.5,26.0,14.5804,898300,0.0,1.0
2000-05-08,26.06,27.5,25.75,27.5,15.4216,1078500,0.0,1.0
2000-05-09,27.0,27.88,26.31,26.69,14.9674,971300,0.0,1.0
2000-05-10,26.81,27.13,26.31,26.94,15.1076,712000,0.0,1.0
2000-05-11,27.13,28.5,27.0,27.31,15.3151,1244000,0.0,1.0
2000-05-12,27.31,27.5,26.5,26.94,15.1076,1196000,0.0,1.0
2000-05-15,26.88,27.63,26.75,27.25,15.2814,637300,0.0,1.0
2000-05-16,27.38,27.88,27.25,27.44,15.388,665800,0.0,1.0
2000-05-17,27.5,27.88,27.44,27.56,15.4553,620700,0.0,1.0
2000-05-18,27.25,27.31,26.63,27.0,15.259,846800,0.21,1.0
2000-05-19,26.5,26.63,25.19,25.63,14.4847,1332200,0.0,1.0
2000-05-22,25.75,26.25,25.19,25.5,14.4113,551900,0.0,1.0
2000-05-23,25.19,26.13,25.06,25.75,14.5525,433600,0.0,1.0
2000-05-24,25.5,26.5,25.5,26.38,14.9086,582200,0.0,1.0
2000-05-25,26.38,26.63,24.81,25.13,14.2022,838000,0.0,1.0
2000-05-26,25.25,25.63,25.19,25.5,14.4113,358500,0.0,1.0
2000-05-30,25.75,26.38,25.56,26.19,14.8012,562200,0.0,1.0
2000-05-31,26.0,26.63,26.0,26.31,14.869,775600,0.0,1.0
2000-06-01,26.25,27.19,26.0,26.75,15.1177,1143500,0.0,1.0
2000-06-02,26.75,27.38,26.44,26.94,15.2251,1289600,0.0,1.0
2000-06-05,26.94,27.31,26.63,26.69,15.0838,558500,0.0,1.0
2000-06-06,26.63,26.81,26.5,26.81,15.1516,393400,0.0,1.0
2000-06-07,26.94,26.94,26.5,26.5,14.9764,413900,0.0,1.0
2000-06-08,26.56,26.56,25.88,26.06,14.7277,1257200,0.0,1.0
2000-06-09,26.31,26.63,25.88,26.0,14.6938,822500,0.0,1.0
2000-06-12,25.94,26.38,25.5,25.56,14.4452,813600,0.0,1.0
2000-06-13,25.63,26.13,25.63,25.81,14.5865,672400,0.0,1.0
2000-06-14,26.06,26.19,25.69,25.75,14.5525,568800,0.0,1.0
2000-06-15,25.75,26.13,24.94,24.94,14.0948,1339200,0.0,1.0
2000-06-16,24.56,24.88,23.75,24.25,13.7048,2708400,0.0,1.0
2000-06-19,24.44,24.75,24.13,24.13,13.637,1172700,0.0,1.0
2000-06-20,24.25,24.25,23.88,23.88,13.4957,1120100,0.0,1.0
2000-06-21,24.06,24.13,23.75,23.81,13.4562,2130200,0.0,1.0
2000-06-22,23.88,24.19,23.81,24.0,13.5635,788400,0.0,1.0
2000-06-23,24.0,24.06,23.81,23.81,13.4562,761900,0.0,1.0
2000-06-26,24.0,24.88,24.0,24.38,13.7783,1040700,0.0,1.0
2000-06-27,24.13,25.75,24.13,25.63,14.4847,1157100,0.0,1.0
2000-06-28,25.44,26.19,25.06,25.27,14.2813,928100,0.0,1.0
2000-06-29,25.38,26.56,25.19,25.81,14.5865,1003900,0.0,1.0
2000-06-30,26.0,26.31,25.73,25.75,14.5525,1475200,0.0,1.0
2000-07-03,25.94,26.44,25.75,26.06,14.7277,382700,0.0,1.0
2000-07-05,26.31,26.63,26.25,26.25,14.8351,501800,0.0,1.0
2000-07-06,26.5,26.69,26.19,26.56,15.0103,509600,0.0,1.0
2000-07-07,26.31,26.63,25.75,26.31,14.869,1261200,0.0,1.0
2000-07-10,26.25,26.5,26.19,26.5,14.9764,853500,0.0,1.0
2000-07-11,26.25,26.63,25.94,26.25,14.8351,968000,0.0,1.0
2000-07-12,26.0,26.5,26.0,26.5,14.9764,1174300,0.0,1.0
2000-07-13,26.31,26.69,26.25,26.5,14.9764,911300,0.0,1.0
2000-07-14,26.63,27.81,26.5,27.69,15.6489,892300,0.0,1.0
2000-07-17,27.5,27.5,27.0,27.22,15.3833,736200,0.0,1.0
2000-07-18,27.25,27.75,27.19,27.69,15.6489,834500,0.0,1.0
2000-07-19,27.56,28.0,27.31,28.0,15.8241,1667000,0.0,1.0
2000-07-20,28.25,28.44,28.0,28.13,15.8976,1102900,0.0,1.0
2000-07-21,28.0,28.19,27.81,28.0,15.8241,796600,0.0,1.0
2000-07-24,27.75,28.31,27.75,28.31,15.9993,1135000,0.0,1.0
2000-07-25,28.31,28.44,28.06,28.44,16.0728,631400,0.0,1.0
2000-07-26,28.44,28.94,28.31,28.5,16.1067,860300,0.0,1.0
2000-07-27,28.5,29.06,27.31,27.44,15.5076,1790800,0.0,1.0
2000-07-28,27.5,28.0,26.81,27.0,15.259,1082400,0.0,1.0
2000-07-31,27.0,27.25,26.94,26.94,15.2251,2788900,0.0,1.0
2000-08-01,26.88,27.13,26.81,27.06,15.2929,1079800,0.0,1.0
2000-08-02,27.0,27.0,26.06,26.31,14.869,805200,0.0,1.0
