,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,21.69,22.0,21.5,22.0,3.494,41200,0.0,1.0
2000-01-19,21.75,21.94,21.56,21.81,3.4639,59500,0.0,1.0
2000-01-20,21.88,21.88,21.63,21.75,3.4543,33200,0.0,1.0
2000-01-21,21.63,21.94,21.5,21.69,3.4448,48400,0.0,1.0
2000-01-24,21.81,22.0,21.69,21.75,3.4543,46500,0.0,1.0
2000-01-25,21.75,21.94,21.75,21.94,3.4845,32700,0.0,1.0
2000-01-26,22.0,22.0,21.31,21.5,3.4146,42800,0.0,1.0
2000-01-27,21.38,21.88,21.38,21.88,3.475,39300,0.0,1.0
2000-01-28,21.56,21.75,21.56,21.69,3.4734,36100,0.18,1.0
2000-01-31,21.63,21.63,21.25,21.25,3.4029,47200,0.0,1.0
2000-02-01,21.25,21.63,21.19,21.63,3.4638,25600,0.0,1.0
2000-02-02,21.5,21.63,21.38,21.56,3.4526,25800,0.0,1.0
2000-02-03,21.19,21.94,21.19,21.63,3.4638,59400,0.0,1.0
2000-02-04,21.75,21.75,21.5,21.56,3.4526,33400,0.0,1.0
2000-02-07,21.5,21.63,21.38,21.5,3.443,31700,0.0,1.0
2000-02-08,21.75,21.75,21.25,21.38,3.4237,35600,0.0,1.0
2000-02-09,21.5,21.63,21.38,21.5,3.443,35600,0.0,1.0
2000-02-10,21.38,21.5,21.13,21.31,3.4125,69400,0.0,1.0
2000-02-11,21.25,21.38,21.06,21.31,3.4125,50700,0.0,1.0
2000-02-14,21.56,21.56,21.0,21.06,3.3725,58600,0.0,1.0
2000-02-15,21.19,21.31,21.0,21.25,3.4029,32600,0.0,1.0
2000-02-16,21.06,21.44,21.06,21.06,3.3725,51400,0.0,1.0
2000-02-17,21.13,21.5,21.0,21.5,3.443,43000,0.0,1.0
2000-02-18,21.38,21.5,21.0,21.38,3.4237,43300,0.0,1.0
2000-02-22,21.0,21.25,20.88,21.25,3.4029,76800,0.0,1.0
2000-02-23,21.38,21.38,21.0,21.19,3.3933,21100,0.0,1.0
2000-02-24,21.13,21.25,20.94,21.13,3.3837,26500,0.0,1.0
2000-02-25,21.06,21.31,20.94,21.06,3.3725,33900,0.0,1.0
2000-02-28,20.81,20.94,20.63,20.81,3.3613,38800,0.18,1.0
2000-02-29,20.94,20.94,20.63,20.81,3.3613,37100,0.0,1.0
2000-03-01,20.69,21.0,20.63,20.75,3.3516,33900,0.0,1.0
2000-03-02,20.63,20.88,20.56,20.88,3.3726,30900,0.0,1.0
2000-03-03,20.75,20.94,20.75,20.75,3.3516,37500,0.0,1.0
2000-03-06,20.88,21.25,20.63,21.13,3.413,48000,0.0,1.0
2000-03-07,21.0,21.0,20.56,20.63,3.3322,45300,0.0,1.0
2000-03-08,20.75,20.94,20.25,20.94,3.3823,59900,0.0,1.0
2000-03-09,20.81,20.81,20.5,20.63,3.3322,41900,0.0,1.0
2000-03-10,20.69,20.94,20.63,20.69,3.3419,28600,0.0,1.0
2000-03-13,20.69,20.69,20.38,20.5,3.3112,28700,0.0,1.0
2000-03-14,20.69,20.69,20.25,20.25,3.2708,45800,0.0,1.0
