,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,11.38,12.0,11.38,12.0,1.5598,5057,0.0,1.0
2000-01-19,11.88,12.38,11.88,12.38,1.6092,6650,0.0,1.0
2000-01-20,12.25,12.75,12.25,12.75,1.6572,790,0.0,1.0
2000-01-21,12.38,12.38,12.38,12.38,1.6092,1857,0.0,1.0
2000-01-24,12.63,12.69,12.63,12.63,1.6416,1356,0.0,1.0
2000-01-25,12.63,12.63,12.38,12.56,1.6326,3213,0.0,1.0
2000-01-26,12.69,12.69,12.63,12.63,1.6416,2252,0.0,1.0
2000-01-27,12.63,12.63,12.63,12.63,1.6416,553,0.0,1.0
2000-01-28,12.75,12.75,12.75,12.75,1.6572,171,0.0,1.0
2000-01-31,12.63,12.63,11.5,11.88,1.5442,20030,0.0,1.0
2000-02-01,12.06,12.25,11.75,11.88,1.5442,10667,0.0,1.0
2000-02-02,12.69,12.69,11.88,12.0,1.5598,12444,0.0,1.0
2000-02-03,12.0,12.75,12.0,12.75,1.6572,4030,0.0,1.0
2000-02-04,12.75,12.75,12.75,12.75,1.6572,1067,0.0,1.0
2000-02-07,12.75,12.75,12.5,12.56,1.6326,3569,0.0,1.0
2000-02-08,12.38,12.75,12.38,12.75,1.6572,553,0.0,1.0
2000-02-09,12.5,12.5,12.5,12.5,1.6248,250,0.0,1.0
2000-02-10,12.38,12.38,12.38,12.38,1.6092,1435,0.0,1.0
2000-02-11,12.38,12.5,12.38,12.5,1.6248,3635,0.0,1.0
2000-02-14,12.75,12.75,12.0,12.0,1.5598,2028,0.0,1.0
2000-02-15,12.0,12.0,12.0,12.0,1.5598,0,0.0,1.0
2000-02-16,12.38,12.5,12.38,12.5,1.6248,1435,0.0,1.0
2000-02-17,12.38,12.38,12.38,12.38,1.6092,790,0.0,1.0
2000-02-18,12.38,12.38,12.38,12.38,1.6092,7190,0.0,1.0
2000-02-22,12.13,13.0,12.13,12.5,1.6248,4267,0.0,1.0
2000-02-23,12.25,12.25,12.25,12.25,1.5923,4556,0.0,1.0
2000-02-24,12.44,12.44,12.44,12.44,1.617,13,0.0,1.0
2000-02-25,12.25,12.38,12.25,12.25,1.5923,3213,0.0,1.0
2000-02-28,12.25,12.25,12.25,12.25,1.5923,435,0.0,1.0
2000-02-29,12.44,12.44,12.25,12.25,1.5923,1435,0.0,1.0
2000-03-01,12.25,12.38,12.25,12.38,1.6092,2384,0.0,1.0
2000-03-02,12.44,12.44,12.44,12.44,1.617,961,0.0,1.0
2000-03-03,12.0,12.0,12.0,12.0,1.5598,3371,0.0,1.0
2000-03-06,12.0,12.0,12.0,12.0,1.5598,0,0.0,1.0
2000-03-07,12.5,12.5,12.06,12.06,1.5676,3990,0.0,1.0
2000-03-08,12.06,12.06,12.06,12.06,1.5676,961,0.0,1.0
2000-03-09,12.06,12.5,12.06,12.06,1.5676,2568,0.0,1.0
2000-03-10,12.06,12.06,12.06,12.06,1.5676,790,0.0,1.0
2000-03-13,12.06,12.06,12.06,12.06,1.5676,0,0.0,1.0
2000-03-14,12.06,12.06,12.06,12.06,1.5676,1435,0.0,1.0
2000-03-15,12.06,12.06,12.06,12.06,1.5676,0,0.0,1.0
2000-03-16,12.06,12.06,12.06,12.06,1.5676,790,0.0,1.0
2000-03-17,12.75,12.75,12.06,12.13,1.5767,6650,0.0,1.0
2000-03-20,12.73,12.75,12.73,12.75,1.6572,3990,0.0,1.0
2000-03-21,12.06,12.06,12.06,12.06,1.5676,13,0.0,1.0
2000-03-22,12.06,12.06,12.06,12.06,1.5676,0,0.0,1.0
2000-03-23,12.06,12.06,12.06,12.06,1.5676,0,0.0,1.0
2000-03-24,12.75,12.75,12.75,12.75,1.6572,171,0.0,1.0
2000-03-27,12.75,12.75,12.75,12.75,1.6572,3042,0.0,1.0
2000-03-28,12.06,12.06,12.06,12.06,1.5676,171,0.0,1.0
2000-03-29,12.75,12.75,12.75,12.75,1.6572,1185,0.0,1.0
2000-03-30,11.94,11.94,11.94,11.94,1.552,553,0.0,1.0
2000-03-31,11.94,11.94,11.94,11.94,1.552,0,0.0,1.0
2000-04-03,11.94,11.94,11.94,11.94,1.552,13,0.0,1.0
2000-04-04,12.0,12.0,11.94,12.0,1.5598,2423,0.0,1.0
2000-04-05,12.5,12.5,10.88,10.88,1.4142,5623,0.0,1.0
2000-04-06,11.31,11.31,10.0,10.06,1.3076,2660,0.0,1.0
2000-04-07,12.0,12.0,10.88,10.88,1.4142,13985,0.0,1.0
2000-04-10,11.75,11.75,10.63,10.63,1.3817,553,0.0,1.0
2000-04-11,10.63,11.25,10.5,10.88,1.4142,3845,0.0,1.0
2000-04-12,10.31,10.5,10.31,10.38,1.3492,3635,0.0,1.0
2000-04-13,10.5,11.0,10.31,10.88,1.4142,1857,0.0,1.0
2000-04-14,10.88,11.5,10.38,10.88,1.4142,3450,0.0,1.0
2000-04-17,10.31,10.38,10.31,10.38,1.3492,1857,0.0,1.0
2000-04-18,10.31,10.38,10.02,10.25,1.3323,4030,0.0,1.0
2000-04-19,10.38,10.75,10.38,10.75,1.3973,2147,0.0,1.0
2000-04-20,10.63,10.75,10.44,10.75,1.3973,3213,0.0,1.0
2000-04-24,10.5,10.5,10.44,10.5,1.3648,1067,0.0,1.0
2000-04-25,10.5,10.63,10.38,10.63,1.3817,2384,0.0,1.0
2000-04-26,10.5,10.88,10.5,10.63,1.3817,2028,0.0,1.0
2000-04-27,10.25,10.25,10.25,10.25,1.3323,4978,0.0,1.0
2000-04-28,11.0,11.0,10.89,11.0,1.4298,6953,0.0,1.0
2000-05-01,10.94,10.94,10.13,10.5,1.3648,4161,0.0,1.0
2000-05-02,10.75,10.75,10.75,10.75,1.3973,369,0.0,1.0
2000-05-03,11.0,11.0,11.0,11.0,1.4298,171,0.0,1.0
2000-05-04,10.88,11.0,10.88,11.0,1.4298,1067,0.0,1.0
2000-05-05,10.94,11.0,10.94,11.0,1.4298,1593,0.0,1.0
2000-05-08,10.63,10.63,10.63,10.63,1.3817,171,0.0,1.0
2000-05-09,10.63,10.63,10.0,10.06,1.3076,2963,0.0,1.0
2000-05-10,10.75,10.75,10.06,10.06,1.3076,1857,0.0,1.0
2000-05-11,10.06,10.06,10.06,10.06,1.3076,13,0.0,1.0
2000-05-12,10.38,10.38,10.06,10.06,1.3076,2147,0.0,1.0
2000-05-15,10.5,10.5,10.0,10.0,1.2998,2147,0.0,1.0
2000-05-16,10.5,10.5,10.02,10.06,1.3076,3200,0.0,1.0
2000-05-17,10.25,10.25,10.25,10.25,1.3323,13,0.0,1.0
2000-05-18,10.5,10.5,10.5,10.5,1.3648,553,0.0,1.0
2000-05-19,10.5,10.5,10.5,10.5,1.3648,645,0.0,1.0
2000-05-22,10.13,10.14,9.938,10.0,1.2998,7045,0.0,1.0
2000-05-23,10.5,10.63,10.5,10.63,1.3817,171,0.0,1.0
2000-05-24,10.13,10.13,10.13,10.13,1.3167,961,0.0,1.0
2000-05-25,10.0,10.0,10.0,10.0,1.2998,2963,0.0,1.0
2000-05-26,10.0,10.0,9.781,9.781,1.2713,6650,0.0,1.0
2000-05-30,9.625,10.13,9.625,10.0,1.2998,4793,0.0,1.0
2000-05-31,10.13,10.13,8.875,8.875,1.1536,5860,0.0,1.0
2000-06-01,9.25,9.5,9.25,9.5,1.2348,645,0.0,1.0
2000-06-02,9.75,10.25,9.5,9.5,1.2348,15460,0.0,1.0
2000-06-05,9.625,10.13,9.25,9.5,1.2348,10245,0.0,1.0
2000-06-06,9.5,9.5,9.5,9.5,1.2348,553,0.0,1.0
2000-06-07,9.75,9.875,9.688,9.688,1.2592,9244,0.0,1.0
2000-06-08,10.13,10.13,10.0,10.0,1.2998,1356,0.0,1.0
2000-06-09,10.0,10.0,10.0,10.0,1.2998,0,0.0,1.0
2000-06-12,9.875,9.875,9.875,9.875,1.2836,13,0.0,1.0
2000-06-13,9.875,9.875,9.875,9.875,1.2836,553,0.0,1.0
2000-06-14,9.875,9.875,9.0,9.0,1.1698,16369,0.0,1.0
2000-06-15,9.0,9.0,9.0,9.0,1.1698,1975,0.0,1.0
2000-06-16,9.25,9.375,9.25,9.25,1.2023,961,0.0,1.0
2000-06-19,9.5,10.13,9.5,9.75,1.2673,3635,0.0,1.0
2000-06-20,9.125,10.0,9.125,9.5,1.2348,9442,0.0,1.0
2000-06-21,9.125,9.5,9.125,9.375,1.2186,8652,0.0,1.0
2000-06-22,9.375,9.5,9.125,9.375,1.2186,1857,0.0,1.0
2000-06-23,9.875,9.875,9.875,9.875,1.2836,961,0.0,1.0
2000-06-26,9.87,9.87,9.87,9.87,1.2829,0,0.0,1.0
2000-06-27,9.87,9.87,9.87,9.87,1.2829,0,0.0,1.0
2000-06-28,9.87,9.87,9.87,9.87,1.2829,0,0.0,1.0
2000-06-29,9.75,9.75,9.625,9.625,1.2511,2028,0.0,1.0
2000-06-30,9.625,11.75,8.875,9.75,1.2673,31223,0.0,1.0
2000-07-03,10.0,10.0,9.75,10.0,1.2998,1185,0.0,1.0
2000-07-05,9.5,9.5,9.375,9.375,1.2186,2779,0.0,1.0
2000-07-06,9.38,9.38,9.38,9.38,1.2192,0,0.0,1.0
2000-07-07,9.375,9.375,9.375,9.375,1.2186,250,0.0,1.0
2000-07-10,9.25,9.313,9.25,9.313,1.2105,4820,0.0,1.0
2000-07-11,9.31,9.31,9.31,9.31,1.2101,0,0.0,1.0
2000-07-12,9.25,9.25,9.125,9.188,1.1943,3042,0.0,1.0
2000-07-13,9.063,9.063,9.063,9.063,1.178,553,0.0,1.0
2000-07-14,9.06,9.06,9.06,9.06,1.1776,0,0.0,1.0
2000-07-17,9.5,9.5,9.375,9.375,1.2186,1067,0.0,1.0
2000-07-18,9.375,9.375,9.313,9.313,1.2105,645,0.0,1.0
2000-07-19,9.25,9.25,9.25,9.25,1.2023,1356,0.0,1.0
2000-07-20,9.5,9.5,8.75,8.75,1.1373,14947,0.0,1.0
2000-07-21,9.125,9.5,8.75,8.75,1.1373,6242,0.0,1.0
2000-07-24,8.875,10.0,8.875,9.375,1.2186,3990,0.0,1.0
2000-07-25,9.25,9.25,9.25,9.25,1.2023,369,0.0,1.0
2000-07-26,9.625,9.625,9.5,9.5,1.2348,2779,0.0,1.0
2000-07-27,9.5,10.0,9.5,9.75,1.2673,1975,0.0,1.0
2000-07-28,9.875,10.0,9.875,10.0,1.2998,1593,0.0,1.0
2000-07-31,10.0,10.0,9.75,9.75,1.2673,3371,0.0,1.0
2000-08-01,9.75,9.875,9.563,9.563,1.243,1857,0.0,1.0
2000-08-02,9.75,10.0,9.75,10.0,1.2998,7756,0.0,1.0
2000-08-03,10.0,10.0,10.0,10.0,1.2998,3042,0.0,1.0
2000-08-04,10.38,11.0,10.25,10.75,1.3973,5057,0.0,1.0
2000-08-07,11.0,11.0,10.75,10.75,1.3973,3213,0.0,1.0
2000-08-08,10.63,10.88,10.63,10.88,1.4142,7467,0.0,1.0
2000-08-09,11.0,11.0,11.0,11.0,1.4298,4793,0.0,1.0
2000-08-10,10.63,11.0,10.63,11.0,1.4298,1435,0.0,1.0
2000-08-11,11.0,11.0,11.0,11.0,1.4298,0,0.0,1.0
2000-08-14,10.63,11.0,10.63,10.94,1.422,2844,0.0,1.0
2000-08-15,10.63,11.0,10.63,10.94,1.422,0,0.0,1.0
2000-08-16,10.94,10.94,10.94,10.94,1.422,435,0.0,1.0
2000-08-17,10.94,10.94,10.5,10.5,1.3648,4556,0.0,1.0
2000-08-18,10.38,10.38,9.063,10.0,1.2998,41613,0.0,1.0
2000-08-21,10.0,10.5,10.0,10.38,1.3492,2147,0.0,1.0
2000-08-22,10.31,10.31,10.0,10.0,1.2998,2660,0.0,1.0
2000-08-23,10.0,10.0,10.0,10.0,1.2998,171,0.0,1.0
2000-08-24,10.0,10.0,10.0,10.0,1.2998,0,0.0,1.0
2000-08-25,10.44,10.44,10.19,10.44,1.357,1857,0.0,1.0
2000-08-28,10.44,10.44,10.44,10.44,1.357,369,0.0,1.0
2000-08-29,10.5,10.5,10.0,10.0,1.2998,2147,0.0,1.0
2000-08-30,10.44,10.44,9.5,9.5,1.2348,5347,0.0,1.0
2000-08-31,9.563,9.563,9.25,9.25,1.2023,21623,0.0,1.0
2000-09-01,9.25,9.875,8.875,8.875,1.1536,32000,0.0,1.0
2000-09-05,9.063,9.5,9.063,9.5,1.2348,3213,0.0,1.0
2000-09-06,9.406,10.0,9.063,9.125,1.1861,5979,0.0,1.0
