,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,26.0,26.25,25.75,25.81,2.4791,65675,0.0,1.0
2000-01-19,26.0,26.88,26.0,26.13,2.5099,71825,0.0,1.0
2000-01-20,26.25,26.38,26.0,26.31,2.5272,56075,0.0,1.0
2000-01-21,26.31,27.69,26.13,27.56,2.6472,106325,0.0,1.0
2000-01-24,27.56,28.25,27.31,27.56,2.6472,143225,0.0,1.0
2000-01-25,27.56,28.0,27.06,27.06,2.5992,84850,0.0,1.0
2000-01-26,27.31,27.69,26.94,27.0,2.5934,79950,0.0,1.0
2000-01-27,26.69,26.75,26.06,26.06,2.5329,60750,0.31,1.0
2000-01-28,26.06,26.38,25.94,26.06,2.5329,65775,0.0,1.0
2000-01-31,26.13,26.56,25.5,26.13,2.5397,86000,0.0,1.0
2000-02-01,26.0,26.5,25.25,26.25,2.5514,64625,0.0,1.0
2000-02-02,26.5,26.69,26.13,26.5,2.5757,73550,0.0,1.0
2000-02-03,26.38,26.69,25.63,26.5,2.5757,67725,0.0,1.0
2000-02-04,26.5,26.5,25.5,25.81,2.5086,67600,0.0,1.0
2000-02-07,25.81,25.81,25.19,25.25,2.4542,126550,0.0,1.0
2000-02-08,25.25,25.25,24.06,24.88,2.4182,234600,0.0,1.0
2000-02-09,24.63,24.88,24.19,24.44,2.3755,141050,0.0,1.0
2000-02-10,24.31,24.88,24.31,24.69,2.3998,53550,0.0,1.0
2000-02-11,24.5,24.75,23.5,23.75,2.3084,105300,0.0,1.0
2000-02-14,24.0,24.63,23.44,24.31,2.3628,69100,0.0,1.0
2000-02-15,24.38,25.0,24.38,24.88,2.4182,116950,0.0,1.0
2000-02-16,24.88,24.94,24.06,24.19,2.3512,99250,0.0,1.0
2000-02-17,24.31,24.81,24.25,24.31,2.3628,66925,0.0,1.0
2000-02-18,24.31,24.38,23.94,23.94,2.3269,73325,0.0,1.0
2000-02-22,23.81,23.81,23.13,23.5,2.2841,48875,0.0,1.0
2000-02-23,23.5,23.5,23.0,23.19,2.254,37900,0.0,1.0
2000-02-24,23.0,23.19,22.19,22.44,2.1811,120825,0.0,1.0
2000-02-25,22.44,22.75,21.75,21.75,2.114,100725,0.0,1.0
2000-02-28,21.88,22.5,21.81,22.38,2.1752,78450,0.0,1.0
2000-02-29,22.19,22.81,22.13,22.69,2.2054,82350,0.0,1.0
2000-03-01,22.69,23.0,22.69,23.0,2.2355,100500,0.0,1.0
2000-03-02,22.81,23.13,22.69,22.75,2.2112,142200,0.0,1.0
2000-03-03,22.63,23.13,22.31,22.81,2.217,91025,0.0,1.0
2000-03-06,22.69,22.75,22.38,22.5,2.1869,64300,0.0,1.0
2000-03-07,22.56,23.31,22.31,22.88,2.2238,79725,0.0,1.0
2000-03-08,23.06,23.69,23.0,23.56,2.2899,98000,0.0,1.0
2000-03-09,23.38,23.75,23.06,23.75,2.3084,109075,0.0,1.0
2000-03-10,23.63,23.94,23.25,23.81,2.3142,98675,0.0,1.0
2000-03-13,23.56,23.94,23.19,23.94,2.3269,144925,0.0,1.0
2000-03-14,23.75,23.75,22.63,22.69,2.2054,146525,0.0,1.0
2000-03-15,22.88,23.63,22.38,23.13,2.2481,111125,0.0,1.0
2000-03-16,23.06,24.63,23.06,24.63,2.3939,103125,0.0,1.0
2000-03-17,24.38,24.38,23.31,24.31,2.3628,136700,0.0,1.0
2000-03-20,24.56,24.63,24.25,24.63,2.3939,76750,0.0,1.0
2000-03-21,24.44,25.0,24.31,25.0,2.4299,76275,0.0,1.0
2000-03-22,25.0,25.56,23.88,24.19,2.3512,85300,0.0,1.0
2000-03-23,24.44,24.81,23.94,24.13,2.3453,43175,0.0,1.0
2000-03-24,24.0,24.44,23.94,24.44,2.3755,57675,0.0,1.0
2000-03-27,24.31,24.75,24.25,24.44,2.3755,46125,0.0,1.0
2000-03-28,24.44,24.5,23.75,23.75,2.3084,54700,0.0,1.0
2000-03-29,23.5,24.69,23.5,24.38,2.3696,48300,0.0,1.0
2000-03-30,24.5,24.75,24.25,24.69,2.3998,98100,0.0,1.0
2000-03-31,24.69,25.25,24.31,25.0,2.4299,83375,0.0,1.0
2000-04-03,25.06,25.06,24.75,25.06,2.4357,44875,0.0,1.0
2000-04-04,24.94,25.13,24.13,24.94,2.4241,63025,0.0,1.0
2000-04-05,25.13,25.19,24.44,24.63,2.3939,144600,0.0,1.0
2000-04-06,24.75,25.06,24.44,25.06,2.4357,58125,0.0,1.0
2000-04-07,25.19,25.31,24.56,24.88,2.4182,46475,0.0,1.0
2000-04-10,25.06,25.13,24.63,24.69,2.3998,63725,0.0,1.0
2000-04-11,24.69,24.81,24.25,24.69,2.3998,90100,0.0,1.0
2000-04-12,24.69,25.0,24.44,24.75,2.4056,179550,0.0,1.0
2000-04-13,24.81,25.88,24.75,25.56,2.4843,76400,0.0,1.0
2000-04-14,25.75,26.38,25.25,25.31,2.46,84850,0.0,1.0
2000-04-17,25.5,25.81,25.13,25.69,2.497,67725,0.0,1.0
2000-04-18,25.56,25.56,25.0,25.44,2.4727,51625,0.0,1.0
2000-04-19,25.44,25.5,25.13,25.38,2.4668,46250,0.0,1.0
2000-04-20,25.0,26.06,25.0,25.94,2.5213,62575,0.0,1.0
2000-04-24,25.81,25.88,25.25,25.44,2.4727,64175,0.0,1.0
2000-04-25,25.5,26.06,25.25,26.06,2.5329,61550,0.0,1.0
2000-04-26,25.63,25.88,25.5,25.69,2.5271,48525,0.31,1.0
2000-04-27,25.75,25.75,24.81,25.06,2.4651,64300,0.0,1.0
2000-04-28,25.06,25.75,24.94,25.25,2.4838,58350,0.0,1.0
2000-05-01,24.75,25.69,24.69,25.44,2.5025,51375,0.0,1.0
2000-05-02,25.25,25.75,25.19,25.44,2.5025,68300,0.0,1.0
2000-05-03,25.38,25.47,25.25,25.31,2.4897,62700,0.0,1.0
2000-05-04,25.31,25.5,25.25,25.25,2.4838,31750,0.0,1.0
2000-05-05,25.31,25.63,25.25,25.63,2.5212,25000,0.0,1.0
2000-05-08,25.81,26.31,25.44,25.56,2.5143,44750,0.0,1.0
2000-05-09,25.44,25.56,25.0,25.13,2.472,99825,0.0,1.0
2000-05-10,25.13,25.63,25.0,25.19,2.4779,87025,0.0,1.0
2000-05-11,25.56,26.0,25.38,25.81,2.5389,49900,0.0,1.0
2000-05-12,25.75,26.06,25.5,25.75,2.533,23975,0.0,1.0
2000-05-15,25.75,27.38,25.25,26.88,2.6442,119225,0.0,1.0
2000-05-16,27.31,27.31,26.75,26.94,2.6501,120950,0.0,1.0
2000-05-17,26.81,26.88,26.0,26.44,2.6009,64075,0.0,1.0
2000-05-18,26.44,26.94,26.06,26.25,2.5822,44300,0.0,1.0
2000-05-19,26.0,26.31,25.81,26.13,2.5704,64875,0.0,1.0
2000-05-22,26.25,26.94,26.25,26.94,2.6501,64625,0.0,1.0
2000-05-23,26.81,26.88,26.31,26.56,2.6127,28550,0.0,1.0
2000-05-24,26.56,27.44,26.38,27.44,2.6992,106200,0.0,1.0
2000-05-25,27.38,27.69,27.0,27.06,2.6619,53550,0.0,1.0
2000-05-26,27.19,28.19,27.0,27.5,2.7051,58700,0.0,1.0
2000-05-30,27.81,28.19,27.81,28.06,2.7602,70225,0.0,1.0
2000-05-31,28.13,29.13,28.13,29.06,2.8586,107925,0.0,1.0
2000-06-01,29.31,30.19,29.25,30.06,2.957,152925,0.0,1.0
2000-06-02,30.38,31.25,30.06,30.13,2.9639,158075,0.0,1.0
2000-06-05,30.06,30.06,28.81,29.0,2.8527,90575,0.0,1.0
2000-06-06,29.13,29.75,28.25,28.44,2.7976,100625,0.0,1.0
2000-06-07,28.63,28.63,28.0,28.25,2.7789,73550,0.0,1.0
2000-06-08,28.25,28.44,27.63,27.81,2.7356,66700,0.0,1.0
2000-06-09,27.94,28.63,27.94,28.44,2.7976,52300,0.0,1.0
2000-06-12,28.5,29.06,28.38,28.56,2.8094,52075,0.0,1.0
2000-06-13,28.63,29.38,28.5,28.81,2.834,40650,0.0,1.0
