,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,96.0,96.0,93.56,93.56,31.8449,646800,0.0,1.0
2000-01-19,93.63,98.38,93.5,97.31,33.1212,785400,0.0,1.0
2000-01-20,99.88,100.9,93.63,93.69,31.8891,891400,0.0,1.0
2000-01-21,94.25,95.94,94.0,94.94,32.3146,713800,0.0,1.0
2000-01-24,95.19,95.19,91.75,92.0,31.3139,533200,0.0,1.0
2000-01-25,92.25,93.56,89.81,90.44,30.7829,591100,0.0,1.0
2000-01-26,91.0,96.38,90.56,93.81,31.93,536100,0.0,1.0
2000-01-27,93.5,96.06,91.81,93.19,31.7189,498700,0.0,1.0
2000-01-28,91.5,96.75,90.19,94.63,32.2091,973100,0.0,1.0
2000-01-31,94.38,94.5,91.63,93.69,31.8891,545800,0.0,1.0
2000-02-01,93.69,97.25,93.5,96.38,32.8047,498700,0.0,1.0
2000-02-02,96.38,99.94,94.56,94.75,32.2499,922300,0.0,1.0
2000-02-03,94.63,95.25,93.31,94.0,31.9946,656100,0.0,1.0
2000-02-04,94.0,95.13,93.44,93.75,31.9095,509300,0.0,1.0
2000-02-07,93.38,93.5,91.69,91.88,31.273,442400,0.0,1.0
2000-02-08,91.88,95.63,91.88,94.88,32.2941,626000,0.0,1.0
2000-02-09,94.88,97.69,94.31,96.81,32.9511,709600,0.0,1.0
2000-02-10,96.69,98.38,95.06,96.44,32.8251,460500,0.0,1.0
2000-02-11,97.88,97.94,94.63,95.69,32.5698,525700,0.0,1.0
2000-02-14,95.56,96.38,94.5,94.94,32.3146,239600,0.0,1.0
2000-02-15,95.19,95.63,93.19,94.38,32.124,1466500,0.0,1.0
2000-02-16,94.63,95.0,88.06,89.25,30.3779,657200,0.0,1.0
2000-02-17,90.0,90.0,83.0,84.75,28.8462,919900,0.0,1.0
2000-02-18,85.12,89.88,85.12,89.12,30.3336,1414400,0.0,1.0
2000-02-22,91.0,91.5,83.88,86.25,29.3568,1185300,0.0,1.0
2000-02-23,87.5,97.0,87.25,94.5,32.1648,1341600,0.0,1.0
2000-02-24,95.0,97.25,91.13,92.63,31.5283,832600,0.0,1.0
2000-02-25,93.63,93.88,88.69,88.81,30.2281,683700,0.0,1.0
2000-02-28,90.5,92.5,87.75,91.69,31.2084,746100,0.0,1.0
2000-02-29,91.56,94.63,91.13,94.19,32.0593,584200,0.0,1.0
2000-03-01,94.19,94.88,92.75,94.13,32.0389,830500,0.0,1.0
2000-03-02,93.75,93.88,91.63,92.5,31.4841,895500,0.0,1.0
2000-03-03,92.25,92.25,88.06,90.25,30.7182,1252400,0.0,1.0
2000-03-06,90.0,90.0,81.0,83.13,28.2948,3252800,0.0,1.0
2000-03-07,82.13,83.94,80.31,80.75,27.4847,1366900,0.0,1.0
2000-03-08,80.69,81.13,75.5,79.88,27.2482,1830300,0.175,1.0
2000-03-09,80.44,83.44,79.13,83.0,28.3125,1212400,0.0,1.0
2000-03-10,83.5,84.13,82.06,83.69,28.5478,1126000,0.0,1.0
2000-03-13,83.69,83.94,81.0,83.31,28.4182,851500,0.0,1.0
2000-03-14,83.06,84.38,81.75,83.56,28.5035,981700,0.0,1.0
2000-03-15,83.31,83.38,80.63,81.75,27.8861,1184700,0.0,1.0
2000-03-16,82.75,85.75,82.56,85.38,29.1243,994200,0.0,1.0
2000-03-17,85.13,88.75,83.75,88.5,30.1886,1093300,0.0,1.0
2000-03-20,89.38,93.0,87.94,90.19,30.7651,940100,0.0,1.0
2000-03-21,90.94,92.94,90.75,91.75,31.2972,1128200,0.0,1.0
2000-03-22,92.25,97.0,92.25,94.94,32.3854,1220100,0.0,1.0
2000-03-23,94.5,96.5,94.31,95.56,32.5969,445500,0.0,1.0
2000-03-24,95.56,99.75,95.56,98.56,33.6202,934700,0.0,1.0
2000-03-27,98.31,99.94,98.13,99.06,33.7908,1035400,0.0,1.0
2000-03-28,99.19,100.6,98.31,99.5,33.9408,1198900,0.0,1.0
2000-03-29,99.5,100.0,96.94,97.81,33.3644,1063700,0.0,1.0
2000-03-30,97.88,98.5,94.63,94.63,32.2796,615800,0.0,1.0
2000-03-31,94.0,94.75,92.0,93.63,31.9385,844200,0.0,1.0
2000-04-03,93.63,96.25,93.5,95.06,32.4263,442300,0.0,1.0
2000-04-04,94.94,95.75,85.81,90.48,30.864,1254600,0.0,1.0
2000-04-05,90.63,98.13,90.0,95.38,32.5355,968100,0.0,1.0
