,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,107.9,114.5,105.6,111.3,24.2279,16695000,0.0,1.0
2000-01-19,56.13,58.25,54.0,57.13,24.8722,12299600,0.0,2.0
2000-01-20,59.0,60.25,58.13,59.25,25.7952,27263400,0.0,1.0
2000-01-21,61.5,61.5,59.0,59.69,25.9868,25445500,0.0,1.0
2000-01-24,60.25,60.38,54.0,54.19,23.5923,25011200,0.0,1.0
2000-01-25,55.06,57.5,54.88,56.44,24.5718,26529600,0.0,1.0
2000-01-26,56.75,58.94,55.0,55.06,23.971,23784600,0.0,1.0
2000-01-27,55.81,56.69,50.0,51.81,22.5561,30527000,0.0,1.0
2000-01-28,51.5,51.94,46.63,47.38,20.6274,43197000,0.0,1.0
2000-01-31,47.94,50.13,47.06,49.95,21.7463,34074000,0.0,1.0
2000-02-01,51.25,54.31,50.0,54.0,23.5095,28552800,0.0,1.0
2000-02-02,54.94,56.0,54.0,54.31,23.6445,31966500,0.0,1.0
2000-02-03,55.38,57.0,54.25,56.69,24.6807,27766600,0.0,1.0
2000-02-04,57.63,58.25,57.56,57.81,25.1683,20458000,0.0,1.0
2000-02-07,59.31,60.0,58.42,59.94,26.0956,22345600,0.0,1.0
2000-02-08,60.75,61.44,59.0,59.56,25.9302,27859000,0.0,1.0
2000-02-09,60.06,61.31,58.81,59.94,26.0956,26235800,0.0,1.0
2000-02-10,60.0,62.63,58.0,62.31,27.1274,22644300,0.0,1.0
2000-02-11,62.5,64.75,58.75,59.69,25.9868,27887000,0.0,1.0
2000-02-14,60.88,62.25,58.63,62.19,27.0752,18799900,0.0,1.0
2000-02-15,61.63,63.19,59.13,61.38,26.7225,23985700,0.0,1.0
2000-02-16,61.0,62.56,60.13,61.25,26.6659,16744600,0.0,1.0
2000-02-17,61.75,62.75,60.0,61.63,26.8314,20196300,0.0,1.0
2000-02-18,61.69,62.0,58.38,58.56,25.4948,31944200,0.0,1.0
2000-02-22,59.13,61.44,56.31,59.31,25.8213,37773100,0.0,1.0
2000-02-23,60.19,63.27,59.63,63.06,27.4539,34832200,0.0,1.0
2000-02-24,63.19,65.06,60.25,61.94,26.9663,35481600,0.0,1.0
2000-02-25,61.88,71.0,61.88,70.63,30.7496,51593300,0.0,1.0
2000-02-28,71.25,76.5,68.25,68.63,29.8789,61158300,0.0,1.0
2000-02-29,73.38,74.44,71.13,74.25,32.3256,27793200,0.0,1.0
2000-03-01,73.75,74.5,70.75,71.5,31.1284,22467200,0.0,1.0
2000-03-02,73.5,73.56,67.88,68.5,29.8223,26155500,0.0,1.0
2000-03-03,71.13,75.13,70.17,75.0,32.6521,23987200,0.0,1.0
2000-03-06,74.81,76.94,72.38,75.75,32.9787,22760300,0.0,1.0
2000-03-07,76.63,80.0,74.38,74.94,32.626,26991100,0.0,1.0
2000-03-08,77.38,83.56,75.0,83.13,36.1916,31390600,0.0,1.0
2000-03-09,84.31,85.0,80.13,84.0,36.5704,28238200,0.0,1.0
2000-03-10,84.0,84.06,80.25,81.63,35.5386,22349900,0.0,1.0
2000-03-13,78.5,83.63,76.8,78.75,34.2848,32901600,0.0,1.0
2000-03-14,81.88,83.75,76.5,77.0,33.5229,36182000,0.0,1.0
2000-03-15,84.0,85.0,77.0,78.63,34.2325,72405200,0.0,1.0
2000-03-16,80.69,82.56,76.69,81.94,35.6736,47766200,0.0,1.0
2000-03-17,81.75,82.0,79.5,79.81,34.7462,33027600,0.0,1.0
2000-03-20,80.5,80.63,77.56,78.13,34.0148,23591800,0.0,1.0
2000-03-21,77.88,80.88,76.0,80.69,35.1294,26310700,0.0,1.0
2000-03-22,81.0,84.38,78.88,84.06,36.5965,26598800,0.0,1.0
2000-03-23,83.13,88.0,82.56,86.88,37.8242,25401900,0.0,1.0
2000-03-24,86.81,89.69,86.44,87.0,37.8765,26410800,0.0,1.0
2000-03-27,89.06,89.31,86.94,88.44,38.5034,16298600,0.0,1.0
2000-03-28,87.63,90.0,85.5,86.56,37.6849,18019600,0.0,1.0
2000-03-29,86.06,86.13,82.06,82.5,35.9174,25983100,0.0,1.0
2000-03-30,78.5,84.5,78.0,78.44,34.1498,35493000,0.0,1.0
2000-03-31,80.19,81.56,76.0,78.06,33.9844,39921000,0.0,1.0
2000-04-03,78.63,80.63,75.0,76.88,33.4706,35799000,0.0,1.0
2000-04-04,78.13,78.13,65.25,75.94,33.0614,61816900,0.0,1.0
2000-04-05,73.25,81.0,72.55,78.25,34.0671,36868400,0.0,1.0
2000-04-06,80.88,83.44,80.13,82.19,35.7824,31204100,0.0,1.0
2000-04-07,83.69,87.25,83.0,87.13,37.9331,23382300,0.0,1.0
2000-04-10,87.5,87.5,82.25,82.5,35.9174,28120600,0.0,1.0
2000-04-11,80.19,81.63,76.81,77.38,33.6883,35491900,0.0,1.0
2000-04-12,77.94,80.0,72.94,73.13,31.838,33566500,0.0,1.0
2000-04-13,74.88,77.5,71.75,71.94,31.3199,31603400,0.0,1.0
2000-04-14,69.92,71.28,60.25,63.52,27.6542,54975700,0.0,1.0
2000-04-17,60.5,74.88,60.17,74.81,32.5694,57652400,0.0,1.0
2000-04-18,75.56,79.06,73.75,78.94,34.3675,39369400,0.0,1.0
2000-04-19,78.63,79.56,74.25,74.56,32.4606,23092100,0.0,1.0
2000-04-20,73.81,75.5,69.88,70.81,30.828,25198900,0.0,1.0
2000-04-24,67.38,72.69,67.0,72.44,31.5376,29862800,0.0,1.0
2000-04-25,74.88,76.38,72.63,75.56,32.896,30882100,0.0,1.0
2000-04-26,76.13,77.81,71.06,72.19,31.4288,23894400,0.0,1.0
2000-04-27,70.06,77.56,69.94,77.31,33.6578,26050500,0.0,1.0
2000-04-28,78.5,80.0,78.13,79.94,34.8028,20848300,0.0,1.0
2000-05-01,79.88,81.88,78.75,79.69,34.694,18546700,0.0,1.0
2000-05-02,78.94,79.5,77.38,77.81,33.8755,17670500,0.0,1.0
2000-05-03,76.88,77.13,72.13,75.81,33.0048,24801600,0.0,1.0
2000-05-04,75.31,76.94,73.0,74.25,32.3256,19949900,0.0,1.0
2000-05-05,74.0,77.0,73.75,76.81,33.4402,17644800,0.0,1.0
2000-05-08,75.31,76.0,72.06,72.31,31.481,18264200,0.0,1.0
2000-05-09,73.69,74.25,71.25,72.0,31.3461,21767600,0.0,1.0
2000-05-10,70.94,73.13,67.5,67.63,29.4435,35584900,0.0,1.0
2000-05-11,68.94,72.38,68.0,72.38,31.5115,23295100,0.0,1.0
2000-05-12,73.31,76.44,73.06,74.19,32.2995,19519100,0.0,1.0
2000-05-15,74.44,77.0,70.63,77.0,33.5229,20985900,0.0,1.0
2000-05-16,77.63,79.75,77.06,79.19,34.4763,19130700,0.0,1.0
2000-05-17,77.75,79.88,76.56,78.19,34.041,16996800,0.0,1.0
2000-05-18,78.31,78.75,72.44,73.06,31.8075,23222300,0.0,1.0
2000-05-19,72.0,74.0,69.5,70.06,30.5015,26114400,0.0,1.0
2000-05-22,70.06,70.25,62.75,67.81,29.5219,45578000,0.0,1.0
2000-05-23,67.0,68.5,62.38,62.63,27.2667,29287000,0.0,1.0
2000-05-24,61.77,64.5,58.13,64.25,27.972,42597600,0.0,1.0
2000-05-25,65.5,70.81,65.0,66.44,28.9254,40479000,0.0,1.0
2000-05-26,66.81,69.5,65.06,67.0,29.1693,14451900,0.0,1.0
2000-05-30,68.88,74.19,68.56,74.19,32.2995,19466500,0.0,1.0
2000-05-31,73.25,76.44,72.75,72.75,31.6726,25469900,0.0,1.0
2000-06-01,73.94,77.88,73.5,77.88,33.906,26700500,0.0,1.0
2000-06-02,80.5,81.5,78.5,80.19,34.9117,28982400,0.0,1.0
2000-06-05,79.25,82.0,79.0,80.94,35.2382,19253600,0.0,1.0
2000-06-06,80.5,81.5,76.25,77.06,33.549,20010000,0.0,1.0
2000-06-07,76.75,80.25,75.56,80.0,34.829,17040400,0.0,1.0
2000-06-08,81.88,82.75,80.25,82.38,35.8651,23384300,0.0,1.0
2000-06-09,82.88,83.75,81.88,82.69,36.0001,16487600,0.0,1.0
2000-06-12,82.56,82.81,80.38,80.56,35.0728,12103000,0.0,1.0
2000-06-13,79.98,81.75,78.06,81.69,35.5647,18614700,0.0,1.0
2000-06-14,81.88,82.0,78.75,79.0,34.3936,16595900,0.0,1.0
2000-06-15,79.25,82.63,79.13,82.5,35.9174,18393400,0.0,1.0
2000-06-16,81.88,83.75,81.06,81.88,35.6474,20952200,0.0,1.0
2000-06-19,82.06,86.06,81.25,86.0,37.4411,25538600,0.0,1.0
2000-06-20,86.94,87.63,84.5,86.05,37.4629,28596300,0.0,1.0
2000-06-21,80.81,87.38,80.31,86.19,37.5238,54026900,0.0,1.0
2000-06-22,84.63,85.25,81.38,81.5,35.482,21052800,0.0,1.0
2000-06-23,80.81,81.48,78.56,79.5,34.6113,20321500,0.0,1.0
2000-06-26,80.25,83.44,79.25,82.69,36.0001,19471200,0.0,1.0
2000-06-27,82.38,83.94,81.69,82.25,35.8085,14290800,0.0,1.0
2000-06-28,82.06,85.0,81.69,82.94,36.1089,16052400,0.0,1.0
2000-06-29,82.06,83.13,79.56,80.88,35.2121,17875900,0.0,1.0
2000-06-30,80.38,84.5,80.0,84.06,36.5965,19046500,0.0,1.0
2000-07-03,81.13,81.75,78.88,80.19,34.9117,21068100,0.0,1.0
2000-07-05,76.81,77.25,72.19,72.31,31.481,47317100,0.0,1.0
2000-07-06,71.75,75.88,71.75,75.63,32.9264,25266500,0.0,1.0
2000-07-07,75.94,77.0,75.5,75.88,33.0353,15740100,0.0,1.0
2000-07-10,74.63,75.5,72.88,74.13,32.2734,21978800,0.0,1.0
2000-07-11,73.63,75.25,71.13,72.31,31.481,21060700,0.0,1.0
2000-07-12,73.44,75.13,73.0,74.69,32.5172,17184200,0.0,1.0
2000-07-13,75.75,76.63,74.75,75.75,32.9787,20812700,0.0,1.0
2000-07-14,76.19,76.5,75.13,76.13,33.1441,15856000,0.0,1.0
2000-07-17,75.31,78.0,74.06,76.13,33.1441,16194400,0.0,1.0
2000-07-18,75.69,76.63,74.06,74.19,32.2995,14983500,0.0,1.0
2000-07-19,75.0,75.94,73.0,73.75,32.1079,15779300,0.0,1.0
2000-07-20,74.81,79.0,74.75,78.13,34.0148,17691000,0.0,1.0
2000-07-21,77.44,77.69,75.06,75.44,32.8437,15462500,0.0,1.0
2000-07-24,77.13,78.63,74.94,75.0,32.6521,19030100,0.0,1.0
2000-07-25,75.88,76.5,74.31,76.0,33.0875,13559100,0.0,1.0
2000-07-26,74.81,78.0,74.06,76.75,33.414,15913200,0.0,1.0
2000-07-27,75.94,78.0,75.0,75.06,32.6783,16269500,0.0,1.0
2000-07-28,75.13,76.44,71.06,72.38,31.5115,16601700,0.0,1.0
2000-07-31,71.75,75.5,71.38,75.19,32.7349,17203200,0.0,1.0
2000-08-01,75.19,75.88,72.88,73.13,31.838,15095400,0.0,1.0
2000-08-02,73.0,75.25,72.38,73.13,31.838,15157500,0.0,1.0
2000-08-03,72.81,77.5,71.63,77.44,33.7144,22470600,0.0,1.0
2000-08-04,78.31,82.31,78.25,81.56,35.5081,36605800,0.0,1.0
2000-08-07,80.88,82.38,80.75,81.88,35.6474,20375700,0.0,1.0
2000-08-08,81.0,83.25,80.81,83.0,36.135,17465900,0.0,1.0
2000-08-09,83.5,84.28,81.19,81.38,35.4298,15423000,0.0,1.0
2000-08-10,81.44,82.38,80.0,80.06,34.8551,12218000,0.0,1.0
2000-08-11,79.94,81.94,79.25,81.13,35.3209,11053400,0.0,1.0
2000-08-14,80.19,82.56,79.88,82.38,35.8651,10931100,0.0,1.0
2000-08-15,81.94,83.56,81.13,81.25,35.3732,15604400,0.0,1.0
2000-08-16,81.38,82.25,81.13,82.0,35.6997,11349100,0.0,1.0
2000-08-17,80.88,84.06,80.81,83.94,36.5443,15042500,0.0,1.0
