,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,43.5,44.75,43.0,44.38,4.4664,290568,0.0,1.0
2000-01-19,45.06,45.06,42.81,44.06,4.4342,398044,0.0,1.0
2000-01-20,44.47,44.5,42.0,43.0,4.3275,248000,0.0,1.0
2000-01-21,44.75,44.75,42.0,43.0,4.3275,381235,0.0,1.0
2000-01-24,43.13,43.25,40.88,41.31,4.1574,517057,0.0,1.0
2000-01-25,41.19,42.0,40.25,41.75,4.2017,540267,0.0,1.0
2000-01-26,42.38,42.5,40.69,41.0,4.1262,233363,0.0,1.0
2000-01-27,40.91,42.5,40.63,41.88,4.2148,384020,0.0,1.0
2000-01-28,40.5,41.13,39.75,40.13,4.0387,426153,0.0,1.0
2000-01-31,40.63,41.88,40.44,41.44,4.1705,465067,0.0,1.0
2000-02-01,42.75,43.13,41.75,42.38,4.2651,457778,0.0,1.0
2000-02-02,42.5,42.5,41.0,41.63,4.1896,337600,0.0,1.0
2000-02-03,42.06,42.81,41.44,42.5,4.2772,408000,0.0,1.0
2000-02-04,42.88,43.13,41.88,42.0,4.2268,376968,0.0,1.0
2000-02-07,41.88,42.63,41.88,42.31,4.258,669235,0.0,1.0
2000-02-08,42.75,43.13,42.5,43.06,4.3335,431763,0.0,1.0
2000-02-09,43.0,43.13,42.44,42.56,4.2832,500385,0.0,1.0
2000-02-10,42.75,43.0,42.19,42.88,4.3154,443378,0.0,1.0
2000-02-11,42.88,43.06,42.38,42.39,4.2661,335842,0.0,1.0
2000-02-14,42.31,43.5,41.5,43.38,4.3657,348385,0.0,1.0
2000-02-15,43.38,44.0,42.06,43.44,4.3718,326953,0.0,1.0
2000-02-16,43.5,45.0,43.5,44.81,4.5398,518242,0.3,1.0
2000-02-17,44.81,45.19,43.63,44.94,4.553,379990,0.0,1.0
2000-02-18,44.63,44.94,44.0,44.75,4.5338,734657,0.0,1.0
2000-02-22,44.63,46.31,44.25,45.25,4.5844,738035,0.0,1.0
2000-02-23,45.13,46.13,43.94,44.56,4.5145,587378,0.0,1.0
2000-02-24,44.44,44.5,42.25,43.88,4.4456,760652,0.0,1.0
2000-02-25,43.88,44.38,42.56,42.88,4.3443,676385,0.0,1.0
2000-02-28,42.5,42.75,41.38,42.44,4.2997,599763,0.0,1.0
2000-02-29,42.41,43.13,41.75,43.06,4.3625,692444,0.0,1.0
2000-03-01,42.63,43.63,42.38,43.06,4.3625,362035,0.0,1.0
2000-03-02,42.56,43.25,41.63,42.88,4.3443,502775,0.0,1.0
2000-03-03,43.44,48.25,43.13,48.0,4.863,801975,0.0,1.0
2000-03-06,47.81,47.81,42.94,43.06,4.3625,479763,0.0,1.0
2000-03-07,43.34,43.75,39.94,40.94,4.1478,1259852,0.0,1.0
2000-03-08,41.0,42.94,40.0,42.75,4.3311,1052563,0.0,1.0
2000-03-09,42.53,43.06,41.13,43.06,4.3625,342657,0.0,1.0
2000-03-10,43.06,44.0,42.5,42.56,4.3119,378390,0.0,1.0
2000-03-13,42.69,44.34,41.69,42.06,4.2612,497600,0.0,1.0
2000-03-14,42.22,43.92,42.06,42.31,4.2866,509057,0.0,1.0
2000-03-15,42.44,45.25,42.19,44.94,4.553,522035,0.0,1.0
2000-03-16,44.91,49.38,44.56,49.13,4.9775,706035,0.0,1.0
2000-03-17,48.38,50.0,47.13,47.63,4.8255,753975,0.0,1.0
2000-03-20,47.38,48.5,46.31,46.44,4.705,396030,0.0,1.0
2000-03-21,46.5,49.0,46.44,48.44,4.9076,516978,0.0,1.0
2000-03-22,48.44,48.63,46.38,46.88,4.7496,416178,0.0,1.0
2000-03-23,46.06,49.06,46.0,48.94,4.9583,350242,0.0,1.0
2000-03-24,48.88,49.0,46.94,48.44,4.9076,348642,0.0,1.0
2000-03-27,48.55,48.55,47.0,47.94,4.8569,314390,0.0,1.0
2000-03-28,47.44,48.0,46.38,46.44,4.705,313857,0.0,1.0
2000-03-29,46.38,48.25,45.44,47.5,4.8124,326578,0.0,1.0
2000-03-30,46.41,48.94,46.38,47.94,4.8569,557768,0.0,1.0
2000-03-31,48.44,50.0,46.94,50.0,5.0656,655585,0.0,1.0
2000-04-03,49.75,51.5,49.25,49.88,5.0535,464020,0.0,1.0
2000-04-04,50.25,54.25,49.5,52.75,5.3443,746963,0.0,1.0
2000-04-05,51.58,52.31,50.44,50.75,5.1416,524168,0.0,1.0
2000-04-06,50.88,50.88,49.06,50.06,5.0717,574163,0.0,1.0
2000-04-07,50.75,50.75,46.13,46.89,4.7506,439842,0.0,1.0
2000-04-10,47.25,49.13,46.19,47.5,4.8124,456000,0.0,1.0
2000-04-11,47.06,50.13,46.5,49.69,5.0342,424790,0.0,1.0
