,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,25.56,25.75,25.13,25.19,3.5799,177000,0.0,1.0
2000-01-19,25.06,25.75,25.06,25.63,3.6424,88400,0.0,1.0
2000-01-20,25.63,25.94,25.5,25.75,3.6595,103400,0.0,1.0
2000-01-21,25.56,26.0,25.56,26.0,3.695,121300,0.0,1.0
2000-01-24,25.75,25.94,25.5,25.56,3.6325,131000,0.0,1.0
2000-01-25,25.63,25.94,25.5,25.75,3.6595,73000,0.0,1.0
2000-01-26,25.63,25.81,25.5,25.75,3.6595,111900,0.0,1.0
2000-01-27,25.75,26.06,25.75,25.94,3.6865,127700,0.0,1.0
2000-01-28,26.13,26.13,25.25,25.31,3.597,102500,0.0,1.0
2000-01-31,25.31,25.81,25.31,25.56,3.6325,142500,0.0,1.0
2000-02-01,24.88,25.16,24.44,25.0,3.6552,206900,0.72,1.0
2000-02-02,24.88,25.13,24.88,25.13,3.6742,124900,0.0,1.0
2000-02-03,25.13,25.25,24.88,25.06,3.664,103600,0.0,1.0
2000-02-04,24.94,25.13,24.81,25.13,3.6742,95500,0.0,1.0
2000-02-07,25.0,25.19,25.0,25.0,3.6552,128300,0.0,1.0
2000-02-08,25.0,25.13,24.94,25.06,3.664,143600,0.0,1.0
2000-02-09,25.0,25.38,24.94,25.0,3.6552,96300,0.0,1.0
2000-02-10,25.13,25.19,25.0,25.06,3.664,72300,0.0,1.0
2000-02-11,25.0,25.06,24.75,24.75,3.6187,112800,0.0,1.0
2000-02-14,24.5,24.56,24.25,24.31,3.5543,100300,0.0,1.0
2000-02-15,24.56,24.56,24.0,24.44,3.5734,211600,0.0,1.0
2000-02-16,24.25,24.31,23.81,24.19,3.5368,112900,0.0,1.0
2000-02-17,24.31,25.0,24.25,24.88,3.6377,84500,0.0,1.0
2000-02-18,24.81,25.06,24.5,24.5,3.5821,84200,0.0,1.0
2000-02-22,25.13,25.13,24.44,24.69,3.6099,76100,0.0,1.0
2000-02-23,24.5,24.56,24.06,24.25,3.5456,126100,0.0,1.0
