,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.94,37.0,35.56,36.25,22.4233,4821600,0.0,1.0
2000-01-19,36.88,36.88,35.94,36.44,22.5409,3999700,0.0,1.0
2000-01-20,36.44,36.44,36.0,36.13,22.3491,3106100,0.0,1.0
2000-01-21,36.19,36.44,35.75,36.13,22.3491,4454400,0.0,1.0
2000-01-24,36.19,36.38,34.81,35.31,21.8419,3785000,0.0,1.0
2000-01-25,35.31,35.38,33.88,34.31,21.2233,4356500,0.0,1.0
2000-01-26,34.31,34.94,33.75,33.94,20.9944,3174100,0.0,1.0
2000-01-27,34.0,34.31,33.25,33.81,20.914,2610100,0.0,1.0
2000-01-28,33.56,34.0,33.19,33.25,20.5676,4090800,0.0,1.0
2000-01-31,33.5,34.38,33.25,34.13,21.112,2989600,0.0,1.0
2000-02-01,34.0,34.31,33.69,34.0,21.0315,3602600,0.0,1.0
2000-02-02,33.75,33.94,32.94,33.0,20.413,3289100,0.0,1.0
2000-02-03,33.0,33.38,32.63,33.06,20.4501,3662900,0.0,1.0
2000-02-04,33.63,34.13,32.69,32.75,20.2583,3885600,0.0,1.0
2000-02-07,32.88,33.19,32.25,32.38,20.0295,3999700,0.0,1.0
2000-02-08,33.31,33.75,33.0,33.31,20.6047,5010500,0.0,1.0
2000-02-09,35.0,35.13,33.75,34.0,21.0315,8432500,0.0,1.0
2000-02-10,34.88,34.88,34.06,34.63,21.4212,5909500,0.0,1.0
2000-02-11,35.0,35.13,34.0,34.38,21.2666,5530400,0.0,1.0
2000-02-14,34.19,34.5,33.94,34.06,21.0687,3493300,0.0,1.0
2000-02-15,34.0,34.88,34.0,34.19,21.1491,3909600,0.0,1.0
2000-02-16,34.13,34.81,33.94,34.0,21.0315,4606800,0.0,1.0
2000-02-17,34.56,34.81,34.25,34.31,21.2233,2847700,0.0,1.0
2000-02-18,34.38,34.75,33.94,34.25,21.1862,3664500,0.0,1.0
2000-02-22,34.31,34.88,34.13,34.69,21.4584,2929400,0.0,1.0
2000-02-23,34.31,34.75,34.0,34.19,21.1491,3249300,0.0,1.0
2000-02-24,34.06,34.38,33.19,34.0,21.0315,3612800,0.0,1.0
2000-02-25,34.0,34.38,32.69,32.75,20.2583,4205500,0.0,1.0
2000-02-28,33.19,33.88,32.75,33.25,20.5676,3654700,0.0,1.0
2000-02-29,32.88,33.06,32.13,32.13,19.8748,4635500,0.0,1.0
2000-03-01,32.0,32.94,31.88,32.56,20.1408,5496400,0.0,1.0
2000-03-02,32.69,32.88,31.56,31.56,19.5222,5170400,0.0,1.0
2000-03-03,32.5,32.5,31.31,31.63,19.5655,4626600,0.0,1.0
2000-03-06,31.06,31.44,30.69,31.0,19.1758,4457900,0.0,1.0
2000-03-07,31.0,31.5,29.69,30.63,18.9469,7053200,0.0,1.0
2000-03-08,31.0,31.5,30.06,30.5,18.95,5159800,0.135,1.0
2000-03-09,30.75,31.75,30.63,31.38,19.4968,3913200,0.0,1.0
2000-03-10,31.06,31.38,30.5,30.75,19.1054,3649100,0.0,1.0
2000-03-13,30.13,31.19,30.13,31.13,19.3415,4308000,0.0,1.0
2000-03-14,30.63,30.75,30.13,30.69,19.0681,4602900,0.0,1.0
2000-03-15,30.44,33.19,30.31,33.19,20.6214,5463800,0.0,1.0
2000-03-16,33.0,34.19,32.25,34.06,21.1619,5410300,0.0,1.0
2000-03-17,33.0,33.94,32.81,33.0,20.5033,4464500,0.0,1.0
2000-03-20,32.5,33.63,32.25,33.25,20.6587,2643800,0.0,1.0
