,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,37.13,37.25,35.81,36.5,18.6464,10872500,0.0,1.0
2000-01-19,36.75,37.06,36.31,37.0,18.9018,10053500,0.0,1.0
2000-01-20,36.75,36.88,35.81,36.39,18.5902,7980400,0.0,1.0
2000-01-21,36.56,36.56,35.0,35.06,17.9107,12355600,0.0,1.0
2000-01-24,35.0,35.25,33.38,34.38,17.5633,13030800,0.0,1.0
2000-01-25,34.5,35.44,34.31,34.88,17.8188,9396200,0.0,1.0
2000-01-26,34.81,35.0,34.38,34.88,17.8188,7332800,0.0,1.0
2000-01-27,34.56,35.44,34.5,34.5,17.6246,8594600,0.0,1.0
2000-01-28,34.5,35.69,33.88,35.19,17.9771,11228300,0.0,1.0
2000-01-31,34.0,36.5,34.0,36.19,18.488,10089700,0.0,1.0
2000-02-01,35.56,37.19,35.5,37.0,18.9018,11713200,0.0,1.0
2000-02-02,36.94,37.0,36.0,36.0,18.3909,7141500,0.0,1.0
2000-02-03,36.06,36.63,35.31,35.63,18.2019,8794000,0.0,1.0
2000-02-04,36.13,36.13,35.31,35.75,18.2632,6609100,0.0,1.0
2000-02-07,35.88,37.0,35.56,37.0,18.9018,12713400,0.0,1.0
2000-02-08,37.06,37.94,36.88,37.81,19.3156,15360700,0.0,1.0
2000-02-09,37.63,37.69,36.13,36.13,18.4573,11207200,0.0,1.0
2000-02-10,36.5,36.5,35.0,35.0,17.8801,10577500,0.0,1.0
2000-02-11,35.56,35.56,34.0,35.0,17.8801,10172000,0.0,1.0
2000-02-14,33.56,35.31,33.56,35.0,17.8801,8393400,0.0,1.0
2000-02-15,35.06,35.88,34.75,35.56,18.1661,7832700,0.0,1.0
2000-02-16,35.0,35.06,33.75,33.75,17.2875,9873900,0.09,1.0
2000-02-17,34.13,34.38,33.63,34.0,17.4155,8495100,0.0,1.0
2000-02-18,34.0,34.0,32.88,34.0,17.4155,10314100,0.0,1.0
2000-02-22,33.44,33.81,33.13,33.5,17.1594,8735300,0.0,1.0
2000-02-23,33.81,34.0,32.94,34.0,17.4155,9090200,0.0,1.0
2000-02-24,32.88,33.31,32.56,33.06,16.934,9286600,0.0,1.0
2000-02-25,33.0,33.25,32.0,32.38,16.5857,8255000,0.0,1.0
2000-02-28,32.13,32.44,31.94,32.19,16.4884,8108300,0.0,1.0
2000-02-29,32.88,32.88,31.63,32.13,16.4577,11809600,0.0,1.0
2000-03-01,32.13,32.44,31.5,31.88,16.3296,10993200,0.0,1.0
2000-03-02,32.0,32.0,31.5,32.0,16.3911,8352200,0.0,1.0
2000-03-03,33.5,33.5,31.5,32.63,16.7138,10046100,0.0,1.0
2000-03-06,32.06,32.56,31.5,31.69,16.2323,10581200,0.0,1.0
2000-03-07,31.38,31.5,30.0,30.0,15.3666,14535400,0.0,1.0
2000-03-08,31.0,33.13,30.19,32.44,16.6165,18806400,0.0,1.0
2000-03-09,32.63,34.38,32.25,34.38,17.6102,18199200,0.0,1.0
2000-03-10,35.13,35.25,34.0,35.0,17.9277,19474800,0.0,1.0
2000-03-13,35.13,35.13,33.5,34.31,17.5743,11671200,0.0,1.0
2000-03-14,34.19,34.19,33.0,33.25,17.0314,8641400,0.0,1.0
2000-03-15,33.88,35.63,33.75,35.25,18.0558,15513800,0.0,1.0
2000-03-16,36.19,36.56,35.63,36.5,18.6961,18352100,0.0,1.0
2000-03-17,36.06,36.31,35.5,35.81,18.3426,12775500,0.0,1.0
2000-03-20,36.0,36.06,34.0,35.0,17.9277,7863500,0.0,1.0
2000-03-21,36.06,37.0,35.81,36.69,18.7934,13597400,0.0,1.0
2000-03-22,35.75,36.13,34.63,35.63,18.2504,17387200,0.0,1.0
2000-03-23,34.81,35.94,34.81,35.25,18.0558,10118600,0.0,1.0
2000-03-24,35.25,35.88,34.81,34.88,17.8663,8998600,0.0,1.0
2000-03-27,34.88,35.5,34.69,34.75,17.7997,9267300,0.0,1.0
2000-03-28,34.25,35.56,34.25,35.06,17.9585,8812800,0.0,1.0
2000-03-29,35.25,36.75,35.1,36.38,18.6346,13952700,0.0,1.0
2000-03-30,36.44,36.81,36.06,36.5,18.6961,9920100,0.0,1.0
2000-03-31,36.56,36.88,35.69,36.56,18.7268,8655100,0.0,1.0
2000-04-03,37.0,38.63,36.75,38.0,19.4644,19046500,0.0,1.0
2000-04-04,38.69,40.0,38.0,39.75,20.3608,33556300,0.0,1.0
2000-04-05,38.5,39.19,38.38,38.63,19.7871,9818400,0.0,1.0
2000-04-06,38.13,38.63,37.75,38.38,19.6591,9527600,0.0,1.0
2000-04-07,38.5,39.44,38.44,38.81,19.8793,9315500,0.0,1.0
2000-04-10,38.94,40.31,38.75,39.81,20.3915,15381000,0.0,1.0
2000-04-11,39.75,40.5,39.56,39.81,20.3915,13082800,0.0,1.0
2000-04-12,39.5,41.0,39.25,40.38,20.6835,16946900,0.0,1.0
2000-04-13,40.19,40.38,38.94,39.63,20.2993,12536000,0.0,1.0
2000-04-14,38.94,39.06,36.88,37.94,19.4337,13730900,0.0,1.0
