,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-10-23,20.5,21.39,20.4,21.0,13.7979,32584000,0.0,1.0
2001-10-24,22.2,22.2,21.0,22.15,14.5535,5847500,0.0,1.0
2001-10-25,22.0,22.15,21.65,21.95,14.422,2038800,0.0,1.0
2001-10-26,21.95,22.0,21.4,21.5,14.1264,3339100,0.0,1.0
2001-10-29,22.0,22.0,21.0,21.2,13.9293,1758700,0.0,1.0
2001-10-30,22.25,22.25,21.0,22.04,14.4812,2225300,0.0,1.0
2001-10-31,22.4,23.99,21.95,22.5,14.7834,5101800,0.0,1.0
2001-11-01,22.63,22.63,21.7,21.95,14.422,2747400,0.0,1.0
2001-11-02,22.1,22.25,21.95,22.18,14.5732,1183800,0.0,1.0
2001-11-05,22.1,22.2,21.75,22.0,14.4549,1144000,0.0,1.0
2001-11-06,21.92,22.7,21.85,22.6,14.8491,695100,0.0,1.0
2001-11-07,22.65,22.65,21.65,21.85,14.3563,1002900,0.0,1.0
2001-11-08,21.95,22.0,21.59,21.82,14.3366,1642800,0.0,1.0
2001-11-09,21.5,21.77,21.5,21.6,14.1921,1601000,0.0,1.0
2001-11-12,21.61,22.0,21.31,21.98,14.4418,1101400,0.0,1.0
2001-11-13,22.0,22.0,21.75,21.85,14.3563,687300,0.0,1.0
2001-11-14,22.1,22.1,21.4,21.75,14.2906,1964000,0.0,1.0
2001-11-15,21.65,21.99,21.6,21.93,14.4089,867300,0.0,1.0
2001-11-16,22.0,22.88,21.98,22.25,14.6192,1851600,0.0,1.0
2001-11-19,22.0,22.74,22.0,22.33,14.6717,1231800,0.0,1.0
2001-11-20,22.25,22.75,22.25,22.72,14.928,1182300,0.0,1.0
2001-11-21,22.9,22.9,22.65,22.87,15.0265,1016400,0.0,1.0
2001-11-23,22.88,22.88,22.2,22.38,14.7046,328800,0.0,1.0
2001-11-26,22.1,22.48,21.98,22.33,14.6717,2417500,0.0,1.0
2001-11-27,22.25,22.6,22.25,22.4,14.7177,1536000,0.0,1.0
2001-11-28,22.93,22.93,22.48,22.8,14.9805,871900,0.0,1.0
2001-11-29,22.8,22.95,22.5,22.88,15.0331,523100,0.0,1.0
2001-11-30,22.9,23.0,22.7,22.95,15.0791,2255100,0.0,1.0
2001-12-03,23.2,23.2,22.25,22.95,15.0791,1037600,0.0,1.0
2001-12-04,22.95,22.99,22.65,22.95,15.0791,578700,0.0,1.0
2001-12-05,23.03,23.3,22.95,23.2,15.2434,1370400,0.0,1.0
2001-12-06,23.81,23.81,23.12,23.45,15.4076,509400,0.0,1.0
2001-12-07,23.78,23.78,23.2,23.45,15.4076,1175600,0.0,1.0
2001-12-10,23.44,23.44,23.2,23.35,15.3419,1396900,0.0,1.0
2001-12-11,23.35,23.85,23.35,23.49,15.4339,1376300,0.0,1.0
2001-12-12,23.65,23.95,23.5,23.65,15.539,1933800,0.0,1.0
2001-12-13,23.75,23.85,23.35,23.48,15.4273,1813400,0.0,1.0
2001-12-14,23.4,24.35,23.4,24.08,15.8215,2133900,0.0,1.0
2001-12-17,24.28,24.75,23.52,23.69,15.5653,1285500,0.0,1.0
2001-12-18,23.9,24.09,23.5,23.69,15.5653,1949800,0.0,1.0
2001-12-19,23.88,24.12,23.0,23.51,15.447,3143500,0.0,1.0
2001-12-20,23.51,23.7,23.0,23.58,15.493,3660000,0.0,1.0
2001-12-21,23.1,23.56,23.08,23.37,15.355,2871400,0.0,1.0
2001-12-24,23.4,23.49,23.3,23.4,15.3748,1578200,0.0,1.0
2001-12-26,23.5,23.7,23.25,23.3,15.3091,2152100,0.0,1.0
2001-12-27,23.45,23.9,23.2,23.55,15.4733,1772400,0.0,1.0
2001-12-28,23.6,24.05,23.4,23.52,15.4536,1977900,0.0,1.0
2001-12-31,23.6,24.05,23.55,24.0,15.769,1596000,0.0,1.0
2002-01-02,24.05,24.2,23.43,23.83,15.6573,2708100,0.0,1.0
2002-01-03,23.95,23.95,23.55,23.75,15.6047,1501300,0.0,1.0
2002-01-04,24.26,24.26,23.75,23.95,15.7361,2971800,0.0,1.0
2002-01-07,24.0,24.1,23.4,23.85,15.6704,2623000,0.0,1.0
2002-01-08,23.75,24.15,23.52,24.08,15.8215,2397100,0.0,1.0
2002-01-09,24.08,24.15,23.72,23.9,15.7033,2569100,0.0,1.0
2002-01-10,24.3,24.3,24.0,24.2,15.9004,2023900,0.0,1.0
2002-01-11,24.2,24.3,23.75,24.0,15.769,1845800,0.0,1.0
2002-01-14,24.05,24.15,23.8,23.98,15.7558,1516500,0.0,1.0
2002-01-15,23.85,24.06,23.65,23.8,15.6376,1548300,0.0,1.0
2002-01-16,23.95,23.95,23.54,23.7,15.5719,1409800,0.0,1.0
2002-01-17,23.78,24.18,23.77,24.18,15.8873,2317000,0.0,1.0
2002-01-18,24.3,24.4,23.94,24.2,15.9004,1503600,0.0,1.0
2002-01-22,24.5,24.65,24.23,24.48,16.0844,2034700,0.0,1.0
2002-01-23,24.58,24.58,23.75,23.8,15.6376,2306700,0.0,1.0
2002-01-24,24.1,24.25,23.93,24.15,15.8675,2413800,0.0,1.0
2002-01-25,24.25,26.0,24.07,25.64,16.8465,2492400,0.0,1.0
2002-01-28,26.2,26.2,25.05,26.0,17.0831,1486900,0.0,1.0
2002-01-29,25.9,27.05,25.7,25.97,17.0634,2980800,0.0,1.0
