,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,116.9,118.0,116.1,116.9,34.4536,2228400,0.0,1.0
2000-01-19,114.0,116.0,113.6,115.4,34.1058,2776700,0.32,1.0
2000-01-20,114.0,114.3,107.6,112.6,33.2782,5115900,0.0,1.0
2000-01-21,112.6,112.6,99.5,102.7,30.3524,12189400,0.0,1.0
2000-01-24,96.0,108.88,94.81,96.0,28.3722,14277300,0.0,1.0
2000-01-25,103.6,103.7,97.0,97.5,28.8155,8548900,0.0,1.0
2000-01-26,99.0,100.8,98.81,100.6,29.7317,5121600,0.0,1.0
2000-01-27,102.0,104.4,101.2,104.1,30.7661,4494500,0.0,1.0
2000-01-28,103.7,103.7,99.38,100.3,29.6431,4791700,0.0,1.0
2000-01-31,100.3,101.1,98.38,101.1,29.8795,2259100,0.0,1.0
2000-02-01,100.7,100.9,98.75,99.5,29.4066,2022100,0.0,1.0
2000-02-02,99.75,99.94,98.38,98.63,29.1495,1960400,0.0,1.0
2000-02-03,99.81,99.81,96.69,97.81,28.9072,3129800,0.0,1.0
2000-02-04,97.63,97.69,94.0,94.75,28.0028,3823900,0.0,1.0
2000-02-07,94.0,94.81,92.56,93.25,27.5595,3232200,0.0,1.0
2000-02-08,94.0,95.88,92.81,95.75,28.2983,3393900,0.0,1.0
2000-02-09,95.25,95.88,93.75,94.0,27.7811,3127900,0.0,1.0
2000-02-10,93.75,94.69,90.06,91.44,27.0245,2633900,0.0,1.0
2000-02-11,91.31,93.94,91.31,93.75,27.7072,2667500,0.0,1.0
2000-02-14,93.69,93.81,91.0,91.88,27.1546,2626100,0.0,1.0
2000-02-15,92.5,95.81,92.13,95.75,28.2983,3432000,0.0,1.0
2000-02-16,95.81,96.25,93.0,94.05,27.7959,2657300,0.0,1.0
2000-02-17,94.0,95.0,93.0,94.19,27.8373,2341200,0.0,1.0
2000-02-18,93.81,94.44,92.0,93.63,27.6718,2325800,0.0,1.0
2000-02-22,92.31,93.44,90.06,92.88,27.4501,2613400,0.0,1.0
2000-02-23,92.88,92.88,90.13,90.63,26.7851,2678500,0.0,1.0
2000-02-24,90.38,90.88,86.56,88.5,26.1556,3611600,0.0,1.0
2000-02-25,88.75,89.0,85.13,85.13,25.1597,3588600,0.0,1.0
2000-02-28,85.81,90.0,85.0,88.38,26.1202,3540800,0.0,1.0
2000-02-29,89.5,89.88,87.25,87.88,25.9724,3330900,0.0,1.0
2000-03-01,88.0,88.69,86.88,88.25,26.0818,2076800,0.0,1.0
2000-03-02,88.0,88.44,86.69,87.31,25.8039,1782900,0.0,1.0
2000-03-03,87.81,89.81,87.0,88.44,26.1379,2451100,0.0,1.0
2000-03-06,88.38,88.44,86.63,87.44,25.8424,1834300,0.0,1.0
2000-03-07,58.0,72.38,57.25,61.0,18.0282,68643600,0.0,1.0
2000-03-08,61.0,61.69,57.13,58.0,17.1415,37292100,0.0,1.0
2000-03-09,58.5,59.5,56.5,57.75,17.0677,17108600,0.0,1.0
2000-03-10,57.13,57.75,52.75,53.75,15.8855,24280800,0.0,1.0
2000-03-13,53.75,57.25,53.25,57.25,16.9199,17998400,0.0,1.0
2000-03-14,57.44,58.0,55.13,55.75,16.4766,10371000,0.0,1.0
2000-03-15,56.44,58.5,54.63,58.5,17.2893,12368700,0.0,1.0
2000-03-16,59.69,60.5,58.75,59.88,17.6972,13702600,0.0,1.0
2000-03-17,59.88,59.88,57.0,57.63,17.0322,11101200,0.0,1.0
2000-03-20,58.38,59.03,57.44,58.13,17.18,5928000,0.0,1.0
2000-03-21,57.19,57.5,56.13,57.0,16.846,7466500,0.0,1.0
2000-03-22,57.25,57.69,55.38,57.0,16.846,7745100,0.0,1.0
2000-03-23,55.94,56.88,55.56,56.19,16.6066,6810900,0.0,1.0
2000-03-24,56.44,56.5,55.12,56.44,16.6805,7155800,0.0,1.0
2000-03-27,56.25,57.0,55.13,55.25,16.3288,5954700,0.0,1.0
2000-03-28,55.19,57.13,55.19,57.0,16.846,6028800,0.0,1.0
2000-03-29,57.19,58.75,57.13,58.69,17.3455,7865800,0.0,1.0
2000-03-30,58.94,60.13,58.0,58.0,17.1415,8004000,0.0,1.0
2000-03-31,59.5,59.5,56.25,56.75,16.7721,6016800,0.0,1.0
2000-04-03,56.75,60.0,56.75,59.5,17.5849,5035700,0.0,1.0
2000-04-04,60.88,64.0,60.0,63.44,18.7493,13757000,0.0,1.0
2000-04-05,62.69,63.63,61.56,61.56,18.1937,6810000,0.0,1.0
2000-04-06,62.0,62.94,61.0,62.75,18.5454,3913500,0.0,1.0
2000-04-07,63.38,63.75,62.5,63.44,18.7493,3897400,0.0,1.0
2000-04-10,63.94,66.0,63.75,66.0,19.5059,5873500,0.0,1.0
2000-04-11,65.63,66.81,63.75,66.44,19.6359,5098800,0.0,1.0
2000-04-12,67.94,72.75,67.63,69.31,20.4842,10322900,0.0,1.0
2000-04-13,69.5,69.88,67.19,69.5,20.5403,5676700,0.0,1.0
2000-04-14,68.0,68.25,62.0,63.0,18.6193,8690900,0.0,1.0
2000-04-17,62.88,69.13,62.75,69.0,20.3925,7527000,0.0,1.0
2000-04-18,68.56,68.56,65.38,66.06,19.6182,7193800,0.32,1.0
2000-04-19,66.31,67.75,65.56,66.06,19.6182,3961600,0.0,1.0
2000-04-20,66.13,69.0,66.13,68.94,20.4735,4069600,0.0,1.0
2000-04-24,68.94,71.0,68.5,70.5,20.9368,4361600,0.0,1.0
2000-04-25,70.5,70.5,63.44,64.25,19.0807,10329200,0.0,1.0
2000-04-26,63.25,63.38,59.88,60.75,18.0413,12302700,0.0,1.0
2000-04-27,60.0,62.25,59.25,60.88,18.0799,7596500,0.0,1.0
2000-04-28,60.94,60.94,59.13,59.75,17.7443,5313700,0.0,1.0
2000-05-01,59.81,60.44,58.75,59.7,17.7294,3763800,0.0,1.0
2000-05-02,59.44,60.06,59.0,59.81,17.7621,2846100,0.0,1.0
2000-05-03,60.63,61.63,60.31,60.63,18.0056,3629700,0.0,1.0
2000-05-04,60.56,61.69,60.0,60.44,17.9492,3300400,0.0,1.0
2000-05-05,60.25,60.88,59.81,60.88,18.0799,2201500,0.0,1.0
2000-05-08,60.13,61.38,60.06,61.19,18.1719,2794300,0.0,1.0
2000-05-09,61.25,63.06,61.25,62.75,18.6352,4226400,0.0,1.0
2000-05-10,63.31,64.81,62.94,64.19,19.0629,4104000,0.0,1.0
2000-05-11,64.38,65.19,63.25,65.0,19.3034,3333400,0.0,1.0
2000-05-12,65.0,65.56,63.63,64.13,19.045,2127900,0.0,1.0
2000-05-15,63.88,65.25,63.31,64.88,19.2678,2324000,0.0,1.0
2000-05-16,64.88,65.31,63.88,64.5,19.1549,3154400,0.0,1.0
2000-05-17,64.5,65.0,63.75,65.0,19.3034,3022200,0.0,1.0
2000-05-18,64.75,65.31,64.5,64.75,19.2292,2583200,0.0,1.0
2000-05-19,64.25,65.19,64.06,65.06,19.3212,2981900,0.0,1.0
2000-05-22,65.19,65.38,64.31,64.88,19.2678,3093100,0.0,1.0
2000-05-23,64.38,65.19,63.75,64.38,19.1193,2647700,0.0,1.0
2000-05-24,64.56,66.25,64.38,65.88,19.5648,4406800,0.0,1.0
2000-05-25,65.63,66.0,64.75,65.94,19.5826,3308700,0.0,1.0
2000-05-26,65.75,66.44,65.63,66.25,19.6746,2231700,0.0,1.0
2000-05-30,66.31,66.38,65.75,66.13,19.639,2185000,0.0,1.0
2000-05-31,66.0,66.88,65.56,66.5,19.7489,2104400,0.0,1.0
2000-06-01,66.13,66.38,65.38,65.63,19.4905,3850500,0.0,1.0
2000-06-02,65.38,65.38,63.5,64.0,19.0064,5231300,0.0,1.0
2000-06-05,64.0,64.0,62.5,63.31,18.8015,3793300,0.0,1.0
2000-06-06,62.88,63.69,62.63,63.25,18.7837,2174100,0.0,1.0
2000-06-07,62.88,63.88,61.88,61.88,18.3769,3139000,0.0,1.0
2000-06-08,58.63,60.0,55.88,57.5,17.0761,22596700,0.0,1.0
2000-06-09,56.81,57.5,55.81,57.0,16.9276,8989500,0.0,1.0
2000-06-12,57.0,57.19,56.06,56.38,16.7435,4660900,0.0,1.0
2000-06-13,55.81,57.0,55.81,57.0,16.9276,4633600,0.0,1.0
2000-06-14,56.75,57.13,56.06,57.0,16.9276,4039400,0.0,1.0
2000-06-15,57.19,57.5,56.44,56.75,16.8534,5728800,0.0,1.0
2000-06-16,57.0,57.19,55.5,55.5,16.4821,5786700,0.0,1.0
2000-06-19,56.19,56.5,55.06,56.09,16.6574,3356300,0.0,1.0
2000-06-20,55.88,56.0,54.94,55.25,16.4079,4000000,0.0,1.0
2000-06-21,55.38,55.44,54.25,54.56,16.203,4099000,0.0,1.0
2000-06-22,54.63,54.81,54.06,54.13,16.0753,3594800,0.0,1.0
2000-06-23,54.75,55.44,54.25,54.94,16.3158,4208500,0.0,1.0
2000-06-26,55.0,55.81,54.94,55.63,16.5208,3585600,0.0,1.0
2000-06-27,55.5,56.63,55.13,55.63,16.5208,4258200,0.0,1.0
2000-06-28,55.5,56.0,55.13,55.55,16.497,3695600,0.0,1.0
2000-06-29,55.06,55.13,53.63,53.63,15.9268,4877500,0.0,1.0
2000-06-30,53.56,57.35,53.25,56.75,16.8534,11984500,0.0,1.0
2000-07-03,56.75,56.81,55.19,55.88,16.595,2797600,0.0,1.0
2000-07-05,56.25,56.31,55.25,55.63,16.5208,3672000,0.0,1.0
2000-07-06,56.0,56.0,55.0,55.25,16.4079,4064800,0.0,1.0
2000-07-07,55.69,55.69,54.19,54.88,16.298,4453700,0.0,1.0
2000-07-10,55.06,55.69,55.0,55.44,16.4643,4685200,0.0,1.0
2000-07-11,55.5,55.63,54.5,55.13,16.3723,3483300,0.0,1.0
2000-07-12,54.88,55.5,54.19,55.13,16.3723,4266600,0.0,1.0
2000-07-13,55.25,55.44,54.31,54.56,16.203,3649500,0.0,1.0
2000-07-14,54.75,56.25,54.69,56.0,16.6306,5047100,0.0,1.0
2000-07-17,56.25,57.25,56.06,56.13,16.6692,3970600,0.0,1.0
2000-07-18,56.19,58.25,56.0,58.25,17.2988,4492400,0.0,1.0
2000-07-19,57.94,59.13,57.56,59.13,17.6641,4810400,0.35,1.0
2000-07-20,59.25,59.56,58.5,59.0,17.6253,5135600,0.0,1.0
2000-07-21,59.25,59.44,58.81,59.13,17.6641,3045800,0.0,1.0
2000-07-24,59.19,59.44,59.0,59.0,17.6253,3940900,0.0,1.0
2000-07-25,59.5,60.81,59.44,60.63,18.1122,4236500,0.0,1.0
2000-07-26,59.25,59.94,59.25,59.65,17.8195,3704900,0.0,1.0
2000-07-27,59.56,60.75,59.31,59.56,17.7926,3005200,0.0,1.0
2000-07-28,59.94,60.0,59.0,59.19,17.682,4137000,0.0,1.0
2000-07-31,58.75,59.0,56.5,57.0,17.0278,5954400,0.0,1.0
2000-08-01,56.0,60.0,55.38,58.75,17.5506,7966200,0.0,1.0
2000-08-02,59.38,59.63,57.63,58.19,17.3833,4563500,0.0,1.0
2000-08-03,58.44,59.06,57.81,58.06,17.3445,2502300,0.0,1.0
2000-08-04,58.06,58.06,57.13,57.38,17.1413,2355100,0.0,1.0
2000-08-07,57.31,57.75,57.0,57.13,17.0666,2041400,0.0,1.0
2000-08-08,57.0,57.0,56.25,56.5,16.8784,2536200,0.0,1.0
2000-08-09,56.56,56.75,56.0,56.31,16.8217,3420800,0.0,1.0
2000-08-10,56.56,56.94,56.31,56.81,16.971,1884700,0.0,1.0
2000-08-11,56.88,58.5,56.44,58.25,17.4012,2863700,0.0,1.0
2000-08-14,58.31,59.69,58.06,59.25,17.7,3050100,0.0,1.0
2000-08-15,59.75,62.75,59.56,62.0,18.5215,7591000,0.0,1.0
2000-08-16,62.0,62.19,61.25,62.0,18.5215,4279100,0.0,1.0
2000-08-17,62.5,62.69,61.5,62.25,18.5962,3215000,0.0,1.0
2000-08-18,62.25,63.19,62.13,63.0,18.8202,3724200,0.0,1.0
2000-08-21,63.19,63.44,63.0,63.19,18.877,1892100,0.0,1.0
2000-08-22,63.44,64.31,63.38,64.13,19.1578,3082800,0.0,1.0
2000-08-23,64.06,64.5,63.88,64.31,19.2115,1983700,0.0,1.0
2000-08-24,64.25,64.25,62.13,62.94,18.8023,4267100,0.0,1.0
2000-08-25,62.13,62.75,61.38,62.75,18.7455,3293000,0.0,1.0
2000-08-28,62.75,63.25,62.31,62.75,18.7455,2041200,0.0,1.0
2000-08-29,63.0,63.0,62.19,62.5,18.6708,1770600,0.0,1.0
2000-08-30,62.06,62.31,61.56,62.06,18.5394,1920300,0.0,1.0
2000-08-31,61.88,62.25,61.38,61.83,18.4707,2707300,0.0,1.0
2000-09-01,61.63,61.69,61.0,61.38,18.3363,2157000,0.0,1.0
2000-09-05,61.44,62.69,61.13,62.5,18.6708,2487600,0.0,1.0
2000-09-06,62.75,64.38,62.5,63.44,18.9516,5917500,0.0,1.0
2000-09-07,63.69,63.81,62.56,62.63,18.7097,2933900,0.0,1.0
2000-09-08,62.75,63.5,62.63,63.44,18.9516,3341800,0.0,1.0
2000-09-11,63.31,63.75,62.38,62.69,18.7276,2453300,0.0,1.0
2000-09-12,62.56,63.31,62.31,63.06,18.8381,2393700,0.0,1.0
2000-09-13,63.0,63.0,62.13,62.5,18.6708,2093000,0.0,1.0
2000-09-14,61.81,62.25,60.06,61.3,18.3124,6257100,0.0,1.0
