,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,69.69,69.94,69.19,69.63,3.5901,487800,0.0,1.0
2000-01-19,69.5,70.0,68.25,68.81,3.5478,670800,0.0,1.0
2000-01-20,68.63,68.88,66.38,66.5,3.4287,663000,0.0,1.0
2000-01-21,68.25,68.38,65.31,65.5,3.3771,883800,0.0,1.0
2000-01-24,65.44,66.69,65.0,65.94,3.3998,4954200,0.0,1.0
2000-01-25,66.19,66.19,63.94,64.0,3.2998,2799600,0.0,1.0
2000-01-26,60.5,65.13,59.63,63.88,3.2936,3615300,0.0,1.0
2000-01-27,64.13,65.69,63.88,64.69,3.3354,2309400,0.0,1.0
2000-01-28,64.5,64.5,61.25,62.13,3.2034,1181400,0.0,1.0
2000-01-31,62.13,62.25,60.88,62.25,3.2096,712800,0.0,1.0
2000-02-01,62.13,62.13,60.38,62.0,3.1967,1038300,0.0,1.0
2000-02-02,61.0,62.0,60.56,61.13,3.1518,895200,0.0,1.0
2000-02-03,61.13,61.13,59.81,60.19,3.1034,789000,0.0,1.0
2000-02-04,60.19,61.56,59.56,60.25,3.1064,1063800,0.0,1.0
2000-02-07,61.25,61.25,60.13,60.25,3.1064,1379700,0.0,1.0
2000-02-08,59.0,60.19,59.0,59.5,3.0678,1412100,0.0,1.0
2000-02-09,59.75,59.88,57.0,57.31,2.9549,1490700,0.0,1.0
2000-02-10,57.13,57.5,55.69,55.81,2.8775,825000,0.0,1.0
2000-02-11,55.94,55.94,53.63,54.0,2.7842,1716600,0.0,1.0
2000-02-14,54.0,54.0,51.75,52.13,2.6878,1113900,0.0,1.0
2000-02-15,53.13,56.13,53.0,55.94,2.8842,3454500,0.0,1.0
2000-02-16,56.75,57.25,54.56,56.94,2.9358,1412100,0.0,1.0
2000-02-17,56.88,57.94,56.88,57.69,2.9745,1226700,0.0,1.0
2000-02-18,57.5,57.69,54.69,55.94,2.8842,1010400,0.0,1.0
2000-02-22,56.25,56.94,55.56,56.94,2.9358,1110900,0.0,1.0
2000-02-23,56.69,57.06,55.88,57.0,2.9389,875100,0.0,1.0
2000-02-24,56.75,56.75,54.88,55.5,2.8615,1119300,0.0,1.0
2000-02-25,55.5,56.0,54.5,54.56,2.8131,1135200,0.0,1.0
2000-02-28,54.75,57.75,54.69,56.75,2.926,1053600,0.0,1.0
2000-02-29,58.75,59.63,58.31,59.5,3.0678,1689000,0.0,1.0
2000-03-01,59.5,59.5,56.88,59.0,3.042,1689600,0.0,1.0
2000-03-02,58.38,58.56,55.38,55.88,2.8811,2607300,0.0,1.0
2000-03-03,56.0,56.0,54.75,55.25,2.8487,1523400,0.0,1.0
2000-03-06,55.25,55.25,53.0,53.13,2.7393,2147100,0.0,1.0
2000-03-07,52.88,53.88,51.88,52.31,2.6971,2147700,0.0,1.0
2000-03-08,52.25,52.25,49.25,50.88,2.6267,2161800,0.065,1.0
2000-03-09,51.0,51.0,49.88,50.13,2.588,1640100,0.0,1.0
2000-03-10,50.13,50.38,49.31,49.75,2.5684,1421700,0.0,1.0
2000-03-13,45.0,51.81,45.0,49.25,2.5425,2512200,0.0,1.0
2000-03-14,49.19,53.75,49.13,52.19,2.6943,1846800,0.0,1.0
2000-03-15,52.19,58.0,52.19,57.69,2.9783,2252700,0.0,1.0
2000-03-16,57.88,63.94,57.63,63.69,3.288,2304000,0.0,1.0
2000-03-17,63.69,64.38,61.94,62.81,3.2426,1961700,0.0,1.0
2000-03-20,62.88,63.13,59.5,60.13,3.1042,1314900,0.0,1.0
2000-03-21,60.19,66.38,60.19,66.06,3.4104,2286600,0.0,1.0
2000-03-22,69.5,70.5,63.88,66.0,3.4073,3356100,0.0,1.0
2000-03-23,64.88,68.94,64.25,68.94,3.559,2320800,0.0,1.0
2000-03-24,68.69,71.0,67.69,69.19,3.5719,1596600,0.0,1.0
2000-03-27,69.0,69.0,65.69,67.19,3.4687,979200,0.0,1.0
2000-03-28,66.69,70.38,66.38,69.69,3.5978,1674300,0.0,1.0
2000-03-29,69.75,73.5,69.75,72.88,3.7624,2509500,0.0,1.0
2000-03-30,72.94,85.75,72.94,78.13,4.0335,5948400,0.0,1.0
2000-03-31,78.44,78.44,75.56,76.06,3.9266,2399400,0.0,1.0
2000-04-03,76.06,79.13,74.5,78.25,4.0397,2137500,0.0,1.0
2000-04-04,78.5,80.81,74.75,78.69,4.0624,1828500,0.0,1.0
2000-04-05,78.81,79.19,76.81,77.38,3.9948,971700,0.0,1.0
2000-04-06,77.63,77.94,76.25,76.94,3.972,1195200,0.0,1.0
2000-04-07,77.19,78.38,75.69,75.75,3.9106,1434600,0.0,1.0
2000-04-10,75.0,76.69,73.75,75.5,3.8977,1536900,0.0,1.0
2000-04-11,75.56,76.31,74.63,76.13,3.9302,857400,0.0,1.0
2000-04-12,76.13,78.75,76.13,77.38,3.9948,1067400,0.0,1.0
2000-04-13,77.38,77.38,76.0,76.56,3.9524,594600,0.0,1.0
2000-04-14,75.19,75.19,69.94,70.25,3.6267,2034300,0.0,1.0
2000-04-17,69.0,69.94,68.75,69.38,3.5818,1425000,0.0,1.0
2000-04-18,69.44,74.0,68.63,72.19,3.7268,1462500,0.0,1.0
2000-04-19,70.5,70.56,62.5,63.13,3.2591,9019200,0.0,1.0
2000-04-20,62.88,65.0,60.0,61.63,3.1817,4765200,0.0,1.0
2000-04-24,61.94,64.63,61.0,64.56,3.3329,2058900,0.0,1.0
2000-04-25,64.69,71.0,64.06,70.0,3.6138,1716000,0.0,1.0
2000-04-26,69.75,70.13,64.81,66.0,3.4073,1760700,0.0,1.0
2000-04-27,66.25,66.25,63.06,63.75,3.2911,1026900,0.0,1.0
2000-04-28,63.94,66.63,62.25,65.44,3.3784,1240800,0.0,1.0
2000-05-01,65.19,67.38,65.19,66.56,3.4362,1098600,0.0,1.0
2000-05-02,66.0,66.13,64.13,65.13,3.3623,921900,0.0,1.0
2000-05-03,64.94,65.44,64.06,65.38,3.3753,1559400,0.0,1.0
2000-05-04,65.31,67.19,64.75,67.06,3.462,766800,0.0,1.0
2000-05-05,65.63,67.56,65.38,67.38,3.4785,1137000,0.0,1.0
2000-05-08,67.0,68.63,66.75,67.94,3.5074,867000,0.0,1.0
2000-05-09,69.44,69.44,67.88,68.38,3.5301,977100,0.0,1.0
2000-05-10,68.38,69.13,67.38,68.0,3.5105,529500,0.0,1.0
2000-05-11,68.44,71.63,68.44,70.75,3.6525,784200,0.0,1.0
2000-05-12,70.75,73.19,70.75,73.13,3.7753,1185600,0.0,1.0
2000-05-15,78.63,82.44,78.31,82.0,4.2333,4674000,0.0,1.0
2000-05-16,82.94,87.88,82.69,86.38,4.4594,6007500,0.0,1.0
2000-05-17,84.25,84.31,81.75,82.38,4.2529,2666700,0.0,1.0
2000-05-18,82.38,85.25,80.63,83.81,4.3267,2040300,0.0,1.0
2000-05-19,84.06,85.25,82.0,82.75,4.272,1185600,0.0,1.0
2000-05-22,83.0,88.13,82.69,88.13,4.5497,1893900,0.0,1.0
2000-05-23,87.0,94.13,86.19,93.44,4.8239,3192600,0.0,1.0
