,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,49.0,49.19,45.56,46.69,22.1618,875200,0.0,1.0
2000-01-19,46.0,47.88,45.75,47.88,22.7266,599467,0.0,1.0
2000-01-20,49.0,49.0,47.31,47.56,22.5747,575200,0.0,1.0
2000-01-21,47.56,48.0,46.0,46.75,22.1903,503467,0.0,1.0
2000-01-24,46.81,46.81,44.13,44.31,21.0321,522600,0.0,1.0
2000-01-25,44.38,44.5,42.75,43.13,20.472,370667,0.0,1.0
2000-01-26,43.31,44.63,41.81,44.06,20.9134,731800,0.0,1.0
2000-01-27,44.0,45.0,43.5,43.88,20.828,295000,0.0,1.0
2000-01-28,43.63,43.63,42.0,42.19,20.0258,378067,0.0,1.0
2000-01-31,42.13,43.63,41.69,43.25,20.529,258600,0.0,1.0
2000-02-01,43.13,44.44,43.13,44.13,20.9467,470267,0.0,1.0
2000-02-02,44.13,44.75,42.75,43.06,20.4388,204067,0.0,1.0
2000-02-03,43.19,43.56,41.88,42.56,20.2015,213600,0.0,1.0
2000-02-04,42.81,42.81,41.44,41.94,19.9072,269600,0.0,1.0
2000-02-07,42.0,42.44,40.25,40.94,19.4325,435467,0.0,1.0
2000-02-08,40.94,42.25,40.94,40.94,19.4325,391800,0.0,1.0
2000-02-09,41.13,41.19,38.19,38.69,18.3645,701400,0.0,1.0
2000-02-10,39.19,39.25,37.63,37.81,17.9468,552400,0.0,1.0
2000-02-11,37.81,37.81,35.38,35.5,16.8504,562200,0.0,1.0
2000-02-14,35.75,38.81,35.63,38.19,18.1272,509067,0.0,1.0
2000-02-15,38.44,41.94,38.44,41.69,19.7885,986667,0.0,1.0
2000-02-16,41.5,43.38,41.5,41.94,19.9072,800667,0.0,1.0
2000-02-17,42.19,42.19,40.0,40.5,19.2237,322600,0.0,1.0
2000-02-18,41.25,42.44,41.06,41.19,19.5512,531267,0.0,1.0
2000-02-22,40.5,41.63,40.5,41.31,19.6888,517667,0.17,1.0
2000-02-23,41.31,41.38,40.63,41.25,19.6602,402600,0.0,1.0
