,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,18.75,18.81,18.56,18.69,4.0299,88600,0.0,1.0
2000-01-19,18.81,18.81,17.81,17.94,3.8681,243400,0.0,1.0
2000-01-20,18.0,18.44,17.31,18.13,3.9091,474200,0.0,1.0
2000-01-21,19.25,19.38,18.13,18.38,3.963,311300,0.0,1.0
2000-01-24,18.5,18.81,17.69,17.88,3.8552,339700,0.0,1.0
2000-01-25,18.13,18.13,16.75,17.0,3.6655,407900,0.0,1.0
2000-01-26,17.19,17.69,17.13,17.44,3.7603,696400,0.0,1.0
2000-01-27,17.5,18.0,17.38,17.94,3.8681,464700,0.0,1.0
2000-01-28,18.06,18.25,17.75,17.75,3.8272,311600,0.0,1.0
2000-01-31,17.94,17.94,17.31,17.44,3.7603,307000,0.0,1.0
2000-02-01,17.63,17.75,17.13,17.19,3.7064,199700,0.0,1.0
2000-02-02,17.44,17.44,16.94,17.0,3.6655,293100,0.0,1.0
2000-02-03,17.25,17.44,17.0,17.25,3.7194,249900,0.0,1.0
2000-02-04,17.31,17.56,17.06,17.25,3.7194,1061800,0.0,1.0
2000-02-07,17.25,17.31,16.44,16.56,3.5706,376600,0.0,1.0
2000-02-08,17.0,18.06,16.94,17.81,3.8401,349400,0.0,1.0
2000-02-09,17.75,17.88,17.5,17.69,3.8142,215100,0.0,1.0
2000-02-10,17.69,17.94,17.31,17.44,3.7603,234300,0.0,1.0
2000-02-11,17.44,17.94,17.38,17.63,3.8013,196300,0.0,1.0
2000-02-14,17.69,17.81,17.5,17.56,3.7862,166200,0.0,1.0
2000-02-15,17.44,19.13,17.44,18.5,3.9889,338100,0.0,1.0
2000-02-16,18.5,18.5,17.56,17.69,3.8142,169000,0.0,1.0
2000-02-17,17.88,18.25,17.56,17.69,3.8142,314600,0.0,1.0
2000-02-18,17.62,17.75,16.88,17.75,3.8272,199000,0.0,1.0
2000-02-22,17.63,18.0,17.25,17.31,3.7323,81100,0.0,1.0
2000-02-23,17.63,17.63,17.0,17.06,3.6784,95900,0.0,1.0
2000-02-24,17.25,17.5,16.56,16.81,3.6245,158700,0.0,1.0
2000-02-25,16.75,16.94,16.13,16.19,3.4908,202700,0.0,1.0
2000-02-28,16.0,16.44,16.0,16.38,3.5318,148600,0.0,1.0
2000-02-29,16.56,17.19,16.31,16.81,3.6245,185300,0.0,1.0
2000-03-01,16.81,17.31,16.56,17.06,3.6784,178600,0.0,1.0
2000-03-02,17.06,17.13,16.0,16.63,3.5857,331400,0.0,1.0
2000-03-03,16.81,17.0,16.19,16.5,3.5577,130900,0.0,1.0
2000-03-06,16.5,16.69,16.13,16.19,3.4908,108400,0.0,1.0
2000-03-07,16.31,16.38,15.63,15.94,3.4369,151500,0.0,1.0
2000-03-08,15.75,16.0,15.38,15.69,3.383,104200,0.0,1.0
2000-03-09,15.5,16.25,15.25,16.19,3.4908,235900,0.0,1.0
2000-03-10,16.0,16.19,15.81,15.88,3.424,360000,0.0,1.0
2000-03-13,16.06,16.25,15.81,16.19,3.4908,252900,0.0,1.0
2000-03-14,16.06,16.31,15.56,15.75,3.3959,153400,0.0,1.0
2000-03-15,15.75,17.44,15.75,17.13,3.7021,413100,0.04,1.0
2000-03-16,17.13,19.31,17.13,19.25,4.1603,631900,0.0,1.0
2000-03-17,18.0,19.38,18.0,18.81,4.0652,401200,0.0,1.0
2000-03-20,18.88,19.5,18.75,19.31,4.1733,236000,0.0,1.0
2000-03-21,19.19,19.31,19.06,19.25,4.1603,156000,0.0,1.0
2000-03-22,19.19,19.19,18.75,19.0,4.1063,263100,0.0,1.0
2000-03-23,18.88,20.13,18.69,19.5,4.2143,278400,0.0,1.0
2000-03-24,19.56,19.94,19.0,19.44,4.2014,324100,0.0,1.0
2000-03-27,19.44,19.88,19.06,19.31,4.1733,87600,0.0,1.0
2000-03-28,19.13,19.31,18.69,18.94,4.0933,152500,0.0,1.0
2000-03-29,19.25,20.0,19.0,19.81,4.2813,210700,0.0,1.0
2000-03-30,19.88,20.94,19.88,20.44,4.4175,291800,0.0,1.0
2000-03-31,20.69,21.06,20.31,20.88,4.5126,350300,0.0,1.0
2000-04-03,20.75,21.31,20.75,20.88,4.5126,175600,0.0,1.0
2000-04-04,20.94,21.25,20.19,20.44,4.4175,216800,0.0,1.0
2000-04-05,20.44,21.5,20.44,21.44,4.6336,348000,0.0,1.0
2000-04-06,21.5,21.81,21.38,21.44,4.6336,233200,0.0,1.0
2000-04-07,21.25,21.81,21.25,21.5,4.6466,179200,0.0,1.0
2000-04-10,21.25,21.69,21.06,21.25,4.5925,107800,0.0,1.0
2000-04-11,21.25,22.06,21.25,21.5,4.6466,231800,0.0,1.0
2000-04-12,21.56,23.0,21.38,22.63,4.8908,193800,0.0,1.0
2000-04-13,22.5,23.25,22.31,22.81,4.9297,263200,0.0,1.0
2000-04-14,22.63,22.88,21.25,21.38,4.6206,508100,0.0,1.0
2000-04-17,21.0,22.0,20.88,21.75,4.7006,229200,0.0,1.0
2000-04-18,21.44,21.75,21.0,21.56,4.6595,303300,0.0,1.0
2000-04-19,21.63,21.88,21.25,21.69,4.6876,163100,0.0,1.0
2000-04-20,21.44,22.19,21.38,22.06,4.7676,304500,0.0,1.0
2000-04-24,21.88,22.25,21.63,21.81,4.7136,157500,0.0,1.0
2000-04-25,21.81,22.44,21.38,22.0,4.7546,369400,0.0,1.0
2000-04-26,21.75,22.5,20.75,22.31,4.8216,248400,0.0,1.0
2000-04-27,22.06,22.38,21.69,21.81,4.7136,185100,0.0,1.0
2000-04-28,21.63,21.63,21.13,21.5,4.6466,340300,0.0,1.0
2000-05-01,21.25,22.25,21.25,21.69,4.6876,127500,0.0,1.0
2000-05-02,21.56,22.31,21.56,21.94,4.7417,113300,0.0,1.0
2000-05-03,21.81,22.0,21.25,21.63,4.6747,120000,0.0,1.0
2000-05-04,21.56,22.25,21.56,21.88,4.7287,217800,0.0,1.0
2000-05-05,21.75,22.38,21.69,22.0,4.7546,110500,0.0,1.0
2000-05-08,22.0,22.0,21.25,21.38,4.6206,179000,0.0,1.0
2000-05-09,21.63,22.13,21.5,22.0,4.7546,87700,0.0,1.0
2000-05-10,22.0,22.0,21.38,21.44,4.6336,129900,0.0,1.0
2000-05-11,21.44,22.88,21.44,22.56,4.8757,255900,0.0,1.0
2000-05-12,22.5,22.88,22.5,22.69,4.9037,87500,0.0,1.0
2000-05-15,22.69,22.69,21.94,22.31,4.8216,100100,0.0,1.0
2000-05-16,22.13,23.13,22.0,22.94,4.9578,111600,0.0,1.0
2000-05-17,22.69,22.75,21.5,21.88,4.7287,156700,0.0,1.0
2000-05-18,21.81,22.0,21.56,21.63,4.6747,146300,0.0,1.0
