,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,41.5,43.25,41.25,43.13,17.1544,372800,0.0,1.0
2000-01-19,43.0,44.5,42.0,43.75,17.4567,331200,0.14,1.0
2000-01-20,43.75,46.56,43.75,45.5,18.155,499200,0.0,1.0
2000-01-21,46.13,49.0,45.75,47.13,18.8054,573400,0.0,1.0
2000-01-24,47.5,48.13,46.56,47.31,18.8772,399100,0.0,1.0
2000-01-25,47.56,48.38,46.94,47.56,18.977,393100,0.0,1.0
2000-01-26,47.5,48.0,47.31,47.69,19.0288,235900,0.0,1.0
2000-01-27,49.63,50.44,48.94,49.19,19.6273,450600,0.0,1.0
2000-01-28,49.38,50.94,49.31,49.81,19.8747,520700,0.0,1.0
2000-01-31,49.69,50.56,49.63,50.06,19.9745,358800,0.0,1.0
2000-02-01,49.81,51.94,49.75,51.44,20.5251,381200,0.0,1.0
2000-02-02,51.25,52.0,50.25,50.62,20.1979,277900,0.0,1.0
2000-02-03,50.81,51.56,50.75,50.94,20.3256,275500,0.0,1.0
2000-02-04,51.19,53.0,50.63,52.69,21.0239,333500,0.0,1.0
2000-02-07,53.25,53.63,52.5,53.31,21.2713,291700,0.0,1.0
2000-02-08,53.56,55.75,53.5,55.06,21.9695,329100,0.0,1.0
2000-02-09,55.06,55.44,54.13,54.5,21.7461,359300,0.0,1.0
2000-02-10,54.63,55.0,53.38,55.0,21.9456,211200,0.0,1.0
2000-02-11,56.88,58.0,55.5,56.5,22.5441,519700,0.0,1.0
2000-02-14,56.94,60.31,56.81,59.75,23.8409,700600,0.0,1.0
2000-02-15,60.06,66.88,59.38,65.31,26.0594,758700,0.0,1.0
2000-02-16,65.06,68.94,63.63,67.06,26.7577,545300,0.0,1.0
2000-02-17,67.06,84.5,67.06,76.13,30.3767,1498100,0.0,1.0
2000-02-18,76.44,76.44,66.0,68.0,27.1327,1296400,0.0,1.0
2000-02-22,68.0,71.63,67.63,70.0,27.9308,930100,0.0,1.0
2000-02-23,70.25,70.38,67.69,68.69,27.4081,254600,0.0,1.0
2000-02-24,69.06,69.88,64.5,65.19,26.0115,461300,0.0,1.0
2000-02-25,65.13,65.13,62.0,63.0,25.1377,562700,0.0,1.0
2000-02-28,62.5,62.94,56.81,60.38,24.0923,773600,0.0,1.0
2000-02-29,60.38,67.0,59.0,64.63,25.7881,1003700,0.0,1.0
2000-03-01,64.5,72.63,64.5,68.0,27.1327,640600,0.0,1.0
2000-03-02,69.88,74.31,68.13,72.56,28.9522,522800,0.0,1.0
2000-03-03,74.75,78.0,73.75,77.13,30.7757,667100,0.0,1.0
2000-03-06,78.75,82.0,76.38,79.25,31.6216,538800,0.0,1.0
2000-03-07,81.0,82.0,76.63,77.88,31.075,647500,0.0,1.0
2000-03-08,78.5,78.75,69.19,71.31,28.4535,594000,0.0,1.0
2000-03-09,73.0,73.19,67.0,71.13,28.3816,620300,0.0,1.0
2000-03-10,72.0,77.25,72.0,72.56,28.9522,389400,0.0,1.0
2000-03-13,72.63,74.0,68.56,69.44,27.7073,361500,0.0,1.0
2000-03-14,70.13,71.0,62.69,64.38,25.6883,611700,0.0,1.0
2000-03-15,68.88,68.88,62.31,64.63,25.7881,832100,0.0,1.0
2000-03-16,64.88,67.25,63.5,66.88,26.6858,382400,0.0,1.0
2000-03-17,64.5,70.94,64.5,69.81,27.855,746100,0.0,1.0
2000-03-20,69.69,72.75,69.69,70.5,28.1303,678000,0.0,1.0
2000-03-21,70.25,70.31,65.63,68.13,27.1846,299200,0.0,1.0
2000-03-22,68.38,70.13,67.81,68.75,27.432,231500,0.0,1.0
2000-03-23,68.75,69.56,66.0,67.5,26.9332,221300,0.0,1.0
2000-03-24,68.5,69.25,65.12,66.12,26.3826,292800,0.0,1.0
2000-03-27,65.88,68.63,65.88,68.0,27.1327,348400,0.0,1.0
2000-03-28,68.25,68.25,66.0,66.19,26.4105,171100,0.0,1.0
2000-03-29,65.94,67.5,65.56,66.69,26.61,264400,0.0,1.0
2000-03-30,66.75,67.5,63.06,64.25,25.6365,448800,0.0,1.0
2000-03-31,65.0,67.5,63.0,66.5,26.5342,503300,0.0,1.0
2000-04-03,66.38,66.38,62.5,63.75,25.4369,256300,0.0,1.0
2000-04-04,64.5,64.63,57.38,61.0,24.3397,469700,0.0,1.0
2000-04-05,60.94,60.94,57.5,59.06,23.5656,506700,0.0,1.0
2000-04-06,61.44,62.25,58.63,59.63,23.793,345500,0.0,1.0
2000-04-07,60.63,63.81,60.5,63.25,25.2374,252600,0.0,1.0
2000-04-10,62.56,64.5,60.75,61.06,24.3636,222600,0.0,1.0
2000-04-11,61.31,65.25,60.06,62.81,25.0619,496800,0.0,1.0
2000-04-12,62.81,63.94,59.5,60.0,23.9407,258000,0.0,1.0
2000-04-13,60.5,63.75,60.38,60.5,24.1402,189800,0.0,1.0
2000-04-14,60.5,60.56,55.25,55.75,22.2449,234500,0.0,1.0
2000-04-17,55.5,55.94,50.5,54.94,21.9217,386200,0.0,1.0
2000-04-18,54.75,56.0,54.25,54.81,21.9256,363600,0.14,1.0
2000-04-19,55.38,58.0,54.44,54.94,21.9777,283100,0.0,1.0
2000-04-20,54.69,54.69,51.5,53.0,21.2016,476400,0.0,1.0
2000-04-24,53.0,53.0,49.63,50.0,20.0015,475400,0.0,1.0
2000-04-25,50.75,53.0,50.44,52.63,21.0536,766800,0.0,1.0
2000-04-26,52.44,55.38,51.69,54.31,21.7256,513900,0.0,1.0
2000-04-27,52.69,54.88,52.69,54.13,21.6536,453700,0.0,1.0
2000-04-28,54.75,55.94,53.5,55.5,22.2017,279600,0.0,1.0
2000-05-01,54.0,55.88,53.0,54.31,21.7256,233100,0.0,1.0
2000-05-02,54.56,55.81,53.88,54.38,21.7536,435700,0.0,1.0
2000-05-03,53.88,54.44,51.81,52.88,21.1536,353500,0.0,1.0
2000-05-04,52.63,54.0,52.44,53.19,21.2776,357700,0.0,1.0
2000-05-05,53.19,56.13,53.06,56.13,22.4537,509100,0.0,1.0
2000-05-08,56.0,56.0,53.25,54.38,21.7536,284100,0.0,1.0
2000-05-09,53.0,53.5,50.25,53.25,21.3016,440900,0.0,1.0
2000-05-10,52.13,52.13,49.56,50.38,20.1535,350500,0.0,1.0
2000-05-11,52.0,53.75,51.44,52.94,21.1776,304500,0.0,1.0
2000-05-12,53.0,54.31,53.0,54.13,21.6536,533400,0.0,1.0
2000-05-15,53.5,54.44,51.88,54.13,21.6536,259800,0.0,1.0
2000-05-16,56.0,57.88,55.88,57.0,22.8017,306300,0.0,1.0
2000-05-17,56.0,57.13,54.5,55.19,22.0777,256400,0.0,1.0
2000-05-18,53.69,56.0,53.69,55.0,22.0017,268500,0.0,1.0
2000-05-19,55.25,55.5,52.25,52.88,21.1536,189500,0.0,1.0
2000-05-22,53.13,53.13,50.13,52.38,20.9536,198500,0.0,1.0
2000-05-23,52.0,52.63,49.75,50.0,20.0015,220600,0.0,1.0
2000-05-24,50.25,51.13,48.75,51.13,20.4535,285200,0.0,1.0
2000-05-25,52.06,53.88,50.94,51.13,20.4535,280600,0.0,1.0
2000-05-26,51.38,52.25,50.06,50.44,20.1775,146500,0.0,1.0
2000-05-30,51.0,54.25,51.0,54.06,21.6256,216400,0.0,1.0
2000-05-31,54.0,54.5,52.13,52.19,20.8776,290700,0.0,1.0
2000-06-01,53.88,56.88,53.88,56.56,22.6257,384100,0.0,1.0
2000-06-02,57.0,60.5,57.0,60.0,24.0018,321200,0.0,1.0
2000-06-05,59.5,59.5,57.31,58.75,23.5018,221100,0.0,1.0
2000-06-06,58.25,61.38,58.25,60.44,24.1778,649900,0.0,1.0
2000-06-07,60.31,60.31,56.69,58.94,23.5778,203500,0.0,1.0
2000-06-08,59.0,61.0,59.0,60.5,24.2018,248000,0.0,1.0
2000-06-09,60.94,62.0,59.75,60.94,24.3778,182600,0.0,1.0
2000-06-12,61.0,62.13,57.25,57.69,23.0777,243700,0.0,1.0
2000-06-13,57.69,58.63,55.88,58.5,23.4018,246700,0.0,1.0
2000-06-14,58.75,58.75,56.5,56.94,22.7777,204500,0.0,1.0
2000-06-15,56.56,56.56,54.94,55.69,22.2777,239600,0.0,1.0
2000-06-16,53.75,57.0,53.75,55.94,22.3777,412900,0.0,1.0
2000-06-19,56.0,61.5,54.19,60.38,24.1538,363600,0.0,1.0
2000-06-20,60.63,62.88,60.38,60.5,24.2018,456700,0.0,1.0
2000-06-21,60.56,60.56,59.31,59.63,23.8538,109200,0.0,1.0
2000-06-22,59.5,59.5,57.38,57.81,23.1257,249300,0.0,1.0
2000-06-23,58.0,58.63,56.94,58.44,23.3778,375600,0.0,1.0
2000-06-26,58.5,65.0,58.5,65.0,26.002,640100,0.0,1.0
2000-06-27,64.0,65.44,63.88,64.63,25.8539,597400,0.0,1.0
2000-06-28,66.0,69.44,65.75,68.75,27.5021,568400,0.0,1.0
2000-06-29,68.75,68.75,63.0,64.5,25.8019,534100,0.0,1.0
2000-06-30,64.44,66.14,64.13,66.14,26.458,1008200,0.0,1.0
2000-07-03,66.0,66.0,65.0,65.0,26.002,182000,0.0,1.0
2000-07-05,65.13,65.25,62.25,64.25,25.7019,780000,0.0,1.0
2000-07-06,64.5,65.5,63.0,65.31,26.126,336400,0.0,1.0
2000-07-07,66.31,68.63,65.69,68.19,27.2781,601600,0.0,1.0
2000-07-10,68.19,68.19,66.94,67.75,27.102,374600,0.0,1.0
2000-07-11,69.0,71.44,68.25,70.25,28.1021,488000,0.0,1.0
2000-07-12,71.88,75.63,70.88,75.5,30.2023,751000,0.0,1.0
2000-07-13,76.94,77.0,73.0,73.5,29.4022,433000,0.0,1.0
2000-07-14,73.56,74.25,71.13,73.06,29.2262,284400,0.0,1.0
2000-07-17,74.5,76.75,73.88,75.72,30.2903,242100,0.0,1.0
2000-07-18,75.81,76.06,72.63,73.63,29.4542,278500,0.0,1.0
2000-07-19,74.0,74.13,70.5,71.44,28.6342,196000,0.14,1.0
2000-07-20,71.5,73.88,68.56,70.38,28.2093,273300,0.0,1.0
2000-07-21,70.0,70.25,67.0,68.31,27.3796,476400,0.0,1.0
2000-07-24,68.56,70.25,67.56,67.81,27.1792,315000,0.0,1.0
2000-07-25,68.0,69.0,66.5,68.19,27.3315,320200,0.0,1.0
2000-07-26,66.69,66.81,63.63,65.0,26.0529,416300,0.0,1.0
2000-07-27,65.0,65.06,61.13,62.94,25.2272,207600,0.0,1.0
2000-07-28,63.0,65.5,62.0,63.75,25.5519,294000,0.0,1.0
2000-07-31,64.5,66.38,63.13,63.94,25.628,293500,0.0,1.0
2000-08-01,64.81,66.19,62.13,65.63,26.3054,751300,0.0,1.0
2000-08-02,62.56,63.44,61.0,62.56,25.0749,1785300,0.0,1.0
2000-08-03,61.5,62.88,60.81,62.13,24.9026,633400,0.0,1.0
2000-08-04,63.0,65.75,62.75,65.56,26.2774,1042100,0.0,1.0
2000-08-07,66.75,70.0,66.44,69.75,27.9568,834100,0.0,1.0
2000-08-08,70.0,72.0,69.94,71.94,28.8346,953600,0.0,1.0
2000-08-09,72.31,72.5,70.56,71.25,28.558,545500,0.0,1.0
2000-08-10,73.13,73.13,72.06,72.75,29.1592,645400,0.0,1.0
2000-08-11,72.5,73.63,72.31,72.94,29.2354,556100,0.0,1.0
2000-08-14,73.5,74.88,72.38,74.81,29.9849,335100,0.0,1.0
2000-08-15,74.81,76.0,74.31,76.0,30.4619,625300,0.0,1.0
2000-08-16,76.0,78.0,76.0,77.88,31.2154,1085100,0.0,1.0
2000-08-17,78.44,80.94,78.38,79.81,31.989,855800,0.0,1.0
2000-08-18,80.0,80.88,78.63,79.13,31.7164,425200,0.0,1.0
2000-08-21,76.63,80.5,74.75,79.75,31.9649,1013600,0.0,1.0
2000-08-22,79.5,85.38,79.13,84.0,33.6684,1004300,0.0,1.0
2000-08-23,83.0,86.75,82.81,85.31,34.1934,770300,0.0,1.0
2000-08-24,86.5,86.56,83.5,84.0,33.6684,687400,0.0,1.0
2000-08-25,84.13,85.5,83.38,84.81,33.993,829900,0.0,1.0
2000-08-28,85.69,88.75,84.88,86.94,34.8468,412600,0.0,1.0
2000-08-29,87.88,89.88,86.63,87.81,35.1955,543000,0.0,1.0
2000-08-30,87.56,90.5,87.0,89.5,35.8729,616000,0.0,1.0
2000-08-31,89.38,91.25,88.38,89.94,36.0492,605300,0.0,1.0
2000-09-01,90.94,91.44,88.56,89.81,35.9971,294000,0.0,1.0
2000-09-05,87.5,87.5,84.38,86.75,34.7706,536900,0.0,1.0
2000-09-06,87.0,87.25,84.88,85.19,34.1453,323600,0.0,1.0
2000-09-07,85.25,88.0,85.25,87.31,34.9951,772200,0.0,1.0
2000-09-08,87.25,88.94,86.5,88.38,35.4239,635400,0.0,1.0
2000-09-11,87.63,90.38,86.81,88.5,35.472,443500,0.0,1.0
2000-09-12,88.5,92.0,88.5,90.31,36.1975,514800,0.0,1.0
2000-09-13,90.0,92.0,88.94,91.31,36.5983,340000,0.0,1.0
2000-09-14,91.38,96.0,91.38,95.0,38.0773,409900,0.0,1.0
2000-09-15,93.5,96.0,92.25,94.25,37.7767,374000,0.0,1.0
2000-09-18,94.13,95.5,88.63,90.75,36.3739,370300,0.0,1.0
2000-09-19,91.5,94.5,90.63,93.5,37.4761,221900,0.0,1.0
2000-09-20,93.5,99.25,93.38,99.25,39.7808,516700,0.0,1.0
2000-09-21,99.25,100.9,96.06,100.3,40.2016,601200,0.0,1.0
2000-09-22,97.5,101.9,96.88,100.3,40.2016,665500,0.0,1.0
2000-09-25,100.5,104.8,100.5,102.1,40.9231,713000,0.0,1.0
2000-09-26,101.8,103.4,96.5,97.44,39.0553,622400,0.0,1.0
2000-09-27,99.0,102.0,98.38,100.5,40.2818,806700,0.0,1.0
2000-09-28,100.8,109.1,100.8,107.0,42.8871,1018700,0.0,1.0
2000-09-29,105.8,106.5,104.0,104.4,41.845,836200,0.0,1.0
2000-10-02,105.0,108.1,104.3,107.3,43.0073,504100,0.0,1.0
2000-10-03,107.9,108.7,103.0,103.1,41.3239,559500,0.0,1.0
2000-10-04,102.0,102.0,96.25,99.25,39.7808,864800,0.0,1.0
2000-10-05,98.0,103.0,97.88,98.13,39.3319,569300,0.0,1.0
2000-10-06,98.63,100.6,90.63,93.38,37.428,818800,0.0,1.0
2000-10-09,92.25,95.5,88.06,94.75,37.9771,719500,0.0,1.0
2000-10-10,93.0,99.38,92.75,99.38,39.8329,558500,0.0,1.0
2000-10-11,98.5,99.81,95.81,98.63,39.5323,759500,0.0,1.0
2000-10-12,100.0,101.8,93.0,95.0,38.0773,643700,0.0,1.0
2000-10-13,95.25,101.0,95.25,99.75,39.9812,395800,0.0,1.0
2000-10-16,99.25,104.4,99.0,103.1,41.3239,327300,0.0,1.0
2000-10-17,103.8,104.5,99.5,101.3,40.6025,195900,0.0,1.0
2000-10-18,100.9,103.5,99.0,102.0,40.9391,618000,0.14,1.0
2000-10-19,104.9,107.8,103.5,106.9,42.9058,658200,0.0,1.0
2000-10-20,106.3,111.0,106.3,110.9,44.5113,658700,0.0,1.0
2000-10-23,113.7,116.9,112.0,113.7,45.6351,645400,0.0,1.0
2000-10-24,113.7,117.5,112.4,115.9,46.5181,430700,0.0,1.0
2000-10-25,113.8,113.8,110.6,111.9,44.9126,614500,0.0,1.0
2000-10-26,110.9,112.4,102.1,107.4,43.1065,1072600,0.0,1.0
2000-10-27,108.3,111.9,106.5,111.4,44.712,589200,0.0,1.0
2000-10-30,111.6,117.0,111.4,117.0,46.9596,524400,0.0,1.0
2000-10-31,117.0,121.0,117.0,119.5,47.963,674400,0.0,1.0
2000-11-01,119.6,120.6,116.5,117.3,47.08,725500,0.0,1.0
2000-11-02,117.9,119.5,117.6,119.1,47.8025,522400,0.0,1.0
2000-11-03,119.2,119.2,114.5,115.9,46.5181,661700,0.0,1.0
2000-11-06,116.6,119.5,115.8,118.8,47.6821,616600,0.0,1.0
2000-11-07,118.8,118.8,116.0,116.5,46.7589,336800,0.0,1.0
