,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,19.88,20.69,19.75,20.06,6.9495,548000,0.0,1.0
2000-01-19,20.13,20.31,20.06,20.19,6.9945,77100,0.0,1.0
2000-01-20,20.25,20.31,20.13,20.31,7.0361,271000,0.0,1.0
2000-01-21,20.38,20.5,20.31,20.44,7.0812,95000,0.0,1.0
2000-01-24,20.5,20.5,20.38,20.38,7.0604,34600,0.0,1.0
2000-01-25,20.38,20.56,20.38,20.44,7.0812,100400,0.0,1.0
2000-01-26,20.5,20.56,20.44,20.5,7.1019,151100,0.0,1.0
2000-01-27,20.5,20.63,20.5,20.56,7.1227,59100,0.0,1.0
2000-01-28,20.63,20.63,20.44,20.5,7.1019,118700,0.0,1.0
2000-01-31,20.5,20.5,20.44,20.44,7.0812,94800,0.0,1.0
2000-02-01,20.5,20.63,20.44,20.56,7.1227,366600,0.0,1.0
2000-02-02,20.63,20.63,20.5,20.5,7.1019,238200,0.0,1.0
2000-02-03,20.56,20.63,20.5,20.56,7.1227,380400,0.0,1.0
2000-02-04,20.56,20.56,20.44,20.5,7.1019,101300,0.0,1.0
2000-02-07,20.38,20.63,20.38,20.56,7.1227,230300,0.0,1.0
2000-02-08,20.5,20.56,20.38,20.44,7.0812,88000,0.0,1.0
2000-02-09,20.38,20.69,20.25,20.44,7.0812,143500,0.0,1.0
2000-02-10,20.44,20.56,20.38,20.44,7.0812,93300,0.0,1.0
2000-02-11,20.5,20.69,20.06,20.06,6.9495,43200,0.0,1.0
2000-02-14,20.06,20.38,20.0,20.31,7.0361,153200,0.0,1.0
2000-02-15,20.56,20.63,20.38,20.63,7.147,144800,0.0,1.0
2000-02-16,20.63,20.69,20.5,20.63,7.147,117900,0.0,1.0
2000-02-17,20.5,20.56,20.44,20.56,7.1227,102100,0.0,1.0
2000-02-18,20.56,20.56,20.31,20.5,7.1019,79300,0.0,1.0
2000-02-22,20.25,20.56,20.25,20.56,7.1227,195500,0.0,1.0
2000-02-23,20.63,20.63,20.44,20.5,7.1019,103200,0.0,1.0
2000-02-24,20.5,20.5,20.19,20.44,7.0812,235900,0.0,1.0
2000-02-25,20.25,20.25,20.13,20.25,7.0153,43400,0.0,1.0
2000-02-28,20.13,20.25,20.0,20.13,6.9738,135400,0.0,1.0
2000-02-29,20.19,20.25,20.0,20.19,6.9945,172000,0.0,1.0
2000-03-01,20.25,20.25,20.06,20.19,6.9945,169500,0.0,1.0
2000-03-02,20.25,20.25,20.06,20.13,6.9738,73300,0.0,1.0
2000-03-03,20.19,20.19,20.06,20.06,6.9495,103400,0.0,1.0
2000-03-06,20.0,20.19,19.94,20.19,6.9945,106600,0.0,1.0
2000-03-07,20.06,20.19,20.06,20.19,6.9945,170700,0.0,1.0
2000-03-08,20.13,20.31,20.13,20.25,7.0153,263200,0.0,1.0
2000-03-09,20.38,20.38,20.06,20.19,6.9945,184000,0.0,1.0
2000-03-10,20.25,20.25,20.0,20.19,6.9945,201000,0.0,1.0
2000-03-13,20.13,20.25,20.06,20.19,6.9945,681900,0.0,1.0
2000-03-14,20.25,20.38,20.19,20.38,7.0604,156800,0.0,1.0
2000-03-15,20.44,20.75,20.38,20.75,7.1886,372100,0.0,1.0
2000-03-16,20.75,20.94,20.75,20.94,7.2544,337100,0.0,1.0
2000-03-17,20.94,21.06,20.88,20.94,7.2544,333000,0.0,1.0
2000-03-20,21.0,21.13,20.94,21.0,7.2752,73400,0.0,1.0
2000-03-21,20.88,21.06,20.88,21.0,7.2752,119400,0.0,1.0
2000-03-22,21.06,21.38,21.0,21.38,7.4068,215100,0.0,1.0
2000-03-23,21.31,21.5,21.31,21.5,7.4484,512700,0.0,1.0
2000-03-24,21.5,21.5,21.31,21.38,7.4068,58700,0.0,1.0
2000-03-27,21.38,21.44,21.19,21.31,7.3826,66100,0.0,1.0
2000-03-28,21.31,21.44,21.0,21.13,7.3202,30100,0.0,1.0
2000-03-29,21.13,21.25,21.0,21.19,7.341,42800,0.0,1.0
2000-03-30,21.25,21.25,21.13,21.19,7.341,50400,0.0,1.0
2000-03-31,21.06,21.5,21.0,21.5,7.4484,232900,0.0,1.0
2000-04-03,21.13,21.25,21.0,21.25,7.49,135700,0.37,1.0
2000-04-04,21.44,21.44,21.25,21.44,7.5569,188500,0.0,1.0
2000-04-05,21.38,21.5,21.38,21.38,7.5358,145000,0.0,1.0
2000-04-06,21.38,21.44,21.19,21.31,7.5111,148500,0.0,1.0
2000-04-07,21.31,21.38,21.25,21.31,7.5111,214300,0.0,1.0
2000-04-10,21.31,21.38,21.25,21.38,7.5358,270000,0.0,1.0
2000-04-11,21.38,21.63,21.19,21.5,7.5781,370300,0.0,1.0
2000-04-12,21.5,21.75,21.38,21.63,7.6239,192300,0.0,1.0
2000-04-13,21.69,21.75,21.5,21.75,7.6662,357300,0.0,1.0
2000-04-14,21.56,21.63,21.31,21.63,7.6239,123100,0.0,1.0
2000-04-17,21.56,21.63,21.5,21.56,7.5992,139000,0.0,1.0
2000-04-18,21.63,21.75,21.56,21.75,7.6662,238500,0.0,1.0
2000-04-19,21.75,22.0,21.75,22.0,7.7543,253500,0.0,1.0
2000-04-20,21.75,21.94,21.75,21.88,7.712,177400,0.0,1.0
2000-04-24,21.94,22.0,21.81,22.0,7.7543,123200,0.0,1.0
2000-04-25,21.94,22.0,21.88,22.0,7.7543,116300,0.0,1.0
2000-04-26,22.0,22.06,21.94,22.06,7.7755,270900,0.0,1.0
2000-04-27,22.06,22.13,21.63,22.0,7.7543,172400,0.0,1.0
2000-04-28,22.0,22.13,21.94,22.06,7.7755,230300,0.0,1.0
2000-05-01,22.06,22.63,22.06,22.56,7.9517,300700,0.0,1.0
2000-05-02,22.63,23.13,22.56,22.88,8.0645,659500,0.0,1.0
2000-05-03,22.88,23.0,22.81,22.88,8.0645,162600,0.0,1.0
2000-05-04,22.88,23.06,22.75,22.81,8.0398,407500,0.0,1.0
2000-05-05,23.0,23.06,22.81,22.88,8.0645,79400,0.0,1.0
2000-05-08,22.88,22.88,22.69,22.75,8.0187,39300,0.0,1.0
2000-05-09,22.75,23.0,22.75,23.0,8.1068,337300,0.0,1.0
2000-05-10,23.0,23.0,22.81,22.81,8.0398,153200,0.0,1.0
2000-05-11,22.94,22.94,22.69,22.75,8.0187,199700,0.0,1.0
2000-05-12,22.75,22.94,22.5,22.88,8.0645,209600,0.0,1.0
2000-05-15,22.94,23.0,22.81,22.94,8.0856,220800,0.0,1.0
2000-05-16,22.94,23.0,22.88,22.94,8.0856,60900,0.0,1.0
2000-05-17,22.88,22.88,22.63,22.69,7.9975,62000,0.0,1.0
2000-05-18,22.63,22.69,22.5,22.5,7.9305,58400,0.0,1.0
2000-05-19,22.5,22.5,22.0,22.25,7.8424,485500,0.0,1.0
2000-05-22,22.31,22.44,22.0,22.25,7.8424,271400,0.0,1.0
2000-05-23,22.25,22.56,22.0,22.5,7.9305,308700,0.0,1.0
2000-05-24,22.38,22.56,22.38,22.44,7.9094,245400,0.0,1.0
2000-05-25,22.31,22.5,22.19,22.44,7.9094,39100,0.0,1.0
2000-05-26,22.5,22.56,22.44,22.56,7.9517,16300,0.0,1.0
2000-05-30,22.56,22.56,22.44,22.5,7.9305,46300,0.0,1.0
2000-05-31,22.5,22.56,22.5,22.5,7.9305,43800,0.0,1.0
2000-06-01,22.56,22.56,22.38,22.44,7.9094,83400,0.0,1.0
2000-06-02,22.44,22.5,22.38,22.44,7.9094,78200,0.0,1.0
2000-06-05,22.56,22.56,22.38,22.44,7.9094,81100,0.0,1.0
2000-06-06,22.44,22.56,22.44,22.56,7.9517,142600,0.0,1.0
2000-06-07,22.63,22.88,22.63,22.69,7.9975,127600,0.0,1.0
2000-06-08,22.75,22.88,22.75,22.88,8.0645,124100,0.0,1.0
2000-06-09,22.81,22.88,22.81,22.81,8.0398,107900,0.0,1.0
2000-06-12,22.88,22.94,22.75,22.88,8.0645,159700,0.0,1.0
2000-06-13,22.94,23.0,22.88,23.0,8.1068,309000,0.0,1.0
2000-06-14,23.0,23.25,22.94,23.19,8.1737,623700,0.0,1.0
2000-06-15,23.06,23.25,23.06,23.19,8.1737,151200,0.0,1.0
2000-06-16,23.25,23.38,23.0,23.06,8.1279,345300,0.0,1.0
2000-06-19,23.13,23.31,23.06,23.13,8.1526,43900,0.0,1.0
2000-06-20,23.25,23.38,23.19,23.38,8.2407,72200,0.0,1.0
2000-06-21,23.25,23.38,23.25,23.38,8.2407,43600,0.0,1.0
2000-06-22,23.38,23.5,23.19,23.5,8.283,74300,0.0,1.0
2000-06-23,23.5,23.5,23.19,23.38,8.2407,99900,0.0,1.0
2000-06-26,23.44,23.5,23.31,23.31,8.216,351500,0.0,1.0
2000-06-27,23.31,23.38,23.25,23.31,8.216,118500,0.0,1.0
2000-06-28,23.38,23.44,23.25,23.38,8.2407,56100,0.0,1.0
2000-06-29,23.44,23.63,23.38,23.63,8.3288,243600,0.0,1.0
2000-06-30,23.25,23.25,22.81,22.83,8.1773,307100,0.37,1.0
2000-07-03,22.69,23.06,22.69,23.0,8.2382,27800,0.0,1.0
2000-07-05,23.25,23.38,23.0,23.31,8.3492,196900,0.0,1.0
2000-07-06,23.38,23.88,23.31,23.81,8.5283,241300,0.0,1.0
2000-07-07,23.81,23.94,23.75,23.94,8.5748,332200,0.0,1.0
2000-07-10,23.94,24.0,23.88,24.0,8.5963,59600,0.0,1.0
2000-07-11,24.0,24.0,23.75,23.94,8.5748,183800,0.0,1.0
2000-07-12,24.0,24.0,23.75,23.81,8.5283,342300,0.0,1.0
2000-07-13,23.94,23.94,23.81,23.88,8.5534,108400,0.0,1.0
2000-07-14,23.81,23.88,23.5,23.69,8.4853,110100,0.0,1.0
2000-07-17,23.63,23.75,23.5,23.75,8.5068,80600,0.0,1.0
2000-07-18,23.81,23.81,23.63,23.75,8.5068,55800,0.0,1.0
2000-07-19,23.75,23.75,23.5,23.5,8.4172,99700,0.0,1.0
2000-07-20,23.5,23.56,23.44,23.5,8.4172,152900,0.0,1.0
2000-07-21,23.5,23.63,23.0,23.56,8.4387,654200,0.0,1.0
2000-07-24,23.69,23.75,23.63,23.75,8.5068,191100,0.0,1.0
2000-07-25,23.75,23.75,23.69,23.69,8.4853,123000,0.0,1.0
2000-07-26,23.63,23.75,23.5,23.75,8.5068,220300,0.0,1.0
2000-07-27,23.75,24.0,23.75,24.0,8.5963,410800,0.0,1.0
2000-07-28,24.0,24.0,23.75,23.88,8.5534,791800,0.0,1.0
2000-07-31,23.88,24.0,23.81,23.88,8.5534,225600,0.0,1.0
2000-08-01,23.94,24.0,23.88,24.0,8.5963,320800,0.0,1.0
2000-08-02,24.0,24.19,23.94,24.0,8.5963,361100,0.0,1.0
2000-08-03,23.94,24.0,23.88,24.0,8.5963,168200,0.0,1.0
2000-08-04,24.0,24.0,23.75,23.88,8.5534,183100,0.0,1.0
2000-08-07,23.94,23.94,23.75,23.81,8.5283,165600,0.0,1.0
2000-08-08,23.75,23.94,23.75,23.88,8.5534,47900,0.0,1.0
2000-08-09,23.88,23.94,23.75,23.81,8.5283,101700,0.0,1.0
2000-08-10,23.88,24.0,23.88,24.0,8.5963,147300,0.0,1.0
2000-08-11,24.0,24.19,23.94,24.13,8.6429,88100,0.0,1.0
2000-08-14,24.13,24.25,24.06,24.25,8.6859,154100,0.0,1.0
2000-08-15,24.25,24.31,24.13,24.25,8.6859,242000,0.0,1.0
2000-08-16,24.31,24.31,24.13,24.19,8.6644,353600,0.0,1.0
2000-08-17,24.38,24.38,24.25,24.31,8.7074,164100,0.0,1.0
2000-08-18,24.19,24.31,24.19,24.25,8.6859,87000,0.0,1.0
2000-08-21,24.31,24.44,24.25,24.31,8.7074,154900,0.0,1.0
2000-08-22,24.31,24.38,24.25,24.25,8.6859,125500,0.0,1.0
2000-08-23,24.31,24.38,24.31,24.38,8.7324,56800,0.0,1.0
2000-08-24,24.25,24.38,24.19,24.19,8.6644,374300,0.0,1.0
2000-08-25,24.25,24.44,24.19,24.44,8.7539,417400,0.0,1.0
2000-08-28,24.44,24.44,24.25,24.25,8.6859,73500,0.0,1.0
2000-08-29,24.25,24.31,24.19,24.31,8.7074,267600,0.0,1.0
2000-08-30,24.31,24.38,24.19,24.38,8.7324,235200,0.0,1.0
2000-08-31,24.31,24.38,24.13,24.19,8.6644,297800,0.0,1.0
2000-09-01,24.25,24.38,24.06,24.25,8.6859,168000,0.0,1.0
2000-09-05,24.25,24.25,24.19,24.25,8.6859,181700,0.0,1.0
2000-09-06,24.25,24.38,24.19,24.31,8.7074,184000,0.0,1.0
2000-09-07,24.38,24.38,24.31,24.38,8.7324,59000,0.0,1.0
2000-09-08,24.38,24.38,24.19,24.38,8.7324,180800,0.0,1.0
2000-09-11,24.38,24.75,24.38,24.75,8.865,228900,0.0,1.0
2000-09-12,24.75,25.0,24.75,24.88,8.9115,185700,0.0,1.0
2000-09-13,24.94,24.94,24.88,24.94,8.933,46900,0.0,1.0
2000-09-14,24.94,25.0,24.81,24.94,8.933,77700,0.0,1.0
2000-09-15,24.88,24.94,24.88,24.91,8.9223,35100,0.0,1.0
2000-09-18,24.81,24.94,24.56,24.75,8.865,104800,0.0,1.0
2000-09-19,24.63,24.81,24.38,24.5,8.7754,299100,0.0,1.0
2000-09-20,24.5,24.69,24.38,24.38,8.7324,38200,0.0,1.0
2000-09-21,24.25,24.56,24.13,24.5,8.7754,90800,0.0,1.0
2000-09-22,24.44,24.44,24.13,24.38,8.7324,85400,0.0,1.0
2000-09-25,24.44,24.56,24.25,24.5,8.7754,171200,0.0,1.0
2000-09-26,24.38,24.5,24.13,24.31,8.7074,160100,0.0,1.0
2000-09-27,24.31,24.5,24.31,24.44,8.7539,117700,0.0,1.0
2000-09-28,24.5,24.88,24.44,24.75,8.865,313700,0.0,1.0
2000-09-29,24.63,24.81,24.44,24.56,8.7969,213800,0.0,1.0
2000-10-02,24.13,24.31,24.0,24.0,8.7289,56800,0.37,1.0
2000-10-03,24.19,24.38,24.0,24.06,8.7507,57900,0.0,1.0
2000-10-04,24.0,24.19,23.69,23.88,8.6852,277700,0.0,1.0
2000-10-05,23.75,23.75,23.56,23.63,8.5943,160700,0.0,1.0
2000-10-06,23.75,24.0,23.56,23.69,8.6161,434500,0.0,1.0
2000-10-09,23.75,23.88,23.63,23.69,8.6161,182700,0.0,1.0
2000-10-10,23.69,24.0,23.63,23.94,8.707,123300,0.0,1.0
2000-10-11,23.94,23.94,23.5,23.94,8.707,93900,0.0,1.0
2000-10-12,24.0,24.0,23.38,23.38,8.5034,147500,0.0,1.0
2000-10-13,23.44,23.5,23.19,23.5,8.547,105100,0.0,1.0
2000-10-16,23.5,23.69,23.38,23.56,8.5688,146600,0.0,1.0
2000-10-17,23.69,23.81,23.63,23.81,8.6598,80000,0.0,1.0
2000-10-18,23.63,23.63,23.38,23.5,8.547,123600,0.0,1.0
2000-10-19,23.63,23.63,23.25,23.38,8.5034,105400,0.0,1.0
2000-10-20,23.5,23.63,23.06,23.5,8.547,97300,0.0,1.0
2000-10-23,23.38,23.44,23.31,23.38,8.5034,115400,0.0,1.0
2000-10-24,23.31,23.38,23.25,23.31,8.4779,72000,0.0,1.0
2000-10-25,23.25,23.25,22.81,23.25,8.4561,65600,0.0,1.0
2000-10-26,23.13,23.38,23.13,23.31,8.4779,21900,0.0,1.0
2000-10-27,23.44,23.44,23.19,23.38,8.5034,35000,0.0,1.0
2000-10-30,23.25,23.38,23.25,23.38,8.5034,90100,0.0,1.0
