,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2008-03-17,50.0,52.65,49.24,49.39,28.9025,1988000,0.0,1.0
2008-03-18,49.85,52.0,47.75,49.6,29.0254,8067600,0.0,1.0
2008-03-19,49.6,51.0,46.9,50.1,29.3179,3007700,0.0,1.0
2008-03-20,50.2,50.2,48.87,49.15,28.762,3007700,0.0,1.0
2008-03-24,49.81,51.0,49.81,51.0,29.8446,1437000,0.0,1.0
2008-03-25,51.4,51.75,50.6,51.75,30.2835,1100800,0.0,1.0
2008-03-26,51.7,52.47,50.3,50.3,29.435,2023200,0.0,1.0
2008-03-27,50.3,50.3,50.3,50.3,29.435,8653300,0.0,1.0
2008-03-28,51.82,52.5,50.56,51.06,29.8797,9961200,0.0,1.0
2008-03-31,52.55,54.7,50.0,50.58,29.5988,19408900,0.0,1.0
2008-04-01,51.11,52.19,49.01,50.58,29.5988,23322500,0.0,1.0
2008-04-02,51.24,52.07,50.15,51.21,29.9675,12944700,0.0,1.0
2008-04-03,51.0,51.5,50.4001,51.05,29.8739,12439100,0.0,1.0
2008-04-04,51.34,51.48,50.8,51.37,30.0611,6651000,0.0,1.0
2008-04-07,51.3,51.6,50.5,50.67,29.6515,7099300,0.0,1.0
2008-04-08,50.21,51.01,50.21,50.6,29.6105,8283300,0.0,1.0
2008-04-09,50.5,50.59,49.15,49.38,28.8966,8916200,0.0,1.0
2008-04-10,49.49,49.91,48.5,48.66,28.4753,14321900,0.0,1.0
2008-04-11,48.49,48.89,48.08,48.33,28.2822,11400700,0.0,1.0
2008-04-14,48.35,48.35,47.43,48.0,28.0891,11532500,0.0,1.0
2008-04-15,47.78,48.35,47.78,48.2,28.2061,9603400,0.0,1.0
2008-04-16,48.53,49.61,48.35,49.46,28.9434,14837600,0.0,1.0
2008-04-17,49.72,50.0,49.42,49.85,29.1716,6660700,0.0,1.0
2008-04-18,50.49,50.94,49.38,49.96,29.236,9630700,0.0,1.0
2008-04-21,50.2,50.89,49.13,50.63,29.6281,6528300,0.0,1.0
2008-04-22,50.6,50.9,49.92,50.07,29.3004,5504900,0.0,1.0
2008-04-23,51.0,52.34,50.9,52.0,30.4298,13532300,0.0,1.0
2008-04-24,52.0,52.43,51.5,52.0,30.4298,5847500,0.0,1.0
2008-04-25,52.14,52.18,50.75,51.3,30.0202,11399700,0.0,1.0
2008-04-28,50.94,51.3,50.75,51.07,29.8856,8382500,0.0,1.0
2008-04-29,51.44,52.2,50.26,52.01,30.4357,12325300,0.0,1.0
2008-04-30,51.7,52.01,50.9058,51.03,29.8622,8733100,0.0,1.0
2008-05-01,50.83,51.17,50.62,50.75,29.6983,7120800,0.0,1.0
2008-05-02,50.9,51.1,50.4,51.02,29.8563,9291100,0.0,1.0
2008-05-05,50.87,51.63,50.63,50.81,29.7334,8398500,0.0,1.0
2008-05-06,50.9,51.95,50.85,51.88,30.3596,7588300,0.0,1.0
2008-05-07,51.88,52.2,51.31,51.69,30.2484,6391400,0.0,1.0
2008-05-08,51.65,52.21,51.5,52.2,30.5468,6669700,0.0,1.0
2008-05-09,51.81,52.46,51.53,51.83,30.3303,5491700,0.0,1.0
2008-05-12,51.98,52.54,51.3,52.47,30.7048,5851300,0.0,1.0
2008-05-13,52.42,52.84,52.04,52.46,30.699,5986600,0.0,1.0
2008-05-14,52.51,52.85,52.4,52.67,30.8219,5381500,0.0,1.0
2008-05-15,52.51,53.31,52.1,53.25,31.1613,8376500,0.0,1.0
2008-05-16,53.23,53.5,52.35,53.38,31.2374,7172600,0.0,1.0
2008-05-19,53.49,53.95,52.93,53.63,31.3837,6580200,0.0,1.0
2008-05-20,53.3,53.94,52.82,52.91,30.9623,6887400,0.0,1.0
2008-05-21,53.04,53.18,51.83,51.98,30.4181,6784200,0.0,1.0
2008-05-22,51.82,52.77,51.78,52.28,30.5937,5135200,0.0,1.0
2008-05-23,52.1,52.98,51.75,51.8,30.3128,5197400,0.0,1.0
2008-05-27,51.92,51.94,51.12,51.63,30.2133,6505400,0.0,1.0
2008-05-28,51.7,51.9,50.83,51.16,29.9382,13524100,0.0,1.0
2008-05-29,50.96,52.16,50.93,52.02,30.4415,7386900,0.0,1.0
2008-05-30,52.07,52.99,51.81,52.66,30.816,7047800,0.0,1.0
2008-06-02,52.15,52.7,51.92,52.11,30.4942,8668100,0.0,1.0
2008-06-03,52.1,52.62,51.67,51.67,30.2367,6552400,0.0,1.0
2008-06-04,51.69,52.27,51.5,51.95,30.4005,6407400,0.0,1.0
2008-06-05,52.03,52.24,51.54,51.81,30.3186,6407400,0.0,1.0
2008-06-06,51.5,51.51,50.4,50.5,29.552,10198500,0.0,1.0
2008-06-09,50.8,50.95,49.18,49.49,28.961,9937000,0.0,1.0
2008-06-10,49.01,49.65,48.53,49.49,28.961,8847000,0.0,1.0
2008-06-11,49.49,50.6,49.12,49.86,29.1775,12367200,0.0,1.0
2008-06-12,49.87,51.38,49.87,51.29,30.0143,11782900,0.0,1.0
2008-06-13,51.28,51.88,50.7,51.61,30.2016,7365600,0.0,1.0
2008-06-16,51.17,51.17,50.24,50.73,29.6866,8251100,0.0,1.0
2008-06-17,50.55,50.97,50.12,50.63,29.6281,5633800,0.0,1.0
2008-06-18,50.22,50.56,49.82,49.9,29.2009,9967500,0.0,1.0
2008-06-19,49.8,50.58,49.7,50.4,29.4935,9591400,0.0,1.0
2008-06-20,50.305,50.59,49.77,50.22,29.3882,11448200,0.0,1.0
2008-06-23,50.33,50.7,49.9,50.64,29.6339,6625800,0.0,1.0
2008-06-24,50.25,51.54,50.05,51.17,29.9441,8976600,0.0,1.0
2008-06-25,51.45,52.75,51.25,51.77,30.2952,10334100,0.0,1.0
2008-06-26,51.1,51.54,50.15,50.15,29.6164,12055000,0.46,1.0
2008-06-27,50.11,50.25,49.22,49.83,29.4274,15397700,0.0,1.0
2008-06-30,49.8,50.165,48.84,49.39,29.1676,9972600,0.0,1.0
2008-07-01,49.03,50.59,48.73,50.39,29.7581,11092000,0.0,1.0
