,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,46.75,46.75,45.81,45.94,26.1036,1056000,0.0,1.0
2000-01-19,45.94,46.88,45.31,45.31,25.7457,845200,0.0,1.0
2000-01-20,45.5,45.5,43.63,44.0,25.0013,998900,0.0,1.0
2000-01-21,44.06,44.13,42.94,43.88,24.9331,1203300,0.0,1.0
2000-01-24,44.0,44.13,43.25,43.44,24.6831,1352700,0.0,1.0
2000-01-25,43.69,44.25,43.63,44.06,25.0354,1014300,0.0,1.0
2000-01-26,43.88,45.19,43.75,45.19,25.6775,989300,0.0,1.0
2000-01-27,45.5,46.94,45.06,46.69,26.5298,1424300,0.0,1.0
2000-01-28,46.25,46.5,45.56,45.88,26.0695,1545700,0.0,1.0
2000-01-31,45.88,48.0,45.75,48.0,27.2741,1292500,0.0,1.0
2000-02-01,48.0,48.5,47.5,48.25,27.4162,802400,0.0,1.0
2000-02-02,48.0,48.19,46.63,46.75,26.5639,1043000,0.0,1.0
2000-02-03,46.5,46.81,45.25,45.5,25.8536,1148700,0.0,1.0
2000-02-04,45.63,45.94,44.44,44.56,25.3195,757400,0.0,1.0
2000-02-07,44.56,44.56,43.06,44.13,25.0752,611800,0.0,1.0
2000-02-08,44.38,45.94,44.38,45.06,25.6036,786200,0.0,1.0
2000-02-09,44.88,45.19,44.06,44.06,25.0354,682700,0.0,1.0
2000-02-10,44.25,44.5,42.25,42.69,24.2569,733400,0.0,1.0
2000-02-11,42.69,43.5,41.81,42.13,23.9387,554600,0.0,1.0
2000-02-14,42.13,42.31,41.38,41.63,23.6546,464800,0.0,1.0
2000-02-15,41.56,43.25,41.5,43.13,24.507,570800,0.0,1.0
2000-02-16,43.06,43.13,41.94,42.0,23.8649,559400,0.0,1.0
2000-02-17,43.13,43.13,41.38,41.75,23.7228,635000,0.0,1.0
2000-02-18,41.0,41.19,39.0,40.0,22.7284,1069600,0.0,1.0
2000-02-22,39.63,40.0,38.81,39.5,22.4443,854600,0.0,1.0
2000-02-23,39.56,39.63,38.38,39.13,22.2341,671000,0.0,1.0
2000-02-24,39.06,39.13,38.0,38.0,21.592,755000,0.0,1.0
2000-02-25,38.25,39.25,37.63,37.63,21.3818,847900,0.0,1.0
2000-02-28,38.13,39.69,38.06,39.06,22.1943,922400,0.0,1.0
2000-02-29,39.25,39.25,38.63,38.69,21.9841,955200,0.0,1.0
2000-03-01,38.63,39.0,37.88,38.75,22.0182,755900,0.0,1.0
2000-03-02,38.69,39.0,38.0,38.88,22.0921,703100,0.0,1.0
2000-03-03,39.5,39.5,38.38,38.94,22.1261,565800,0.0,1.0
2000-03-06,39.0,39.25,38.13,38.13,21.6659,442600,0.0,1.0
2000-03-07,38.13,38.13,36.5,36.69,20.8477,698800,0.0,1.0
2000-03-08,36.94,37.25,36.0,36.63,20.8136,862400,0.0,1.0
2000-03-09,36.81,37.38,36.69,37.0,21.0238,1005300,0.0,1.0
2000-03-10,37.25,37.63,37.0,37.44,21.2738,1005700,0.0,1.0
2000-03-13,36.88,37.94,36.81,37.13,21.0977,618400,0.0,1.0
2000-03-14,37.06,37.63,36.88,36.94,20.9897,667400,0.0,1.0
2000-03-15,37.0,40.5,37.0,40.0,22.7284,1550200,0.0,1.0
2000-03-16,43.5,45.25,42.19,44.94,25.5354,1954500,0.0,1.0
2000-03-17,43.88,44.88,42.94,43.69,24.8251,1209600,0.0,1.0
2000-03-20,43.81,43.88,41.5,42.06,23.899,596000,0.0,1.0
2000-03-21,42.19,44.75,41.94,44.19,25.1093,1484300,0.0,1.0
2000-03-22,44.38,45.0,43.69,44.81,25.4615,587600,0.0,1.0
2000-03-23,44.31,46.19,43.75,45.94,26.1036,710000,0.0,1.0
2000-03-24,45.69,46.63,44.63,45.31,25.7457,821300,0.0,1.0
2000-03-27,45.31,45.44,43.38,43.63,24.7911,755100,0.0,1.0
2000-03-28,43.38,44.88,43.25,44.31,25.1774,802600,0.0,1.0
2000-03-29,44.56,44.56,43.88,44.13,25.0752,739300,0.0,1.0
2000-03-30,45.5,45.5,43.5,44.13,25.0752,900000,0.0,1.0
2000-03-31,45.0,46.38,43.81,45.06,25.6036,856200,0.0,1.0
2000-04-03,45.56,47.5,45.56,47.38,26.9218,1020400,0.0,1.0
2000-04-04,47.38,47.94,45.31,45.88,26.0695,1066700,0.0,1.0
2000-04-05,46.0,46.44,45.31,45.44,25.8195,883200,0.0,1.0
2000-04-06,45.5,46.0,45.19,45.63,25.9275,745200,0.0,1.0
2000-04-07,45.63,46.0,44.13,44.31,25.1774,746000,0.0,1.0
2000-04-10,44.19,45.81,44.06,45.5,25.8536,649800,0.0,1.0
2000-04-11,45.5,46.88,45.38,46.75,26.5639,784200,0.0,1.0
2000-04-12,46.0,48.75,46.0,47.31,27.1378,1628600,0.45,1.0
2000-04-13,47.56,47.56,46.69,46.88,26.8911,638100,0.0,1.0
2000-04-14,45.5,46.0,44.63,44.75,25.6693,1537100,0.0,1.0
2000-04-17,44.69,45.25,43.5,44.5,25.5259,905900,0.0,1.0
2000-04-18,43.5,45.38,43.25,45.19,25.9217,831500,0.0,1.0
2000-04-19,45.0,45.0,43.5,43.75,25.0957,625400,0.0,1.0
2000-04-20,44.25,44.81,43.63,44.06,25.2735,504600,0.0,1.0
2000-04-24,44.88,46.0,44.63,45.75,26.2429,993500,0.0,1.0
2000-04-25,46.25,48.0,45.75,47.5,27.2468,778600,0.0,1.0
2000-04-26,47.5,47.5,45.75,46.44,26.6387,817000,0.0,1.0
2000-04-27,45.06,45.38,43.31,44.88,25.7439,965200,0.0,1.0
2000-04-28,44.5,44.75,42.0,43.63,25.0269,1174600,0.0,1.0
2000-05-01,43.0,44.81,42.5,43.94,25.2047,847700,0.0,1.0
2000-05-02,43.94,44.25,42.94,43.0,24.6655,1178500,0.0,1.0
2000-05-03,43.38,43.75,42.38,42.44,24.3443,653900,0.0,1.0
2000-05-04,42.44,42.44,41.38,41.69,23.914,470900,0.0,1.0
2000-05-05,41.13,42.06,41.0,41.69,23.914,371500,0.0,1.0
2000-05-08,41.63,43.63,41.63,43.19,24.7745,528500,0.0,1.0
2000-05-09,43.0,44.56,42.75,43.06,24.6999,483900,0.0,1.0
2000-05-10,43.25,43.38,42.81,43.0,24.6655,559800,0.0,1.0
2000-05-11,43.88,45.13,43.81,44.63,25.6005,706400,0.0,1.0
2000-05-12,44.38,45.75,44.25,45.25,25.9561,404100,0.0,1.0
2000-05-15,45.25,45.81,45.06,45.25,25.9561,706100,0.0,1.0
2000-05-16,45.38,45.69,44.5,44.88,25.7439,523200,0.0,1.0
2000-05-17,44.0,45.31,44.0,44.63,25.6005,381400,0.0,1.0
2000-05-18,44.63,46.25,44.63,45.63,26.1741,491600,0.0,1.0
2000-05-19,45.0,45.56,43.75,44.06,25.2735,368500,0.0,1.0
2000-05-22,44.31,45.88,44.19,45.69,26.2085,835500,0.0,1.0
2000-05-23,46.0,47.69,45.75,47.38,27.1779,729800,0.0,1.0
