,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,35.31,35.5,34.62,34.88,8.2429,247000,0.0,1.0
2000-01-19,34.94,35.25,34.69,34.88,8.2429,162400,0.0,1.0
2000-01-20,34.88,35.25,33.94,34.25,8.094,189800,0.0,1.0
2000-01-21,34.75,34.88,34.06,34.56,8.1673,183200,0.0,1.0
2000-01-24,34.31,34.5,32.56,33.0,7.7986,476800,0.0,1.0
2000-01-25,33.5,33.5,31.25,31.94,7.5481,716800,0.0,1.0
2000-01-26,32.12,32.5,31.56,31.81,7.5363,289400,0.08,1.0
2000-01-27,32.06,33.62,31.88,32.88,7.7898,661400,0.0,1.0
2000-01-28,32.88,33.12,32.12,32.75,7.759,260000,0.0,1.0
2000-01-31,33.0,34.25,32.25,33.5,7.9367,657200,0.0,1.0
2000-02-01,33.75,34.25,33.25,33.69,7.9817,342600,0.0,1.0
2000-02-02,34.25,35.5,34.25,34.31,8.1286,732200,0.0,1.0
2000-02-03,34.12,34.88,33.81,34.44,8.1594,589200,0.0,1.0
2000-02-04,34.38,34.88,34.38,34.56,8.1878,271200,0.0,1.0
2000-02-07,35.12,37.38,34.75,36.69,8.6925,774800,0.0,1.0
2000-02-08,36.94,38.0,35.62,36.0,8.529,526800,0.0,1.0
2000-02-09,36.0,36.38,35.25,36.06,8.5432,396000,0.0,1.0
2000-02-10,35.94,36.0,35.31,35.88,8.5006,414800,0.0,1.0
2000-02-11,36.25,36.25,34.38,34.38,8.1452,154200,0.0,1.0
2000-02-14,34.75,35.94,34.62,35.88,8.5006,376400,0.0,1.0
2000-02-15,35.62,36.25,34.94,35.62,8.439,595000,0.0,1.0
2000-02-16,35.69,36.69,35.69,36.12,8.5574,388400,0.0,1.0
2000-02-17,36.25,36.44,35.5,35.5,8.4105,239600,0.0,1.0
2000-02-18,35.38,36.25,35.31,35.94,8.5148,278600,0.0,1.0
2000-02-22,37.44,37.62,36.31,36.62,8.6759,390600,0.0,1.0
2000-02-23,36.5,36.75,35.75,36.75,8.7067,260200,0.0,1.0
2000-02-24,36.56,36.56,34.06,34.62,8.202,433600,0.0,1.0
2000-02-25,34.62,34.94,33.88,34.44,8.1594,258800,0.0,1.0
2000-02-28,34.31,34.44,33.75,34.19,8.1002,289400,0.0,1.0
2000-02-29,34.75,35.75,34.06,34.38,8.1452,503400,0.0,1.0
2000-03-01,34.69,35.88,34.62,35.75,8.4698,353600,0.0,1.0
2000-03-02,35.75,35.75,34.94,35.12,8.3205,331000,0.0,1.0
2000-03-03,35.19,36.56,35.06,36.25,8.5882,212600,0.0,1.0
2000-03-06,36.0,36.06,35.0,36.06,8.5432,356400,0.0,1.0
2000-03-07,36.0,37.0,35.75,37.0,8.7659,222000,0.0,1.0
2000-03-08,36.5,36.5,35.75,36.25,8.5882,319600,0.0,1.0
2000-03-09,36.0,37.75,35.5,37.12,8.7943,311000,0.0,1.0
2000-03-10,37.62,37.81,36.62,37.19,8.8109,193200,0.0,1.0
2000-03-13,37.38,37.38,35.75,36.0,8.529,329400,0.0,1.0
2000-03-14,36.06,36.75,34.5,35.0,8.2921,427800,0.0,1.0
2000-03-15,34.75,36.5,34.62,36.5,8.6474,502200,0.0,1.0
2000-03-16,37.25,39.88,37.12,39.44,9.344,674200,0.0,1.0
2000-03-17,38.0,39.0,37.88,37.94,8.9886,307400,0.0,1.0
2000-03-20,37.38,37.81,37.0,37.12,8.7943,300800,0.0,1.0
2000-03-21,37.19,37.69,36.75,36.88,8.7375,401600,0.0,1.0
2000-03-22,37.0,38.0,36.94,37.5,8.8844,323800,0.0,1.0
2000-03-23,37.0,37.5,36.62,37.31,8.8393,198200,0.0,1.0
2000-03-24,36.81,37.38,36.62,37.31,8.8393,617000,0.0,1.0
2000-03-27,37.5,37.5,35.69,36.75,8.7067,205600,0.0,1.0
2000-03-28,36.5,36.56,35.62,35.62,8.439,379000,0.0,1.0
2000-03-29,35.69,36.31,35.0,35.31,8.3655,338800,0.0,1.0
2000-03-30,35.19,36.88,35.19,36.81,8.7209,847000,0.0,1.0
2000-03-31,37.0,37.69,36.81,37.06,8.7801,500400,0.0,1.0
2000-04-03,36.81,39.5,36.56,39.5,9.3582,585600,0.0,1.0
2000-04-04,39.5,40.94,38.5,39.31,9.3132,790400,0.0,1.0
2000-04-05,39.38,40.0,38.25,38.25,9.062,268600,0.0,1.0
2000-04-06,38.5,38.88,37.56,37.75,8.9436,569800,0.0,1.0
2000-04-07,37.56,39.25,37.25,38.56,9.1355,546200,0.0,1.0
2000-04-10,38.69,39.38,38.5,38.69,9.1663,277800,0.0,1.0
2000-04-11,39.19,40.38,38.75,39.69,9.4032,386600,0.0,1.0
2000-04-12,39.69,40.0,38.5,38.81,9.1947,212400,0.0,1.0
2000-04-13,39.12,40.0,38.12,38.38,9.0928,250200,0.0,1.0
2000-04-14,38.25,38.5,35.5,35.94,8.5148,296400,0.0,1.0
2000-04-17,36.19,38.0,35.94,37.88,8.9744,386400,0.0,1.0
2000-04-18,37.88,39.69,37.38,38.62,9.1497,534200,0.0,1.0
2000-04-19,38.44,38.94,37.44,38.0,9.0028,276600,0.0,1.0
2000-04-20,38.19,38.19,37.12,38.06,9.017,402400,0.0,1.0
2000-04-24,38.12,38.5,37.25,37.31,8.8393,423600,0.0,1.0
2000-04-25,37.88,38.62,37.56,38.38,9.0928,450200,0.0,1.0
2000-04-26,38.25,39.5,37.88,37.88,8.9933,279600,0.08,1.0
2000-04-27,37.75,39.0,37.25,38.06,9.0361,261800,0.0,1.0
2000-04-28,37.94,38.69,37.94,38.25,9.0812,173800,0.0,1.0
2000-05-01,38.88,40.12,38.5,39.12,9.2877,729600,0.0,1.0
2000-05-02,39.12,40.88,38.75,40.25,9.556,358000,0.0,1.0
2000-05-03,39.88,40.69,39.12,39.25,9.3186,315600,0.0,1.0
2000-05-04,39.5,39.75,39.25,39.75,9.4373,570200,0.0,1.0
2000-05-05,39.75,40.19,39.56,39.88,9.4682,218600,0.0,1.0
2000-05-08,40.0,40.25,39.56,40.12,9.5251,313200,0.0,1.0
2000-05-09,40.25,40.44,39.75,39.88,9.4682,428200,0.0,1.0
2000-05-10,39.94,41.0,39.81,40.25,9.556,381800,0.0,1.0
2000-05-11,41.0,42.88,41.0,42.75,10.1496,764800,0.0,1.0
2000-05-12,42.81,43.69,42.56,43.62,10.3561,406400,0.0,1.0
2000-05-15,43.62,44.25,43.0,43.0,10.2089,375200,0.0,1.0
2000-05-16,43.25,44.62,43.25,44.0,10.4463,450400,0.0,1.0
2000-05-17,44.06,44.06,42.81,42.88,10.1804,229400,0.0,1.0
2000-05-18,42.88,43.25,42.06,42.06,9.9857,313400,0.0,1.0
2000-05-19,42.12,42.12,40.5,40.69,9.6605,404200,0.0,1.0
2000-05-22,40.94,41.88,40.25,41.62,9.8813,274000,0.0,1.0
2000-05-23,41.5,42.38,40.25,40.38,9.5869,289800,0.0,1.0
2000-05-24,40.38,42.75,40.38,41.25,9.7934,248800,0.0,1.0
2000-05-25,41.0,41.19,39.88,40.25,9.556,468400,0.0,1.0
2000-05-26,40.5,40.5,39.62,39.81,9.4515,256800,0.0,1.0
2000-05-30,39.81,40.0,39.31,39.75,9.4373,316800,0.0,1.0
2000-05-31,39.62,39.88,39.0,39.25,9.3186,259200,0.0,1.0
2000-06-01,39.25,39.88,38.62,39.88,9.4682,324200,0.0,1.0
2000-06-02,40.0,40.5,39.19,39.94,9.4824,356200,0.0,1.0
2000-06-05,39.94,39.94,39.25,39.62,9.4064,462200,0.0,1.0
2000-06-06,39.69,39.69,39.0,39.38,9.3495,279600,0.0,1.0
2000-06-07,39.12,39.19,37.75,39.19,9.3044,428800,0.0,1.0
2000-06-08,39.0,39.0,37.88,37.94,9.0076,355600,0.0,1.0
2000-06-09,38.06,38.44,37.38,37.44,8.8889,332000,0.0,1.0
2000-06-12,37.56,37.69,37.0,37.06,8.7987,182800,0.0,1.0
2000-06-13,37.06,37.44,37.06,37.25,8.8438,310600,0.0,1.0
2000-06-14,37.25,37.25,36.38,36.75,8.7251,173000,0.0,1.0
2000-06-15,37.0,37.31,36.88,37.25,8.8438,726000,0.0,1.0
2000-06-16,37.12,37.12,36.5,36.69,8.7108,374400,0.0,1.0
2000-06-19,36.56,36.69,34.88,35.31,8.3832,515600,0.0,1.0
2000-06-20,35.0,36.44,34.62,36.44,8.6515,674400,0.0,1.0
2000-06-21,36.25,38.0,36.25,36.75,8.7251,506600,0.0,1.0
2000-06-22,36.88,37.62,36.5,37.38,8.8746,468400,0.0,1.0
2000-06-23,37.12,37.19,36.56,36.88,8.7559,369000,0.0,1.0
2000-06-26,37.12,38.25,37.12,37.44,8.8889,249600,0.0,1.0
2000-06-27,37.44,37.75,36.56,36.75,8.7251,557600,0.0,1.0
2000-06-28,36.75,36.75,35.62,36.31,8.6206,351200,0.0,1.0
2000-06-29,36.31,36.31,35.44,35.88,8.5185,545800,0.0,1.0
2000-06-30,35.88,38.31,35.25,35.52,8.433,783400,0.0,1.0
2000-07-03,35.75,36.38,35.62,36.38,8.6372,195400,0.0,1.0
2000-07-05,36.38,36.38,35.12,35.75,8.4876,646000,0.0,1.0
2000-07-06,35.62,36.25,35.12,35.25,8.3689,444000,0.0,1.0
2000-07-07,35.5,35.88,34.88,35.56,8.4425,392400,0.0,1.0
2000-07-10,35.56,35.75,34.88,35.12,8.3381,805600,0.0,1.0
2000-07-11,35.25,35.38,34.81,35.0,8.3096,582200,0.0,1.0
2000-07-12,30.0,30.5,27.25,30.5,7.2412,5508800,0.0,1.0
2000-07-13,30.12,30.88,29.06,30.44,7.227,1545800,0.0,1.0
2000-07-14,30.44,30.44,29.0,29.44,6.9895,751800,0.0,1.0
2000-07-17,29.62,29.75,28.25,29.06,6.8993,892800,0.0,1.0
2000-07-18,29.06,29.5,28.81,29.0,6.8851,557400,0.0,1.0
2000-07-19,28.75,28.88,27.88,28.25,6.707,675400,0.0,1.0
2000-07-20,28.5,31.5,28.25,31.38,7.4501,960000,0.0,1.0
2000-07-21,31.5,31.5,30.06,30.38,7.2127,664600,0.0,1.0
2000-07-24,30.12,30.12,29.81,30.0,7.1225,723800,0.0,1.0
2000-07-25,30.0,31.0,29.75,31.0,7.3599,458000,0.0,1.0
2000-07-26,30.25,30.69,29.81,30.62,7.2887,245000,0.08,1.0
2000-07-27,30.38,31.19,29.88,30.47,7.253,596600,0.0,1.0
2000-07-28,30.56,30.69,30.06,30.25,7.2006,485800,0.0,1.0
2000-07-31,30.5,31.0,29.75,30.62,7.2887,618400,0.0,1.0
2000-08-01,31.25,31.25,30.5,30.81,7.3339,535400,0.0,1.0
2000-08-02,30.75,32.19,30.44,31.5,7.4982,514200,0.0,1.0
2000-08-03,31.56,31.56,30.69,31.12,7.4077,482800,0.0,1.0
2000-08-04,31.19,31.5,30.81,30.81,7.3339,271600,0.0,1.0
2000-08-07,30.94,30.94,29.94,30.69,7.3053,462800,0.0,1.0
2000-08-08,30.69,31.75,30.44,31.75,7.5577,489800,0.0,1.0
2000-08-09,31.5,33.19,31.38,32.38,7.7076,487600,0.0,1.0
2000-08-10,32.25,32.31,31.5,31.53,7.5053,195600,0.0,1.0
2000-08-11,31.75,32.75,31.62,32.12,7.6457,308400,0.0,1.0
2000-08-14,32.0,32.88,32.0,32.25,7.6767,396400,0.0,1.0
2000-08-15,32.12,32.19,31.62,31.81,7.5719,211400,0.0,1.0
2000-08-16,31.88,31.94,31.38,31.44,7.4839,664400,0.0,1.0
2000-08-17,31.62,31.75,31.38,31.75,7.5577,288600,0.0,1.0
2000-08-18,32.38,32.94,32.0,32.25,7.6767,445000,0.0,1.0
2000-08-21,32.44,32.44,31.5,32.0,7.6172,160000,0.0,1.0
2000-08-22,31.75,32.06,31.12,31.69,7.5434,269400,0.0,1.0
2000-08-23,31.5,31.56,30.5,31.0,7.3791,266200,0.0,1.0
2000-08-24,30.75,31.25,30.75,30.94,7.3649,99600,0.0,1.0
2000-08-25,31.19,31.31,30.44,30.69,7.3053,148000,0.0,1.0
2000-08-28,30.69,31.62,30.69,31.5,7.4982,215000,0.0,1.0
2000-08-29,31.38,33.0,31.19,32.38,7.7076,306800,0.0,1.0
2000-08-30,32.38,32.62,31.69,31.81,7.5719,682400,0.0,1.0
2000-08-31,32.0,32.88,32.0,32.5,7.7362,651400,0.0,1.0
2000-09-01,32.69,32.75,31.75,32.5,7.7362,233400,0.0,1.0
2000-09-05,32.5,32.62,32.12,32.44,7.7219,414800,0.0,1.0
2000-09-06,32.31,32.5,32.12,32.38,7.7076,335600,0.0,1.0
2000-09-07,32.44,32.56,31.75,32.56,7.7505,750200,0.0,1.0
2000-09-08,32.5,32.5,32.0,32.12,7.6457,245000,0.0,1.0
2000-09-11,32.0,32.69,31.88,32.31,7.691,196800,0.0,1.0
2000-09-12,32.5,32.5,32.12,32.25,7.6767,279200,0.0,1.0
2000-09-13,32.31,33.38,32.25,32.38,7.7076,390400,0.0,1.0
2000-09-14,32.31,33.25,32.31,32.94,7.8409,267800,0.0,1.0
2000-09-15,24.0,25.75,23.75,25.25,6.0104,4305600,0.0,1.0
2000-09-18,25.25,25.5,24.0,24.44,5.8176,1343200,0.0,1.0
2000-09-19,24.5,24.69,23.5,23.94,5.6986,681800,0.0,1.0
2000-09-20,24.06,25.12,23.25,24.88,5.9224,929200,0.0,1.0
2000-09-21,25.06,26.0,25.0,26.0,6.189,1657000,0.0,1.0
