,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,30.88,31.0,30.0,30.13,12.514,348600,0.0,1.0
2000-01-19,29.69,31.06,29.69,31.06,12.9003,208500,0.0,1.0
2000-01-20,31.19,31.5,30.31,30.38,12.6178,326300,0.0,1.0
2000-01-21,30.94,31.13,30.5,30.88,12.8255,233400,0.0,1.0
2000-01-24,30.88,32.06,30.69,31.69,13.1619,520000,0.0,1.0
2000-01-25,31.94,32.31,30.06,30.31,12.5888,519900,0.0,1.0
2000-01-26,30.5,31.25,30.25,30.88,12.8255,308700,0.0,1.0
2000-01-27,31.13,31.88,31.0,31.63,13.137,841900,0.0,1.0
2000-01-28,30.88,30.94,29.81,29.94,12.5805,1628400,0.35,1.0
2000-01-31,30.31,30.88,29.75,30.88,12.9754,585300,0.0,1.0
2000-02-01,30.75,31.0,30.56,31.0,13.0259,170600,0.0,1.0
2000-02-02,30.94,31.25,30.88,31.0,13.0259,169100,0.0,1.0
2000-02-03,31.13,31.94,31.13,31.69,13.3158,460800,0.0,1.0
2000-02-04,30.81,30.81,30.63,30.81,12.946,202500,0.0,1.0
2000-02-07,30.81,30.88,30.56,30.63,12.8704,94800,0.0,1.0
2000-02-08,30.63,31.0,30.63,30.94,13.0007,228700,0.0,1.0
2000-02-09,30.81,31.63,30.13,30.81,12.946,382300,0.0,1.0
2000-02-10,30.94,31.19,30.0,30.44,12.7906,802100,0.0,1.0
2000-02-11,30.44,30.56,30.06,30.44,12.7906,160800,0.0,1.0
2000-02-14,30.5,30.5,30.31,30.38,12.7653,342600,0.0,1.0
2000-02-15,30.38,30.5,30.0,30.31,12.7359,104900,0.0,1.0
2000-02-16,30.19,30.25,29.44,30.0,12.6057,251100,0.0,1.0
2000-02-17,30.0,30.06,29.38,29.63,12.4502,236700,0.0,1.0
2000-02-18,29.5,29.56,28.25,28.88,12.1351,284400,0.0,1.0
2000-02-22,29.13,29.38,28.81,28.94,12.1603,262700,0.0,1.0
2000-02-23,28.81,28.81,27.88,28.25,11.8703,185800,0.0,1.0
2000-02-24,28.25,28.25,26.81,27.38,11.5048,135700,0.0,1.0
2000-02-25,27.0,27.06,26.25,26.25,11.03,252100,0.0,1.0
2000-02-28,26.5,27.88,26.38,27.69,11.635,243900,0.0,1.0
2000-02-29,27.5,27.88,27.31,27.5,11.5552,224500,0.0,1.0
2000-03-01,27.63,27.94,27.25,27.38,11.5048,679300,0.0,1.0
2000-03-02,27.5,27.63,27.38,27.44,11.53,317200,0.0,1.0
2000-03-03,27.44,27.75,27.25,27.38,11.5048,356400,0.0,1.0
2000-03-06,27.25,27.25,25.88,26.13,10.9795,303400,0.0,1.0
2000-03-07,26.06,26.75,26.0,26.44,11.1098,339900,0.0,1.0
2000-03-08,26.56,27.19,26.38,26.5,11.135,328000,0.0,1.0
2000-03-09,26.5,27.0,26.25,26.94,11.3199,176000,0.0,1.0
2000-03-10,27.19,27.19,26.0,26.19,11.0048,936500,0.0,1.0
2000-03-13,26.06,26.25,25.69,25.94,10.8997,136700,0.0,1.0
2000-03-14,25.94,26.38,25.69,26.06,10.9501,187600,0.0,1.0
2000-03-15,26.0,28.69,26.0,28.56,12.0006,696500,0.0,1.0
2000-03-16,28.44,29.94,28.19,29.63,12.4502,583700,0.0,1.0
2000-03-17,29.63,29.63,28.63,28.75,12.0804,258600,0.0,1.0
2000-03-20,28.88,28.88,28.19,28.38,11.925,536000,0.0,1.0
2000-03-21,28.25,28.5,27.69,27.81,11.6855,375900,0.0,1.0
2000-03-22,27.75,27.75,26.56,26.69,11.2148,481700,0.0,1.0
2000-03-23,26.5,28.0,26.5,27.06,11.3703,1041700,0.0,1.0
2000-03-24,27.0,27.25,26.69,26.69,11.2148,634500,0.0,1.0
2000-03-27,26.88,27.31,26.75,26.81,11.2653,835000,0.0,1.0
2000-03-28,26.69,26.88,26.63,26.88,11.2947,295500,0.0,1.0
2000-03-29,26.75,27.56,26.75,27.5,11.5552,530200,0.0,1.0
2000-03-30,27.38,28.0,27.38,27.94,11.7401,335300,0.0,1.0
2000-03-31,27.81,28.19,27.56,28.19,11.8451,368600,0.0,1.0
2000-04-03,28.38,28.56,27.88,28.19,11.8451,204600,0.0,1.0
2000-04-04,28.38,29.0,27.88,28.63,12.03,259600,0.0,1.0
2000-04-05,28.63,30.0,28.63,29.31,12.3157,380600,0.0,1.0
2000-04-06,29.5,29.5,28.88,29.06,12.2107,182300,0.0,1.0
2000-04-07,29.0,29.25,28.88,28.94,12.1603,178900,0.0,1.0
2000-04-10,28.75,29.63,28.63,29.5,12.3956,161100,0.0,1.0
