,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,62.13,62.75,61.5,61.5,18.3468,809900,0.0,1.0
2000-01-19,60.88,61.44,59.38,60.31,17.9918,791300,0.0,1.0
2000-01-20,60.56,60.56,57.5,57.88,17.2669,435100,0.0,1.0
2000-01-21,58.13,59.31,57.13,58.63,17.4907,766500,0.0,1.0
2000-01-24,59.13,59.5,57.63,58.0,17.3027,564600,0.0,1.0
2000-01-25,58.25,58.81,55.5,56.56,16.8731,854300,0.0,1.0
2000-01-26,56.75,58.13,56.5,57.44,17.1357,861500,0.0,1.0
2000-01-27,58.0,58.81,57.81,58.13,17.3415,759800,0.0,1.0
2000-01-28,57.94,57.94,54.75,56.69,16.9119,563100,0.0,1.0
2000-01-31,56.75,56.94,54.81,55.06,16.4256,558400,0.0,1.0
2000-02-01,55.31,56.25,55.13,56.06,16.724,590100,0.0,1.0
2000-02-02,55.75,55.81,54.63,55.06,16.4256,270500,0.0,1.0
2000-02-03,55.06,55.25,54.13,54.75,16.3332,313600,0.0,1.0
2000-02-04,55.06,55.06,53.88,54.06,16.1273,400400,0.0,1.0
2000-02-07,54.13,54.13,52.0,52.31,15.6053,663700,0.0,1.0
2000-02-08,52.5,52.75,51.63,51.88,15.477,418500,0.0,1.0
2000-02-09,51.5,51.88,51.0,51.0,15.2145,591600,0.0,1.0
2000-02-10,51.5,51.63,50.13,50.5,15.0653,505300,0.0,1.0
2000-02-11,50.75,50.88,48.19,48.63,14.5074,700900,0.0,1.0
2000-02-14,49.13,50.63,48.31,50.63,15.1041,793800,0.0,1.0
2000-02-15,50.63,52.81,50.38,52.5,15.6619,697100,0.0,1.0
2000-02-16,53.5,53.5,52.19,53.0,15.8111,543400,0.0,1.0
2000-02-17,53.0,53.5,51.75,52.5,15.7813,595900,0.4,1.0
2000-02-18,52.31,52.31,50.63,51.06,15.3484,463700,0.0,1.0
2000-02-22,51.06,53.56,51.06,52.63,15.8204,359400,0.0,1.0
2000-02-23,52.06,53.81,51.63,53.38,16.0458,589300,0.0,1.0
2000-02-24,53.13,53.13,49.69,50.25,15.1049,661600,0.0,1.0
2000-02-25,50.31,50.31,48.56,49.06,14.7472,694800,0.0,1.0
2000-02-28,49.31,50.25,48.63,49.06,14.7472,782900,0.0,1.0
2000-02-29,49.0,49.38,48.19,49.38,14.8434,694300,0.0,1.0
2000-03-01,49.13,49.13,47.56,48.31,14.5218,406300,0.0,1.0
2000-03-02,47.75,48.19,46.63,47.13,14.1671,288000,0.0,1.0
2000-03-03,47.19,50.63,47.0,49.06,14.7472,965200,0.0,1.0
2000-03-06,48.25,48.5,46.81,48.0,14.4286,493800,0.0,1.0
2000-03-07,47.25,47.63,46.0,46.5,13.9777,457100,0.0,1.0
2000-03-08,46.0,46.69,45.63,46.06,13.8454,581400,0.0,1.0
2000-03-09,45.63,45.88,44.38,45.56,13.6951,484800,0.0,1.0
2000-03-10,45.63,47.19,45.13,46.69,14.0348,389700,0.0,1.0
2000-03-13,46.0,46.69,45.13,45.94,13.8094,368100,0.0,1.0
2000-03-14,46.13,46.94,45.56,46.0,13.8274,344900,0.0,1.0
2000-03-15,45.5,50.38,45.25,50.19,15.0869,714500,0.0,1.0
2000-03-16,49.94,52.81,49.88,52.81,15.8745,713500,0.0,1.0
2000-03-17,51.25,51.56,49.63,50.06,15.0478,626000,0.0,1.0
2000-03-20,50.25,52.0,50.25,51.06,15.3484,382500,0.0,1.0
2000-03-21,51.0,52.88,50.63,52.19,15.6881,495400,0.0,1.0
2000-03-22,51.94,51.94,49.5,49.81,14.9727,429000,0.0,1.0
2000-03-23,49.0,50.81,48.69,50.38,15.144,502300,0.0,1.0
2000-03-24,50.63,51.0,50.06,50.56,15.1981,472300,0.0,1.0
2000-03-27,50.25,50.44,49.25,49.5,14.8795,274200,0.0,1.0
2000-03-28,49.0,51.19,49.0,49.75,14.9546,458500,0.0,1.0
2000-03-29,48.5,51.19,48.5,50.88,15.2943,393700,0.0,1.0
2000-03-30,50.94,53.94,50.88,53.13,15.9706,533500,0.0,1.0
2000-03-31,53.38,53.38,51.56,52.31,15.7242,728400,0.0,1.0
2000-04-03,51.38,53.06,51.38,53.0,15.9316,541400,0.0,1.0
2000-04-04,53.75,55.63,53.0,53.81,16.1751,901600,0.0,1.0
2000-04-05,54.06,54.88,52.25,52.69,15.8384,461200,0.0,1.0
2000-04-06,53.13,53.75,52.38,52.81,15.8745,474000,0.0,1.0
2000-04-07,52.56,53.38,52.0,52.06,15.649,341800,0.0,1.0
2000-04-10,51.13,52.75,51.0,51.94,15.6129,683200,0.0,1.0
2000-04-11,52.13,55.44,52.13,54.06,16.2502,587900,0.0,1.0
2000-04-12,54.38,57.5,54.38,57.13,17.173,926800,0.0,1.0
2000-04-13,58.13,58.13,55.94,56.06,16.8514,743900,0.0,1.0
2000-04-14,56.25,56.25,53.0,53.19,15.9887,548100,0.0,1.0
2000-04-17,52.63,53.94,52.31,53.25,16.0067,453700,0.0,1.0
2000-04-18,52.88,53.44,50.88,51.19,15.3875,497000,0.0,1.0
2000-04-19,51.63,51.63,50.5,50.63,15.2192,447400,0.0,1.0
2000-04-20,51.38,53.88,51.38,53.0,15.9316,625600,0.0,1.0
2000-04-24,52.94,55.63,52.94,54.31,16.3254,645300,0.0,1.0
2000-04-25,53.75,56.19,53.56,55.94,16.8153,636000,0.0,1.0
2000-04-26,55.94,55.94,53.81,54.38,16.3464,500500,0.0,1.0
2000-04-27,54.63,54.81,53.25,53.75,16.157,476100,0.0,1.0
2000-04-28,53.38,55.63,53.38,54.38,16.3464,341100,0.0,1.0
2000-05-01,53.75,54.75,53.5,54.5,16.3825,295000,0.0,1.0
2000-05-02,54.25,55.25,54.06,54.38,16.3464,605200,0.0,1.0
2000-05-03,53.38,53.69,52.63,52.63,15.8204,535500,0.0,1.0
2000-05-04,52.75,54.25,52.69,53.38,16.0458,335300,0.0,1.0
2000-05-05,53.06,55.69,52.94,55.13,16.5718,461200,0.0,1.0
2000-05-08,54.44,55.81,54.38,54.88,16.6169,370000,0.4,1.0
2000-05-09,54.88,56.38,54.75,55.5,16.8047,575400,0.0,1.0
2000-05-10,55.5,56.63,54.44,54.56,16.52,352000,0.0,1.0
2000-05-11,55.0,56.44,54.94,55.81,16.8985,220200,0.0,1.0
2000-05-12,55.81,55.88,54.31,55.13,16.6926,315400,0.0,1.0
2000-05-15,54.88,57.25,54.88,56.81,17.2013,338400,0.0,1.0
2000-05-16,56.81,56.81,55.31,56.63,17.1468,404400,0.0,1.0
2000-05-17,56.38,56.38,55.25,55.44,16.7865,201300,0.0,1.0
2000-05-18,55.25,55.94,54.88,55.44,16.7865,340600,0.0,1.0
2000-05-19,54.25,55.25,54.25,55.19,16.7108,278100,0.0,1.0
2000-05-22,55.0,56.13,54.75,55.19,16.7108,245700,0.0,1.0
2000-05-23,55.44,55.44,53.63,54.5,16.5019,471000,0.0,1.0
2000-05-24,54.5,55.75,54.5,55.0,16.6533,501900,0.0,1.0
2000-05-25,53.5,53.56,50.25,51.38,15.5572,941100,0.0,1.0
2000-05-26,51.38,51.75,50.31,51.06,15.4603,325100,0.0,1.0
2000-05-30,51.31,52.0,50.56,51.88,15.7086,328700,0.0,1.0
2000-05-31,50.5,51.0,50.06,50.13,15.1787,557100,0.0,1.0
2000-06-01,49.63,49.88,48.0,49.88,15.103,921600,0.0,1.0
2000-06-02,49.5,50.5,49.13,50.0,15.1393,772900,0.0,1.0
2000-06-05,50.0,50.31,48.63,49.0,14.8365,404900,0.0,1.0
2000-06-06,49.0,49.06,48.13,48.38,14.6488,444800,0.0,1.0
2000-06-07,48.75,48.88,47.94,48.19,14.5913,453700,0.0,1.0
2000-06-08,48.06,48.5,47.75,47.88,14.4974,447900,0.0,1.0
2000-06-09,47.94,48.0,47.63,47.94,14.5156,440500,0.0,1.0
2000-06-12,48.0,48.94,47.94,48.63,14.7245,537000,0.0,1.0
2000-06-13,48.88,49.06,47.0,47.44,14.3642,540700,0.0,1.0
2000-06-14,47.0,48.44,47.0,48.13,14.5731,521500,0.0,1.0
2000-06-15,48.0,48.06,46.5,47.0,14.231,385600,0.0,1.0
2000-06-16,46.31,46.94,46.13,46.59,14.1068,506900,0.0,1.0
2000-06-19,46.38,46.63,44.25,44.56,13.4922,723300,0.0,1.0
2000-06-20,44.5,44.81,42.5,43.5,13.1712,888000,0.0,1.0
2000-06-21,44.0,44.13,41.75,42.13,12.7564,1151200,0.0,1.0
2000-06-22,42.13,43.56,41.56,43.0,13.0198,842500,0.0,1.0
2000-06-23,43.0,43.31,42.38,43.06,13.038,716100,0.0,1.0
2000-06-26,43.31,43.31,42.5,43.0,13.0198,725300,0.0,1.0
2000-06-27,43.0,45.0,42.63,44.69,13.5315,1312800,0.0,1.0
2000-06-28,44.69,46.19,43.5,45.29,13.7132,1394400,0.0,1.0
2000-06-29,45.25,46.06,44.19,45.0,13.6254,736100,0.0,1.0
2000-06-30,45.06,45.19,43.94,44.31,13.4165,874100,0.0,1.0
2000-07-03,44.56,46.0,44.5,45.94,13.91,360300,0.0,1.0
2000-07-05,45.25,45.94,44.38,44.88,13.5891,685400,0.0,1.0
2000-07-06,44.75,44.75,43.81,43.94,13.3044,729200,0.0,1.0
2000-07-07,44.19,44.69,43.5,44.19,13.3801,1041500,0.0,1.0
2000-07-10,43.5,44.5,43.31,43.63,13.2106,703900,0.0,1.0
2000-07-11,43.56,45.5,43.56,45.5,13.7768,500700,0.0,1.0
2000-07-12,45.31,45.88,44.5,44.81,13.5679,470400,0.0,1.0
2000-07-13,44.75,46.5,44.75,45.94,13.91,486600,0.0,1.0
2000-07-14,46.06,46.31,44.69,45.31,13.7193,441500,0.0,1.0
2000-07-17,45.13,45.19,43.75,43.94,13.3044,674500,0.0,1.0
2000-07-18,43.88,44.13,43.44,43.63,13.2106,508100,0.0,1.0
2000-07-19,43.38,44.0,42.5,42.69,12.926,443900,0.0,1.0
2000-07-20,41.88,42.88,41.56,42.13,12.7564,686700,0.0,1.0
2000-07-21,42.38,43.06,42.19,42.81,12.9623,769500,0.0,1.0
2000-07-24,42.81,42.88,42.0,42.44,12.8503,564000,0.0,1.0
2000-07-25,42.5,43.0,41.75,42.53,12.8775,710900,0.0,1.0
2000-07-26,42.31,42.5,41.44,41.44,12.5475,586700,0.0,1.0
2000-07-27,41.5,42.38,41.25,41.31,12.5081,639600,0.0,1.0
2000-07-28,41.38,41.44,40.63,40.69,12.3204,553300,0.0,1.0
2000-07-31,40.94,41.25,40.63,40.69,12.3204,915700,0.0,1.0
2000-08-01,40.94,41.0,40.25,40.75,12.3386,811900,0.0,1.0
2000-08-02,40.69,41.25,40.44,41.0,12.4143,682200,0.0,1.0
2000-08-03,41.0,41.81,40.5,40.75,12.3386,658700,0.0,1.0
2000-08-04,40.75,40.88,40.06,40.44,12.2447,557900,0.0,1.0
2000-08-07,40.19,42.81,40.13,42.19,12.7746,794300,0.0,1.0
2000-08-08,42.0,42.25,41.56,42.16,12.8866,469300,0.4,1.0
2000-08-09,42.0,43.13,41.94,42.69,13.0486,808200,0.0,1.0
2000-08-10,42.13,42.31,41.13,41.31,12.6268,577000,0.0,1.0
2000-08-11,41.31,42.69,41.25,42.56,13.0089,460800,0.0,1.0
2000-08-14,42.38,42.56,41.44,42.44,12.9722,312800,0.0,1.0
2000-08-15,42.31,43.5,42.06,43.19,13.2014,459400,0.0,1.0
2000-08-16,43.25,43.81,43.06,43.69,13.3543,475500,0.0,1.0
2000-08-17,43.69,44.38,42.75,42.94,13.125,651200,0.0,1.0
2000-08-18,42.5,43.19,42.5,43.06,13.1617,351700,0.0,1.0
2000-08-21,42.81,43.0,42.5,42.5,12.9905,506700,0.0,1.0
2000-08-22,42.31,42.88,42.31,42.81,13.0853,382600,0.0,1.0
2000-08-23,42.5,42.75,42.13,42.25,12.9141,400900,0.0,1.0
2000-08-24,41.75,42.5,41.75,42.19,12.8958,407100,0.0,1.0
2000-08-25,41.94,43.13,41.81,42.75,13.0669,209300,0.0,1.0
2000-08-28,43.38,43.38,42.63,42.88,13.1067,309400,0.0,1.0
2000-08-29,42.56,42.56,41.88,42.0,12.8377,423200,0.0,1.0
2000-08-30,41.94,42.0,41.0,41.25,12.6084,373500,0.0,1.0
2000-08-31,41.25,41.88,40.5,40.52,12.3853,529800,0.0,1.0
2000-09-01,40.75,40.75,40.31,40.47,12.37,765700,0.0,1.0
2000-09-05,40.5,41.0,40.25,40.81,12.474,808700,0.0,1.0
2000-09-06,40.94,42.38,40.81,41.69,12.7429,551800,0.0,1.0
2000-09-07,40.88,40.88,40.06,40.5,12.3792,888700,0.0,1.0
2000-09-08,40.5,40.75,39.5,39.63,12.1133,567800,0.0,1.0
2000-09-11,39.38,40.44,39.38,39.81,12.1683,536800,0.0,1.0
2000-09-12,39.69,40.25,39.69,40.0,12.2264,526300,0.0,1.0
2000-09-13,40.0,40.75,38.0,39.75,12.15,943000,0.0,1.0
2000-09-14,39.75,39.94,39.06,39.13,11.9605,612000,0.0,1.0
2000-09-15,39.19,39.19,38.13,38.13,11.6548,583600,0.0,1.0
2000-09-18,38.13,38.19,36.88,37.63,11.502,705400,0.0,1.0
2000-09-19,37.56,37.56,36.44,36.94,11.2911,669100,0.0,1.0
2000-09-20,36.88,37.0,36.0,36.31,11.0985,745100,0.0,1.0
2000-09-21,36.5,37.38,36.38,36.75,11.233,589900,0.0,1.0
