,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,22.94,23.06,22.44,22.88,4.5723,378200,0.0,1.0
2000-01-19,22.88,23.25,22.81,23.0,4.5963,330800,0.0,1.0
2000-01-20,23.0,23.31,23.0,23.13,4.6222,248900,0.0,1.0
2000-01-21,23.56,24.0,23.38,23.63,4.7222,513500,0.0,1.0
2000-01-24,23.63,23.81,23.31,23.5,4.6962,528900,0.0,1.0
2000-01-25,23.38,23.56,22.69,22.81,4.5583,333800,0.0,1.0
2000-01-26,22.81,23.19,22.63,22.63,4.5223,459200,0.0,1.0
2000-01-27,22.88,23.56,22.88,23.19,4.6342,483900,0.0,1.0
2000-01-28,23.0,23.06,22.06,22.19,4.4344,396900,0.0,1.0
2000-01-31,23.0,23.38,22.69,23.19,4.6342,388300,0.0,1.0
2000-02-01,23.25,23.25,22.94,23.06,4.6083,235800,0.0,1.0
2000-02-02,22.88,23.19,22.81,23.06,4.6083,183900,0.0,1.0
2000-02-03,22.88,23.56,22.75,23.5,4.6962,404000,0.0,1.0
2000-02-04,23.31,23.44,22.25,22.44,4.4844,221300,0.0,1.0
2000-02-07,22.5,22.75,22.19,22.25,4.4464,195400,0.0,1.0
2000-02-08,22.38,22.94,22.25,22.31,4.4584,186100,0.0,1.0
2000-02-09,22.19,22.5,21.56,22.13,4.4224,315600,0.0,1.0
2000-02-10,22.06,22.31,21.69,22.06,4.4084,282200,0.0,1.0
2000-02-11,21.94,22.0,21.56,21.81,4.3585,157600,0.0,1.0
2000-02-14,21.94,22.38,21.88,22.13,4.4224,269900,0.0,1.0
2000-02-15,22.38,22.75,22.38,22.5,4.4963,320900,0.0,1.0
2000-02-16,22.44,22.5,21.81,22.06,4.4084,232700,0.0,1.0
2000-02-17,22.13,22.13,21.5,21.75,4.3465,266300,0.0,1.0
2000-02-18,21.5,21.56,20.94,21.06,4.2086,321100,0.0,1.0
2000-02-22,21.19,21.44,20.94,21.0,4.1966,118900,0.0,1.0
2000-02-23,21.0,21.0,20.5,20.63,4.1226,151100,0.0,1.0
2000-02-24,20.81,20.81,19.31,20.31,4.0587,324300,0.0,1.0
2000-02-25,20.0,20.56,19.81,19.94,3.9848,317400,0.0,1.0
2000-02-28,19.63,20.44,19.63,20.31,4.0587,323200,0.0,1.0
2000-02-29,20.38,20.38,19.75,20.13,4.0227,236000,0.0,1.0
2000-03-01,19.94,20.38,19.81,20.19,4.0347,256900,0.0,1.0
2000-03-02,20.19,20.38,19.94,20.31,4.0587,299100,0.0,1.0
2000-03-03,20.31,20.69,20.19,20.56,4.1087,109200,0.0,1.0
2000-03-06,20.25,20.31,19.5,19.56,3.9088,187200,0.0,1.0
2000-03-07,19.5,20.0,18.81,19.31,3.8589,400800,0.0,1.0
2000-03-08,18.56,19.38,18.38,18.63,3.7759,2851500,0.265,1.0
2000-03-09,19.0,19.19,18.69,19.19,3.8894,285200,0.0,1.0
2000-03-10,18.88,19.5,18.75,19.25,3.9016,249000,0.0,1.0
2000-03-13,18.88,19.06,18.56,18.69,3.7881,221000,0.0,1.0
2000-03-14,18.56,18.69,18.44,18.5,3.7496,162700,0.0,1.0
2000-03-15,18.75,20.06,18.69,19.94,4.0414,463800,0.0,1.0
2000-03-16,19.94,21.5,19.63,21.25,4.307,385900,0.0,1.0
2000-03-17,20.38,20.88,20.25,20.38,4.1306,317100,0.0,1.0
2000-03-20,20.13,20.88,20.13,20.69,4.1935,277300,0.0,1.0
2000-03-21,20.5,20.75,20.19,20.44,4.1428,137100,0.0,1.0
2000-03-22,20.19,20.25,19.63,19.81,4.0151,263100,0.0,1.0
2000-03-23,19.88,20.75,19.69,20.69,4.1935,413300,0.0,1.0
2000-03-24,20.69,21.0,20.69,21.0,4.2563,259000,0.0,1.0
2000-03-27,20.81,20.94,20.75,20.81,4.2178,159800,0.0,1.0
2000-03-28,20.75,20.88,19.94,20.13,4.08,206200,0.0,1.0
