,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,24.0,24.0,23.75,23.75,11.3751,145100,0.0,1.0
2000-01-19,23.75,23.75,23.38,23.56,11.2841,127900,0.0,1.0
2000-01-20,23.38,23.56,23.25,23.38,11.1979,116300,0.0,1.0
2000-01-21,23.25,23.31,22.88,22.88,10.9584,164700,0.0,1.0
2000-01-24,22.81,23.25,22.81,23.0,11.0159,117200,0.0,1.0
2000-01-25,22.94,23.0,22.75,22.88,10.9584,275500,0.0,1.0
2000-01-26,22.75,23.13,22.75,23.13,11.0782,103200,0.0,1.0
2000-01-27,23.06,23.06,22.81,22.88,10.9584,119900,0.0,1.0
2000-01-28,22.94,22.94,22.56,22.63,10.8387,262300,0.0,1.0
2000-01-31,22.63,22.88,22.63,22.69,10.8674,153100,0.0,1.0
2000-02-01,22.69,23.13,22.69,23.06,11.0446,366400,0.0,1.0
2000-02-02,22.94,23.06,22.88,22.94,10.9872,98300,0.0,1.0
2000-02-03,22.94,23.0,22.75,22.88,10.9584,136100,0.0,1.0
2000-02-04,22.81,23.06,22.81,22.88,10.9584,136900,0.0,1.0
2000-02-07,22.75,22.81,22.56,22.63,10.8387,129100,0.0,1.0
2000-02-08,22.75,22.81,22.63,22.69,10.8674,86900,0.0,1.0
2000-02-09,22.75,22.81,22.63,22.69,10.8674,347200,0.0,1.0
2000-02-10,22.56,22.94,22.56,22.63,10.8387,100900,0.0,1.0
2000-02-11,22.63,22.69,22.44,22.5,10.7764,116800,0.0,1.0
2000-02-14,22.5,22.63,22.44,22.5,10.7764,186200,0.0,1.0
2000-02-15,22.5,22.63,22.5,22.63,10.8387,110500,0.0,1.0
2000-02-16,22.5,22.69,22.44,22.63,10.8387,92900,0.0,1.0
2000-02-17,22.44,22.94,22.38,22.94,10.9872,144000,0.0,1.0
2000-02-18,22.94,22.94,22.38,22.5,10.7764,82900,0.0,1.0
2000-02-22,22.5,22.5,22.31,22.31,10.6854,170000,0.0,1.0
2000-02-23,22.31,22.44,22.13,22.19,10.628,337700,0.0,1.0
2000-02-24,22.19,22.25,22.06,22.19,10.628,254200,0.0,1.0
2000-02-25,22.19,22.19,21.94,22.0,10.537,350900,0.0,1.0
2000-02-28,22.0,22.06,21.88,21.94,10.5082,364800,0.0,1.0
2000-02-29,21.94,22.06,21.88,22.06,10.5657,349200,0.0,1.0
2000-03-01,21.94,22.13,21.75,21.88,10.4795,182200,0.0,1.0
2000-03-02,21.81,21.88,21.69,21.69,10.3885,117900,0.0,1.0
2000-03-03,21.69,22.0,21.69,21.88,10.4795,393600,0.0,1.0
2000-03-06,21.75,21.81,21.69,21.75,10.4172,144400,0.0,1.0
2000-03-07,21.63,21.75,21.5,21.56,10.3262,189700,0.0,1.0
2000-03-08,21.5,21.63,21.19,21.25,10.1777,206200,0.0,1.0
2000-03-09,21.19,21.31,21.0,21.19,10.149,175300,0.0,1.0
2000-03-10,21.06,21.13,20.88,21.0,10.058,235700,0.0,1.0
2000-03-13,20.94,21.19,20.94,21.13,10.2256,172300,0.22,1.0
2000-03-14,21.06,21.31,21.0,21.13,10.2256,336200,0.0,1.0
2000-03-15,21.06,21.31,21.0,21.19,10.2547,175200,0.0,1.0
2000-03-16,21.25,21.44,21.06,21.38,10.3466,613100,0.0,1.0
2000-03-17,21.44,21.69,21.44,21.56,10.4337,440300,0.0,1.0
2000-03-20,21.38,21.63,21.38,21.5,10.4047,138900,0.0,1.0
2000-03-21,21.5,21.88,21.44,21.63,10.4676,217500,0.0,1.0
2000-03-22,21.69,21.75,21.5,21.75,10.5257,175500,0.0,1.0
2000-03-23,21.56,21.94,21.56,21.56,10.4337,209600,0.0,1.0
2000-03-24,21.94,21.94,21.63,21.75,10.5257,99800,0.0,1.0
2000-03-27,21.75,21.94,21.44,21.5,10.4047,108300,0.0,1.0
2000-03-28,21.5,21.75,21.5,21.69,10.4966,134100,0.0,1.0
2000-03-29,21.69,21.75,21.56,21.75,10.5257,196100,0.0,1.0
2000-03-30,21.88,22.0,21.5,21.81,10.5547,216800,0.0,1.0
2000-03-31,21.56,21.75,21.0,21.0,10.1627,223000,0.0,1.0
2000-04-03,21.25,21.75,21.25,21.69,10.4966,227400,0.0,1.0
2000-04-04,21.69,21.81,21.56,21.75,10.5257,96700,0.0,1.0
2000-04-05,21.69,22.0,21.69,22.0,10.6467,170500,0.0,1.0
2000-04-06,22.06,22.31,22.0,22.25,10.7676,260300,0.0,1.0
2000-04-07,22.19,22.31,22.13,22.25,10.7676,473900,0.0,1.0
2000-04-10,22.19,22.44,22.19,22.31,10.7967,139500,0.0,1.0
2000-04-11,22.44,22.63,22.38,22.5,10.8886,263000,0.0,1.0
2000-04-12,22.63,22.88,22.5,22.56,10.9177,382000,0.0,1.0
2000-04-13,22.69,22.69,22.5,22.63,10.9515,195300,0.0,1.0
2000-04-14,22.63,22.69,22.38,22.5,10.8886,187900,0.0,1.0
2000-04-17,22.38,22.81,22.25,22.81,11.0387,185800,0.0,1.0
2000-04-18,22.69,22.75,22.5,22.63,10.9515,185000,0.0,1.0
2000-04-19,22.63,22.63,22.5,22.56,10.9177,236800,0.0,1.0
2000-04-20,22.5,22.56,22.38,22.38,10.8306,69500,0.0,1.0
2000-04-24,22.38,22.44,22.06,22.25,10.7676,476000,0.0,1.0
2000-04-25,22.25,22.25,22.0,22.06,10.6757,212700,0.0,1.0
2000-04-26,22.06,23.0,22.06,22.88,11.0725,390100,0.0,1.0
2000-04-27,22.63,22.69,22.44,22.5,10.8886,81200,0.0,1.0
2000-04-28,22.5,22.5,22.38,22.38,10.8306,205300,0.0,1.0
2000-05-01,22.5,22.94,22.38,22.94,11.1016,323700,0.0,1.0
2000-05-02,22.88,23.38,22.69,22.94,11.1016,1118700,0.0,1.0
2000-05-03,23.0,23.0,22.69,22.94,11.1016,354900,0.0,1.0
2000-05-04,22.94,22.94,22.75,22.88,11.0725,338300,0.0,1.0
2000-05-05,22.75,22.81,22.63,22.81,11.0387,178300,0.0,1.0
2000-05-08,22.63,22.69,22.31,22.44,10.8596,214200,0.0,1.0
2000-05-09,22.44,22.44,22.19,22.38,10.8306,350400,0.0,1.0
2000-05-10,22.31,22.38,22.06,22.19,10.7386,183500,0.0,1.0
2000-05-11,22.13,22.31,22.13,22.31,10.7967,124800,0.0,1.0
2000-05-12,22.25,22.31,22.13,22.19,10.7386,174000,0.0,1.0
2000-05-15,22.06,22.5,22.06,22.38,10.8306,97400,0.0,1.0
2000-05-16,22.38,22.5,22.38,22.44,10.8596,143600,0.0,1.0
2000-05-17,22.38,22.44,22.19,22.31,10.7967,174100,0.0,1.0
2000-05-18,22.25,22.44,22.13,22.38,10.8306,219200,0.0,1.0
2000-05-19,22.44,22.5,22.31,22.44,10.8596,152400,0.0,1.0
2000-05-22,22.44,22.56,22.31,22.31,10.7967,152600,0.0,1.0
2000-05-23,22.31,22.69,22.31,22.44,10.8596,246000,0.0,1.0
2000-05-24,22.38,22.75,22.25,22.38,10.8306,114200,0.0,1.0
2000-05-25,22.38,22.44,22.13,22.19,10.7386,103500,0.0,1.0
2000-05-26,22.13,22.44,22.06,22.38,10.8306,297400,0.0,1.0
2000-05-30,22.31,22.63,22.25,22.38,10.8306,112300,0.0,1.0
2000-05-31,22.38,22.5,22.13,22.31,10.7967,86800,0.0,1.0
2000-06-01,22.25,22.44,22.25,22.38,10.8306,130000,0.0,1.0
2000-06-02,22.31,23.06,22.31,23.0,11.1306,184900,0.0,1.0
2000-06-05,23.75,23.75,22.69,22.88,11.0725,150100,0.0,1.0
2000-06-06,22.63,23.06,22.5,22.56,10.9177,158000,0.0,1.0
2000-06-07,22.63,22.63,22.13,22.25,10.7676,307300,0.0,1.0
2000-06-08,22.19,22.81,22.19,22.81,11.0387,118500,0.0,1.0
2000-06-09,22.75,22.75,22.38,22.56,10.9177,55500,0.0,1.0
2000-06-12,22.63,22.94,22.63,22.94,11.1016,108300,0.0,1.0
2000-06-13,22.63,23.0,22.63,23.0,11.2371,83800,0.22,1.0
2000-06-14,23.0,24.19,23.0,23.63,11.5449,175300,0.0,1.0
2000-06-15,23.63,24.0,23.44,23.75,11.6035,270000,0.0,1.0
2000-06-16,23.75,23.81,23.5,23.69,11.5742,189800,0.0,1.0
2000-06-19,23.75,23.81,23.31,23.38,11.4227,187900,0.0,1.0
2000-06-20,23.5,23.94,23.44,23.94,11.6963,156200,0.0,1.0
2000-06-21,23.88,24.0,23.75,23.88,11.667,139800,0.0,1.0
2000-06-22,23.88,24.19,23.88,24.13,11.7891,127700,0.0,1.0
2000-06-23,24.13,24.13,23.75,24.0,11.7256,154500,0.0,1.0
2000-06-26,24.13,24.25,23.81,24.19,11.8185,111900,0.0,1.0
2000-06-27,24.06,24.88,24.06,24.69,12.0627,199700,0.0,1.0
2000-06-28,24.75,24.75,24.19,24.25,11.8478,451700,0.0,1.0
2000-06-29,24.19,24.31,23.94,24.06,11.7549,150100,0.0,1.0
2000-06-30,24.25,24.56,23.0,23.45,11.4569,524200,0.0,1.0
2000-07-03,23.5,24.06,23.5,24.06,11.7549,65100,0.0,1.0
2000-07-05,24.19,24.38,23.88,24.38,11.9113,177500,0.0,1.0
2000-07-06,24.38,24.56,24.06,24.5,11.9699,153700,0.0,1.0
2000-07-07,24.38,24.63,24.31,24.56,11.9992,171500,0.0,1.0
2000-07-10,24.56,25.0,24.44,24.88,12.1556,131900,0.0,1.0
2000-07-11,24.88,24.94,24.69,24.94,12.1849,125400,0.0,1.0
2000-07-12,25.06,25.06,24.69,24.88,12.1556,227600,0.0,1.0
2000-07-13,24.94,25.06,24.63,24.69,12.0627,187100,0.0,1.0
2000-07-14,24.81,25.0,24.75,24.88,12.1556,164800,0.0,1.0
2000-07-17,25.06,25.06,24.81,25.0,12.2142,87600,0.0,1.0
2000-07-18,24.88,25.06,24.88,25.06,12.2435,110700,0.0,1.0
2000-07-19,25.0,25.06,24.88,24.88,12.1556,148200,0.0,1.0
2000-07-20,24.75,25.0,24.75,25.0,12.2142,44600,0.0,1.0
2000-07-21,24.94,25.25,24.94,25.19,12.307,196500,0.0,1.0
2000-07-24,25.06,25.5,25.06,25.38,12.3999,42200,0.0,1.0
2000-07-25,25.13,25.38,25.13,25.25,12.3363,98500,0.0,1.0
2000-07-26,25.31,26.25,25.19,26.25,12.8249,138000,0.0,1.0
2000-07-27,26.13,26.19,26.0,26.06,12.7321,104800,0.0,1.0
2000-07-28,26.0,26.19,25.94,26.06,12.7321,46200,0.0,1.0
2000-07-31,25.94,26.19,25.56,25.63,12.522,167100,0.0,1.0
2000-08-01,25.63,26.94,25.63,26.88,13.1327,219300,0.0,1.0
2000-08-02,26.88,26.88,26.5,26.69,13.0399,82600,0.0,1.0
2000-08-03,26.56,26.69,26.25,26.28,12.8396,172800,0.0,1.0
2000-08-04,26.25,26.31,25.44,25.69,12.5513,163400,0.0,1.0
2000-08-07,25.75,25.75,25.13,25.25,12.3363,163900,0.0,1.0
2000-08-08,25.25,25.44,25.06,25.31,12.3657,120600,0.0,1.0
2000-08-09,25.19,25.38,25.19,25.25,12.3363,48700,0.0,1.0
2000-08-10,25.13,25.13,24.88,24.94,12.1849,156800,0.0,1.0
2000-08-11,25.0,25.25,24.81,25.19,12.307,102100,0.0,1.0
2000-08-14,25.25,25.31,25.0,25.13,12.2777,88500,0.0,1.0
2000-08-15,25.0,25.13,24.88,24.94,12.1849,122500,0.0,1.0
2000-08-16,25.0,25.38,24.81,25.19,12.307,121100,0.0,1.0
2000-08-17,24.94,25.19,24.88,25.19,12.307,336900,0.0,1.0
2000-08-18,25.0,25.13,24.88,25.06,12.2435,68200,0.0,1.0
2000-08-21,25.06,25.19,24.94,24.94,12.1849,59900,0.0,1.0
2000-08-22,25.0,25.13,24.94,25.0,12.2142,87100,0.0,1.0
2000-08-23,24.94,25.06,24.56,24.56,11.9992,210400,0.0,1.0
2000-08-24,24.5,24.56,24.19,24.25,11.8478,54300,0.0,1.0
2000-08-25,24.25,24.31,23.81,24.0,11.7256,58200,0.0,1.0
2000-08-28,24.0,24.13,23.69,23.75,11.6035,113100,0.0,1.0
2000-08-29,23.56,23.88,23.44,23.63,11.5449,86400,0.0,1.0
2000-08-30,23.56,24.0,23.44,24.0,11.7256,308700,0.0,1.0
2000-08-31,24.0,24.5,24.0,24.38,11.9113,231400,0.0,1.0
2000-09-01,24.25,24.38,24.0,24.0,11.7256,77200,0.0,1.0
2000-09-05,23.5,24.13,23.5,24.13,11.7891,103800,0.0,1.0
2000-09-06,24.0,24.19,23.81,24.13,11.7891,183600,0.0,1.0
2000-09-07,24.06,24.44,24.06,24.31,11.8771,215100,0.0,1.0
2000-09-08,24.31,25.0,24.31,25.0,12.2142,412800,0.0,1.0
2000-09-11,25.81,25.81,25.0,25.25,12.3363,203900,0.0,1.0
2000-09-12,25.13,25.44,24.94,25.38,12.3999,92700,0.0,1.0
2000-09-13,25.0,25.0,24.31,24.63,12.4341,95700,0.82,1.0
2000-09-14,24.44,24.5,23.81,23.88,12.0554,155100,0.0,1.0
2000-09-15,24.06,24.63,23.75,24.56,12.3987,116600,0.0,1.0
2000-09-18,24.31,24.44,23.53,23.53,11.8787,214400,0.0,1.0
2000-09-19,23.31,23.88,23.31,23.5,11.8636,420000,0.0,1.0
