,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,30.31,30.31,29.25,29.31,19.4293,76000,0.0,1.0
2000-01-19,29.25,29.88,28.06,29.81,19.7607,82667,0.0,1.0
2000-01-20,34.88,38.0,34.06,36.06,23.9038,1298700,0.0,1.0
2000-01-21,36.31,37.38,34.5,35.25,23.3668,318000,0.0,1.0
2000-01-24,35.5,36.13,34.63,35.25,23.3668,163400,0.0,1.0
2000-01-25,35.38,36.75,35.06,35.69,23.6585,134667,0.0,1.0
2000-01-26,35.63,35.69,35.19,35.69,23.6585,90667,0.0,1.0
2000-01-27,35.75,35.75,34.0,34.13,22.6244,51667,0.0,1.0
2000-01-28,34.13,34.13,33.38,33.63,22.293,47600,0.0,1.0
2000-01-31,33.38,33.38,32.44,32.75,21.7096,40800,0.0,1.0
2000-02-01,32.63,34.13,32.5,33.56,22.2466,136867,0.0,1.0
2000-02-02,33.63,34.88,33.38,34.88,23.1216,275667,0.0,1.0
2000-02-03,34.81,35.75,34.5,35.06,23.2409,224000,0.0,1.0
2000-02-04,35.19,35.19,34.0,34.13,22.6244,118867,0.0,1.0
2000-02-07,34.25,34.75,34.25,34.5,22.8697,65600,0.0,1.0
2000-02-08,34.56,35.94,34.56,35.88,23.7845,136067,0.0,1.0
2000-02-09,36.0,37.88,35.94,36.63,24.2816,217867,0.0,1.0
2000-02-10,36.63,37.25,35.88,36.0,23.864,63000,0.0,1.0
2000-02-11,36.06,36.25,35.5,35.69,23.6585,28067,0.0,1.0
2000-02-14,35.44,35.44,35.0,35.13,23.2873,95600,0.0,1.0
2000-02-15,34.88,35.13,34.69,34.88,23.1216,86267,0.0,1.0
2000-02-16,35.0,35.0,34.5,34.5,22.8697,92200,0.0,1.0
2000-02-17,34.63,34.75,34.19,34.44,22.8299,82400,0.0,1.0
2000-02-18,34.5,35.5,34.38,35.31,23.4066,190667,0.0,1.0
2000-02-22,35.38,38.0,35.38,37.13,24.6131,342067,0.0,1.0
2000-02-23,37.88,40.88,37.81,40.31,26.7211,862667,0.0,1.0
2000-02-24,41.75,41.88,39.5,39.75,26.3498,430800,0.0,1.0
2000-02-25,39.75,40.0,38.56,38.88,25.7731,181400,0.0,1.0
2000-02-28,39.0,39.44,38.5,39.06,25.8925,155400,0.0,1.0
2000-02-29,39.25,40.88,39.13,40.5,26.847,308600,0.0,1.0
2000-03-01,40.88,44.5,40.81,44.0,29.1671,874467,0.0,1.0
2000-03-02,44.25,48.0,44.0,47.0,31.1558,814267,0.0,1.0
2000-03-03,47.44,47.5,46.0,46.38,30.7448,282600,0.0,1.0
2000-03-06,46.63,46.75,45.25,45.75,30.3272,123600,0.0,1.0
2000-03-07,46.0,46.75,44.75,46.0,30.4929,392867,0.0,1.0
2000-03-08,46.25,47.25,45.88,46.88,31.0762,244600,0.0,1.0
2000-03-09,47.13,47.31,45.5,46.5,30.8244,346667,0.0,1.0
2000-03-10,47.75,51.63,47.69,50.75,33.6416,541200,0.0,1.0
2000-03-13,50.75,53.25,49.75,52.25,34.636,520800,0.0,1.0
2000-03-14,55.0,56.25,54.38,54.94,36.4191,495800,0.0,1.0
2000-03-15,55.5,56.88,51.25,56.56,37.493,604000,0.0,1.0
2000-03-16,56.44,58.0,56.0,57.94,38.4078,428267,0.0,1.0
2000-03-17,58.0,59.44,58.0,59.13,39.1966,213800,0.0,1.0
2000-03-20,59.69,60.0,58.5,58.63,38.8652,277067,0.0,1.0
2000-03-21,58.38,58.5,57.44,57.75,38.2819,466667,0.0,1.0
2000-03-22,57.5,57.5,56.0,56.5,37.4532,330067,0.0,1.0
2000-03-23,56.25,62.0,56.13,62.0,41.0991,543400,0.0,1.0
2000-03-24,62.0,62.0,62.0,62.0,41.0991,344200,0.0,1.0
2000-03-27,67.88,70.25,63.0,63.0,41.762,671600,0.0,1.0
2000-03-28,63.13,63.5,59.75,60.0,39.7734,358667,0.0,1.0
2000-03-29,60.0,60.13,56.75,58.06,38.4874,335800,0.0,1.0
2000-03-30,58.13,60.88,57.25,60.0,39.7734,432400,0.0,1.0
2000-03-31,60.75,62.0,60.0,60.69,40.2308,304200,0.0,1.0
2000-04-03,61.25,63.94,60.75,63.0,41.762,311467,0.0,1.0
2000-04-04,63.0,63.31,53.0,53.88,35.7165,589400,0.0,1.0
2000-04-05,53.88,59.63,51.0,58.88,39.0309,551200,0.0,1.0
2000-04-06,59.13,61.88,58.88,61.63,40.8539,356267,0.0,1.0
2000-04-07,61.88,63.0,59.25,61.19,40.5622,349867,0.0,1.0
2000-04-10,41.38,43.44,41.25,41.94,41.7024,240300,0.0,1.5
2000-04-11,41.75,41.75,39.56,40.0,39.7734,419600,0.0,1.0
2000-04-12,40.25,42.88,40.19,41.5,41.2649,277000,0.0,1.0
2000-04-13,41.5,42.0,39.0,40.25,40.0219,347100,0.0,1.0
2000-04-14,39.25,39.25,37.0,39.25,39.0276,692300,0.0,1.0
2000-04-17,38.5,38.75,36.25,37.38,37.1682,587300,0.0,1.0
2000-04-18,37.0,39.69,36.75,39.31,39.0873,371800,0.0,1.0
2000-04-19,39.56,41.38,39.0,41.0,40.7677,288900,0.0,1.0
2000-04-20,41.06,42.69,41.06,42.0,41.762,226200,0.0,1.0
2000-04-24,41.75,41.81,39.19,39.5,39.2762,288900,0.0,1.0
2000-04-25,39.5,41.81,39.5,41.75,41.5134,211000,0.0,1.0
2000-04-26,41.75,42.56,39.88,40.25,40.0219,168500,0.0,1.0
2000-04-27,40.31,41.69,39.5,41.44,41.2052,133000,0.0,1.0
2000-04-28,41.63,47.0,41.63,46.44,46.1769,638900,0.0,1.0
2000-05-01,46.63,49.75,46.63,49.75,49.4681,576800,0.0,1.0
2000-05-02,49.75,50.5,49.0,49.19,48.9113,420800,0.0,1.0
2000-05-03,48.94,48.94,46.81,47.69,47.4198,350100,0.0,1.0
2000-05-04,53.0,54.0,50.31,52.63,52.3318,1430600,0.0,1.0
2000-05-05,52.88,57.88,52.38,55.63,55.3148,875900,0.0,1.0
2000-05-08,55.75,55.75,52.56,52.81,52.5108,503800,0.0,1.0
2000-05-09,53.0,54.0,51.5,52.31,52.0136,490700,0.0,1.0
2000-05-10,52.19,52.19,47.63,49.44,49.1599,537200,0.0,1.0
2000-05-11,50.5,55.75,50.5,55.63,55.3148,760400,0.0,1.0
2000-05-12,55.63,56.88,52.75,52.75,52.4511,573500,0.0,1.0
2000-05-15,52.81,54.0,51.25,52.56,52.2622,361000,0.0,1.0
2000-05-16,53.31,54.63,53.19,54.06,53.7537,374600,0.0,1.0
2000-05-17,53.75,54.94,53.38,54.81,54.4994,205600,0.0,1.0
2000-05-18,54.63,55.38,52.5,52.69,52.3915,231200,0.0,1.0
2000-05-19,52.0,52.25,50.0,51.38,51.0889,245000,0.0,1.0
2000-05-22,51.88,52.75,50.0,50.44,50.1542,382900,0.0,1.0
2000-05-23,50.0,50.0,47.13,47.81,47.5391,536400,0.0,1.0
2000-05-24,47.56,47.56,40.75,43.94,43.691,883300,0.0,1.0
2000-05-25,45.0,47.94,43.25,44.5,44.2479,667400,0.0,1.0
2000-05-26,44.75,45.63,43.69,44.94,44.6854,232700,0.0,1.0
2000-05-30,45.63,48.13,45.38,47.5,47.2309,454000,0.0,1.0
2000-05-31,47.88,49.44,46.88,49.0,48.7224,482300,0.0,1.0
2000-06-01,48.63,49.5,47.94,49.5,49.2195,208200,0.0,1.0
2000-06-02,50.25,51.75,48.0,49.63,49.3488,343500,0.0,1.0
2000-06-05,49.63,49.63,48.0,49.31,49.0306,228100,0.0,1.0
2000-06-06,53.0,53.88,52.06,53.0,52.6997,834800,0.0,1.0
2000-06-07,53.25,58.38,53.25,56.88,56.5577,3724500,0.0,1.0
2000-06-08,57.13,59.25,57.13,57.31,56.9853,1206200,0.0,1.0
2000-06-09,57.38,58.38,56.63,57.38,57.0549,439300,0.0,1.0
2000-06-12,58.13,59.63,57.56,57.94,57.6117,602300,0.0,1.0
2000-06-13,57.94,58.56,56.88,57.69,57.3631,518200,0.0,1.0
2000-06-14,58.0,60.0,58.0,58.56,58.2282,420200,0.0,1.0
2000-06-15,58.56,61.88,58.06,61.5,61.1515,790600,0.0,1.0
2000-06-16,61.56,62.13,59.81,62.06,61.7084,841900,0.0,1.0
2000-06-19,63.0,63.13,60.0,60.69,60.3461,469600,0.0,1.0
2000-06-20,61.94,61.94,59.5,59.69,59.3518,522200,0.0,1.0
2000-06-21,59.94,60.25,57.75,58.31,57.9796,408700,0.0,1.0
2000-06-22,58.44,58.5,57.06,57.81,57.4824,340300,0.0,1.0
2000-06-23,57.94,58.38,56.81,57.75,57.4228,591100,0.0,1.0
2000-06-26,57.94,58.0,56.0,57.0,56.677,299000,0.0,1.0
2000-06-27,57.06,59.38,56.63,56.88,56.5577,565700,0.0,1.0
2000-06-28,56.88,56.88,53.25,55.25,54.9369,896200,0.0,1.0
2000-06-29,55.0,55.25,51.06,51.94,51.6457,955400,0.0,1.0
2000-06-30,51.38,55.0,47.5,55.0,54.6884,2420100,0.0,1.0
2000-07-03,54.25,54.75,53.75,54.0,53.694,285000,0.0,1.0
2000-07-05,54.0,58.75,53.56,58.13,57.8006,802400,0.0,1.0
2000-07-06,58.13,58.69,55.25,58.5,58.1685,626300,0.0,1.0
2000-07-07,58.75,59.88,56.75,56.75,56.4285,308700,0.0,1.0
2000-07-10,57.0,57.06,51.63,51.75,51.4568,1009800,0.0,1.0
2000-07-11,50.75,50.75,44.0,45.25,44.9936,2169400,0.0,1.0
2000-07-12,45.88,48.63,45.75,48.31,48.0363,754300,0.0,1.0
2000-07-13,48.56,49.44,46.19,47.31,47.0419,390700,0.0,1.0
2000-07-14,47.31,47.31,45.0,46.0,45.7394,636900,0.0,1.0
2000-07-17,46.0,46.31,43.13,43.69,43.4424,701200,0.0,1.0
2000-07-18,43.81,44.69,43.5,43.81,43.5618,674000,0.0,1.0
2000-07-19,43.69,43.69,41.25,42.94,42.6967,1299800,0.0,1.0
2000-07-20,44.5,45.5,44.25,44.75,44.4964,2489800,0.0,1.0
2000-07-21,45.0,45.0,43.69,43.81,43.5618,574700,0.0,1.0
2000-07-24,44.25,45.13,43.88,44.63,44.3771,486700,0.0,1.0
2000-07-25,45.0,46.0,44.94,45.94,45.6797,699500,0.0,1.0
2000-07-26,46.38,47.5,45.94,47.5,47.2309,846300,0.0,1.0
2000-07-27,47.5,47.5,44.31,44.75,44.4964,560700,0.0,1.0
2000-07-28,44.44,44.69,43.75,44.69,44.4368,605300,0.0,1.0
2000-07-31,45.44,47.25,45.0,45.75,45.4908,387600,0.0,1.0
2000-08-01,45.75,46.13,45.31,46.0,45.7394,365000,0.0,1.0
2000-08-02,47.13,47.75,44.75,45.13,44.8743,519600,0.0,1.0
2000-08-03,45.0,45.5,44.19,44.38,44.1285,338100,0.0,1.0
2000-08-04,44.25,44.63,41.75,41.94,41.7024,537300,0.0,1.0
2000-08-07,42.25,42.81,41.75,42.5,42.2592,388300,0.0,1.0
2000-08-08,44.0,44.0,40.75,40.94,40.708,309400,0.0,1.0
2000-08-09,41.31,41.5,34.13,36.81,36.6014,1578700,0.0,1.0
2000-08-10,36.94,38.88,36.94,37.88,37.6654,597400,0.0,1.0
2000-08-11,37.69,38.31,36.75,38.0,37.7847,285800,0.0,1.0
2000-08-14,37.75,38.5,35.5,38.5,38.2819,331900,0.0,1.0
2000-08-15,38.0,38.38,36.81,36.81,36.6014,388800,0.0,1.0
2000-08-16,36.94,37.94,36.81,37.75,37.5361,159200,0.0,1.0
2000-08-17,37.13,37.81,36.81,37.81,37.5958,242400,0.0,1.0
2000-08-18,37.69,37.75,36.5,36.69,36.4821,244300,0.0,1.0
2000-08-21,37.19,39.0,37.19,37.75,37.5361,374400,0.0,1.0
2000-08-22,38.0,38.75,37.81,38.38,38.1625,243000,0.0,1.0
2000-08-23,38.63,45.25,38.63,45.0,44.745,775300,0.0,1.0
2000-08-24,44.56,45.0,42.5,43.44,43.1939,781800,0.0,1.0
2000-08-25,43.44,44.94,42.0,43.06,42.816,420300,0.0,1.0
2000-08-28,43.75,44.88,42.44,42.88,42.637,414900,0.0,1.0
2000-08-29,43.38,45.94,43.25,45.69,45.4311,553000,0.0,1.0
2000-08-30,46.0,46.5,43.69,45.5,45.2422,695200,0.0,1.0
2000-08-31,45.13,47.25,45.13,46.75,46.4851,487600,0.0,1.0
2000-09-01,47.25,47.88,45.19,47.06,46.7934,246100,0.0,1.0
2000-09-05,47.06,47.25,46.13,46.69,46.4255,205300,0.0,1.0
2000-09-06,46.94,46.94,44.63,46.81,46.5448,337400,0.0,1.0
2000-09-07,46.75,47.44,45.75,47.0,46.7337,327000,0.0,1.0
2000-09-08,47.0,47.0,45.31,45.31,45.0533,150200,0.0,1.0
2000-09-11,45.06,46.56,45.06,46.0,45.7394,275800,0.0,1.0
2000-09-12,46.5,46.5,45.13,46.19,45.9283,337600,0.0,1.0
2000-09-13,46.13,46.5,42.88,43.56,43.3132,282700,0.0,1.0
2000-09-14,43.5,45.38,43.5,44.94,44.6854,310200,0.0,1.0
2000-09-15,44.75,45.5,43.19,43.75,43.5021,220600,0.0,1.0
2000-09-18,43.0,43.0,39.25,39.31,39.0873,454500,0.0,1.0
2000-09-19,39.63,40.38,39.25,40.0,39.7734,288900,0.0,1.0
2000-09-20,40.25,40.44,39.06,40.31,40.0816,168200,0.0,1.0
2000-09-21,40.19,40.19,34.5,34.75,34.5531,657700,0.0,1.0
2000-09-22,34.88,36.38,34.81,35.25,35.0503,715900,0.0,1.0
2000-09-25,35.75,37.25,35.5,35.94,35.7364,727900,0.0,1.0
2000-09-26,35.38,35.75,29.81,31.0,30.8244,1202600,0.0,1.0
2000-09-27,31.0,31.63,28.5,28.56,28.3982,1989900,0.0,1.0
2000-09-28,28.56,30.5,25.63,30.0,29.83,3286000,0.0,1.0
2000-09-29,28.44,28.63,27.13,28.38,28.2192,1236500,0.0,1.0
