,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,8.938,9.313,8.688,9.313,8.8753,449100,0.0,1.0
2000-01-19,9.375,9.625,8.75,9.125,8.6962,490600,0.0,1.0
2000-01-20,9.0,9.0,8.688,9.0,8.577,279300,0.0,1.0
2000-01-21,9.0,9.438,9.0,9.438,8.9945,449000,0.0,1.0
2000-01-24,9.438,10.19,9.438,9.5,9.0535,390900,0.0,1.0
2000-01-25,9.625,9.875,9.375,9.75,9.2918,208800,0.0,1.0
2000-01-26,10.13,10.19,9.813,9.813,9.3518,331700,0.0,1.0
2000-01-27,9.813,9.875,8.813,8.813,8.3988,215000,0.0,1.0
2000-01-28,8.875,9.125,8.625,8.625,8.2197,190000,0.0,1.0
2000-01-31,8.625,8.813,8.563,8.563,8.1606,164200,0.0,1.0
2000-02-01,8.625,8.938,8.438,8.938,8.518,134100,0.0,1.0
2000-02-02,9.0,9.5,9.0,9.188,8.7562,232100,0.0,1.0
2000-02-03,9.438,9.438,8.75,9.0,8.577,137100,0.0,1.0
2000-02-04,9.125,9.125,8.563,8.875,8.4579,99400,0.0,1.0
2000-02-07,8.938,8.938,8.313,8.688,8.2797,133900,0.0,1.0
2000-02-08,8.688,8.688,8.313,8.375,7.9814,189200,0.0,1.0
2000-02-09,8.375,8.375,8.125,8.125,7.7432,108500,0.0,1.0
2000-02-10,8.063,8.375,7.938,8.313,7.9223,155800,0.0,1.0
2000-02-11,8.313,8.313,8.0,8.125,7.7432,154300,0.0,1.0
2000-02-14,8.0,8.063,7.75,7.875,7.5049,206900,0.0,1.0
2000-02-15,8.0,8.125,7.75,8.063,7.6841,665400,0.0,1.0
2000-02-16,8.0,8.0,7.688,7.75,7.3858,617200,0.0,1.0
2000-02-17,7.813,7.938,7.5,7.688,7.3267,211200,0.0,1.0
2000-02-18,7.75,7.813,6.75,6.875,6.5519,630400,0.0,1.0
2000-02-22,7.125,7.688,7.063,7.438,7.0885,411400,0.0,1.0
2000-02-23,7.625,7.875,7.25,7.688,7.3267,468400,0.0,1.0
2000-02-24,7.563,7.75,7.438,7.75,7.3858,273800,0.0,1.0
2000-02-25,7.688,7.938,7.375,7.438,7.0885,210700,0.0,1.0
2000-02-28,7.25,7.75,7.188,7.688,7.3267,146600,0.0,1.0
2000-02-29,7.625,8.375,7.5,8.313,7.9223,363300,0.0,1.0
2000-03-01,8.188,9.0,7.875,8.438,8.0415,387800,0.0,1.0
2000-03-02,8.313,8.813,8.25,8.75,8.3388,385300,0.0,1.0
2000-03-03,8.688,8.75,8.188,8.188,7.8032,217400,0.0,1.0
2000-03-06,8.313,8.5,8.188,8.375,7.9814,200300,0.0,1.0
