,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,137.4,141.3,135.0,139.1,49.0824,14251500,0.0,1.0
2000-01-19,137.1,147.0,137.0,146.6,51.7288,15364200,0.0,1.0
2000-01-20,149.3,156.0,147.1,155.6,54.9045,19612000,0.0,1.0
2000-01-21,158.3,160.4,151.0,154.9,54.6575,17477500,0.0,1.0
2000-01-24,155.8,157.0,139.6,140.1,49.4352,16085300,0.0,1.0
2000-01-25,143.6,149.9,140.0,149.0,52.5756,19835700,0.0,1.0
2000-01-26,129.0,130.9,120.0,124.6,43.9659,68476600,0.0,1.0
2000-01-27,126.7,128.0,117.4,120.0,42.3428,31285500,0.0,1.0
2000-01-28,121.1,121.4,105.6,110.6,39.026,42837500,0.0,1.0
2000-01-31,117.1,127.5,116.8,127.0,44.8128,40259000,0.0,1.0
2000-02-01,131.5,140.0,130.9,136.1,48.0238,34824200,0.0,1.0
2000-02-02,136.9,145.5,136.0,141.8,50.0351,28684100,0.0,1.0
2000-02-03,145.1,148.0,132.0,139.2,49.1177,26285500,0.0,1.0
2000-02-04,141.9,141.9,135.1,137.4,48.4825,15014400,0.0,1.0
2000-02-07,134.4,135.3,130.3,133.4,47.0711,10434200,0.0,1.0
2000-02-08,133.5,139.6,133.4,139.1,49.0824,10725400,0.0,1.0
2000-02-09,139.5,140.0,133.0,133.3,47.0358,10070600,0.0,1.0
2000-02-10,134.6,137.1,133.0,136.9,48.3061,7536100,0.0,1.0
2000-02-11,135.1,136.5,131.5,132.0,46.5771,6209700,0.0,1.0
2000-02-14,129.4,130.0,125.0,127.1,44.8481,11676800,0.0,1.0
2000-02-15,124.4,127.7,120.1,126.6,44.6717,15018000,0.0,1.0
2000-02-16,125.4,131.5,121.0,121.9,43.0132,15026000,0.0,1.0
2000-02-17,125.1,131.0,122.0,130.0,45.8714,17485800,0.0,1.0
2000-02-18,132.0,138.8,131.8,134.5,47.4592,21495800,0.0,1.0
2000-02-22,132.5,135.8,126.3,130.6,46.0831,12236000,0.0,1.0
2000-02-23,133.4,147.5,130.8,146.9,51.8346,26174600,0.0,1.0
2000-02-24,136.9,142.3,135.0,139.7,49.2941,25857700,0.0,1.0
2000-02-25,136.3,142.0,133.4,133.6,47.1417,11702800,0.0,1.0
2000-02-28,137.5,147.5,137.5,143.3,50.5644,18200400,0.0,1.0
2000-02-29,146.0,148.0,138.3,142.4,50.2468,15661700,0.0,1.0
2000-03-01,140.5,141.3,136.5,139.0,49.0471,10432700,0.0,1.0
2000-03-02,138.9,139.1,132.0,132.2,46.6477,10280400,0.0,1.0
2000-03-03,131.0,135.0,126.0,131.9,46.5418,16966300,0.0,1.0
