,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,55.0,55.44,54.75,55.19,39.5559,579200,0.0,1.0
2000-01-19,54.5,55.75,54.5,55.44,39.7351,281100,0.0,1.0
2000-01-20,55.38,55.88,54.56,54.75,39.2406,268300,0.0,1.0
2000-01-21,55.0,55.12,53.12,53.75,38.5238,528300,0.0,1.0
2000-01-24,54.12,54.12,51.38,52.25,37.4488,571900,0.0,1.0
2000-01-25,51.5,53.31,50.75,52.44,37.5849,1942200,0.0,1.0
2000-01-26,52.69,55.19,52.25,55.0,39.4197,1744500,0.0,1.0
2000-01-27,55.0,55.0,53.69,53.75,38.5238,772500,0.0,1.0
2000-01-28,54.0,54.0,50.75,51.38,36.8252,930400,0.0,1.0
2000-01-31,50.94,50.94,46.0,49.44,35.4348,1349300,0.0,1.0
2000-02-01,49.5,49.5,47.0,47.38,33.9583,829200,0.0,1.0
2000-02-02,47.5,48.44,46.75,46.94,33.643,656100,0.0,1.0
2000-02-03,47.19,48.5,47.19,48.19,34.5389,379200,0.0,1.0
2000-02-04,48.25,48.62,47.38,47.69,34.1805,167900,0.0,1.0
2000-02-07,47.69,47.69,44.38,44.69,32.0303,553200,0.0,1.0
2000-02-08,45.19,45.62,43.75,45.0,32.2525,949300,0.0,1.0
2000-02-09,45.12,45.94,44.88,45.0,32.2525,479800,0.0,1.0
2000-02-10,45.12,45.56,44.5,45.0,32.2525,262000,0.0,1.0
2000-02-11,45.12,45.12,41.5,41.75,29.9232,680500,0.0,1.0
2000-02-14,41.88,41.88,35.56,36.5,26.1604,2773600,0.0,1.0
2000-02-15,37.0,37.75,35.62,37.44,26.8341,3512600,0.0,1.0
2000-02-16,37.75,39.0,36.88,37.25,26.6979,1290000,0.0,1.0
2000-02-17,37.62,39.12,37.5,37.69,27.0133,808600,0.0,1.0
2000-02-18,37.94,37.94,36.31,36.5,26.1604,407000,0.0,1.0
2000-02-22,37.0,37.62,36.56,37.06,26.5617,350600,0.0,1.0
2000-02-23,37.12,37.38,36.56,36.69,26.2966,267000,0.0,1.0
2000-02-24,36.25,36.25,34.06,34.5,24.7269,303400,0.0,1.0
2000-02-25,34.94,35.31,33.19,33.94,24.3256,683200,0.0,1.0
2000-02-28,34.0,34.38,33.12,33.94,24.4044,1376400,0.11,1.0
2000-02-29,35.38,36.62,34.69,35.38,25.4398,2141500,0.0,1.0
2000-03-01,34.75,34.75,28.62,29.38,21.1256,4187500,0.0,1.0
2000-03-02,28.75,28.94,26.12,28.38,20.4065,3086100,0.0,1.0
2000-03-03,28.88,29.88,27.69,29.0,20.8523,3509500,0.0,1.0
2000-03-06,29.25,29.88,28.62,29.0,20.8523,1504300,0.0,1.0
2000-03-07,28.75,28.88,27.5,27.75,19.9535,690200,0.0,1.0
2000-03-08,27.5,27.5,26.5,26.8,19.2704,812500,0.0,1.0
2000-03-09,27.5,27.94,27.0,27.5,19.7738,686500,0.0,1.0
2000-03-10,27.75,27.75,26.69,26.88,19.3279,251700,0.0,1.0
2000-03-13,26.62,26.75,26.06,26.12,18.7815,398300,0.0,1.0
2000-03-14,26.75,26.88,25.75,26.0,18.6952,742800,0.0,1.0
2000-03-15,26.0,27.0,25.31,27.0,19.4142,2120300,0.0,1.0
2000-03-16,28.0,33.0,27.94,31.5,22.6499,2289300,0.0,1.0
2000-03-17,31.5,31.5,26.0,28.69,20.6294,1509700,0.0,1.0
2000-03-20,28.75,30.19,27.88,28.38,20.4065,764600,0.0,1.0
2000-03-21,28.69,30.0,28.38,30.0,21.5714,555900,0.0,1.0
2000-03-22,29.19,30.19,29.19,29.88,21.4851,496500,0.0,1.0
2000-03-23,30.0,30.94,30.0,30.56,21.974,907700,0.0,1.0
2000-03-24,30.75,31.19,30.75,30.75,22.1106,754400,0.0,1.0
2000-03-27,31.19,31.19,30.06,30.94,22.2473,557000,0.0,1.0
2000-03-28,30.12,31.12,30.12,30.75,22.1106,465200,0.0,1.0
2000-03-29,30.62,30.62,29.75,30.0,21.5714,322200,0.0,1.0
2000-03-30,30.0,30.19,29.06,29.5,21.2118,325200,0.0,1.0
2000-03-31,29.75,29.75,28.0,28.0,20.1333,599800,0.0,1.0
2000-04-03,28.19,28.31,26.38,26.5,19.0547,691200,0.0,1.0
2000-04-04,27.12,27.38,25.56,26.44,19.0116,657800,0.0,1.0
2000-04-05,26.44,26.56,25.56,26.0,18.6952,836800,0.0,1.0
2000-04-06,26.5,26.62,25.88,26.06,18.7383,801600,0.0,1.0
2000-04-07,26.31,26.56,25.88,26.06,18.7383,1130600,0.0,1.0
2000-04-10,26.06,26.38,25.38,25.88,18.6089,1019200,0.0,1.0
2000-04-11,26.0,26.0,24.88,25.0,17.9761,477000,0.0,1.0
2000-04-12,25.12,25.31,24.56,24.75,17.7964,346000,0.0,1.0
2000-04-13,25.0,25.5,24.75,25.06,18.0193,495200,0.0,1.0
2000-04-14,23.62,24.31,22.94,23.0,16.538,466700,0.0,1.0
2000-04-17,23.44,24.0,23.0,23.75,17.0773,335900,0.0,1.0
2000-04-18,23.5,23.75,22.5,23.75,17.0773,1006100,0.0,1.0
2000-04-19,24.5,24.69,23.88,24.5,17.6166,302700,0.0,1.0
2000-04-20,24.25,25.19,24.25,24.5,17.6166,647900,0.0,1.0
2000-04-24,24.62,24.62,22.5,22.56,16.2217,1161800,0.0,1.0
2000-04-25,22.62,22.75,21.31,21.94,15.7759,1724600,0.0,1.0
2000-04-26,21.94,22.06,21.12,21.44,15.4163,1044300,0.0,1.0
2000-04-27,21.38,21.44,19.81,21.0,15.1,1473100,0.0,1.0
2000-04-28,21.12,21.56,20.75,20.81,14.9633,901700,0.0,1.0
2000-05-01,21.5,21.62,20.5,21.0,15.1,1033400,0.0,1.0
2000-05-02,20.88,21.75,20.81,21.44,15.4163,999400,0.0,1.0
2000-05-03,22.0,24.0,22.0,22.94,16.4949,1667200,0.0,1.0
2000-05-04,23.38,24.44,23.38,23.94,17.2139,840500,0.0,1.0
2000-05-05,23.12,23.56,22.44,23.06,16.5812,328200,0.0,1.0
2000-05-08,23.06,23.19,22.69,23.0,16.538,275100,0.0,1.0
2000-05-09,23.25,23.69,22.06,22.69,16.3151,599800,0.0,1.0
2000-05-10,22.75,22.88,22.19,22.44,16.1354,211700,0.0,1.0
2000-05-11,22.69,22.75,22.38,22.5,16.1785,271700,0.0,1.0
2000-05-12,22.25,23.19,22.25,23.0,16.538,596600,0.0,1.0
