,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-18,26.5,26.5,26.25,26.44,19.2423,215300,0.0,1.0
2000-01-19,26.44,26.44,25.88,26.06,18.9658,236800,0.0,1.0
2000-01-20,26.06,26.19,26.0,26.06,18.9658,149800,0.0,1.0
2000-01-21,26.13,26.63,25.63,26.56,19.3297,189800,0.0,1.0
2000-01-24,26.31,26.31,25.38,25.44,18.5146,178000,0.0,1.0
2000-01-25,25.38,25.69,24.81,25.19,18.3326,589000,0.0,1.0
2000-01-26,24.94,25.19,24.31,24.75,18.0124,247000,0.0,1.0
2000-01-27,25.0,25.44,25.0,25.25,18.3763,215000,0.0,1.0
2000-01-28,25.5,25.5,24.75,25.13,18.289,135400,0.0,1.0
2000-01-31,25.0,25.25,24.81,25.19,18.3326,145700,0.0,1.0
2000-02-01,25.25,25.38,24.94,25.31,18.42,167600,0.0,1.0
2000-02-02,25.31,25.44,24.88,25.0,18.1943,207700,0.0,1.0
2000-02-03,25.0,25.13,24.63,24.81,18.0561,277600,0.0,1.0
2000-02-04,24.69,25.19,24.62,24.94,18.1507,89100,0.0,1.0
2000-02-07,24.94,25.19,24.94,25.0,18.1943,107100,0.0,1.0
2000-02-08,24.94,25.13,24.75,25.06,18.238,389100,0.0,1.0
2000-02-09,25.0,25.06,24.75,25.06,18.238,202100,0.0,1.0
2000-02-10,24.88,24.88,23.13,23.38,17.0154,260700,0.0,1.0
2000-02-11,23.38,23.38,22.06,22.38,16.2876,479700,0.0,1.0
2000-02-14,22.31,22.38,21.69,22.0,16.011,261200,0.0,1.0
2000-02-15,21.25,23.5,21.25,22.44,16.3312,362400,0.0,1.0
2000-02-16,22.44,24.38,22.44,24.0,17.4666,444500,0.0,1.0
2000-02-17,24.5,27.0,24.5,27.0,19.6499,778600,0.0,1.0
2000-02-18,27.0,27.63,25.38,26.13,19.0167,600400,0.0,1.0
2000-02-22,25.0,25.38,24.5,25.0,18.1943,437700,0.0,1.0
2000-02-23,25.0,25.94,24.75,25.88,18.8348,219600,0.0,1.0
2000-02-24,25.94,25.94,23.31,24.0,17.4666,551100,0.0,1.0
2000-02-25,24.25,24.25,23.06,23.31,16.9644,404300,0.0,1.0
2000-02-28,23.5,24.63,23.38,24.44,17.7868,546500,0.0,1.0
2000-02-29,24.69,25.25,24.38,24.56,17.8741,324000,0.0,1.0
2000-03-01,24.81,25.56,24.5,25.38,18.4709,226000,0.0,1.0
2000-03-02,25.31,25.38,24.5,25.0,18.1943,395500,0.0,1.0
2000-03-03,25.19,26.81,25.13,26.56,19.3297,373400,0.0,1.0
2000-03-06,26.44,26.44,25.88,25.88,18.8348,262400,0.0,1.0
2000-03-07,26.0,26.44,25.69,25.69,18.6965,509500,0.0,1.0
2000-03-08,25.75,25.75,24.31,24.38,17.7431,320900,0.0,1.0
2000-03-09,24.63,25.13,24.56,24.69,17.9687,141600,0.0,1.0
2000-03-10,24.19,24.63,23.69,23.88,17.3792,183200,0.0,1.0
2000-03-13,24.0,25.19,23.63,24.94,18.1507,211500,0.0,1.0
2000-03-14,24.75,25.44,24.75,25.13,18.289,170200,0.0,1.0
2000-03-15,25.13,27.25,24.94,26.5,19.286,341200,0.0,1.0
2000-03-16,26.75,29.94,26.69,29.13,21.2001,622100,0.0,1.0
2000-03-17,29.0,29.56,27.25,27.63,20.1084,261300,0.0,1.0
2000-03-20,27.63,28.0,27.56,28.0,20.3777,132700,0.0,1.0
2000-03-21,27.75,28.5,27.63,28.25,20.5596,242100,0.0,1.0
2000-03-22,28.0,28.5,27.38,27.94,20.334,72800,0.0,1.0
2000-03-23,28.19,30.0,28.06,29.13,21.2001,133300,0.0,1.0
2000-03-24,29.13,30.44,29.06,29.25,21.2874,82400,0.0,1.0
2000-03-27,29.25,29.69,28.13,28.13,20.4723,98400,0.0,1.0
2000-03-28,28.38,29.44,28.31,28.81,20.9672,367300,0.0,1.0
2000-03-29,28.88,30.0,28.81,29.38,21.382,143200,0.0,1.0
2000-03-30,29.44,30.88,29.38,30.25,22.0152,396500,0.0,1.0
2000-03-31,29.63,32.63,29.63,32.63,23.7473,344700,0.0,1.0
2000-04-03,32.44,32.44,30.63,31.25,22.7429,233700,0.0,1.0
2000-04-04,31.63,31.75,30.31,30.75,22.379,237700,0.0,1.0
2000-04-05,30.5,31.06,30.38,30.69,22.3354,183100,0.0,1.0
2000-04-06,30.69,30.69,29.88,30.25,22.0152,335400,0.0,1.0
